UCL_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
UCL201001,75283,92602,167889,135738,169125,304866,1333,1352,2684,25780,29845,55630,777,791,1561,460345,516420,976761,2832,3604,6439,93019,97869,190891,4097,5223,9322,4285,4635,8922,6038,7697,13732,7428,7621,15049,7882,9118,16998,18554,21608,40161,29129,34658,63788,2309,3242,5555,3347,3936,7285,39628,53934,93563,50270,58189,108464,1708,2004,3716,894495,1030875,1925372,68366,58604,126973,97290,86991,184279,19940,21525,41468,89,106,189,26829,21390,48220,6675,7924,14601,33591,29420,63010,666868,623686,1290558,6589,5349,11944,2587,3881,6473,676053,632923,1308975,191077,187159,378238,2056095,2140106,4196198
UCL203001,786,995,1779,6749,8716,15462,0,0,0,1390,1608,2997,87,74,160,18807,21863,40672,115,157,271,1398,1429,2826,181,245,432,96,107,197,589,785,1372,48,41,94,168,246,412,482,551,1030,2049,2466,4518,164,222,384,77,111,188,3176,4487,7669,1917,2306,4216,53,88,142,37553,45495,83049,899,596,1490,1313,1022,2339,38,38,78,10,3,10,348,300,650,213,253,474,577,563,1133,26888,25074,51964,299,216,515,133,157,287,27319,25441,52759,7153,7322,14467,75635,81462,157104
UCL211001,130,170,298,2466,2929,5390,0,0,0,265,328,592,8,6,10,4117,4610,8726,21,17,40,68,77,145,79,122,200,27,33,56,286,307,593,9,9,16,38,61,95,209,233,448,426,524,944,52,70,120,29,29,61,637,870,1511,415,497,911,6,15,22,9147,10739,19883,180,187,366,83,48,126,3,7,5,3,0,3,68,49,116,35,66,103,105,117,220,5848,5128,10977,60,56,117,15,31,47,5922,5209,11133,1589,1500,3085,17169,17962,35130
UCL211002,306,414,727,4323,5530,9851,0,0,0,381,444,821,87,77,162,10423,12221,22647,364,518,884,172,198,366,108,147,253,58,71,130,216,270,486,20,16,37,92,120,214,278,324,601,1156,1419,2567,161,211,369,49,85,139,2618,3636,6254,764,907,1674,24,21,42,21277,26220,47494,326,279,603,249,172,418,17,21,44,7,4,9,108,104,218,121,167,288,238,283,513,17874,17014,34894,166,138,309,56,102,156,18097,17254,35352,4295,4313,8605,44809,48947,93759
UCL211003,425,539,966,5274,6613,11887,0,0,0,896,1012,1910,74,72,142,9387,10926,20312,59,80,147,145,131,273,103,138,241,75,93,173,153,173,327,41,39,78,75,80,154,420,531,945,874,1073,1946,89,131,217,92,104,193,2659,3600,6258,945,1080,2026,14,16,27,21373,25891,47266,243,233,472,237,214,453,21,20,40,5,7,14,104,82,189,94,169,261,208,257,463,17256,16146,33401,149,136,281,39,86,128,17449,16367,33814,4477,4431,8910,44424,47953,92379
UCL211004,292,396,687,2494,2946,5434,4,5,10,368,406,770,87,70,155,7333,8122,15455,16,21,38,580,563,1142,125,167,290,185,196,380,113,132,241,87,89,179,135,144,277,306,363,664,448,552,1005,48,67,112,74,93,159,678,853,1531,916,1011,1928,32,35,62,14020,15815,29837,456,435,890,533,528,1059,9,10,16,0,4,3,336,314,647,61,104,166,400,416,818,8132,7492,15620,97,67,166,39,57,95,8270,7615,15886,2696,2567,5262,26665,27791,54456
UCL212001,181,214,396,1638,2142,3782,0,0,0,111,110,219,0,0,0,3379,3897,7279,80,108,188,192,181,371,42,74,119,53,71,123,167,210,380,9,5,15,81,81,159,176,211,387,368,442,819,64,90,151,97,139,239,822,1156,1979,323,393,720,23,21,44,7643,9329,16968,111,88,195,483,358,845,8,0,13,13,8,20,78,78,164,19,39,56,109,128,237,5722,5373,11089,37,30,72,6,17,32,5769,5422,11189,1780,1822,3606,16080,17361,33444
UCL212002,168,222,393,2301,2767,5069,0,0,0,136,140,276,52,43,93,5401,5979,11379,63,57,125,274,291,571,72,110,179,46,71,116,51,97,153,29,16,43,60,60,113,254,321,579,655,791,1449,36,64,95,25,31,57,1078,1440,2515,434,530,955,14,10,21,10976,12819,23796,244,223,467,1761,1575,3337,11,3,15,11,3,13,366,306,674,45,84,129,419,392,813,6380,5911,12294,48,45,90,26,34,62,6459,5980,12446,2480,2458,4936,22520,23678,46199
UCL212003,117,193,303,1900,2308,4207,0,5,4,163,183,346,70,77,146,5018,5619,10641,34,41,73,234,222,450,48,57,113,51,80,135,80,109,194,9,9,14,35,36,70,110,122,233,306,381,693,19,44,67,14,13,24,551,775,1326,332,411,745,4,14,22,8993,10493,19486,66,73,134,103,92,193,5,11,15,0,0,0,58,47,101,41,47,83,92,89,183,5899,5289,11187,50,42,97,18,29,46,5971,5359,11328,1407,1374,2779,16743,17680,34425
UCL212004,93,132,221,1584,2047,3630,0,0,0,111,126,240,0,3,5,2868,3308,6181,3,5,11,144,151,291,28,33,60,25,22,49,53,66,126,8,12,18,28,32,66,115,130,247,348,416,764,17,31,49,13,13,23,424,602,1028,222,257,475,4,10,13,6010,7274,13283,89,87,181,53,48,103,0,6,9,0,0,0,9,9,21,23,29,54,31,40,68,4627,4159,8783,46,34,77,10,26,39,4683,4217,8898,1304,1412,2722,12267,13219,25485
