UCL_CODE_2016,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
UCL201001,34993,124092,261150,213290,147313,108735,64757,25491,8600,988420,5574,10019,20094,23670,42765,28983,14546,5798,1770,153213,5213,9569,22975,25792,37517,32816,23413,11711,3598,172611,1912,2550,6277,7039,10835,12425,12301,7281,2548,63164,864,1382,4153,4755,6585,9968,17970,18361,8176,72223,209,923,2512,2588,3042,3167,3119,3115,1218,19887,6075,10398,24927,19086,17004,14800,13322,10863,5719,122196,54839,158925,342091,296215,265064,210888,149432,82629,31627,1591719,38003,131014,291773,240242,170413,112837,57295,23398,9558,1074530,3737,6511,13567,17244,41365,32509,18707,8209,3003,144852,3352,5629,14230,16625,31499,35414,30980,15538,6955,160221,1251,1629,3771,5091,9303,13603,14497,9103,4772,63008,561,948,3337,4651,7095,13352,25925,25848,15277,96997,133,576,2257,2709,3797,4710,4698,5903,2613,27391,5924,9681,23806,17598,16324,15299,15576,14323,11330,129858,52956,155983,352737,304151,279797,227721,167673,102322,53511,1696851,72998,255100,552925,453523,317727,221571,122054,48893,18158,2062949,9306,16527,33656,40916,84130,61495,33247,14007,4772,298062,8566,15196,37210,42414,69015,68223,54393,27248,10556,332826,3160,4180,10045,12131,20136,26032,26793,16381,7322,126180
UCL203001,1114,4132,7083,5777,3543,3170,1996,842,320,27978,302,632,1122,1250,2492,1817,776,250,107,8746,296,570,1137,1158,1736,1791,1474,626,203,9004,110,151,329,386,617,745,814,474,164,3788,64,83,167,225,264,429,801,876,428,3327,8,29,66,68,69,60,73,63,30,450,255,377,729,608,754,681,731,609,348,5102,2151,5975,10632,9465,9475,8698,6661,3744,1596,58390,1365,4533,8386,7035,4744,3560,1850,865,357,32689,213,406,721,995,2360,1933,1047,466,156,8284,212,422,809,896,1700,2029,1834,854,393,9159,86,100,215,308,567,887,951,682,342,4137,39,57,151,183,239,532,1121,1157,929,4407,3,14,54,72,79,68,90,101,58,548,250,372,701,588,708,743,822,903,757,5842,2171,5907,11029,10066,10398,9755,7713,5019,2993,65059,2483,8664,15464,12808,8285,6729,3845,1706,679,60665,517,1033,1835,2244,4853,3748,1819,720,268,17031,511,998,1948,2055,3440,3821,3309,1476,595,18158,202,255,542,687,1179,1628,1762,1154,505,7923
UCL211001,224,671,1231,986,617,547,387,127,63,4861,83,186,312,331,463,346,177,55,17,1982,107,236,485,471,680,601,374,140,29,3126,35,33,104,86,155,182,206,101,17,919,6,19,39,53,63,98,175,169,62,689,0,7,10,14,23,16,10,5,3,87,67,110,173,171,154,184,127,97,40,1127,536,1252,2359,2115,2163,1968,1464,696,234,12780,237,702,1730,1326,805,620,337,129,64,5944,64,120,245,278,492,433,201,74,18,1923,60,124,371,373,651,674,473,204,76,2994,29,31,62,73,130,201,248,129,52,943,6,10,21,26,38,103,184,188,118,697,0,0,11,14,20,14,16,4,5,78,66,89,180,141,154,180,180,161,48,1190,456,1070,2612,2225,2282,2216,1635,886,374,13771,457,1378,2963,2309,1426,1166,722,257,126,10799,153,308,553,607,960,778,380,127,38,3906,173,356,854,841,1330,1276,849,340,104,6115,61,63,162,152,284,385,457,234,61,1862
UCL211002,649,2354,3889,3119,1998,1708,1140,464,125,15449,185,362,653,711,1219,1024,513,209,45,4924,224,406,795,831,1221,1087,934,414,100,6006,88,100,237,259,439,539,540,304,91,2595,41,49,99,90,132,277,482,469,223,1859,3,15,15,28,26,15,9,8,4,137,163,253,431,387,395,399,467,340,172,3012,1353,3541,6126,5419,5438,5053,4084,2212,758,33976,762,2716,4633,4029,2746,2057,1133,550,216,18845,130,281,478,645,1379,1266,677,301,103,5267,157,286,625,642,1064,1185,1271,568,223,6027,69,80,140,169,383,566,579,378,184,2556,25,26,63,75,133,247,592,632,494,2280,0,3,10,22,26,17,13,16,6,111,175,252,409,369,453,469,538,516,335,3523,1322,3647,6355,5956,6185,5816,4803,2965,1559,38611,1416,5069,8530,7143,4744,3761,2275,1016,344,34291,321,647,1135,1353,2599,2292,1189,516,148,10195,383,694,1420,1473,2280,2278,2205,984,325,12037,157,185,375,429,819,1108,1123,686,271,5150
UCL211003,556,2096,3467,2776,1705,1634,1028,418,152,13836,199,410,605,704,1207,1036,467,182,48,4866,199,428,963,971,1333,1287,956,424,111,6681,75,115,285,249,433,511,621,382,75,2740,33,55,130,128,172,262,473,497,267,2011,3,9,44,41,50,44,25,10,7,228,179,219,432,380,443,450,463,391,219,3175,1248,3335,5928,5250,5339,5215,4037,2304,875,33539,774,2523,4400,3700,2454,1927,1013,398,198,17388,154,319,514,625,1217,1261,665,270,78,5111,161,348,707,745,1209,1344,1173,566,222,6469,45,70,147,184,353,587,656,419,179,2644,20,37,90,83,133,248,560,612,485,2259,3,17,38,38,46,28,25,15,3,211,194,210,447,381,435,461,488,586,454,3658,1359,3519,6344,5752,5840,5859,4580,2859,1619,37742,1327,4621,7861,6479,4153,3563,2045,818,351,31225,360,729,1125,1329,2425,2299,1138,453,123,9975,362,770,1674,1713,2536,2626,2132,996,334,13145,122,182,435,436,786,1100,1274,798,255,5388
UCL211004,337,1014,2127,1797,946,737,484,150,27,7626,136,217,507,586,665,469,210,43,9,2844,172,322,695,738,774,741,489,117,28,4075,54,100,255,208,276,347,304,98,35,1674,26,30,87,99,125,195,327,143,46,1082,3,4,32,33,38,33,29,22,6,197,121,148,337,291,271,259,210,122,29,1790,849,1828,4037,3750,3098,2776,2053,696,186,19288,392,1159,2957,2242,1112,781,342,103,48,9142,77,216,436,461,687,561,204,50,11,2703,122,241,502,554,774,877,521,141,52,3787,41,61,130,131,266,427,316,98,38,1517,20,20,96,79,110,255,385,198,99,1271,3,4,33,50,60,35,46,20,10,255,94,157,359,278,260,251,267,168,82,1909,746,1861,4518,3799,3262,3192,2079,786,336,20591,731,2175,5089,4039,2062,1514,830,259,70,16767,213,434,941,1044,1351,1035,416,88,18,5544,293,561,1192,1298,1543,1622,1007,260,79,7863,92,165,384,346,545,779,620,199,72,3193
UCL212001,183,525,1146,874,555,508,302,136,27,4251,89,137,259,274,359,310,165,51,21,1669,104,180,378,319,478,481,385,139,27,2488,34,58,126,112,155,209,213,112,44,1062,18,28,62,69,87,147,279,248,121,1069,3,7,25,36,42,44,18,20,11,210,73,124,249,166,205,214,236,164,88,1533,502,1061,2243,1847,1892,1912,1611,873,337,12277,192,670,1482,1176,734,520,285,144,54,5251,72,114,208,263,446,404,187,79,28,1803,77,138,299,280,468,515,482,212,60,2538,17,42,86,75,159,232,269,169,68,1108,17,20,44,45,86,156,291,327,184,1174,3,3,23,25,23,23,36,29,9,171,74,111,216,148,193,223,264,264,181,1665,455,1107,2347,2015,2102,2067,1809,1221,582,13701,373,1192,2626,2052,1290,1025,584,279,82,9498,164,259,462,544,801,713,353,126,44,3464,185,325,675,595,943,993,869,354,91,5024,48,102,212,187,312,439,480,278,108,2171
UCL212002,218,721,1615,1219,875,704,414,141,61,5955,123,220,348,402,665,460,221,82,22,2546,133,186,402,483,589,573,438,221,51,3076,46,60,136,169,236,284,329,164,49,1473,28,37,116,109,127,159,319,321,136,1352,8,16,71,78,74,44,41,30,10,372,105,109,290,267,298,287,270,213,86,1922,658,1349,2965,2730,2867,2516,2026,1170,419,16693,241,912,2125,1680,1105,761,372,170,78,7436,82,148,237,344,662,582,295,126,39,2522,85,126,290,356,601,609,574,295,108,3042,30,49,91,106,188,325,295,163,65,1309,11,30,76,105,110,185,338,364,241,1450,3,18,53,76,45,42,32,29,24,323,111,106,277,242,259,283,322,266,192,2067,569,1382,3152,2904,2979,2783,2230,1417,754,18160,459,1629,3740,2896,1979,1468,781,306,137,13399,205,366,587,747,1328,1045,521,205,63,5072,220,314,692,838,1195,1179,1009,518,159,6116,76,102,230,276,423,602,625,334,114,2779
UCL212003,265,749,1303,1260,894,735,387,176,56,5825,93,160,285,332,606,449,141,56,17,2143,92,154,325,396,604,481,353,104,29,2538,37,37,60,100,120,148,147,68,23,752,4,6,32,24,34,60,136,119,42,466,6,0,6,9,9,11,10,3,0,51,52,58,120,126,116,138,114,61,37,814,557,1170,2134,2240,2374,2025,1285,587,210,12583,301,873,1696,1700,1206,793,329,165,50,7111,60,110,167,270,727,524,178,74,24,2136,58,92,187,253,478,519,430,151,57,2213,26,20,35,34,100,170,180,92,52,706,5,3,14,13,39,67,176,161,143,618,3,3,3,8,0,7,6,9,4,50,40,59,108,131,114,125,121,101,58,854,493,1154,2209,2421,2653,2203,1420,748,384,13685,566,1620,3002,2959,2100,1533,712,335,110,12931,158,269,449,604,1329,974,320,129,40,4277,149,248,514,649,1078,1003,779,252,78,4753,61,58,96,134,223,321,330,160,75,1456
UCL212004,119,416,962,795,471,422,228,121,42,3577,69,148,286,265,419,362,139,38,10,1737,64,108,232,231,413,340,284,92,20,1795,20,29,56,55,106,108,144,75,18,607,3,13,36,28,34,79,151,157,61,554,0,0,8,3,11,4,5,11,4,40,63,67,124,96,137,157,131,117,56,942,333,776,1703,1481,1584,1484,1078,606,207,9256,124,580,1272,1036,627,492,213,116,41,4501,36,82,195,197,392,353,191,66,16,1524,43,82,191,193,338,374,337,155,45,1760,19,21,45,48,113,146,179,97,35,708,5,12,18,31,34,80,158,185,126,654,0,0,9,3,3,9,10,11,3,52,54,60,142,114,134,143,166,189,131,1138,280,844,1867,1626,1648,1600,1256,819,401,10338,244,993,2239,1834,1094,914,440,237,82,8075,102,230,479,465,816,719,328,105,22,3268,103,195,426,427,749,714,623,252,64,3549,40,49,96,102,225,258,324,173,60,1317
