UCL_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
UCL201001,40767,14601,85254,846346,868337,355081,267514,836910,261440,3435626
UCL203001,2108,940,4593,29503,33471,15125,11555,28644,10921,129222
UCL211001,288,107,617,5975,7763,3312,2629,5843,2377,27901
UCL211002,1122,389,2325,16643,20431,9134,7280,15988,6519,76000
UCL211003,1069,612,2494,16215,20078,9053,7312,14962,6961,74584
UCL211004,305,86,517,8546,9571,4275,4258,11259,3856,41769
UCL212001,419,208,923,5256,6638,3062,2450,6560,3213,27176
UCL212002,547,261,1171,7392,8604,4080,3197,9407,4123,36801
UCL212003,285,103,594,6581,7688,3346,2595,5574,1838,27628
UCL212004,242,186,609,4101,5476,2473,2014,4215,2199,20483
UCL212005,441,193,952,5491,6575,3011,2301,5399,2487,25264
UCL213001,153,48,305,3033,3604,1699,1335,2981,1055,13703
UCL213002,238,151,542,1881,2548,1291,1156,2278,1509,10661
UCL213003,225,85,453,1862,2381,1161,992,2331,1012,9737
UCL213004,201,54,332,1923,2419,1157,1051,1958,953,9459
UCL213005,149,61,353,2131,2694,1461,1199,1951,792,10230
UCL213006,237,105,446,2088,2758,1224,994,2362,1173,10605
UCL213007,226,83,525,2600,3293,1652,1256,2752,1129,12681
UCL213008,122,31,228,2418,2859,1306,1057,2214,594,10440
UCL213009,127,38,255,2132,2666,1210,955,1925,583,9461
UCL213010,272,90,521,2178,2870,1461,1371,3377,1386,12650
UCL213011,235,65,443,1932,2461,1239,1168,2911,1502,11213
UCL213012,190,63,418,3297,4361,2114,1463,2225,874,14333
UCL213013,177,67,329,1394,2082,1049,878,1942,985,8336
UCL213014,225,80,445,2124,2862,1364,1148,2330,1142,10969
UCL213015,168,82,380,1706,2051,988,798,1866,1199,8603
UCL213016,138,32,261,3309,3873,1822,1291,1907,821,13025
UCL213017,317,325,852,2912,4000,1935,1458,3235,1678,15223
UCL213018,131,126,411,2477,3120,1501,1264,2282,1047,11683
UCL214001,125,54,279,1099,1471,721,599,1421,507,5826
UCL214002,198,89,470,1443,1937,1041,824,1733,869,7848
UCL214003,125,128,376,1393,2237,1089,839,1229,1625,8408
UCL214004,95,30,191,842,977,465,429,1184,544,4437
UCL214005,6,3,17,189,225,99,85,182,81,856
UCL214006,93,62,198,1749,2132,999,851,1175,573,7483
UCL214007,141,111,393,1445,1971,946,759,1561,743,7429
UCL214008,136,36,236,1427,1883,913,723,1354,652,6947
UCL214009,103,41,222,772,1184,609,458,791,405,4223
UCL214010,95,18,149,1109,1408,582,567,1285,547,5491
UCL214011,130,79,293,943,1153,572,514,1102,623,4916
UCL214012,75,103,242,815,1161,657,625,1174,779,5210
UCL214013,106,38,213,777,1044,610,459,794,437,4116
UCL214014,172,75,349,1049,1388,800,705,1636,743,6328
UCL214015,115,66,298,984,1519,879,628,1324,732,6063
UCL214016,64,74,198,866,1129,526,466,1175,775,4937
UCL214017,121,40,245,815,1202,553,468,1128,553,4715
UCL214018,14,6,43,1486,1671,724,649,1375,661,6564
UCL214019,155,94,353,1131,1563,794,742,1525,851,6602
UCL214020,186,99,363,1046,1563,769,682,1503,930,6492
UCL215001,10,4,24,204,286,170,90,133,80,965
UCL215002,74,13,115,366,517,261,225,454,259,2069
UCL215003,56,15,109,439,636,363,217,307,185,2157
UCL215004,11,7,37,214,324,158,109,218,147,1167
UCL215005,29,14,69,351,486,259,218,356,184,1854
UCL215006,17,11,58,401,554,299,206,260,177,1895
UCL215007,70,9,91,779,1105,474,424,647,261,3688
UCL215008,0,0,6,272,413,181,141,160,82,1252
UCL215009,3,3,15,118,193,120,89,134,55,706
UCL215010,25,0,29,368,465,247,167,320,118,1688
UCL215011,33,28,65,147,182,106,98,257,127,918
UCL215012,50,21,96,464,685,361,231,456,262,2452
UCL215013,4,0,3,283,356,143,126,282,130,1317
UCL215014,0,0,3,203,268,132,96,194,80,971
UCL215015,31,24,105,372,564,260,187,317,240,1941
UCL215016,23,17,56,655,784,326,334,658,280,3042
UCL215017,36,13,59,326,366,193,147,343,165,1545
UCL215018,65,29,123,418,621,342,263,562,289,2496
UCL215019,7,0,9,267,384,207,142,224,96,1318
UCL215020,51,19,88,197,218,134,150,314,149,1165
UCL215021,3,5,25,183,272,138,119,190,117,1015
UCL215022,19,4,46,705,892,477,400,838,437,3748
UCL215023,48,11,74,256,300,145,139,331,139,1318
UCL215024,64,14,118,273,362,208,195,380,189,1605
UCL215025,34,18,73,167,238,114,123,220,138,1010
UCL215026,143,57,292,692,1166,564,433,968,439,4251
UCL215027,86,38,148,383,521,303,253,524,308,2285
UCL215028,83,35,154,596,810,405,301,541,299,2948
UCL215029,8,0,9,402,473,175,151,370,180,1747
UCL215030,33,31,84,206,272,174,144,258,169,1222
UCL215031,51,29,103,169,264,133,135,303,190,1186
UCL215032,60,61,173,427,593,312,271,557,305,2465
UCL215033,0,0,4,493,607,227,177,229,65,1793
UCL215034,69,16,114,159,272,127,135,240,109,1040
UCL215035,7,8,19,215,258,133,109,171,84,974
UCL215036,3,0,10,192,249,141,91,152,75,891
UCL215037,42,15,83,219,335,154,185,399,228,1517
UCL215038,43,15,73,206,280,173,137,304,131,1232
UCL215039,29,14,50,151,245,127,117,291,131,1063
UCL215040,81,40,189,547,706,424,338,652,385,3049
UCL215041,26,15,53,385,450,209,178,370,175,1768
UCL215042,9,5,27,238,353,175,139,231,120,1247
UCL215043,96,34,176,556,697,387,334,692,323,2991
UCL215044,144,23,239,832,1037,488,388,873,431,4052
UCL215045,10,0,15,238,293,169,153,186,110,1147
UCL215046,5,4,21,211,219,142,77,197,73,918
UCL215047,6,3,13,240,302,131,117,243,110,1151
UCL215048,23,12,46,187,236,84,105,150,131,895
UCL215049,6,3,30,452,638,354,267,309,178,2198
UCL215050,67,34,145,670,818,459,447,725,394,3509
UCL215051,33,4,64,193,320,201,140,198,80,1126
UCL215052,76,22,144,591,742,342,263,518,306,2767
UCL215053,62,10,98,252,383,179,165,461,224,1668
UCL215054,3,3,21,276,323,147,143,256,110,1247
UCL215055,30,9,54,264,362,207,146,240,145,1364
UCL215056,29,10,55,134,216,115,101,236,102,913
UCL215057,15,5,44,242,430,243,164,210,116,1407
UCL215058,75,36,151,440,553,309,241,525,275,2345
UCL215059,38,14,81,255,369,181,155,350,169,1473
UCL215060,36,23,82,244,280,159,143,257,145,1222
UCL215061,59,19,125,260,327,206,194,385,131,1495
UCL215062,76,40,173,600,760,376,354,671,330,3088
UCL215063,55,23,93,220,377,224,204,392,246,1665
UCL215064,33,14,71,146,207,116,96,207,118,894
UCL215065,88,39,180,510,742,427,319,680,360,3029
UCL215066,49,32,180,633,998,504,344,467,326,3270
UCL215067,73,30,147,444,694,385,276,447,273,2512
UCL215068,62,36,131,372,524,274,249,568,373,2357
UCL215069,14,0,40,588,773,386,270,369,119,2504
UCL215070,19,33,58,253,282,132,99,547,400,1717
UCL215071,43,45,134,390,525,304,306,513,264,2296
UCL215072,20,8,42,635,839,405,342,555,270,3041
UCL215073,5,4,21,177,262,109,105,239,109,1005
UCL215074,26,11,74,320,520,234,177,323,165,1745
UCL215075,31,12,59,218,293,121,106,194,104,1041
UCL215076,6,0,8,338,393,187,132,276,53,1376
UCL215077,51,16,105,294,430,220,228,424,150,1742
UCL215078,5,3,28,291,358,198,222,262,142,1466
UCL215079,69,30,147,590,838,413,356,693,388,3277
UCL215080,37,25,81,283,378,194,184,388,245,1672
UCL215081,50,8,72,207,240,122,107,264,113,1052
UCL215082,8,6,21,176,205,95,86,145,100,811
UCL215083,58,30,113,523,729,338,307,564,296,2757
UCL215084,6,0,9,311,349,171,134,227,110,1298
UCL215085,31,3,43,297,410,245,169,279,214,1626
UCL215086,68,29,138,345,446,249,220,446,238,1943
UCL215087,98,19,142,682,743,370,297,735,319,3154
UCL215088,55,15,83,242,298,146,162,345,149,1337
UCL215089,3,0,7,340,353,193,125,249,63,1324
UCL215090,13,49,93,572,892,446,301,462,341,3005
UCL215091,9,7,40,731,858,396,345,643,213,3183
UCL215092,12,13,25,156,210,107,108,212,126,928
UCL215093,10,0,17,421,505,223,152,296,176,1767
UCL215094,55,12,99,475,631,318,278,476,225,2398
UCL215095,0,4,15,200,252,111,122,137,93,921
