UCL_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
UCL201001,..,3073,105198,173721,160506,132288,98099,52399,13724,739012,..,9692,54021,31854,22464,12784,4971,1197,258,137242,..,332,1336,4426,9219,7037,2908,1846,1236,28344,367948,..,..,..,..,..,..,..,..,367948,..,114484,..,..,..,..,..,..,..,114484,..,66393,52832,17099,10842,4203,563,21,0,151944,..,16072,14051,4148,3714,3936,2907,1810,1021,47658,..,9741,12294,3605,2558,1623,574,159,50,30616,..,31871,42786,10954,6825,5215,3055,1122,324,102156,..,8762,25538,24997,27061,25062,19468,12172,6830,149887,4413,6128,8402,4954,3910,2708,2216,1367,549,34643,372364,266548,316461,275762,247103,194847,134760,72099,23988,1903927,..,8683,139517,179532,161280,126404,87134,37118,6201,745880,..,14627,55875,30374,20840,10430,3509,680,121,136449,..,2782,14246,31240,41261,22654,9733,7853,4662,134417,349484,..,..,..,..,..,..,..,..,349484,..,116500,..,..,..,..,..,..,..,116500,..,47737,37302,8878,6032,3208,609,27,4,103801,..,13548,10007,3093,4353,8685,7822,6587,3816,57903,..,8938,8195,1826,1275,849,361,147,81,21678
UCL203001,..,106,3108,5055,5026,5039,4071,2261,663,25338,..,645,2119,1178,823,509,225,58,10,5563,..,19,75,245,424,265,113,71,55,1259,13320,..,..,..,..,..,..,..,..,13320,..,3557,..,..,..,..,..,..,..,3557,..,2586,1463,645,413,182,25,0,0,5313,..,460,278,110,105,95,71,65,17,1209,..,306,279,87,72,38,17,4,3,805,..,1457,1224,282,249,174,141,46,11,3579,..,334,956,1002,1456,1519,1088,660,404,7421,249,343,370,220,156,147,86,50,29,1655,13569,9815,9870,8823,8725,7961,5841,3215,1191,69019,..,238,3954,5366,5293,4944,3734,1768,331,25628,..,918,2174,1074,842,461,160,32,3,5652,..,259,932,1610,1777,880,346,310,204,6312,12614,..,..,..,..,..,..,..,..,12614,..,3730,..,..,..,..,..,..,..,3730,..,1725,931,269,183,118,18,0,0,3246,..,385,203,77,126,250,216,141,81,1471,..,263,158,40,45,25,5,3,0,540
UCL211001,..,44,742,1103,1161,1094,891,411,106,5554,..,229,518,274,200,117,48,18,5,1413,..,12,26,71,115,52,25,5,4,311,3439,..,..,..,..,..,..,..,..,3439,..,745,..,..,..,..,..,..,..,745,..,614,212,111,54,23,4,0,0,1010,..,94,53,10,17,28,20,18,4,244,..,82,58,30,14,15,6,0,0,198,..,172,160,55,65,52,19,3,3,540,..,77,254,209,309,316,232,113,56,1561,74,104,109,63,46,43,30,26,3,504,3516,2167,2125,1923,1989,1747,1278,594,186,15519,..,83,1001,1168,1164,1141,767,302,49,5672,..,312,534,253,185,112,45,14,0,1454,..,81,342,421,384,147,66,48,27,1517,3304,..,..,..,..,..,..,..,..,3304,..,718,..,..,..,..,..,..,..,718,..,380,120,34,31,18,4,0,0,587,..,67,28,4,33,60,49,27,21,293,..,46,28,6,5,10,0,3,0,101
UCL211002,..,60,1760,2836,2825,2832,2335,1277,313,14238,..,452,1352,699,534,336,148,49,8,3580,..,8,56,155,257,128,46,33,21,716,8438,..,..,..,..,..,..,..,..,8438,..,1963,..,..,..,..,..,..,..,1963,..,1558,673,280,201,93,9,3,0,2815,..,229,146,73,66,73,40,19,16,662,..,154,135,58,50,29,6,3,0,430,..,927,649,160,151,128,83,29,12,2139,..,245,650,610,776,841,704,392,188,4408,182,270,240,131,117,84,69,36,15,1136,8622,5865,5654,4999,4979,4546,3452,1843,563,40527,..,116,2204,3024,2948,2798,2197,954,148,14385,..,686,1310,707,558,269,120,18,3,3677,..,215,696,1025,1105,445,176,156,114,3931,7973,..,..,..,..,..,..,..,..,7973,..,1958,..,..,..,..,..,..,..,1958,..,1033,378,127,115,60,10,0,0,1724,..,188,92,28,84,131,103,64,32,725,..,162,69,15,18,9,8,0,0,279
UCL211003,..,90,1821,2732,2763,2974,2426,1395,335,14529,..,516,1264,642,534,277,111,36,13,3387,..,17,63,137,280,154,43,36,31,769,8485,..,..,..,..,..,..,..,..,8485,..,1959,..,..,..,..,..,..,..,1959,..,1598,671,298,193,94,14,0,0,2878,..,238,139,50,65,78,49,27,24,671,..,179,141,71,44,25,20,4,3,481,..,703,519,159,152,136,83,34,4,1793,..,217,595,628,745,864,666,405,209,4334,157,244,217,144,92,102,68,43,11,1082,8647,5759,5433,4862,4882,4705,3478,1985,622,40374,..,152,2300,2932,2920,2982,2232,1054,181,14750,..,749,1280,642,504,245,92,23,5,3539,..,225,681,1048,977,500,186,158,96,3876,7988,..,..,..,..,..,..,..,..,7988,..,1979,..,..,..,..,..,..,..,1979,..,1007,383,114,96,70,19,0,0,1694,..,249,103,28,88,121,127,92,44,851,..,163,71,33,16,11,0,0,0,292
UCL211004,..,52,1342,1948,1680,1669,1293,404,64,8441,..,222,724,473,267,153,65,9,3,1924,..,11,40,131,167,103,57,25,5,548,5934,..,..,..,..,..,..,..,..,5934,..,1245,..,..,..,..,..,..,..,1245,..,1308,770,276,123,31,10,0,0,2517,..,187,168,62,65,74,45,26,15,633,..,99,116,62,57,33,15,3,0,382,..,105,185,100,105,78,66,20,3,674,..,66,310,372,367,382,277,118,41,1926,88,115,119,84,49,38,45,13,3,556,6027,3411,3765,3505,2885,2560,1864,621,136,24775,..,131,1831,1912,1664,1724,1009,239,28,8539,..,306,773,435,262,127,48,12,0,1975,..,156,610,754,616,361,168,56,34,2750,5772,..,..,..,..,..,..,..,..,5772,..,1252,..,..,..,..,..,..,..,1252,..,907,489,113,69,20,6,0,0,1607,..,179,76,38,69,144,126,66,35,730,..,97,59,25,13,13,5,0,0,219
UCL212001,..,29,641,862,913,999,919,520,150,5042,..,193,448,244,153,106,74,25,4,1248,..,3,30,59,87,53,23,12,5,274,2900,..,..,..,..,..,..,..,..,2900,..,643,..,..,..,..,..,..,..,643,..,587,234,91,81,31,3,0,0,1035,..,105,56,23,34,27,28,19,4,294,..,82,60,34,24,19,0,0,0,212,..,147,188,79,71,78,36,3,0,603,..,63,193,218,283,337,273,160,90,1623,82,68,87,54,42,43,40,20,8,449,2978,1919,1948,1666,1699,1698,1391,759,260,14313,..,63,781,976,976,1007,856,403,73,5135,..,262,445,220,174,102,53,11,0,1269,..,96,311,395,383,131,67,58,42,1477,2832,..,..,..,..,..,..,..,..,2832,..,658,..,..,..,..,..,..,..,658,..,368,112,38,40,23,8,0,0,587,..,94,38,13,36,50,60,33,26,346,..,69,23,7,11,8,0,0,0,117
UCL212002,..,60,1002,1398,1534,1427,1177,635,200,7432,..,174,518,284,215,142,66,24,3,1421,..,13,31,71,133,70,33,18,7,383,4413,..,..,..,..,..,..,..,..,4413,..,1052,..,..,..,..,..,..,..,1052,..,845,349,176,88,38,4,0,0,1496,..,152,81,29,41,31,24,16,10,389,..,87,73,42,29,8,3,3,0,248,..,180,243,112,87,68,47,14,6,754,..,68,277,283,420,413,309,210,85,2065,119,95,110,87,56,39,42,30,3,586,4528,2735,2689,2494,2603,2231,1707,949,317,20244,..,150,1257,1514,1540,1405,1054,490,87,7503,..,267,502,272,217,135,43,10,3,1452,..,106,325,549,503,228,85,63,40,1895,4157,..,..,..,..,..,..,..,..,4157,..,1093,..,..,..,..,..,..,..,1093,..,541,200,52,49,28,9,0,0,871,..,104,45,17,43,59,73,42,22,409,..,70,36,7,11,7,0,0,3,131
UCL212003,..,19,685,1312,1495,1345,827,381,90,6160,..,116,472,301,218,121,43,9,3,1281,..,4,18,48,111,65,20,13,6,288,3280,..,..,..,..,..,..,..,..,3280,..,984,..,..,..,..,..,..,..,984,..,914,437,148,64,23,4,0,0,1598,..,84,57,31,32,26,19,10,8,265,..,42,59,18,20,15,5,3,0,158,..,51,73,27,35,43,24,8,3,263,..,40,150,185,230,214,164,82,46,1112,61,52,68,39,42,20,26,12,7,333,3338,2309,2015,2105,2250,1873,1145,528,162,15719,..,38,862,1432,1624,1257,719,269,50,6253,..,183,474,288,215,114,34,12,0,1318,..,46,189,342,412,210,72,42,32,1333,3114,..,..,..,..,..,..,..,..,3114,..,1030,..,..,..,..,..,..,..,1030,..,644,316,69,35,23,0,0,0,1090,..,80,32,6,35,65,65,44,35,376,..,47,23,9,8,5,3,0,0,103
UCL212004,..,20,527,784,833,832,604,361,73,4039,..,148,385,191,146,76,36,13,0,986,..,3,22,57,62,35,8,0,3,193,2355,..,..,..,..,..,..,..,..,2355,..,507,..,..,..,..,..,..,..,507,..,424,172,68,37,19,5,0,0,726,..,40,37,8,16,9,9,3,10,126,..,24,24,7,9,13,0,0,0,77,..,112,93,25,31,34,14,8,0,313,..,82,248,184,245,241,181,89,46,1312,42,54,54,43,34,28,27,8,3,295,2399,1417,1557,1361,1425,1286,881,484,135,10944,..,44,672,863,823,852,568,260,25,4115,..,222,385,179,145,68,33,7,0,1036,..,55,201,278,264,97,47,32,23,1000,2262,..,..,..,..,..,..,..,..,2262,..,529,..,..,..,..,..,..,..,529,..,283,81,23,19,13,3,0,0,420,..,46,36,8,22,20,17,23,9,176,..,31,13,4,4,3,0,0,0,57
