UCL_CODE_2016,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
UCL201001,108051,522,85,15,5,5,28,14396,123105,132837,5897,1996,409,72,14,45,15243,156508,124121,21382,10201,2864,732,179,115,15666,175269,78841,40502,32770,9097,2505,748,435,13007,177914,39543,29269,51193,17894,4727,1376,973,9446,154414,28215,23336,56076,24055,6595,1924,1431,8549,150176,24675,21441,56594,25722,7344,2070,1513,8336,147698,20446,18543,49828,25167,7553,1981,1411,7600,132531,17162,15950,44690,24970,8269,2219,1484,7284,122033,13334,13334,38768,22572,7874,2222,1404,6510,106021,9688,9818,35927,21993,7976,2356,1505,6428,95687,6125,6010,25609,17776,7365,2401,1741,5217,72246,4260,4336,17463,14236,7320,2751,2455,4800,57611,3115,3373,11997,10478,5964,2577,2757,4585,44837,4223,4999,13053,10815,6275,3053,3485,7683,53590,614637,218706,446254,228055,80577,25878,20781,134751,1769632
UCL203001,4386,40,10,0,0,0,0,532,4969,4862,371,144,29,10,0,0,524,5934,3667,852,461,167,44,15,0,450,5664,2023,1180,1219,420,147,46,23,321,5377,1057,873,1619,764,226,53,48,250,4892,799,740,1873,995,315,99,70,299,5191,757,673,1872,993,364,101,68,318,5140,724,604,1817,1155,436,118,77,333,5263,640,543,1786,1212,440,97,63,315,5097,476,431,1706,1138,458,115,55,300,4676,386,329,1611,1086,420,140,72,305,4350,257,238,1050,926,417,140,99,241,3371,185,154,723,663,438,186,158,269,2774,133,128,546,525,330,158,171,257,2248,220,247,638,586,399,208,219,476,2996,20564,7396,17080,10665,4445,1471,1118,5184,67932
UCL211001,954,14,0,0,0,0,0,129,1095,779,121,60,17,0,0,0,100,1080,649,253,215,76,22,9,0,96,1318,324,276,386,161,41,15,9,93,1305,180,165,371,208,83,22,25,70,1134,128,139,387,260,83,26,16,60,1097,119,141,421,252,91,25,28,73,1151,105,105,436,272,97,28,25,62,1134,124,102,410,274,121,51,17,78,1178,81,93,366,281,115,26,16,74,1041,69,73,324,239,122,33,13,61,938,48,37,197,213,90,27,31,46,699,35,27,103,114,108,45,36,58,529,19,21,59,80,71,30,38,40,356,38,31,84,78,47,36,34,27,374,3658,1601,3841,2529,1082,370,298,1054,14428
UCL211002,2598,42,5,0,0,0,0,336,2989,2871,270,128,23,8,0,6,343,3652,1893,558,408,150,34,5,10,231,3294,950,623,849,301,98,26,16,220,3074,560,445,991,532,182,37,26,175,2946,462,395,1037,602,233,67,44,173,3007,420,380,1104,638,231,79,62,197,3108,412,343,1060,673,277,67,51,187,3079,403,293,968,742,265,79,52,196,3000,330,251,950,696,280,76,48,201,2818,250,176,895,694,334,108,64,207,2727,188,127,572,500,296,122,96,179,2073,141,84,366,392,276,115,117,176,1672,96,66,226,248,222,129,150,158,1297,144,97,305,302,220,125,163,205,1560,11720,4145,9861,6491,2963,1055,891,3180,40309
UCL211003,2513,34,9,0,0,0,0,374,2930,2739,305,135,37,3,3,3,294,3526,1843,576,403,157,44,15,9,242,3287,910,624,814,359,106,31,19,212,3070,506,426,913,537,170,65,34,181,2836,367,373,1003,627,249,68,44,174,2919,390,350,975,620,246,75,46,185,2893,365,318,956,687,296,88,52,190,2949,333,299,994,775,335,89,59,187,3069,255,207,957,714,317,81,57,210,2791,215,188,872,706,295,104,49,191,2621,168,104,516,540,286,96,78,170,1960,118,91,349,405,278,117,113,187,1657,87,62,212,238,202,99,118,179,1210,116,111,284,312,209,118,147,331,1619,10936,4070,9405,6721,3037,1040,835,3303,39339
UCL211004,1395,23,0,0,0,0,0,237,1651,1295,236,116,21,0,0,0,194,1865,990,440,382,143,47,5,6,205,2215,581,517,633,249,97,41,18,172,2307,328,338,583,336,138,52,57,138,1971,247,251,598,344,158,57,57,120,1837,225,207,543,357,153,69,67,108,1724,155,168,515,359,139,62,27,116,1539,118,134,571,414,175,48,28,102,1580,99,137,569,454,152,53,22,126,1618,74,96,441,340,166,40,36,116,1303,34,67,226,203,95,47,32,69,777,27,23,91,109,83,38,36,49,463,15,15,69,69,52,27,36,43,328,8,23,67,76,46,27,39,42,336,5595,2663,5411,3476,1502,584,463,1831,21526
UCL212001,855,25,3,0,0,0,0,153,1030,787,118,49,11,3,0,3,138,1111,642,227,155,81,20,6,4,121,1259,301,205,267,144,56,19,9,104,1094,173,128,328,180,69,14,23,56,979,150,120,340,211,90,24,25,77,1040,120,119,350,245,108,28,33,90,1097,127,82,360,227,91,29,29,70,1013,123,105,360,234,113,26,29,99,1092,96,81,318,251,99,31,10,90,982,69,78,340,272,116,33,22,105,1041,51,30,208,191,113,48,29,95,767,40,36,110,154,126,60,46,98,666,22,15,87,105,103,65,46,107,553,24,36,88,101,83,35,38,171,578,3593,1414,3378,2401,1178,410,338,1568,14289
UCL212002,1276,36,3,0,0,0,0,214,1524,980,167,88,14,3,0,0,137,1392,818,291,196,84,28,5,4,167,1593,417,302,412,189,82,27,14,125,1567,200,206,457,267,111,46,30,105,1425,174,172,495,313,102,45,69,107,1480,160,144,531,336,126,44,40,108,1487,159,147,481,359,132,45,40,126,1488,133,113,461,351,166,48,33,119,1422,108,97,445,342,175,38,24,126,1360,87,76,405,339,168,35,31,126,1268,49,54,228,260,162,54,35,119,963,31,35,155,208,114,66,62,98,775,20,30,106,154,114,61,68,76,640,53,33,134,147,116,67,68,136,754,4664,1898,4606,3372,1592,580,533,1890,19135
UCL212003,1034,3,0,0,0,0,0,129,1162,973,70,26,6,0,0,0,81,1159,672,198,133,30,15,0,0,51,1097,334,256,313,121,22,3,4,57,1110,172,208,463,191,47,13,7,62,1166,164,189,455,264,88,24,4,65,1250,169,154,544,292,86,31,13,51,1334,127,148,520,332,96,22,9,56,1318,125,107,442,297,111,17,12,59,1177,104,92,385,256,111,29,10,46,1025,51,61,308,219,103,22,7,46,826,40,55,205,138,81,20,13,50,598,40,26,95,118,73,18,20,35,426,12,20,82,68,60,29,21,27,323,20,24,99,87,56,28,29,36,384,4037,1619,4076,2419,943,252,153,855,14364
UCL212004,614,8,0,0,0,0,0,98,723,626,86,38,3,0,0,0,87,842,499,163,123,27,7,3,0,77,908,282,180,282,107,30,7,12,65,968,126,138,293,130,59,16,10,57,835,93,97,292,182,53,11,8,58,792,86,86,281,185,64,12,12,48,771,98,84,284,226,76,28,7,74,871,78,80,306,217,93,17,8,66,859,70,50,254,182,77,24,13,71,741,40,51,254,183,81,22,14,69,714,29,27,149,148,72,34,24,57,543,24,26,109,121,77,33,20,55,463,15,15,63,76,60,30,34,58,359,15,22,77,59,50,36,35,115,401,2675,1111,2809,1849,805,276,189,1063,10785
