UCL_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
UCL201001,373438,744688,7120,40702,49811,232013,9502,43364,287045,1102060,353482,1418139,31260,132339,49543,174299,91407,295250,172206,601888,525687,2020024,1979,9516,11407,40601,4188,15041,52399,139383,69974,204541,8810,28388,20328,46737,63657,139463,92789,214584,162762,419126,22218,47228,1084106,3231067
UCL203001,15148,30036,212,1174,1570,7218,315,1428,9218,35659,11308,45483,888,3677,1486,5039,2940,9177,5317,17890,16625,63376,96,451,542,1946,241,832,2806,7452,3687,10683,336,1086,859,1866,2695,5775,3890,8729,7579,19407,677,1405,40024,114228
UCL211001,3561,7018,64,352,372,1743,80,384,2169,8429,2689,10907,173,692,274,878,544,1670,986,3239,3675,14148,22,93,143,526,74,255,863,2374,1099,3250,55,178,183,404,495,1020,735,1602,1835,4849,125,252,9188,26270
UCL211002,8950,17692,117,666,962,4443,206,918,5438,21270,6720,27300,459,1909,749,2441,1448,4540,2654,8891,9367,36187,59,268,329,1205,183,635,1956,5289,2527,7398,201,638,488,1085,1425,3015,2121,4733,4644,12132,384,787,23344,66799
UCL211003,9127,18095,163,890,935,4382,228,1043,5334,21037,6652,27359,404,1663,768,2545,1517,4738,2688,8945,9345,36306,58,292,384,1382,154,547,1965,5261,2566,7478,200,603,460,999,1429,3006,2078,4611,4646,12085,421,868,23536,67350
UCL211004,4252,8551,165,1007,557,2811,220,1043,3534,14029,4480,18893,299,1288,348,1165,1260,4098,1906,6550,6378,25437,71,387,228,892,138,530,1405,4150,1846,5959,157,517,221,516,1073,2405,1454,3440,3297,9402,228,471,14154,43861
UCL212001,3459,6878,65,363,343,1592,106,479,1693,6648,2204,9088,133,535,242,766,481,1492,852,2797,3058,11884,34,150,134,482,57,209,781,2189,1012,3022,65,211,148,328,525,1129,741,1663,1754,4688,139,291,8408,23737
UCL212002,4319,8583,106,610,594,2904,124,582,2631,10387,3450,14484,196,845,368,1196,750,2370,1315,4417,4768,18896,38,191,193,715,78,280,962,2672,1269,3857,90,290,223,482,699,1522,1014,2291,2284,6146,155,338,11528,33964
UCL212003,3031,6038,88,475,418,1907,122,553,2318,9052,2942,11987,349,1508,377,1339,947,3051,1680,5898,4619,17892,15,64,123,432,60,200,562,1469,754,2161,95,297,165,361,610,1341,867,1996,1622,4159,134,281,9415,28370
UCL212004,2574,5071,34,184,247,1144,61,256,1555,6106,1893,7689,109,446,217,692,425,1321,748,2456,2643,10145,18,68,100,384,44,150,530,1414,688,2009,41,132,134,287,324,669,500,1084,1193,3095,75,161,6484,18474
UCL212005,3158,6255,58,306,301,1364,77,351,1635,6503,2071,8517,183,746,242,779,556,1745,976,3268,3046,11789,25,98,110,388,40,151,557,1495,727,2133,58,195,153,332,421,899,635,1420,1369,3558,116,240,7689,21842
UCL213001,1609,3215,34,204,195,928,68,329,1119,4435,1429,5899,117,480,180,621,396,1287,692,2391,2122,8288,10,39,64,232,24,103,336,967,434,1340,41,133,82,184,309,658,430,974,869,2312,51,101,4645,13913
UCL213002,1407,2776,12,78,107,495,25,127,640,2495,790,3193,43,193,73,234,202,620,321,1054,1110,4249,5,35,62,208,25,75,257,730,350,1048,32,103,56,116,205,426,292,651,641,1699,49,100,3204,8828
UCL213003,1180,2350,19,100,122,580,32,139,614,2498,779,3318,46,200,83,256,222,686,349,1136,1132,4453,14,68,36,123,18,59,235,646,296,899,23,69,46,89,180,374,243,530,543,1427,54,115,2906,8352
UCL213004,1304,2598,20,123,117,560,40,162,733,2936,905,3784,43,186,105,341,204,641,353,1170,1258,4954,15,70,31,111,22,70,206,584,271,829,30,92,55,127,167,355,252,570,519,1401,29,58,3108,9012
UCL213005,1556,3071,25,129,126,588,33,155,690,2732,873,3611,74,307,121,409,291,900,487,1610,1359,5229,7,34,44,154,13,56,216,583,279,832,21,62,66,145,192,406,273,614,558,1445,31,67,3504,9804
UCL213006,1456,2869,21,117,134,615,39,176,641,2563,833,3477,50,205,107,371,215,645,372,1217,1208,4693,7,27,37,152,24,83,260,692,328,954,27,73,55,108,178,386,259,569,588,1524,41,73,3287,9160
UCL213007,1748,3444,29,138,132,593,41,160,912,3618,1106,4519,72,300,118,368,244,742,435,1407,1545,5922,4,21,50,173,21,72,338,917,414,1185,18,54,62,143,204,425,284,616,697,1802,69,136,4061,11310
UCL213008,1257,2480,31,161,173,771,41,168,1024,3955,1260,5058,108,451,147,498,286,914,544,1865,1804,6921,9,43,49,190,22,72,226,589,306,893,36,119,52,112,187,416,270,646,577,1542,43,93,3681,11040
UCL213009,1265,2508,22,114,143,644,22,112,870,3329,1054,4201,71,304,129,435,247,766,450,1505,1505,5704,10,38,45,155,17,55,215,595,276,838,21,68,72,160,152,327,243,557,526,1396,30,66,3322,9669
UCL213010,1545,3056,26,137,124,574,36,167,598,2327,788,3199,60,241,104,355,308,956,480,1547,1264,4750,19,83,68,237,29,105,417,1115,538,1542,41,136,73,148,323,665,432,955,973,2496,54,109,3832,10411
UCL213011,1332,2642,13,70,86,402,22,113,514,2026,633,2610,60,230,77,249,265,812,401,1296,1032,3907,11,35,46,195,43,165,404,1137,502,1533,20,64,63,139,274,590,363,792,866,2323,52,105,3280,8984
UCL213012,1908,3733,27,120,208,951,37,169,1365,5423,1632,6666,112,446,212,704,324,996,645,2153,2281,8812,6,46,50,167,15,50,267,685,339,941,33,103,65,143,201,409,304,651,647,1598,42,85,4873,14229
UCL213013,1089,2167,16,71,88,406,20,87,530,2034,647,2596,36,137,82,248,157,484,269,867,917,3467,5,24,29,103,18,59,201,526,255,706,13,33,61,138,174,372,246,544,501,1253,32,64,2541,6947
UCL213014,1409,2745,16,79,134,596,25,125,810,3133,980,3938,46,178,113,366,205,609,362,1144,1344,5087,5,32,55,187,20,84,246,672,329,978,16,61,83,167,180,366,279,592,602,1569,49,99,3408,9506
UCL213015,1045,2077,9,69,118,569,28,130,553,2166,709,2931,49,193,80,243,166,526,295,965,999,3892,3,18,44,154,13,42,205,579,262,798,22,61,40,91,123,260,187,413,453,1209,50,103,2545,7290
UCL213016,1674,3273,24,139,239,1089,28,98,1469,5805,1760,7132,95,392,196,665,239,728,529,1787,2292,8920,3,20,49,156,4,23,183,495,241,690,22,57,64,138,155,297,238,495,470,1184,37,72,4471,13452
UCL213017,2028,4002,29,158,164,777,52,235,1018,3997,1265,5162,73,295,137,462,268,827,487,1579,1755,6742,12,67,68,231,31,110,394,1052,502,1463,30,95,81,180,284,607,402,887,907,2342,77,156,4759,13243
UCL213018,1601,3171,26,159,160,760,39,189,758,3032,991,4146,88,383,136,455,237,752,467,1586,1456,5731,17,66,48,163,11,50,268,712,341,987,32,103,83,181,199,413,311,701,655,1690,42,92,3752,10679
UCL214001,815,1619,8,56,60,279,17,92,320,1256,411,1676,33,141,35,121,113,357,190,616,600,2298,3,7,15,59,15,52,136,380,170,502,10,22,44,88,111,234,161,348,330,853,36,70,1776,4837
UCL214002,1180,2311,10,50,73,327,17,65,372,1460,463,1905,28,105,63,203,147,459,241,777,701,2677,3,15,45,163,10,46,216,596,277,816,11,35,53,110,141,289,208,429,486,1251,43,78,2407,6316
UCL214003,1004,1978,13,49,77,363,21,97,483,1865,592,2382,34,140,59,192,133,405,233,740,828,3120,0,11,35,99,11,24,191,477,231,616,15,56,70,145,141,296,225,494,460,1110,43,84,2331,6285
UCL214004,629,1245,4,42,58,274,11,48,253,1000,323,1362,16,78,28,90,80,260,132,424,458,1784,3,14,23,90,18,50,101,286,151,442,7,31,19,47,68,151,99,233,249,676,13,25,1346,3727
UCL214005,125,250,4,29,8,49,6,18,58,223,81,316,5,17,10,40,18,70,34,120,111,438,0,10,4,22,0,0,15,26,18,66,3,12,4,10,6,8,13,34,37,100,3,5,280,794
UCL214006,861,1692,25,124,143,660,22,111,846,3400,1037,4296,66,269,136,461,181,571,385,1299,1423,5599,10,39,37,108,7,30,106,286,156,460,26,95,46,105,93,192,166,390,317,845,17,34,2615,8164
UCL214007,1052,2062,11,72,88,398,20,97,463,1808,585,2375,42,173,49,165,149,459,243,791,827,3164,6,23,27,86,11,39,148,401,191,552,19,49,40,84,121,248,177,389,366,939,19,44,2266,6213
UCL214008,908,1802,18,88,78,361,26,122,481,1870,601,2435,48,202,74,233,194,610,318,1055,922,3490,12,38,27,109,19,72,160,414,215,636,17,47,31,73,159,340,208,460,428,1094,16,26,2275,6417
UCL214009,718,1410,0,5,51,217,12,35,267,1073,327,1330,13,47,32,100,45,135,89,284,412,1617,3,10,22,72,5,23,67,193,98,291,4,15,14,24,64,114,80,156,175,453,17,41,1327,3523
UCL214010,609,1221,13,62,102,495,28,115,438,1761,583,2423,31,133,57,207,147,477,239,819,821,3248,5,32,29,101,15,53,117,307,163,491,11,45,31,78,89,181,136,298,302,787,27,55,1757,5308
UCL214011,669,1331,7,36,59,267,11,59,294,1161,373,1528,18,88,56,176,117,351,193,612,565,2138,3,17,23,91,6,25,112,292,149,423,13,46,21,48,86,187,127,285,271,710,19,41,1529,4217
UCL214012,790,1553,4,30,44,197,9,36,241,945,299,1207,18,72,39,132,112,330,169,538,470,1742,3,11,17,56,6,29,112,300,143,400,6,16,24,47,83,181,116,241,252,640,12,22,1525,3958
UCL214013,582,1146,3,30,59,268,16,63,303,1230,376,1581,19,85,37,125,59,190,119,403,498,1985,3,9,11,42,9,25,97,252,120,328,3,10,36,81,54,112,99,204,218,535,12,24,1308,3693
UCL214014,883,1767,14,77,58,277,16,53,282,1125,367,1529,26,110,43,142,118,363,191,614,556,2149,0,15,25,80,15,57,190,531,228,688,14,48,43,104,148,312,210,461,433,1150,20,39,1894,5109
UCL214015,1103,2181,6,36,41,186,14,65,238,957,299,1244,16,54,25,95,131,392,173,539,472,1775,4,15,7,27,5,31,100,271,118,342,10,40,28,54,97,193,131,291,254,637,24,44,1849,4639
UCL214016,564,1111,8,40,54,242,18,79,203,789,282,1145,17,76,34,116,122,374,175,563,456,1711,3,12,20,82,16,61,151,406,191,562,22,66,41,87,129,277,195,433,382,991,29,59,1429,3871
UCL214017,661,1308,7,50,44,200,10,48,241,943,308,1240,20,63,40,125,88,282,147,469,453,1710,3,12,13,49,9,33,101,257,126,346,6,19,21,50,78,174,104,246,228,593,26,55,1376,3667
UCL214018,664,1330,30,165,132,625,42,190,596,2361,799,3345,85,368,87,279,211,686,383,1338,1183,4682,12,54,32,103,22,65,156,469,218,684,11,39,35,88,117,249,166,383,385,1065,16,38,2251,7118
UCL214019,849,1684,20,95,57,269,21,93,354,1402,445,1861,36,151,54,179,128,392,217,726,668,2583,6,27,32,116,22,69,168,462,221,675,19,63,42,96,142,287,206,449,428,1124,28,56,1972,5440
UCL214020,1015,2029,11,54,51,232,25,106,384,1568,466,1961,27,94,55,168,107,330,185,600,656,2556,10,38,16,51,16,56,149,401,184,540,6,23,13,30,96,195,121,249,304,790,15,33,1995,5411
UCL215001,162,315,0,4,16,51,0,12,46,171,62,245,5,24,13,41,16,45,31,112,92,355,0,0,3,12,0,0,14,34,20,46,0,3,14,27,11,18,22,42,39,93,0,3,298,768
UCL215002,295,596,0,4,16,62,5,20,140,529,155,621,7,29,15,50,44,144,69,213,222,839,0,0,3,16,0,0,26,69,30,91,0,5,6,12,33,70,44,92,78,184,3,7,602,1627
UCL215003,334,655,3,11,32,142,5,25,134,522,171,701,9,27,23,68,44,137,78,232,249,935,0,0,3,14,0,3,27,57,32,76,3,13,8,23,32,54,45,86,75,160,3,9,656,1758
