UCL_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
UCL201001,478541,26591,13013,5470,493,234,1349,525687
UCL203001,14748,1081,593,97,18,10,74,16625
UCL211001,3087,306,240,21,0,0,12,3675
UCL211002,8110,688,450,69,13,0,42,9367
UCL211003,8062,699,460,55,17,5,54,9345
UCL211004,5398,486,346,91,18,11,38,6378
UCL212001,2574,262,153,39,10,5,24,3058
UCL212002,4152,306,211,56,8,3,27,4768
UCL212003,4047,328,195,29,8,4,19,4619
UCL212004,2255,234,119,19,5,0,18,2643
UCL212005,2684,187,130,17,3,0,18,3046
UCL213001,1782,172,131,18,4,0,13,2122
UCL213002,941,89,56,8,5,3,11,1110
UCL213003,977,87,48,14,0,0,3,1132
UCL213004,1065,107,71,6,0,0,9,1258
UCL213005,1169,111,61,5,0,0,9,1359
UCL213006,1028,106,56,9,0,0,5,1208
UCL213007,1303,110,109,8,3,0,16,1545
UCL213008,1534,157,88,11,4,0,12,1804
UCL213009,1275,140,72,5,0,0,6,1505
UCL213010,1046,112,85,12,0,0,6,1264
UCL213011,841,85,69,13,4,3,15,1032
UCL213012,2057,143,63,11,0,0,10,2281
UCL213013,770,80,57,3,0,0,6,917
UCL213014,1156,104,70,6,0,0,4,1344
UCL213015,872,67,39,16,0,0,3,999
UCL213016,2095,111,71,3,0,0,5,2292
UCL213017,1504,123,88,20,3,0,17,1755
UCL213018,1268,91,75,9,3,0,13,1456
UCL214001,487,45,44,6,0,0,7,600
UCL214002,595,65,36,3,0,0,0,701
UCL214003,728,57,30,8,0,0,3,828
UCL214004,399,22,30,0,0,0,3,458
UCL214005,90,11,9,0,0,0,3,111
UCL214006,1305,59,47,3,0,0,3,1423
UCL214007,726,44,36,8,0,0,7,827
UCL214008,777,82,55,9,0,0,0,922
UCL214009,372,17,19,7,0,0,0,412
UCL214010,704,76,26,4,0,0,8,821
UCL214011,494,41,25,0,0,0,0,565
UCL214012,398,41,14,0,0,0,10,470
UCL214013,427,36,21,0,0,0,3,498
UCL214014,463,47,32,3,3,0,7,556
UCL214015,398,41,10,6,3,0,3,472
UCL214016,386,34,19,3,0,0,8,456
UCL214017,389,35,23,3,0,0,5,453
UCL214018,1000,94,63,16,0,0,9,1183
UCL214019,558,52,48,5,0,0,3,668
UCL214020,565,48,35,3,0,0,0,656
UCL215001,89,4,0,0,0,0,0,92
UCL215002,193,24,15,0,0,0,0,222
UCL215003,226,15,4,0,0,0,0,249
UCL215004,90,3,6,0,0,0,0,102
UCL215005,219,14,12,5,0,0,0,249
UCL215006,245,15,9,0,0,0,0,270
UCL215007,658,44,28,0,0,0,4,737
UCL215008,234,20,13,3,0,0,0,268
UCL215009,62,0,0,0,0,0,3,68
UCL215010,326,14,14,0,0,0,0,355
UCL215011,69,3,3,3,0,0,0,76
UCL215012,227,27,4,0,0,0,0,260
UCL215013,260,16,17,3,0,0,0,294
UCL215014,132,20,9,3,0,0,4,167
UCL215015,172,14,11,0,0,0,0,193
UCL215016,351,37,26,4,0,0,4,420
UCL215017,211,18,10,0,0,0,6,247
UCL215018,216,18,13,3,0,0,0,251
UCL215019,177,9,7,0,0,0,0,195
UCL215020,71,0,8,0,0,0,3,84
UCL215021,106,12,7,3,0,0,3,134
