UCL_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
UCL201001,9104,3414,4764,1129,18419,3539,1227,1822,444,7040,2857,2209,4930,576,10569,1726,1508,5306,260,8800,15122,4991,8239,882,29233,8195,7175,13217,886,29472,39253,12160,14449,1607,67473,23882,19576,16374,2106,61931,30375,31246,17722,2554,81899,28846,35444,13650,2260,80206,19660,35353,10751,1508,67268,21864,36205,8308,1446,67819,46376,75082,11894,2384,135735,31666,56176,5017,1299,94154,19288,38123,2188,681,60283,13161,29396,2604,318,45475,27548,73968,2553,536,104597,23688,56952,15502,917,97057,7298,5488,3467,419,16673,373438,525687,162762,22218,1084106
UCL203001,182,55,106,13,349,98,39,68,3,205,103,47,222,15,388,53,37,276,13,374,742,148,517,33,1439,371,204,868,27,1472,2099,422,851,64,3435,1252,617,870,90,2827,1472,1064,879,88,3503,1370,1261,605,86,3322,833,1308,443,46,2631,926,1366,322,47,2664,1806,2712,385,59,4964,1114,1852,133,26,3119,543,1216,51,10,1821,315,713,66,3,1099,594,1521,57,9,2180,942,1852,669,33,3489,350,183,192,14,734,15148,16625,7579,677,40024
UCL211001,28,7,15,0,55,27,0,17,0,44,12,4,51,4,74,7,7,97,0,108,132,24,136,3,299,85,37,220,4,345,466,61,214,17,755,295,145,211,12,667,376,247,216,17,855,362,358,163,16,897,249,334,106,4,693,244,350,62,4,656,482,634,91,8,1217,239,451,28,9,722,115,252,3,0,371,38,121,5,0,166,70,180,5,0,252,247,430,161,15,848,84,33,37,3,155,3561,3675,1835,125,9188
UCL211002,94,26,54,5,184,56,15,19,9,102,57,23,117,4,197,43,17,187,0,245,368,56,378,32,827,234,101,582,22,946,1366,219,627,40,2247,767,407,564,42,1771,909,679,487,54,2138,867,845,361,41,2106,576,847,241,31,1701,571,799,173,19,1560,1052,1515,180,36,2781,567,1014,57,12,1653,279,645,24,3,951,151,341,38,3,527,290,709,29,4,1028,514,1010,407,17,1946,191,98,117,9,417,8950,9367,4644,384,23344
UCL211003,72,21,49,4,157,62,4,37,11,121,48,11,129,9,196,20,8,186,3,219,366,90,292,23,770,225,87,581,21,915,1330,215,619,58,2224,817,439,596,44,1891,1015,688,525,63,2297,972,899,367,40,2278,555,868,258,31,1709,556,837,155,24,1572,1057,1524,198,32,2805,568,1075,59,13,1717,309,600,13,5,932,136,346,27,0,508,262,562,25,3,858,551,981,420,19,1971,209,80,90,10,391,9127,9345,4646,421,23536
UCL211004,70,55,89,3,212,25,19,32,0,76,33,24,100,10,169,6,13,153,0,177,187,71,225,11,497,113,106,409,16,639,639,198,363,19,1232,322,322,381,19,1046,424,567,356,31,1368,433,665,257,20,1382,279,632,158,15,1087,311,591,135,24,1055,529,1013,166,28,1736,245,584,60,10,902,125,313,30,0,471,58,182,22,0,259,62,250,16,0,327,266,675,260,13,1213,117,101,86,8,310,4252,6378,3297,228,14154
UCL212001,49,19,16,3,83,24,7,16,0,50,18,16,62,0,91,14,7,85,0,110,161,40,146,8,356,88,60,225,9,377,600,101,242,20,959,288,155,240,18,709,356,257,162,18,800,366,297,116,19,798,177,286,91,10,553,210,274,50,3,536,370,439,46,10,868,172,292,22,4,491,90,161,8,3,258,40,69,10,0,118,77,148,9,0,237,227,393,148,12,779,127,39,63,0,228,3459,3058,1754,139,8408
UCL212002,63,33,42,3,138,30,10,11,0,53,25,28,55,3,115,14,16,97,0,130,202,96,178,9,482,124,99,276,10,502,675,146,285,18,1133,332,238,283,17,867,466,392,270,15,1135,409,417,190,13,1025,255,415,99,13,783,287,402,77,10,768,469,714,94,16,1288,305,476,38,3,815,120,249,8,0,376,50,149,12,0,215,118,271,10,0,396,259,557,196,13,1024,118,63,69,10,267,4319,4768,2284,155,11528
UCL212003,40,17,18,3,82,21,6,11,0,38,17,10,44,3,73,9,5,45,0,64,118,16,86,6,217,63,31,153,3,249,327,60,160,14,566,213,143,177,9,545,306,216,168,24,706,271,314,156,14,755,189,367,98,15,673,220,405,79,10,714,439,834,130,14,1406,290,589,62,3,946,117,406,26,5,552,83,244,16,3,346,83,442,14,3,542,167,460,161,4,792,66,49,28,3,147,3031,4619,1622,134,9415
UCL212004,22,4,6,0,30,14,3,8,0,28,11,11,36,3,53,12,5,51,0,70,93,17,94,3,209,68,20,181,4,278,350,60,149,3,554,209,86,126,8,425,211,147,133,7,498,254,183,62,6,506,140,213,70,3,427,149,217,57,10,432,314,471,47,12,849,198,320,26,3,550,117,191,4,0,317,63,121,13,0,193,122,235,6,0,361,164,315,100,9,582,54,36,24,0,108,2574,2643,1193,75,6484
