UCL_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
UCL201001,1665995,1769632,3435626,776867,456627,1233494,223984,426019,649999,43831,52947,96783,75156,70411,145571,1119843,1006001,2125846,447271,660386,1107654,6.7,7,6.8,67.2,56.8,61.9,62.7,52.9,57.6,114480,114061,228537,32213,57799,90018,297807,356097,653905,143672,181553,325230,286141,136877,423020,9968,16827,26793,21417,33299,54715,317520,187003,504523,1561466,1632986,3194450,311766,324761,636531,1017526,1073172,2090698,778360,810395,1588758
UCL203001,61294,67932,129222,26055,14051,40106,8063,17958,26022,1753,2247,4002,2841,2376,5211,38704,36638,75345,18763,27051,45814,7.3,6.5,6.9,63.1,53.9,58.3,58.5,50.4,54.3,2269,2182,4452,979,1994,2971,7403,10215,17620,4866,6936,11798,14455,7871,22327,516,887,1404,836,1281,2117,15808,10038,25843,57098,61373,118467,11555,12568,24118,37738,40883,78621,27937,30371,58304
UCL211001,13481,14428,27901,6424,3334,9757,1533,3791,5327,387,501,885,544,557,1103,8887,8181,17068,3702,5344,9045,6.1,6.8,6.5,65.9,56.7,61.2,61.9,52.9,57.2,239,300,537,186,358,547,919,1592,2511,1096,1544,2639,3789,2251,6039,137,309,438,207,368,580,4131,2923,7059,12577,13165,25745,2919,3102,6013,7788,8212,16006,6920,7291,14211
UCL211002,35699,40309,76000,15014,8191,23207,4613,10591,15206,963,1367,2324,1752,1501,3251,22341,21650,43987,11070,16108,27181,7.8,6.9,7.4,62.6,53.7,57.9,57.7,50,53.6,1221,1297,2517,724,1361,2085,3944,5846,9786,2623,3787,6406,8552,4820,13373,318,672,985,462,706,1171,9331,6198,15532,33345,36422,69766,7126,7924,15048,20860,22848,43708,17748,19732,37478
UCL211003,35242,39339,74584,14935,8128,23059,4582,10499,15080,1052,1402,2449,1570,1325,2898,22138,21348,43492,10647,15290,25936,7.1,6.2,6.7,62.8,54.3,58.3,58.4,50.9,54.4,870,1007,1875,620,1262,1883,3347,5349,8700,2461,3568,6028,9199,4928,14124,354,626,979,481,859,1347,10031,6409,16449,33611,35902,69514,6449,7350,13801,21477,22805,44281,16516,18589,35108
UCL211004,20247,21526,41769,9302,4759,14064,2107,4619,6725,628,639,1268,1143,1120,2261,13182,11138,24320,5661,8906,14574,8.7,10.1,9.3,65.1,51.7,58.2,59.5,46.5,52.8,373,345,715,129,295,422,1128,1815,2948,1376,2091,3462,5264,3061,8327,212,381,594,353,527,879,5835,3967,9799,20178,20949,41128,3690,3957,7648,12973,13168,26140,9348,10191,19541
UCL212001,12885,14289,27176,5053,3069,8122,1382,3143,4521,348,406,748,685,544,1236,7466,7162,14635,4213,5877,10091,9.2,7.6,8.4,57.9,50.1,53.9,52.6,46.3,49.3,159,200,355,118,272,393,864,1450,2314,747,1205,1952,2871,1679,4558,153,258,410,183,257,442,3212,2199,5406,11584,12661,24244,2553,2701,5253,7351,8045,15398,6095,6638,12732
UCL212002,17671,19135,36801,7271,4096,11365,1939,4429,6368,540,600,1141,833,635,1470,10580,9758,20338,5582,7782,13363,7.9,6.5,7.2,59.9,51,55.3,55.2,47.7,51.3,356,351,709,234,475,717,1187,2013,3198,1064,1757,2816,3974,2202,6175,139,293,430,202,331,536,4312,2822,7136,16856,17633,34489,3084,3367,6448,11239,11798,23041,7691,8257,15952
UCL212003,13269,14364,27628,6927,3672,10594,1545,4089,5631,338,479,812,593,570,1158,9401,8796,18193,3208,4878,8087,6.3,6.5,6.4,70.8,61.2,65.8,66.4,57.4,61.7,280,296,575,179,424,604,1151,1802,2955,1144,1664,2808,4040,1834,5875,109,218,326,221,341,558,4372,2388,6758,13537,14281,27816,1826,1967,3788,9730,10137,19869,5008,5547,10559
UCL212004,9695,10785,20483,4468,2250,6721,982,2824,3810,313,361,677,509,399,907,6275,5839,12116,2631,4002,6633,8.1,6.8,7.5,64.7,54.1,59.2,59.4,50.4,54.7,211,205,414,107,265,371,787,1240,2031,648,1016,1664,2979,1426,4410,83,151,234,142,207,348,3206,1780,4993,9300,9957,19258,1572,1750,3324,6327,6705,13027,4065,4560,8620
UCL212005,11862,13398,25264,5105,2718,7822,1671,3774,5449,372,466,838,414,390,801,7557,7344,14906,3431,5036,8471,5.5,5.3,5.4,63.7,54.8,59,60.3,51.9,55.8,232,281,515,176,379,555,1106,1765,2872,773,1286,2065,2922,1617,4543,93,225,320,150,257,404,3165,2097,5262,11029,12111,23141,2112,2316,4427,7417,8136,15550,5194,5790,10988
