UCL_CODE_2016,D_15_17_FPEAW_MPEFT,D_15_17_FPEAW_MPEPT,D_15_17_FPEAW_MPEAW,D_15_17_FPEAW_MPEHNS,D_15_17_FPEAW_MPET,D_15_17_FPEAW_MPULFTW,D_15_17_FPEAW_MPULPTW,D_15_17_FPEAW_MPUT,D_15_17_FPEAW_MPTLF,D_15_17_FPEAW_MPNLF,D_15_17_FPEAW_MPLFSNS,D_15_17_FPEAW_T,D_15_17_FPHNS_MPEFT,D_15_17_FPHNS_MPEPT,D_15_17_FPHNS_MPEAW,D_15_17_FPHNS_MPEHNS,D_15_17_FPHNS_MPET,D_15_17_FPHNS_MPULFTW,D_15_17_FPHNS_MPULPTW,D_15_17_FPHNS_MPUT,D_15_17_FPHNS_MPTLF,D_15_17_FPHNS_MPNLF,D_15_17_FPHNS_MPLFSNS,D_15_17_FPHNS_T,D_15_17_FPET_MPEFT,D_15_17_FPET_MPEPT,D_15_17_FPET_MPEAW,D_15_17_FPET_MPEHNS,D_15_17_FPET_MPET,D_15_17_FPET_MPULFTW,D_15_17_FPET_MPULPTW,D_15_17_FPET_MPUT,D_15_17_FPET_MPTLF,D_15_17_FPET_MPNLF,D_15_17_FPET_MPLFSNS,D_15_17_FPET_T,D_15_17_FPULFTW_MPEFT,D_15_17_FPULFTW_MPEPT,D_15_17_FPULFTW_MPEAW,D_15_17_FPULFTW_MPEHNS,D_15_17_FPULFTW_MPET,D_15_17_FPULFTW_MPULFTW,D_15_17_FPULFTW_MPULPTW,D_15_17_FPULFTW_MPUT,D_15_17_FPULFTW_MPTLF,D_15_17_FPULFTW_MPNLF,D_15_17_FPULFTW_MPLFSNS,D_15_17_FPULFTW_T,D_15_17_FPULPTW_MPEFT,D_15_17_FPULPTW_MPEPT,D_15_17_FPULPTW_MPEAW,D_15_17_FPULPTW_MPEHNS,D_15_17_FPULPTW_MPET,D_15_17_FPULPTW_MPULFTW,D_15_17_FPULPTW_MPULPTW,D_15_17_FPULPTW_MPUT,D_15_17_FPULPTW_MPTLF,D_15_17_FPULPTW_MPNLF,D_15_17_FPULPTW_MPLFSNS,D_15_17_FPULPTW_T,D_15_17_FPUT_MPEFT,D_15_17_FPUT_MPEPT,D_15_17_FPUT_MPEAW,D_15_17_FPUT_MPEHNS,D_15_17_FPUT_MPET,D_15_17_FPUT_MPULFTW,D_15_17_FPUT_MPULPTW,D_15_17_FPUT_MPUT,D_15_17_FPUT_MPTLF,D_15_17_FPUT_MPNLF,D_15_17_FPUT_MPLFSNS,D_15_17_FPUT_T,D_15_17_FPTLF_MPEFT,D_15_17_FPTLF_MPEPT,D_15_17_FPTLF_MPEAW,D_15_17_FPTLF_MPEHNS,D_15_17_FPTLF_MPET,D_15_17_FPTLF_MPULFTW,D_15_17_FPTLF_MPULPTW,D_15_17_FPTLF_MPUT,D_15_17_FPTLF_MPTLF,D_15_17_FPTLF_MPNLF,D_15_17_FPTLF_MPLFSNS,D_15_17_FPTLF_T,D_15_17_FPNLF_MPEFT,D_15_17_FPNLF_MPEPT,D_15_17_FPNLF_MPEAW,D_15_17_FPNLF_MPEHNS,D_15_17_FPNLF_MPET,D_15_17_FPNLF_MPULFTW,D_15_17_FPNLF_MPULPTW,D_15_17_FPNLF_MPUT,D_15_17_FPNLF_MPTLF,D_15_17_FPNLF_MPNLF,D_15_17_FPNLF_MPLFSNS,D_15_17_FPNLF_T,D_15_17_FPLFSNS_MPEFT,D_15_17_FPLFSNS_MPEPT,D_15_17_FPLFSNS_MPEAW,D_15_17_FPLFSNS_MPEHNS,D_15_17_FPLFSNS_MPET,D_15_17_FPLFSNS_MPULFTW,D_15_17_FPLFSNS_MPULPTW,D_15_17_FPLFSNS_MPUT,D_15_17_FPLFSNS_MPTLF,D_15_17_FPLFSNS_MPNLF,D_15_17_FPLFSNS_MPLFSNS,D_15_17_FPLFSNS_T,D_15_17_FPT_MPEFT,D_15_17_FPT_MPEPT,D_15_17_FPT_MPEAW,D_15_17_FPT_MPEHNS,D_15_17_FPT_MPET,D_15_17_FPT_MPULFTW,D_15_17_FPT_MPULPTW,D_15_17_FPT_MPUT,D_15_17_FPT_MPTLF,D_15_17_FPT_MPNLF,D_15_17_FPT_MPLFSNS,D_15_17_FPT_T,D_18_20_FPEFT_MPEFT,D_18_20_FPEFT_MPEPT,D_18_20_FPEFT_MPEAW,D_18_20_FPEFT_MPEHNS,D_18_20_FPEFT_MPET,D_18_20_FPEFT_MPULFTW,D_18_20_FPEFT_MPULPTW,D_18_20_FPEFT_MPUT,D_18_20_FPEFT_MPTLF,D_18_20_FPEFT_MPNLF,D_18_20_FPEFT_MPLFSNS,D_18_20_FPEFT_T,D_18_20_FPEPT_MPEFT,D_18_20_FPEPT_MPEPT,D_18_20_FPEPT_MPEAW,D_18_20_FPEPT_MPEHNS,D_18_20_FPEPT_MPET,D_18_20_FPEPT_MPULFTW,D_18_20_FPEPT_MPULPTW,D_18_20_FPEPT_MPUT,D_18_20_FPEPT_MPTLF,D_18_20_FPEPT_MPNLF,D_18_20_FPEPT_MPLFSNS,D_18_20_FPEPT_T,D_18_20_FPEAW_MPEFT,D_18_20_FPEAW_MPEPT,D_18_20_FPEAW_MPEAW,D_18_20_FPEAW_MPEHNS,D_18_20_FPEAW_MPET,D_18_20_FPEAW_MPULFTW,D_18_20_FPEAW_MPULPTW,D_18_20_FPEAW_MPUT,D_18_20_FPEAW_MPTLF,D_18_20_FPEAW_MPNLF,D_18_20_FPEAW_MPLFSNS,D_18_20_FPEAW_T,D_18_20_FPHNS_MPEFT,D_18_20_FPHNS_MPEPT,D_18_20_FPHNS_MPEAW,D_18_20_FPHNS_MPEHNS,D_18_20_FPHNS_MPET,D_18_20_FPHNS_MPULFTW,D_18_20_FPHNS_MPULPTW,D_18_20_FPHNS_MPUT,D_18_20_FPHNS_MPTLF,D_18_20_FPHNS_MPNLF,D_18_20_FPHNS_MPLFSNS,D_18_20_FPHNS_T,D_18_20_FPET_MPEFT,D_18_20_FPET_MPEPT,D_18_20_FPET_MPEAW,D_18_20_FPET_MPEHNS,D_18_20_FPET_MPET,D_18_20_FPET_MPULFTW,D_18_20_FPET_MPULPTW,D_18_20_FPET_MPUT,D_18_20_FPET_MPTLF,D_18_20_FPET_MPNLF,D_18_20_FPET_MPLFSNS,D_18_20_FPET_T,D_18_20_FPULFTW_MPEFT,D_18_20_FPULFTW_MPEPT,D_18_20_FPULFTW_MPEAW,D_18_20_FPULFTW_MPEHNS,D_18_20_FPULFTW_MPET,D_18_20_FPULFTW_MPULFTW,D_18_20_FPULFTW_MPULPTW,D_18_20_FPULFTW_MPUT,D_18_20_FPULFTW_MPTLF,D_18_20_FPULFTW_MPNLF,D_18_20_FPULFTW_MPLFSNS,D_18_20_FPULFTW_T,D_18_20_FPULPTW_MPEFT,D_18_20_FPULPTW_MPEPT,D_18_20_FPULPTW_MPEAW,D_18_20_FPULPTW_MPEHNS,D_18_20_FPULPTW_MPET,D_18_20_FPULPTW_MPULFTW,D_18_20_FPULPTW_MPULPTW,D_18_20_FPULPTW_MPUT
UCL201001,678,115,172,9,976,24,3,24,999,58,3,1067,358,61,7,418,843,27,5,31,881,51,24,956,52922,6560,799,895,61178,1284,268,1557,62734,3205,92,66035,715,152,10,21,898,237,18,251,1149,108,3,1266,1112,225,17,42,1390,153,76,224,1617,146,0,1760,1827,376,23,62,2285,386,95,481,2766,254,6,3026,54748,6938,822,957,63466,1671,361,2037,65498,3462,94,69058,12351,2257,214,398,15225,614,166,777,16004,4224,63,20285,90,21,0,58,164,3,0,4,173,17,170,360,67195,9214,1040,1408,78856,2289,526,2820,81677,7702,333,89703,14859,1704,165,116,16850,441,90,534,17383,1186,20,18588,15528,2443,186,145,18305,361,81,439,18743,1068,23,19828,411,92,144,10,657,16,3,16,676,51,0,724,187,24,4,278,494,15,3,23,514,47,12,567,30983,4259,502,550,36299,842,173,1010,37315,2347,52,39715,424,83,8,14,519,152,11,161,686,68,7,759,580,160,10,12,767,79,52,130
UCL203001,40,3,7,0,49,0,0,0,55,3,0,58,10,4,0,10,28,0,0,0,28,0,0,28,1906,190,31,29,2156,34,0,34,2192,106,0,2298,10,4,0,0,16,3,0,3,24,3,0,23,35,5,0,0,36,3,0,6,44,6,0,47,44,10,0,0,55,12,0,9,66,11,0,72,1953,198,31,29,2211,42,0,46,2256,118,0,2372,371,50,4,7,435,15,4,23,458,118,3,577,5,0,0,0,11,0,0,0,11,0,6,9,2329,252,35,35,2656,60,4,71,2719,235,5,2964,366,43,3,3,411,4,0,4,418,27,0,442,455,72,3,4,529,8,0,9,536,36,0,572,27,0,7,5,39,0,0,0,39,0,0,37,3,0,0,5,15,0,0,0,15,0,0,15,843,119,16,17,994,6,0,12,1004,61,3,1071,9,3,0,0,13,10,0,10,25,0,0,23,15,4,0,0,20,3,3,5
UCL211001,3,0,0,0,7,0,0,0,7,0,0,7,3,0,0,3,11,0,0,0,11,0,0,11,523,32,9,9,579,3,0,3,580,27,0,611,9,0,0,0,9,0,0,3,7,0,0,7,5,0,0,0,12,0,0,0,11,0,0,10,13,0,0,0,12,0,3,3,15,3,0,21,540,32,9,12,590,3,3,4,600,30,0,629,72,9,3,9,90,0,3,3,89,31,0,119,0,0,0,0,0,0,0,0,0,0,0,0,608,41,14,19,685,7,4,10,689,61,3,751,55,0,0,0,57,0,0,0,59,3,0,64,53,8,0,0,56,0,0,0,57,3,0,60,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,109,11,0,0,117,3,0,3,119,5,0,128,0,0,0,0,0,0,0,3,4,0,0,4,0,0,0,0,0,0,0,0
UCL211002,20,5,3,0,26,0,0,0,30,3,0,30,5,0,0,9,19,0,0,0,19,0,0,19,1164,126,20,15,1324,27,12,36,1358,69,3,1434,11,3,0,0,16,0,3,3,17,0,0,14,18,0,0,0,16,0,0,0,19,0,0,19,30,4,0,0,31,0,3,3,34,0,0,32,1193,134,20,15,1359,27,12,36,1394,69,3,1468,158,19,4,7,193,8,0,11,207,55,0,255,0,0,0,0,0,0,0,0,0,0,0,0,1349,153,23,23,1547,36,15,52,1597,121,3,1721,199,25,0,0,226,3,0,3,222,8,0,240,197,26,4,0,221,4,0,4,230,9,0,241,7,0,0,0,10,0,0,0,10,0,0,10,0,0,0,3,7,0,0,0,7,0,0,7,395,48,7,6,459,8,0,8,468,22,0,493,3,0,0,0,3,3,0,3,5,0,0,5,7,0,0,0,7,0,0,0
UCL211003,22,11,4,0,32,0,0,0,32,0,0,32,7,0,0,5,11,0,0,0,11,0,0,14,1180,160,21,12,1371,12,7,19,1393,64,5,1453,12,4,0,0,14,0,0,0,19,3,0,20,14,0,0,0,14,0,0,0,14,0,0,18,31,5,0,0,36,0,0,0,36,3,0,37,1211,159,21,12,1410,14,7,16,1426,63,5,1494,188,34,6,3,230,9,9,16,242,62,3,305,4,0,0,0,3,0,0,0,3,0,4,6,1399,194,27,15,1642,23,9,37,1676,128,5,1813,165,19,0,3,195,3,0,3,193,16,0,207,198,38,3,3,240,5,0,5,240,17,0,260,8,3,0,0,17,0,0,0,17,0,0,17,0,3,0,3,3,0,0,0,3,0,0,3,371,63,11,9,455,4,0,4,461,32,0,492,4,0,0,0,4,0,0,0,3,0,0,3,4,0,0,0,3,0,0,0
UCL211004,11,0,0,0,17,0,3,3,18,0,0,22,6,0,0,6,15,0,0,0,15,3,0,16,509,56,8,19,591,11,4,15,608,52,0,657,14,0,0,0,14,9,0,9,16,3,0,22,15,0,0,3,26,0,0,4,29,3,0,28,26,4,0,3,38,8,0,10,45,3,0,49,536,59,9,22,625,16,9,29,657,52,0,710,176,32,10,15,224,13,6,17,245,98,3,340,0,0,0,0,0,0,0,0,0,0,0,0,710,90,20,29,855,28,15,42,894,149,3,1048,114,11,0,3,132,3,0,4,140,9,0,146,102,11,0,3,112,5,0,5,122,12,0,133,4,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,4,0,0,0,4,0,0,3,229,20,0,3,254,7,0,14,270,19,0,289,3,0,0,0,5,3,0,3,7,0,0,7,10,0,0,0,5,0,0,3
UCL212001,11,0,0,0,11,0,0,0,12,0,0,10,7,0,0,4,12,0,0,0,12,0,0,10,379,39,4,6,429,17,0,17,445,39,0,485,5,0,0,0,5,4,0,4,7,0,0,12,9,0,0,0,10,0,0,4,11,0,0,16,14,0,0,0,14,4,0,3,22,3,0,21,395,38,4,6,445,24,0,22,469,39,0,508,55,14,0,0,70,7,0,7,80,54,0,133,0,0,0,0,0,0,0,0,0,0,0,0,450,54,6,4,520,26,0,27,542,94,0,642,35,7,0,0,46,0,0,0,46,4,0,50,53,8,0,0,63,3,0,3,66,4,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,15,0,0,111,3,0,3,112,12,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL212002,15,0,8,0,18,0,0,0,18,0,0,18,7,0,0,7,18,0,0,0,18,0,0,15,654,68,17,14,757,12,0,15,775,47,0,816,6,0,0,0,6,6,0,6,16,0,0,17,7,6,0,0,11,0,0,3,15,0,0,15,12,3,0,0,23,6,0,10,28,0,0,27,666,73,18,14,773,25,5,25,799,46,0,848,96,31,6,0,139,15,5,18,157,124,0,275,0,0,0,0,0,0,0,0,0,0,0,0,768,103,25,19,910,37,8,41,957,169,0,1121,67,14,0,0,82,0,0,3,82,3,0,90,75,17,3,0,90,4,0,4,88,8,0,95,4,0,0,0,8,0,0,0,8,0,0,8,3,0,0,0,4,0,0,0,4,0,0,4,150,27,6,0,184,4,0,4,190,13,0,200,0,3,0,0,6,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0
UCL212003,17,0,0,0,19,0,0,0,20,0,0,18,5,0,0,0,5,0,0,0,9,0,0,9,577,67,13,3,658,15,0,18,673,21,0,698,6,0,0,0,9,0,0,0,9,0,0,9,8,0,0,0,11,0,0,0,14,0,0,14,20,0,0,0,20,0,0,0,27,0,0,27,595,64,20,3,681,14,0,19,698,21,0,725,110,12,0,0,126,4,0,4,125,16,0,147,0,0,0,0,0,0,0,0,0,0,4,4,706,77,23,6,810,21,0,18,829,41,3,869,139,13,0,5,158,3,0,3,165,8,0,171,151,17,3,0,178,0,0,0,178,3,0,182,5,0,0,0,5,0,0,0,4,0,0,6,4,0,0,0,9,0,0,0,9,0,0,9,302,25,9,3,342,11,0,8,354,15,0,367,3,0,0,0,3,0,0,0,5,0,0,5,4,3,0,0,5,0,0,0
UCL212004,3,0,0,0,8,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,343,24,8,6,386,10,3,16,401,15,0,414,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,4,4,0,0,0,4,0,0,0,4,0,0,6,350,24,8,6,388,10,3,16,402,14,0,418,38,5,3,3,47,4,0,4,48,14,0,62,0,0,0,0,0,0,0,0,0,0,0,0,388,32,11,11,439,11,3,13,452,27,0,483,37,3,0,0,42,3,0,0,45,0,0,50,51,5,0,0,58,0,0,0,59,3,0,63,0,0,3,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,95,12,3,0,107,4,0,3,107,3,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
