UCL_CODE_2016,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
UCL201001,37856,96395,270451,244656,211767,140286,37966,4617,699,1044686,81,298,778,782,866,516,175,38,9,3531,3,26,266,379,234,108,14,3,0,1035,1896,2749,9341,11183,11869,6903,1206,99,7,45256,31,334,2168,1883,1188,498,68,3,0,6173,219,1295,5040,5161,4793,2449,551,45,7,19566,431,1942,6557,6923,6483,3330,624,42,9,26348,13552,21833,25104,18026,18487,11247,2346,184,12,110789,15653,14906,15253,7895,7039,3877,679,70,10,65380,228,1563,5644,5824,5795,3225,500,31,7,22807,618,1600,5373,4433,3048,1404,239,7,5,16736,200,2655,14267,12757,8875,4043,729,52,24,43599,336,1816,5192,3844,3233,1804,564,69,20,16871,575,6350,26507,21202,15255,7902,2142,172,21,80130,406,3041,9904,8024,7865,4957,1145,103,12,35458,272,2042,11437,13152,12594,7656,1424,118,16,48716,2252,7467,27874,27468,29240,20461,3727,239,46,118773,1683,13476,48580,42070,42596,30911,6437,383,50,186197,1893,3136,4940,3692,2961,1591,491,46,17,18765,1012,3679,9090,7154,6847,3838,909,64,5,32605
UCL203001,1745,3895,8433,7629,7230,5459,1287,169,26,35868,7,11,32,32,38,27,13,4,0,163,0,3,7,7,0,7,0,0,0,18,103,131,217,217,250,197,31,0,0,1151,3,41,88,69,41,16,0,0,0,268,9,41,128,162,154,85,22,3,0,595,16,60,101,111,96,68,9,0,0,462,675,932,1068,817,846,593,84,3,3,5010,931,756,496,334,302,210,39,3,0,3070,8,40,95,94,132,85,12,4,0,475,34,51,87,67,46,43,11,0,0,342,4,77,365,320,265,99,13,3,3,1149,5,64,135,95,74,61,15,5,0,455,20,137,435,446,349,221,49,3,0,1663,13,85,214,267,319,208,48,3,0,1157,12,106,459,533,529,361,71,0,0,2076,69,296,1063,1135,1203,884,123,5,0,4773,88,746,2002,1820,2170,1679,284,12,0,8799,67,89,103,92,87,50,26,0,0,503,49,174,291,236,220,151,37,7,0,1167
UCL211001,511,925,1935,1694,1720,1232,296,23,5,8339,3,0,8,9,13,10,3,0,0,37,0,0,0,3,3,0,0,0,0,3,32,30,83,71,73,54,0,0,0,334,0,0,3,0,4,4,0,0,0,16,3,13,45,43,36,29,0,0,0,171,4,3,16,24,22,18,3,0,0,94,150,135,230,189,217,134,29,3,0,1085,220,130,152,78,84,43,9,0,0,719,3,7,27,31,39,28,8,0,0,149,9,12,12,8,6,3,0,0,0,54,3,12,59,47,37,18,3,0,0,187,3,8,23,20,29,17,0,0,0,97,11,20,76,59,73,30,14,0,0,273,10,14,53,61,68,62,13,0,0,280,4,49,126,171,185,112,26,0,0,679,13,44,236,218,209,173,22,0,0,912,39,163,476,424,457,397,50,5,0,2007,12,7,19,7,14,5,0,0,0,69,17,55,77,43,36,31,6,0,0,268
UCL211002,1107,2232,4754,4286,4156,3162,777,102,14,20591,6,12,15,22,24,13,9,6,0,101,0,0,5,13,14,4,0,0,0,42,68,66,159,193,182,120,18,0,0,807,0,0,18,28,24,15,0,0,0,91,6,26,70,95,95,61,5,0,0,366,11,19,32,40,43,30,3,3,0,183,406,501,513,407,458,300,58,0,3,2654,552,440,295,232,209,135,32,0,3,1902,3,28,50,52,77,69,15,0,0,292,20,39,98,72,56,24,5,0,0,324,0,45,89,88,94,52,10,4,0,377,7,41,49,45,58,27,6,0,0,231,12,113,279,248,189,98,23,3,0,977,11,45,107,123,138,104,13,7,0,544,12,60,274,330,317,218,32,7,0,1255,42,209,650,738,797,556,92,0,0,3085,53,469,1263,1142,1266,1025,140,9,0,5364,41,75,88,71,71,45,15,0,0,405,25,93,165,126,137,91,14,0,0,661
UCL211003,1129,2300,4725,4174,4065,3278,781,103,10,20572,5,11,27,38,33,36,16,3,0,173,0,8,18,13,16,7,3,0,0,65,85,154,202,162,213,138,30,0,0,987,0,4,35,41,34,16,0,0,0,131,4,28,88,94,90,58,7,0,0,377,8,24,33,27,38,30,4,0,0,172,425,531,489,390,461,337,66,3,0,2706,532,400,284,192,169,122,18,3,0,1715,8,14,33,39,82,58,13,0,0,241,7,30,55,39,34,23,11,0,0,195,0,73,248,267,207,107,7,0,0,910,9,21,66,33,48,36,13,0,0,221,22,72,196,221,160,109,24,0,0,796,11,50,130,134,158,135,23,4,0,642,9,49,254,306,279,222,37,3,0,1155,40,191,559,624,662,454,65,0,3,2594,76,479,1250,1085,1267,1141,156,5,3,5462,35,51,48,50,39,40,8,0,0,282,32,106,187,120,132,93,25,0,0,698
UCL211004,596,1187,3066,2886,2250,1675,353,24,3,12035,0,0,10,19,14,9,0,0,0,52,0,0,0,3,3,5,0,0,0,10,25,37,87,106,101,75,11,0,0,442,0,5,27,18,14,14,0,0,0,77,0,31,59,75,57,28,3,0,0,251,0,11,75,57,58,25,8,0,0,244,188,237,323,269,280,193,22,0,0,1516,251,143,150,98,88,57,9,0,0,782,7,56,172,133,123,89,6,0,0,593,9,12,35,29,13,10,0,0,0,101,0,24,130,91,64,45,3,0,0,357,5,23,50,34,29,19,0,0,0,158,8,23,141,84,76,47,9,0,0,397,3,47,111,94,99,71,10,0,0,430,5,28,142,128,143,120,24,0,0,589,16,67,294,267,214,179,13,0,0,1057,22,181,533,483,449,321,49,0,0,2042,20,29,35,35,31,24,3,0,0,178,33,48,83,54,49,38,11,0,0,317
UCL212001,399,662,1629,1358,1297,1113,279,41,4,6780,6,20,35,45,44,29,12,4,0,186,0,0,0,4,4,0,0,0,0,8,11,12,40,43,56,36,7,3,0,206,0,3,0,4,9,7,0,0,0,29,0,6,18,24,26,16,0,0,0,90,6,6,28,19,17,16,3,0,0,94,182,140,199,167,186,159,25,0,0,1051,151,113,140,83,81,56,18,0,0,645,0,15,18,25,26,27,7,0,0,118,11,10,16,12,8,5,0,0,0,63,0,19,33,28,30,18,0,3,0,130,0,7,21,26,21,9,3,0,0,92,5,27,73,51,47,29,15,0,0,258,6,28,78,62,89,67,12,0,0,344,0,19,83,97,103,80,20,3,0,414,11,56,185,218,220,157,25,0,0,874,24,150,369,320,361,296,44,0,0,1568,9,5,15,17,6,3,0,0,0,60,3,27,46,39,37,26,5,0,0,187
UCL212002,597,851,2148,2007,2039,1572,467,56,13,9751,3,20,72,43,39,31,14,3,0,233,0,0,0,0,0,0,0,0,0,0,30,27,73,97,112,85,7,0,0,423,0,5,39,33,31,11,0,0,0,126,9,13,39,36,45,33,3,0,0,176,0,14,27,20,30,20,0,0,0,112,243,145,220,213,264,179,36,0,0,1308,223,98,104,91,100,62,17,0,0,703,3,13,19,29,35,23,7,0,0,134,3,14,25,13,18,14,4,0,0,93,3,21,43,42,41,20,0,0,0,177,3,16,19,28,35,10,3,0,0,107,17,50,100,74,86,50,11,3,0,393,5,33,89,62,85,51,13,0,0,343,7,20,79,122,109,90,16,0,0,436,24,67,243,252,296,216,28,3,0,1127,27,189,548,555,560,525,84,3,0,2490,14,7,19,12,14,6,3,0,0,73,11,38,86,69,90,48,12,0,0,350
UCL212003,465,885,1798,1900,2025,1405,305,16,9,8806,0,6,10,3,3,6,0,0,0,26,0,0,0,4,0,3,0,0,0,11,18,23,53,61,90,45,3,0,0,286,0,7,10,14,17,8,0,0,0,63,4,14,57,41,54,27,6,0,0,205,5,8,26,42,42,23,6,0,0,164,163,208,165,157,249,134,16,0,0,1091,236,106,72,57,81,49,7,0,0,599,12,41,111,105,156,71,9,0,0,499,6,9,13,24,19,14,0,0,0,91,0,26,86,98,83,39,9,0,0,343,3,10,35,38,35,11,3,0,0,133,5,30,111,120,100,49,13,0,0,437,7,19,57,67,85,39,9,0,0,283,3,27,112,164,174,126,28,0,0,622,13,74,215,260,285,212,26,0,0,1084,25,147,325,333,410,340,38,0,0,1607,17,30,30,26,24,16,3,0,0,149,20,39,70,61,66,36,0,0,0,304
UCL212004,313,527,1360,1204,1228,892,216,20,3,5763,0,0,5,5,6,3,3,0,0,32,0,0,7,3,5,0,0,0,0,18,8,7,26,22,21,21,0,0,0,111,0,4,14,23,27,12,0,0,0,87,0,5,31,29,33,10,3,0,0,108,0,3,14,6,8,7,0,0,0,44,113,111,164,149,127,90,17,3,0,769,129,91,63,59,61,42,10,0,0,456,0,4,10,18,26,19,5,0,0,78,5,16,13,10,10,3,0,0,0,61,3,14,39,44,36,18,0,0,0,149,4,3,21,21,12,11,3,0,0,73,7,18,53,31,43,16,4,3,0,174,0,9,27,34,40,29,7,0,0,163,7,56,173,179,132,94,5,0,0,648,10,38,128,156,175,134,14,0,0,660,13,143,386,289,287,250,47,3,0,1431,10,7,6,17,7,7,0,0,0,63,13,27,51,51,34,27,3,0,0,203
