UCL_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
UCL201001,173,2223,65,27548,1033,187,108,535,179,738,75,456,163,2373,17848,23688,528,110,237,288,97,235,35,192,151,3208,2222,7298,94382,15391,2609,47550,4928,40132,2129,25193,3682,115461,21973,373438
UCL203001,3,58,0,594,33,5,3,22,15,30,3,16,9,144,659,942,17,4,5,18,3,11,0,14,5,172,103,350,2913,678,102,2169,199,1365,117,1141,138,5493,844,15148
UCL211001,0,12,0,70,12,4,0,4,5,9,0,0,0,28,186,247,4,0,0,0,3,3,0,0,3,36,24,84,718,146,19,566,47,359,20,257,28,1157,226,3561
UCL211002,7,21,3,290,21,6,3,9,0,18,6,4,8,60,377,514,3,3,4,8,0,4,4,3,3,107,52,191,1714,377,71,1304,113,799,59,669,102,3267,477,8950
UCL211003,5,37,0,262,21,6,3,15,3,16,0,13,4,92,376,551,12,3,0,7,4,8,3,7,4,111,49,209,1645,395,80,1381,130,771,86,700,113,3364,473,9127
UCL211004,0,4,0,62,8,0,3,13,3,18,0,13,0,32,177,266,6,3,8,12,0,0,0,0,3,55,35,117,876,140,31,564,72,608,22,284,57,1365,228,4252
UCL212001,0,15,0,77,20,0,0,4,0,5,0,4,0,28,155,227,5,0,3,3,0,4,0,7,0,52,53,127,664,133,19,469,41,302,19,189,43,1347,237,3459
UCL212002,3,12,0,118,10,0,0,4,0,16,0,4,0,42,173,259,9,0,6,9,0,0,0,0,3,57,38,118,835,166,37,608,60,399,30,290,56,1595,252,4319
UCL212003,0,3,0,83,4,3,0,4,0,7,0,4,0,17,127,167,8,3,0,0,0,0,0,3,4,27,17,66,720,97,18,429,47,337,16,208,38,959,159,3031
UCL212004,0,6,0,122,3,0,0,7,0,12,0,0,3,26,116,164,0,0,0,7,0,0,0,0,0,24,18,54,502,83,15,412,30,276,19,175,46,861,155,2574
