UCL_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
UCL201001,1111,2270,7402,15033,3941,32945,1603,14902,1325,80544,8653,26902,27225,34370,22600,38580,7958,20506,3419,190212,56234,160977,71215,51119,66281,41039,23471,33687,9030,513039,77278,137077,53905,37109,62315,28764,23337,27195,7592,454577,70199,98084,47399,36454,64624,27942,26913,30721,6683,409017,38322,63080,29322,22545,42948,17873,20019,23634,3965,261707,9036,17028,5991,4623,10302,4913,4083,5939,1429,63358,1112,1881,535,310,858,503,257,782,484,6727,185,254,98,46,111,66,37,83,215,1087,262130,507545,243094,201608,273979,192635,107672,157451,34140,1980273
UCL203001,46,60,424,673,144,1614,87,816,61,3919,358,852,1376,1598,683,1505,333,1049,93,7852,1437,4342,2856,1938,1718,1329,825,1328,223,15990,1885,3904,2057,1558,1907,1050,820,1258,247,14684,1919,3113,1825,1843,2064,1015,1095,1460,213,14539,1218,2275,1293,1254,1532,820,874,1227,143,10644,278,475,197,224,339,179,180,282,52,2213,40,49,23,10,24,12,13,49,22,240,10,8,5,0,4,4,0,3,11,48,7180,15071,10048,9099,8422,7532,4230,7482,1065,70130
UCL211001,22,21,157,167,51,387,22,213,17,1058,68,117,455,293,125,240,87,231,35,1638,316,758,747,491,383,323,252,372,48,3690,398,646,474,397,450,244,261,323,63,3254,449,572,392,394,539,263,314,383,64,3369,290,420,256,286,390,195,243,312,23,2427,49,70,61,42,68,53,70,60,16,489,11,7,7,0,3,0,3,11,3,34,3,0,0,0,0,3,0,0,0,10,1614,2610,2542,2072,2014,1706,1252,1892,266,15964
UCL211002,32,44,279,421,71,1011,30,504,45,2432,217,519,848,972,419,832,126,569,69,4575,787,2410,1655,1098,1026,806,380,766,116,9051,1077,2320,1161,929,1135,577,432,700,135,8453,1166,1874,1037,997,1268,626,536,888,137,8526,770,1443,682,697,978,487,464,671,66,6249,158,274,147,113,166,112,123,159,36,1288,33,30,7,5,16,10,14,14,15,148,3,0,4,3,0,0,0,6,4,23,4237,8915,5820,5241,5076,4457,2103,4279,618,40738
UCL211003,36,35,246,384,102,983,52,601,40,2484,214,505,853,898,353,832,168,737,68,4631,808,2338,1700,1012,984,681,429,969,104,9027,1017,2122,1068,884,1093,601,462,791,118,8153,1056,1733,1025,997,1273,636,557,876,113,8272,784,1361,703,786,1013,489,507,762,103,6515,181,281,129,128,203,120,123,139,35,1334,33,19,15,10,13,13,9,31,13,144,3,3,3,7,6,0,0,0,3,27,4138,8406,5751,5101,5036,4363,2304,4891,600,40593
UCL211004,19,9,230,131,52,467,42,260,20,1229,109,141,507,342,270,363,185,294,48,2258,494,766,1036,678,830,487,669,532,113,5613,489,667,761,605,800,363,754,500,107,5053,383,383,536,554,698,370,700,519,83,4233,270,291,385,422,576,254,464,375,58,3097,48,63,56,66,86,54,85,55,21,547,3,0,0,7,6,3,6,3,9,32,3,0,0,0,0,0,0,0,0,3,1826,2329,3511,2809,3324,2358,2906,2534,457,22062
UCL212001,18,12,106,87,22,367,10,179,16,832,65,147,228,240,108,234,55,247,19,1334,256,671,542,383,313,282,175,395,50,3065,384,598,311,339,310,243,169,283,51,2689,390,506,301,332,384,242,199,324,39,2720,281,385,224,257,326,207,187,290,33,2188,86,77,37,54,69,47,44,64,17,494,19,4,6,3,4,3,3,7,3,57,0,0,0,0,3,0,0,0,0,10,1508,2405,1751,1696,1546,1630,831,1794,238,13397
UCL212002,23,23,126,159,62,556,19,243,32,1239,97,193,356,253,161,263,71,253,30,1672,405,1004,719,422,404,310,209,535,57,4071,546,803,501,444,470,305,259,479,77,3876,593,691,503,428,601,353,315,534,52,4077,395,582,299,349,456,232,298,431,40,3089,111,130,64,77,86,78,84,107,18,752,15,11,3,10,11,7,12,9,9,82,3,0,0,3,3,0,0,0,3,19,2196,3441,2576,2145,2242,2106,1264,2597,306,18868
UCL212003,10,16,146,174,31,413,16,198,13,1019,62,150,392,282,197,322,102,197,31,1728,336,644,767,382,511,262,219,226,47,3397,479,725,592,400,642,244,279,226,38,3627,568,625,524,489,807,351,343,281,70,4050,335,493,335,314,522,222,248,185,30,2671,51,83,50,60,83,55,49,53,10,502,3,4,3,0,5,0,0,6,0,26,0,3,5,0,0,0,0,0,5,8,1839,2730,2814,2105,2795,1871,1260,1380,242,17038
UCL212004,9,6,83,113,26,261,15,125,5,644,45,141,263,197,143,159,30,113,22,1106,196,622,523,280,375,199,152,229,47,2618,308,495,367,239,395,185,146,207,38,2382,291,421,377,229,370,163,206,248,41,2346,195,303,252,196,269,100,170,191,34,1708,59,64,54,34,43,28,30,37,15,356,6,8,3,3,3,6,0,3,4,39,0,0,0,0,0,0,0,0,0,3,1112,2060,1919,1286,1623,1103,753,1146,203,11209
