CED_CODE_2016,Age_yr_0_M,Age_yr_0_F,Age_yr_0_P,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_3_M,Age_yr_3_F,Age_yr_3_P,Age_yr_4_M,Age_yr_4_F,Age_yr_4_P,Age_yr_0_4_M,Age_yr_0_4_F,Age_yr_0_4_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P,Age_yr_6_M,Age_yr_6_F,Age_yr_6_P,Age_yr_7_M,Age_yr_7_F,Age_yr_7_P,Age_yr_8_M,Age_yr_8_F,Age_yr_8_P,Age_yr_9_M,Age_yr_9_F,Age_yr_9_P,Age_yr_5_9_M,Age_yr_5_9_F,Age_yr_5_9_P,Age_yr_10_M,Age_yr_10_F,Age_yr_10_P,Age_yr_11_M,Age_yr_11_F,Age_yr_11_P,Age_yr_12_M,Age_yr_12_F,Age_yr_12_P,Age_yr_13_M,Age_yr_13_F,Age_yr_13_P,Age_yr_14_M,Age_yr_14_F,Age_yr_14_P,Age_yr_10_14_M,Age_yr_10_14_F,Age_yr_10_14_P,Age_yr_15_M,Age_yr_15_F,Age_yr_15_P,Age_yr_16_M,Age_yr_16_F,Age_yr_16_P,Age_yr_17_M,Age_yr_17_F,Age_yr_17_P,Age_yr_18_M,Age_yr_18_F,Age_yr_18_P,Age_yr_19_M,Age_yr_19_F,Age_yr_19_P,Age_yr_15_19_M,Age_yr_15_19_F,Age_yr_15_19_P,Age_yr_20_M,Age_yr_20_F,Age_yr_20_P,Age_yr_21_M,Age_yr_21_F,Age_yr_21_P,Age_yr_22_M,Age_yr_22_F,Age_yr_22_P,Age_yr_23_M,Age_yr_23_F,Age_yr_23_P,Age_yr_24_M,Age_yr_24_F,Age_yr_24_P,Age_yr_20_24_M,Age_yr_20_24_F,Age_yr_20_24_P,Age_yr_25_M,Age_yr_25_F,Age_yr_25_P,Age_yr_26_M,Age_yr_26_F,Age_yr_26_P,Age_yr_27_M,Age_yr_27_F,Age_yr_27_P,Age_yr_28_M,Age_yr_28_F,Age_yr_28_P,Age_yr_29_M,Age_yr_29_F,Age_yr_29_P,Age_yr_25_29_M,Age_yr_25_29_F,Age_yr_25_29_P,Age_yr_30_M,Age_yr_30_F,Age_yr_30_P,Age_yr_31_M,Age_yr_31_F,Age_yr_31_P,Age_yr_32_M,Age_yr_32_F,Age_yr_32_P,Age_yr_33_M,Age_yr_33_F,Age_yr_33_P,Age_yr_34_M,Age_yr_34_F,Age_yr_34_P,Age_yr_30_34_M,Age_yr_30_34_F,Age_yr_30_34_P,Age_yr_35_M,Age_yr_35_F,Age_yr_35_P,Age_yr_36_M,Age_yr_36_F,Age_yr_36_P,Age_yr_37_M,Age_yr_37_F,Age_yr_37_P,Age_yr_38_M,Age_yr_38_F,Age_yr_38_P,Age_yr_39_M,Age_yr_39_F,Age_yr_39_P,Age_yr_35_39_M,Age_yr_35_39_F,Age_yr_35_39_P,Age_yr_40_M,Age_yr_40_F,Age_yr_40_P,Age_yr_41_M,Age_yr_41_F,Age_yr_41_P,Age_yr_42_M,Age_yr_42_F,Age_yr_42_P,Age_yr_43_M,Age_yr_43_F,Age_yr_43_P,Age_yr_44_M,Age_yr_44_F,Age_yr_44_P,Age_yr_40_44_M,Age_yr_40_44_F,Age_yr_40_44_P,Age_yr_45_M,Age_yr_45_F,Age_yr_45_P,Age_yr_46_M,Age_yr_46_F,Age_yr_46_P,Age_yr_47_M,Age_yr_47_F,Age_yr_47_P,Age_yr_48_M,Age_yr_48_F,Age_yr_48_P,Age_yr_49_M,Age_yr_49_F,Age_yr_49_P,Age_yr_45_49_M,Age_yr_45_49_F,Age_yr_45_49_P,Age_yr_50_M,Age_yr_50_F,Age_yr_50_P,Age_yr_51_M,Age_yr_51_F,Age_yr_51_P,Age_yr_52_M,Age_yr_52_F,Age_yr_52_P,Age_yr_53_M,Age_yr_53_F,Age_yr_53_P,Age_yr_54_M,Age_yr_54_F,Age_yr_54_P,Age_yr_50_54_M,Age_yr_50_54_F,Age_yr_50_54_P,Age_yr_55_M,Age_yr_55_F
CED201,777,732,1509,781,759,1538,795,806,1605,828,790,1616,817,789,1597,3991,3872,7866,821,743,1569,896,774,1673,838,770,1608,840,755,1597,819,714,1532,4216,3759,7977,825,761,1579,791,772,1562,774,744,1524,844,807,1653,837,834,1666,4072,3911,7981,849,804,1655,916,906,1824,934,866,1800,959,895,1857,922,898,1819,4576,4372,8953,959,934,1891,945,919,1860,982,869,1852,962,909,1867,894,892,1789,4741,4515,9257,869,888,1760,894,847,1743,880,913,1791,867,921,1784,860,834,1698,4366,4399,8769,937,960,1899,900,956,1864,892,979,1869,866,866,1730,898,966,1867,4493,4724,9220,904,988,1895,935,945,1876,879,952,1831,883,861,1744,834,870,1699,4432,4616,9045,825,884,1715,874,913,1788,916,985,1896,871,993,1870,901,996,1903,4391,4770,9163,972,1073,2043,913,1008,1924,909,1049,1963,905,1024,1927,868,1012,1878,4571,5161,9732,917,1011,1931,916,964,1885,953,1013,1965,956,1052,2002,975,1067,2048,4715,5107,9825,988,1021
CED202,949,848,1799,968,911,1882,986,949,1931,1078,945,2024,1016,996,2012,4994,4656,9644,1007,941,1946,1024,1047,2068,1064,1038,2103,1023,1014,2043,1070,1066,2137,5198,5101,10299,1019,1004,2029,970,927,1902,1011,930,1937,961,876,1834,946,928,1879,4906,4670,9576,984,933,1915,956,975,1935,1079,977,2053,1014,952,1968,996,948,1941,5030,4788,9818,1000,1064,2059,1128,1069,2197,1033,1008,2043,974,928,1904,940,943,1885,5077,5012,10086,993,950,1942,933,969,1900,878,899,1777,834,934,1776,872,878,1754,4511,4638,9144,896,901,1802,891,936,1831,858,962,1820,861,936,1797,853,943,1800,4360,4683,9043,901,1026,1928,868,943,1809,874,971,1851,900,903,1799,837,967,1805,4381,4805,9187,890,976,1867,914,954,1869,954,1035,1994,959,1066,2020,1042,1170,2217,4761,5202,9960,1063,1165,2225,967,1094,2063,1024,1117,2136,983,1049,2038,891,1066,1957,4931,5486,10417,940,1049,1990,997,1024,2027,971,1065,2039,1019,1147,2163,1129,1124,2256,5059,5418,10474,1029,1139
CED203,922,998,1914,1071,957,2029,1021,937,1961,983,927,1903,928,939,1861,4922,4750,9670,900,802,1704,931,940,1876,822,818,1635,880,827,1701,903,824,1725,4427,4209,8637,832,772,1597,746,740,1485,753,754,1507,700,682,1386,683,646,1328,3711,3589,7306,675,609,1284,748,665,1417,710,660,1366,759,820,1585,971,988,1960,3865,3742,7604,1034,1169,2203,1192,1250,2440,1262,1247,2510,1234,1393,2632,1330,1413,2741,6056,6470,12524,1466,1433,2894,1548,1618,3165,1540,1690,3228,1587,1601,3185,1575,1641,3215,7702,7984,15689,1586,1661,3246,1668,1661,3323,1484,1576,3062,1567,1544,3108,1437,1516,2955,7739,7951,15697,1376,1503,2879,1319,1373,2696,1255,1338,2596,1179,1343,2516,1180,1203,2381,6314,6753,13072,1186,1240,2426,1168,1242,2408,1250,1207,2457,1188,1254,2443,1203,1189,2385,5992,6128,12125,1223,1338,2560,1165,1209,2375,1075,1208,2280,1114,1096,2206,970,1083,2055,5541,5928,11468,915,1071,1979,946,975,1915,925,989,1909,924,978,1907,869,964,1837,4580,4980,9557,875,964
CED204,776,880,1660,885,810,1695,1024,920,1945,945,911,1853,1013,969,1983,4641,4491,9136,981,918,1902,965,899,1857,1064,923,1988,1011,905,1913,1056,970,2030,5073,4613,9684,998,950,1941,934,897,1833,905,873,1785,912,858,1769,973,914,1889,4714,4496,9212,984,878,1857,976,891,1867,946,920,1866,932,933,1866,865,921,1782,4700,4537,9240,903,925,1827,989,995,1986,870,920,1790,887,878,1763,910,873,1782,4560,4591,9155,801,908,1703,833,860,1695,854,807,1665,839,850,1689,777,893,1670,4111,4313,8423,873,849,1720,810,858,1668,793,874,1663,881,887,1767,788,884,1678,4148,4352,8498,846,927,1778,723,851,1575,815,864,1673,902,895,1797,815,930,1750,4100,4465,8571,847,931,1777,878,954,1829,931,1004,1934,893,1031,1922,1013,1039,2048,4557,4953,9513,1052,1107,2162,1004,1011,2016,1015,1004,2019,915,1030,1943,892,957,1849,4874,5115,9989,908,1016,1923,940,975,1912,961,1124,2085,1064,1056,2121,969,1179,2152,4843,5353,10194,1049,1130
CED205,901,833,1728,979,871,1849,985,859,1841,898,934,1833,954,872,1825,4714,4355,9076,933,853,1784,917,869,1788,902,854,1753,886,894,1781,873,836,1710,4516,4305,8816,881,838,1723,920,826,1738,917,810,1732,878,831,1712,869,813,1687,4471,4128,8591,934,836,1775,973,931,1902,916,870,1790,1094,974,2070,1140,976,2114,5056,4583,9642,1332,1091,2417,1424,1105,2524,1352,1041,2391,1249,1009,2256,1306,1122,2430,6655,5365,12019,1298,1117,2416,1254,1173,2429,1213,1126,2336,1354,1171,2519,1275,1123,2396,6386,5701,12088,1264,1151,2406,1186,1182,2373,1282,1153,2435,1284,1194,2478,1277,1119,2397,6296,5798,12090,1211,1022,2233,1123,1043,2162,1065,985,2052,995,969,1965,1020,1013,2032,5407,5032,10443,1020,957,1973,1076,976,2051,1015,1066,2078,1021,1057,2078,1059,1057,2121,5191,5119,10308,1044,1103,2147,1029,1000,2034,1027,1049,2070,1000,980,1981,956,960,1913,5054,5096,10150,935,935,1873,954,961,1918,964,981,1946,960,969,1928,847,901,1750,4671,4746,9414,847,872
CED206,1049,951,2000,1180,1022,2202,1159,1063,2224,1085,1117,2204,1153,1075,2224,5627,5229,10858,1101,1007,2110,1084,1080,2165,1180,1069,2249,1190,1131,2318,1185,1137,2320,5739,5434,11168,1176,1157,2333,1119,1075,2194,1183,1130,2320,1131,1152,2283,1174,1116,2294,5788,5631,11424,1239,1193,2432,1164,1220,2381,1208,1193,2400,1322,1218,2539,1270,1267,2538,6198,6097,12292,1338,1244,2578,1411,1200,2609,1344,1202,2540,1400,1242,2640,1313,1191,2501,6800,6071,12877,1310,1242,2549,1305,1190,2497,1244,1203,2447,1268,1166,2434,1222,1172,2394,6352,5970,12325,1213,1179,2397,1169,1128,2301,1077,1102,2176,1141,1102,2248,1083,1069,2154,5689,5585,11275,1070,1097,2163,1023,1175,2204,1026,1024,2048,1055,983,2040,1044,989,2034,5226,5271,10490,1049,1075,2119,965,1041,2014,1042,1098,2140,1030,1158,2187,1109,1191,2300,5196,5560,10754,1100,1238,2338,1143,1254,2398,1166,1224,2383,1153,1219,2372,1074,1221,2299,5637,6161,11794,1196,1205,2407,1184,1216,2393,1171,1207,2381,1157,1154,2311,1102,1110,2214,5814,5891,11706,1100,1155
CED207,862,827,1689,965,926,1897,957,842,1800,994,897,1887,940,884,1825,4714,4368,9089,927,852,1782,946,945,1894,963,876,1836,1011,885,1894,966,916,1884,4809,4482,9283,950,880,1829,943,841,1783,894,925,1819,905,888,1800,903,881,1781,4586,4416,9006,888,921,1809,959,931,1889,944,907,1847,958,881,1841,959,854,1809,4710,4487,9196,961,845,1809,870,865,1740,819,810,1630,928,796,1720,845,831,1674,4416,4154,8569,922,873,1794,884,937,1820,865,837,1707,858,921,1777,858,864,1718,4387,4428,8817,888,938,1831,895,910,1808,877,1060,1942,939,962,1899,863,979,1841,4466,4848,9313,886,933,1823,871,869,1734,878,857,1739,836,910,1743,926,893,1813,4394,4456,8853,871,910,1780,857,952,1807,965,1030,1990,969,1054,2019,1058,1153,2209,4718,5091,9808,1075,1161,2228,1012,1030,2037,1024,1030,2049,903,1052,1952,935,970,1909,4941,5238,10180,901,1007,1908,966,982,1952,975,1022,1997,982,1127,2107,978,1018,2001,4808,5158,9966,1007,1057
CED208,800,706,1499,916,833,1746,873,832,1709,871,854,1720,878,857,1734,4328,4077,8409,831,839,1671,841,843,1684,845,828,1674,863,852,1710,873,841,1716,4250,4196,8452,829,801,1635,853,778,1636,885,831,1716,876,754,1634,786,827,1606,4235,3995,8226,827,859,1687,856,854,1713,923,902,1828,1222,1277,2497,1795,1868,3664,5630,5767,11393,1947,1985,3932,1981,1851,3833,1977,1805,3785,1883,1719,3602,1800,1569,3371,9580,8937,18523,1698,1500,3198,1583,1444,3027,1537,1457,2996,1367,1347,2717,1212,1264,2471,7404,7005,14408,1290,1254,2543,1215,1232,2445,1228,1122,2345,1244,1138,2377,1145,1199,2347,6120,5943,12061,1040,1032,2071,1013,1041,2047,1021,1030,2047,958,1011,1965,903,1010,1912,4935,5113,10052,968,1049,2026,940,980,1918,1015,1056,2070,966,1109,2075,1094,1221,2314,4991,5416,10402,1065,1204,2271,1041,1172,2207,1090,1164,2248,976,1100,2078,907,1022,1925,5072,5657,10735,920,927,1845,881,968,1848,929,1016,1943,969,974,1944,883,1011,1891,4580,4894,9474,816,956
CED209,921,843,1760,980,894,1872,1002,955,1959,1098,923,2021,1060,963,2023,5054,4581,9632,1057,943,2004,1076,1036,2107,1062,1001,2063,1025,1030,2057,1109,979,2091,5326,4988,10317,1031,962,1986,1070,980,2052,991,956,1950,981,940,1921,984,927,1915,5063,4757,9821,960,862,1824,925,893,1813,969,870,1840,974,898,1871,895,967,1862,4722,4494,9214,995,915,1917,1018,895,1905,952,829,1779,879,794,1667,916,725,1645,4760,4162,8919,829,760,1585,774,853,1626,833,790,1621,803,810,1605,852,869,1719,4084,4075,8156,870,933,1800,868,887,1750,829,905,1738,870,1051,1925,909,1002,1909,4347,4777,9123,913,972,1886,918,937,1854,912,959,1867,887,944,1825,927,977,1907,4552,4793,9343,933,990,1923,988,1073,2067,1047,1058,2100,995,1111,2108,1089,1142,2230,5048,5373,10427,1063,1222,2284,969,1080,2053,1018,1076,2092,907,1010,1918,916,885,1795,4868,5275,10140,906,1003,1909,909,949,1858,970,1073,2043,906,1003,1909,970,1051,2024,4662,5084,9748,968,1027
CED210,824,821,1644,928,901,1828,940,904,1846,920,890,1810,947,849,1794,4559,4368,8921,859,828,1687,822,920,1742,927,861,1789,881,904,1782,948,837,1785,4438,4350,8781,855,833,1682,842,796,1635,884,831,1714,913,824,1737,943,822,1761,4435,4100,8537,915,840,1757,950,915,1874,1003,974,1984,945,883,1825,914,901,1817,4733,4517,9253,881,944,1827,999,961,1956,1019,1018,2030,971,947,1918,983,1016,2003,4845,4886,9727,1022,985,2005,974,1023,1999,952,1031,1988,908,984,1894,974,924,1892,4824,4954,9778,942,1009,1947,915,992,1905,963,945,1910,923,950,1870,926,949,1879,4672,4841,9513,914,883,1800,856,903,1756,849,894,1743,868,873,1740,840,880,1723,4321,4435,8755,899,885,1780,871,994,1866,939,986,1925,945,992,1936,1041,1067,2109,4699,4918,9619,968,1073,2046,947,986,1937,960,990,1947,979,972,1946,912,1011,1922,4757,5039,9801,878,953,1837,938,989,1930,1040,1070,2109,941,1130,2075,958,1073,2032,4764,5211,9975,914,1041
