CED_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
CED201,0,13,4366,4382,41,238,4146,4430,3025,1307,3964,8293,5655,810,1833,8295,6128,770,1847,8738,6048,474,1368,7883,4071,169,860,5101,1841,50,524,2410,419,10,251,678,27222,3830,19162,50215,4,23,4136,4168,129,388,3698,4217,3945,1320,3246,8518,6125,845,1967,8941,6503,757,2527,9790,5792,399,2361,8551,3449,143,2027,5611,1269,24,1554,2850,205,4,827,1031,27419,3907,22352,53672,7,39,8506,8547,170,631,7848,8651,6973,2628,7210,16809,11787,1653,3803,17237,12632,1525,4374,18534,11837,869,3727,16437,7515,304,2890,10710,3103,72,2083,5263,622,12,1074,1707,54648,7736,41513,103891
CED202,0,36,4393,4434,74,556,3675,4307,2639,1960,3255,7852,4862,1333,2040,8236,5306,1175,2428,8916,5342,732,2217,8293,4376,346,1630,6353,2032,93,812,2935,467,15,370,853,25095,6251,20828,52173,3,67,4027,4094,159,827,3316,4296,3383,1975,3067,8432,5273,1360,2598,9229,5585,1179,3166,9933,5298,667,3145,9109,3984,247,2727,6960,1439,48,2060,3546,230,9,1234,1468,25360,6376,25341,57072,3,101,8423,8528,230,1389,6994,8607,6021,3933,6323,16282,10135,2687,4642,17467,10897,2358,5596,18846,10638,1392,5360,17397,8359,599,4364,13314,3471,142,2872,6482,698,23,1602,2318,50453,12630,46169,109249
CED203,0,13,3423,3444,86,311,4833,5227,3745,2739,7160,13645,5891,1931,3151,10971,5022,1192,2952,9166,3689,684,2316,6683,2826,236,1346,4412,2296,75,864,3235,599,13,469,1085,24148,7193,26523,57864,8,23,3192,3231,302,548,4594,5447,4762,2960,6486,14207,5968,2092,3677,11738,5078,1267,3693,10043,3578,608,3088,7272,2758,173,2302,5234,1596,50,2330,3982,247,15,1379,1638,24302,7742,30749,62789,12,38,6618,6670,386,858,9431,10677,8507,5697,13646,27853,11857,4019,6829,22706,10102,2457,6651,19207,7263,1288,5405,13958,5580,413,3653,9644,3895,126,3192,7214,851,30,1846,2730,48455,14931,57270,120651
CED204,3,20,4220,4247,110,606,3143,3854,2388,1709,2921,7021,4430,1207,1962,7602,5023,1127,2415,8567,5396,778,2433,8615,4540,367,1753,6661,2307,93,917,3319,544,13,429,980,24735,5932,20195,50867,12,87,3916,4010,179,838,2903,3920,3133,1789,2847,7762,4874,1296,2419,8591,5453,1091,3002,9552,5379,666,3239,9285,4060,300,2730,7090,1699,59,2022,3777,290,10,1137,1432,25074,6135,24211,55417,12,108,8131,8249,287,1437,6047,7769,5523,3499,5762,14785,9306,2504,4383,16191,10474,2223,5417,18116,10777,1446,5674,17901,8603,666,4486,13752,3999,154,2940,7091,827,22,1570,2415,49809,12065,44405,106283
CED205,7,19,4743,4767,160,201,5768,6132,4206,865,6572,11638,6346,514,2876,9733,5948,508,2474,8932,5413,340,1749,7503,4613,176,1210,5997,2929,66,720,3718,675,19,381,1067,30287,2702,26492,59486,16,35,4249,4294,497,281,4129,4909,5666,939,4023,10627,6522,526,2494,9542,5940,479,2827,9246,5297,317,2627,8243,4289,145,2334,6772,1986,39,2190,4220,278,8,1209,1494,30484,2769,26087,59344,15,48,8996,9061,657,483,9901,11044,9873,1802,10591,22262,12865,1042,5369,19275,11887,989,5301,18176,10712,659,4374,15745,8904,323,3542,12769,4911,113,2916,7939,948,21,1589,2560,60778,5471,52582,118831
CED206,5,6,5858,5872,174,176,5947,6291,3930,902,6064,10900,6333,705,2528,9565,7527,712,2415,10653,6356,423,1664,8441,4225,185,946,5362,1783,64,535,2380,320,5,221,552,30661,3182,26164,60012,31,24,5701,5752,622,250,4744,5615,5317,986,4332,10643,6796,733,2616,10150,7614,665,3054,11330,5798,377,2604,8783,3421,144,2035,5599,1067,25,1533,2616,122,4,657,785,30791,3206,27276,61277,35,34,11556,11621,794,426,10687,11908,9250,1893,10397,21540,13132,1442,5142,19708,15145,1378,5468,21988,12155,800,4270,17220,7651,327,2984,10958,2846,89,2060,4997,448,14,874,1334,61455,6389,53441,121283
CED207,3,20,4424,4449,75,338,3574,3992,2983,1894,3204,8081,5237,1279,1840,8360,5663,1127,2168,8960,5504,700,1739,7947,4293,296,1184,5778,1806,65,594,2466,389,12,299,704,25960,5727,19038,50726,3,42,4141,4189,159,543,3058,3753,3938,1945,2673,8564,5505,1342,2088,8939,5987,1123,2623,9731,5347,604,2526,8476,3802,218,2204,6221,1241,41,1596,2879,183,5,836,1018,26161,5865,21749,53781,7,62,8571,8636,229,882,6638,7746,6928,3837,5879,16646,10742,2624,3927,17297,11656,2251,4786,18690,10852,1304,4268,16425,8091,516,3390,11997,3044,107,2193,5345,570,19,1136,1723,52120,11597,40790,104506
CED208,6,39,4817,4859,109,395,7749,8252,4099,1516,6718,12335,6343,699,2098,9144,6219,591,2133,8948,4737,427,1692,6855,3549,185,1055,4795,2732,61,747,3540,883,7,553,1450,28696,3919,27569,60179,4,52,4702,4759,251,509,6845,7611,5070,1517,5297,11884,6817,700,2376,9891,6334,612,2994,9939,4542,355,2924,7818,3419,151,2373,5944,2111,33,2548,4697,440,3,1626,2066,28988,3935,31681,64602,10,89,9518,9618,357,906,14595,15863,9172,3030,12015,24221,13159,1400,4477,19035,12551,1201,5124,18880,9280,780,4613,14675,6970,331,3427,10733,4848,97,3297,8237,1323,10,2179,3515,57681,7853,59251,124784
CED209,0,19,4225,4242,60,409,3607,4075,2731,1780,2999,7505,5735,1284,1700,8720,5713,987,1896,8591,5722,725,1881,8330,4798,290,1295,6382,2277,80,674,3025,580,13,399,992,27614,5583,18665,51863,4,32,3888,3931,128,618,2727,3468,3634,1898,2517,8052,6182,1274,1976,9438,6049,1038,2480,9571,5678,604,2578,8868,4319,227,2269,6817,1734,53,1880,3670,288,4,1263,1556,28018,5753,21590,55359,9,56,8109,8170,182,1028,6334,7545,6359,3677,5522,15556,11924,2562,3678,18162,11766,2019,4372,18159,11403,1331,4461,17193,9112,516,3567,13197,4009,133,2556,6691,871,17,1659,2552,55635,11335,40252,107227
CED210,3,26,4055,4086,105,537,3545,4186,2673,1810,3641,8124,4462,1182,2276,7916,4814,923,2721,8454,5042,641,2329,8016,4326,289,1595,6209,2300,91,926,3320,613,16,456,1086,24331,5513,21557,51396,10,71,3817,3893,211,715,3331,4253,3454,1921,3505,8877,4748,1137,2799,8682,5087,951,3376,9412,5073,577,3279,8930,3981,227,2802,7013,1778,41,2291,4115,276,12,1296,1585,24610,5654,26497,56761,10,102,7869,7980,313,1254,6877,8440,6126,3729,7145,17003,9205,2318,5073,16602,9895,1871,6098,17863,10114,1211,5610,16940,8310,520,4401,13223,4076,134,3218,7431,887,32,1753,2669,48938,11172,48053,108157
