CED_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
CED201,0,0,8,52,22,17,13,3,0,115,3732,7098,7443,10785,5435,4543,2650,1171,402,43247,0,0,4,24,4,3,3,0,0,34,0,0,0,19,6,8,7,0,0,42,0,0,7,71,60,65,31,10,0,240,0,8,4,20,9,12,7,3,0,60,0,0,0,19,23,18,29,0,0,83,35,164,236,1300,375,289,175,62,25,2660,0,0,0,10,12,33,32,17,4,104,3,10,12,41,49,63,61,26,3,276,3,62,75,323,437,514,482,289,114,2292,0,0,9,35,23,21,11,6,0,104,0,0,3,12,12,9,8,0,0,37,3,9,11,29,35,56,101,130,27,408,0,8,8,18,54,77,81,68,4,314,13,27,62,227,105,128,40,7,0,608,18,103,182,867,314,249,114,55,25,1917,0,14,15,116,45,17,22,10,8,237,3,15,25,137,45,21,21,4,0,270,0,0,9,24,13,13,5,4,0,64
CED202,0,0,12,0,0,0,0,0,0,13,4683,9230,8908,14859,8016,7415,5408,2419,815,61760,0,9,0,21,5,0,0,0,0,38,0,0,0,4,3,0,5,6,0,21,0,0,0,0,0,0,0,0,0,5,0,0,6,19,20,14,9,7,0,77,0,0,0,7,4,0,3,3,0,21,4,15,148,126,40,12,13,0,0,363,0,0,0,8,17,26,28,29,4,112,0,4,0,7,6,8,3,4,0,37,8,72,47,272,365,403,450,246,57,1924,0,4,4,14,5,7,0,0,0,39,0,0,4,9,6,3,3,6,0,29,0,5,4,18,22,44,131,25,8,270,0,0,0,3,7,17,22,17,5,73,0,5,4,3,9,8,7,0,0,31,10,37,54,406,45,25,20,6,4,601,0,0,7,9,3,3,0,0,0,24,0,3,3,25,5,4,3,0,0,35,0,3,0,11,9,0,0,0,0,20
CED203,0,3,16,18,9,0,3,0,0,57,4302,6929,6701,15314,6331,3958,1769,740,445,46486,3,9,53,148,10,4,0,0,0,232,0,0,3,24,10,19,14,10,0,83,0,0,3,16,8,7,9,0,0,44,0,7,3,83,21,12,0,0,0,133,0,0,3,39,13,14,8,3,0,83,15,52,588,1101,298,297,116,68,16,2559,0,0,6,14,28,49,41,67,15,212,3,6,11,36,22,30,48,29,14,195,22,59,77,698,381,245,169,65,28,1746,0,3,3,43,23,20,7,0,3,104,0,0,8,76,23,11,3,3,0,128,3,6,7,75,60,18,40,20,3,233,3,26,37,116,205,366,588,743,192,2273,0,4,33,95,17,12,8,0,0,172,57,90,468,2010,96,65,40,22,3,2849,0,0,25,59,15,11,6,3,0,120,0,13,40,264,22,16,3,0,0,369,11,13,12,94,28,17,3,0,0,182
CED204,3,3,4,26,6,0,0,0,0,45,4305,8849,8174,13900,7756,7906,5900,2919,1010,60715,0,3,0,17,0,0,0,0,0,20,0,0,0,0,0,0,3,0,0,6,0,0,0,3,0,0,0,0,0,12,0,4,7,33,9,12,9,3,3,73,0,0,0,0,0,3,0,0,0,8,0,13,23,77,30,17,6,3,0,170,0,0,0,0,4,7,15,9,3,36,0,4,0,17,5,6,13,3,0,46,6,43,62,228,365,405,462,220,60,1850,0,5,7,12,9,5,0,0,0,41,0,0,0,17,7,4,10,3,0,37,0,3,6,17,25,37,92,43,7,221,0,0,0,3,8,9,16,16,3,52,0,3,9,18,6,3,3,0,0,50,13,33,33,287,33,22,15,15,0,441,0,0,9,3,6,4,4,0,0,32,0,9,0,4,3,0,0,0,0,22,0,0,3,4,0,0,4,0,0,17
CED205,21,136,581,1194,219,91,29,5,3,2275,4039,5964,5618,6756,3114,2528,2214,1381,522,32132,3,20,27,173,34,20,7,0,0,287,0,5,51,164,117,103,46,39,3,542,0,6,60,214,153,106,50,13,4,613,4,5,15,21,18,7,9,0,0,81,3,0,4,54,35,35,30,16,0,184,63,348,1039,2043,877,665,316,181,61,5591,0,0,15,80,69,87,91,63,17,422,0,22,14,33,28,56,72,49,14,306,11,53,65,161,214,233,304,225,80,1359,4,3,13,95,50,44,19,13,6,243,0,3,9,22,14,7,5,0,0,63,0,7,31,30,33,19,95,109,13,339,0,23,29,54,127,190,359,328,64,1181,6,43,117,258,109,141,75,24,0,781,91,432,956,3227,633,343,218,109,33,6044,8,20,50,172,59,39,42,14,4,409,5,98,104,269,71,30,12,3,3,593,0,20,19,59,34,25,11,8,0,169
CED206,0,8,19,51,10,0,3,0,0,92,4949,9219,9326,10802,5009,3344,1545,589,191,44976,0,8,7,74,23,15,0,0,0,125,0,0,6,66,38,47,27,17,0,206,0,0,0,6,6,8,4,3,0,34,0,9,5,16,6,0,4,0,0,47,0,3,6,29,31,24,27,10,0,120,3,14,43,135,75,78,34,22,5,408,0,3,7,29,95,142,186,136,15,628,4,34,31,105,85,142,108,53,12,580,10,23,31,133,150,200,174,79,38,844,0,11,34,94,66,60,19,4,0,292,0,0,3,9,17,5,4,3,0,47,0,5,10,46,18,21,113,31,6,250,0,19,21,60,96,159,205,172,32,772,0,4,6,23,10,19,3,5,0,73,38,141,417,1767,323,244,158,51,23,3167,3,7,11,33,14,3,4,3,0,72,3,28,67,259,40,32,10,4,0,446,27,369,643,1833,884,459,213,69,25,4518
CED207,0,0,0,0,0,0,0,0,0,0,4442,8631,8028,14566,7173,6045,3922,1466,463,54743,0,0,0,3,0,0,0,0,0,10,0,0,0,7,3,0,0,0,0,17,0,0,0,12,9,4,5,0,0,30,3,0,4,28,17,14,8,3,0,80,0,0,0,8,7,7,4,0,0,31,4,23,62,144,50,35,17,13,0,348,0,0,0,3,9,15,19,10,0,58,0,0,0,3,3,3,8,9,3,29,0,68,106,408,740,817,845,472,141,3601,0,0,0,13,6,8,3,0,3,36,0,4,0,11,13,13,14,0,0,60,0,5,10,38,55,83,162,110,35,491,0,0,0,3,11,17,18,7,0,61,0,4,9,28,13,13,3,0,0,81,13,22,34,251,61,46,41,13,6,474,0,3,7,20,10,3,10,11,7,64,0,3,4,55,7,6,10,0,0,87,0,0,0,5,0,0,0,0,0,5
CED208,0,3,8,33,14,7,3,0,0,70,3719,6643,7036,8827,5130,3667,2240,1706,898,39859,10,18,77,150,27,10,7,0,0,295,0,0,3,10,13,3,0,3,0,35,0,3,20,37,26,29,13,10,0,139,0,18,15,51,29,17,0,3,0,139,3,5,0,27,11,12,24,4,0,86,93,342,3496,4204,1030,738,376,227,72,10561,0,0,0,7,16,19,17,35,9,107,0,6,7,26,24,31,30,30,14,178,19,92,108,318,312,262,286,151,81,1634,0,3,14,41,30,19,8,10,3,120,0,14,13,49,21,13,13,3,0,122,0,11,9,52,34,25,66,56,17,283,0,23,37,81,145,186,404,515,138,1528,8,37,253,461,103,150,80,36,6,1132,69,196,688,2109,293,179,114,44,27,3722,13,40,230,381,55,33,30,12,4,803,4,26,48,206,47,20,14,6,0,374,8,15,6,22,10,6,0,0,3,77
CED209,0,3,25,28,0,0,0,0,0,55,4738,9413,8038,14412,7517,7437,5554,2539,992,60659,0,3,3,20,12,0,0,0,0,36,0,0,0,4,3,11,0,0,0,21,0,0,4,0,0,0,0,0,0,5,6,13,6,32,26,6,13,0,0,100,0,0,0,4,0,3,0,3,0,14,6,25,65,209,40,34,14,3,0,399,0,0,0,5,26,30,13,22,7,100,0,4,7,18,3,14,8,0,0,56,22,135,141,427,434,489,557,317,98,2614,0,0,6,8,11,9,0,0,0,33,0,0,4,30,5,0,4,0,0,47,0,6,11,34,25,43,130,60,17,324,0,0,0,5,11,8,26,9,8,73,0,7,15,14,3,11,3,0,0,60,12,40,198,376,47,13,17,7,3,714,0,3,11,15,6,5,0,8,0,48,3,15,10,68,21,8,8,0,0,125,0,5,3,11,8,0,0,0,0,32
CED210,3,33,94,108,28,9,0,0,0,276,4195,7803,8018,14289,7137,6293,4350,2062,785,54931,0,0,3,11,0,0,0,0,0,15,0,0,18,49,36,47,23,27,3,198,0,0,0,5,3,5,4,0,0,19,0,11,7,22,18,11,3,0,0,80,0,0,0,3,3,7,3,0,0,16,4,40,99,120,29,44,24,8,4,375,0,3,8,54,83,108,142,153,25,575,0,0,0,14,4,11,16,9,0,45,10,73,63,313,411,520,543,323,126,2381,0,0,0,32,3,0,0,0,0,35,0,3,4,15,12,7,9,0,0,55,0,4,14,22,27,60,197,75,37,437,0,0,5,8,21,28,62,60,14,205,0,6,19,14,4,5,4,5,0,62,22,30,90,514,19,18,26,3,0,725,0,0,11,16,5,0,3,3,0,41,0,28,34,40,14,7,7,4,3,134,12,13,5,40,9,0,0,0,0,93
