CED_CODE_2016,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
CED201,3753,164,0,0,165,0,3920,305,1984,88,4,2084,0,2388,7,166,83,0,258,0,263,0,9,0,0,13,0,16,313,2167,178,4,2349,0,2666,5,5,0,0,3,0,12,4082,2334,181,5,2520,0,6604,3990,141,4,4,151,0,4140,260,1653,66,6,1731,0,1998,3,150,67,0,218,0,222,0,15,0,3,15,0,15,269,1817,138,11,1966,0,2238,8,0,0,0,0,0,14,4267,1960,143,12,2120,0,6385,2273,80,0,4,85,0,2356,125,897,40,3,944,0,1067,3,78,70,0,152,0,155,3,4,0,0,3,0,7,134,978,113,3,1092,0,1227,3,0,0,0,3,4,10,2411,1060,115,5,1178,4,3593,1558,65,0,0,61,0,1621,94,609,32,3,642,0,734,0,56,44,0,102,0,110,0,5,0,0,5,0,5,97,670,79,4,752,0,850,3,0,0,0,0,0,6,1654,732,83,4,816,3,2474,2295,70,0,0
CED202,6356,102,4,3,106,15,6475,170,440,18,0,464,0,635,9,29,3,0,35,0,41,0,3,0,0,3,0,3,175,472,18,0,493,0,670,11,3,0,0,3,11,26,6544,579,23,6,609,26,7170,6586,89,0,0,89,12,6690,153,334,11,0,343,0,494,3,28,9,0,35,0,42,0,3,0,0,3,0,3,160,361,13,0,382,0,535,15,0,0,0,0,11,22,6759,456,13,0,475,23,7256,3639,67,0,0,67,7,3715,86,129,10,0,139,0,226,3,15,6,0,23,0,24,0,0,0,0,0,0,0,93,145,14,0,158,0,252,3,0,0,0,0,10,12,3737,215,14,0,227,18,3978,2207,32,0,0,32,4,2244,42,95,3,0,99,0,139,0,9,0,0,11,0,11,0,0,0,0,0,0,0,42,96,5,0,105,0,147,3,0,0,0,0,6,11,2256,128,5,0,133,15,2401,2988,51,0,0
CED203,4175,283,0,0,289,8,4466,487,2240,114,14,2376,0,2867,3,326,139,0,467,5,476,4,7,0,7,17,0,19,498,2578,255,24,2855,3,3361,3,3,0,0,3,16,22,4672,2860,256,24,3144,27,7845,3818,308,3,3,317,5,4143,380,1665,99,16,1779,0,2151,5,238,127,0,362,0,365,0,6,6,7,18,0,19,380,1907,227,19,2157,0,2535,8,0,0,0,0,6,12,4202,2216,234,20,2477,19,6694,1930,124,0,0,131,3,2066,176,902,58,4,959,3,1142,0,113,68,0,181,0,180,0,3,5,3,7,0,12,177,1011,130,8,1147,3,1333,0,4,0,0,4,5,7,2112,1146,130,6,1280,8,3400,1091,85,0,0,89,0,1182,84,543,24,7,577,0,656,0,54,55,0,104,0,104,0,4,0,3,10,0,10,84,606,80,5,692,0,773,0,0,0,0,0,3,6,1177,692,80,10,781,3,1959,1370,94,3,0
CED204,6005,94,4,0,98,15,6120,136,340,15,5,356,0,493,3,31,71,0,98,0,102,0,0,0,0,3,0,5,138,372,81,9,456,0,598,15,0,0,0,0,11,23,6161,471,85,9,558,25,6739,6095,79,0,0,79,13,6188,130,258,5,3,263,0,393,5,18,64,0,76,0,86,3,0,0,0,0,0,4,136,274,72,3,345,0,482,22,0,0,0,0,5,27,6251,350,72,3,425,21,6700,3426,38,0,0,38,6,3466,55,118,4,0,126,0,186,0,16,49,0,62,0,62,0,0,0,0,0,0,0,56,131,53,4,185,0,248,3,0,0,0,0,4,10,3490,169,53,4,224,17,3722,2231,16,0,0,16,8,2257,47,57,3,0,62,0,103,0,8,27,0,37,0,34,3,0,0,0,0,0,5,50,61,32,0,93,0,143,4,0,0,0,0,4,10,2284,82,35,0,114,13,2412,2914,26,0,0
CED205,1483,227,0,0,227,0,1707,348,4147,206,22,4371,5,4720,9,579,376,13,968,0,980,11,15,0,5,23,0,31,368,4740,582,35,5367,5,5735,3,6,0,0,4,8,16,1845,4971,589,35,5600,9,7456,1606,142,0,0,144,0,1755,299,3668,192,15,3872,0,4175,13,505,424,3,932,0,945,8,17,4,5,23,0,32,317,4191,617,23,4827,0,5151,0,3,0,0,8,3,13,1927,4341,621,22,4978,6,6913,1068,85,0,0,89,0,1149,150,1902,102,9,2016,0,2166,3,244,254,3,501,0,504,0,10,0,0,14,0,14,153,2156,357,12,2528,0,2684,7,3,0,0,3,3,13,1228,2242,361,13,2620,7,3845,667,45,0,0,46,0,712,92,1180,66,5,1250,0,1346,3,156,167,0,317,0,324,0,3,0,3,8,0,8,97,1335,234,10,1579,6,1675,0,0,0,0,0,3,7,758,1381,232,10,1622,8,2390,947,84,6,0
CED206,2361,334,9,5,348,0,2710,316,4001,433,21,4458,5,4777,3,632,406,6,1044,0,1046,3,30,3,17,56,0,56,327,4665,843,52,5552,7,5887,7,6,0,0,9,12,29,2690,5010,848,52,5912,21,8620,2363,292,10,6,306,3,2676,253,3941,420,23,4381,3,4636,9,633,460,3,1094,0,1100,4,29,14,11,52,0,57,261,4598,888,39,5525,7,5790,4,3,0,0,3,13,23,2633,4901,894,43,5836,28,8490,1510,159,0,0,160,3,1670,191,2166,233,14,2414,4,2608,9,380,328,3,714,0,724,0,11,7,8,27,0,27,197,2559,568,24,3151,4,3359,6,0,0,0,0,4,10,1712,2723,568,24,3319,15,5044,1068,98,4,0,103,0,1169,111,1409,141,4,1561,0,1671,3,232,209,0,445,0,446,0,8,0,6,18,0,24,110,1654,355,17,2021,0,2135,4,0,0,0,0,3,5,1185,1752,353,17,2127,8,3318,1559,116,3,0
CED207,6346,150,0,0,154,15,6513,214,446,23,0,468,0,683,0,44,106,0,150,0,150,5,0,0,0,4,0,7,216,490,129,0,619,0,836,7,0,0,0,0,4,20,6576,643,130,0,777,21,7371,6151,110,3,3,118,13,6278,181,388,24,0,412,0,593,0,37,109,0,146,0,146,4,0,0,0,3,0,5,181,434,133,0,563,0,746,18,3,0,0,3,11,32,6355,542,134,0,687,25,7058,3517,65,0,3,68,3,3593,104,189,6,0,197,0,303,4,17,46,0,61,0,68,0,0,0,0,0,0,3,105,211,55,0,264,0,368,3,0,0,0,0,3,6,3631,274,54,3,334,4,3966,2248,52,5,3,58,5,2314,62,134,4,0,139,0,204,3,13,39,0,50,0,53,0,0,0,0,0,0,0,60,148,41,0,191,0,258,3,0,0,0,0,0,3,2317,203,43,3,254,5,2576,3004,60,0,0
CED208,2748,217,0,0,212,0,2965,454,3184,123,15,3317,0,3772,4,247,121,3,373,0,375,3,8,0,6,21,0,22,463,3442,247,26,3710,0,4171,0,4,0,0,4,11,13,3209,3661,242,26,3928,11,7150,3339,204,0,0,204,4,3547,368,2473,92,12,2576,3,2951,4,185,125,0,311,0,314,0,6,0,3,9,0,15,373,2664,212,12,2894,3,3270,7,0,0,0,0,4,13,3724,2869,212,12,3100,11,6829,2068,86,0,0,90,0,2157,177,1200,72,6,1284,0,1460,0,84,91,3,177,0,184,3,3,0,5,6,0,12,187,1295,166,14,1466,0,1653,3,0,0,0,0,0,3,2253,1381,163,11,1559,0,3812,1281,60,0,0,57,0,1344,126,739,47,5,792,0,917,0,62,63,0,127,0,129,0,6,0,0,8,0,8,122,808,111,9,924,0,1053,0,0,0,0,0,0,0,1408,871,111,6,986,5,2397,1782,61,3,0
CED209,6961,137,0,0,142,4,7106,198,474,10,3,483,3,682,4,40,17,0,52,0,57,3,3,0,0,7,0,7,203,513,24,4,540,4,750,18,3,0,0,3,12,29,7183,655,24,7,683,19,7885,7217,120,0,7,126,6,7357,179,354,11,0,366,0,548,0,20,5,0,29,0,32,0,0,0,0,0,0,0,183,376,18,0,400,0,585,20,0,0,0,0,10,25,7425,498,18,10,526,17,7961,4038,64,0,0,59,4,4104,87,180,9,0,188,0,268,0,13,9,0,18,0,17,0,0,0,0,0,0,0,83,189,11,3,206,0,287,9,0,0,0,0,11,16,4131,250,11,3,263,16,4413,2487,38,0,0,38,6,2526,59,128,3,0,132,0,187,0,5,6,0,12,0,17,0,0,0,0,0,0,0,58,135,7,0,149,0,209,7,0,0,0,0,5,10,2547,176,7,0,186,9,2746,3144,56,0,3
CED210,5241,161,0,0,168,14,5418,193,676,21,0,699,3,900,0,73,65,4,148,0,151,0,3,0,0,8,0,5,197,753,89,8,856,6,1057,6,0,0,0,0,8,18,5441,917,89,14,1019,29,6493,5008,120,0,0,118,5,5132,146,499,20,0,525,0,672,5,64,89,0,155,0,159,0,3,0,3,8,0,8,152,569,116,8,689,0,838,9,0,0,0,0,8,14,5167,686,118,8,810,14,5990,2748,67,0,0,62,3,2814,72,257,10,0,263,0,334,0,31,65,0,91,0,95,0,0,0,0,4,0,4,69,287,76,3,363,0,437,9,0,0,0,0,6,13,2825,352,75,3,427,4,3263,1776,36,3,0,37,3,1821,66,164,6,0,169,0,233,0,27,37,0,64,0,64,0,0,0,0,0,0,0,67,193,38,3,235,0,297,4,0,0,0,0,3,8,1848,232,41,3,275,7,2124,2350,62,0,0
