CED_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
CED201,54086,58110,112194,27357,15178,42530,7089,15829,22917,1389,1753,3140,2131,1943,4074,37963,34706,72668,14003,21163,35169,5.6,5.6,5.6,70.2,59.7,64.8,66.3,56.4,61.1,2740,2537,5276,870,1519,2390,8056,9977,18031,4941,6554,11500,12408,5687,18090,370,617,986,746,1315,2068,13527,7615,21146,54569,57302,111871,7155,7743,14898,40318,42095,82416,19427,20913,40345
CED202,59807,65149,124957,25829,13478,39309,7578,17462,25037,1788,2301,4090,2581,2209,4787,37774,35452,73225,18120,25454,43575,6.8,6.2,6.5,63.2,54.4,58.6,58.8,51,54.8,1860,2113,3975,1115,2207,3323,5947,9121,15066,4418,6585,11002,15382,7631,23011,491,1022,1514,841,1236,2078,16716,9892,26606,57959,61094,119058,9977,11089,21070,38237,39989,78227,26607,29334,55937
CED203,65370,70983,136350,28061,19181,47242,9798,17207,27005,1693,2138,3832,3155,2763,5921,42720,41283,84003,17930,24661,42599,7.4,6.7,7,65.4,58.2,61.6,60.5,54.3,57.3,5276,6322,11601,1652,3250,4900,13120,15819,28933,5276,6132,11403,8793,4352,13142,370,550,917,700,972,1674,9855,5872,15729,58029,61800,119825,12648,13632,26279,38161,41636,79798,29733,31260,60997
CED204,58947,63446,122395,24060,12833,36890,7860,17054,24912,1774,2241,4015,2263,1957,4221,35951,34081,70034,18746,24776,43525,6.3,5.7,6,61,53.7,57.2,57.2,50.6,53.8,1700,2096,3795,1173,2363,3532,5900,9156,15057,4260,6161,10424,15135,7313,22444,501,978,1476,819,1371,2192,16456,9663,26121,56337,59036,115369,9284,10436,19717,37665,38978,76644,24773,27559,52330
CED205,65359,65166,130519,25905,13794,39701,9082,13119,22209,1669,1574,3243,3401,2884,6289,40065,31380,71441,21607,30251,51858,8.5,9.2,8.8,61.3,48.2,54.7,56.1,43.7,49.9,4746,4012,8759,913,1458,2371,11006,11693,22701,5831,6470,12298,9220,4222,13444,409,596,1003,824,1254,2084,10454,6077,16531,60491,60714,121208,11978,11048,23028,40235,41437,81672,29528,27615,57144
CED206,65414,66542,131960,26478,13802,40283,8734,13865,22601,1998,1791,3793,3598,3004,6601,40813,32469,73280,20669,30197,50872,8.8,9.3,9,62.4,48.8,55.5,56.9,44.3,50.5,1762,1693,3457,536,1029,1565,6410,7802,14216,4864,6204,11062,12357,5731,18089,495,832,1329,900,1332,2236,13757,7898,21654,66444,67126,133569,8987,8883,17869,48622,49710,98337,23183,22880,46068
CED207,56095,59291,115387,28464,13777,42237,6925,17470,24396,1789,2126,3919,1700,1676,3374,38874,35056,73933,14476,21305,35781,4.4,4.8,4.6,69.3,59.1,64.1,66.3,56.3,61.1,1284,1514,2804,824,1704,2530,5098,7871,12969,4499,7404,11899,17298,7426,24725,418,867,1286,814,1406,2214,18523,9696,28219,57516,59179,116689,7221,7825,15045,40771,41702,82475,21166,22746,43915
CED208,67115,72227,139344,26578,15998,42579,9836,16754,26589,1428,1871,3305,3438,3289,6723,41283,37914,79197,22484,30714,53197,8.3,8.7,8.5,61.5,52.5,56.8,56.4,47.9,52,7043,6428,13466,1582,2549,4129,15243,17358,32597,6045,7260,13303,7526,3520,11043,314,487,797,702,1156,1857,8536,5158,13690,58260,62660,120920,15621,15743,31364,37526,41294,78818,34106,34918,69023
CED209,59465,63504,122969,26695,13126,39823,8427,18939,27365,1885,2335,4219,1876,1686,3563,38880,36083,74967,17167,23920,41087,4.8,4.7,4.8,65.4,56.8,61,62.2,54.2,58.1,2374,2357,4731,1153,2303,3460,7924,11180,19107,5430,7537,12976,15283,7010,22293,428,795,1227,856,1316,2175,16567,9119,25689,57532,59872,117407,10902,11370,22268,37649,39167,76818,27746,29377,57123
CED210,59364,64305,123675,24206,12896,37098,7080,16329,23417,1722,2053,3773,2669,2184,4854,35675,33464,69139,19836,26641,46483,7.5,6.5,7,60.1,52,55.9,55.6,48.6,52,1491,1666,3164,770,1644,2413,5563,8191,13762,4407,6490,10891,14886,8039,22929,492,887,1386,848,1316,2166,16229,10248,26477,55359,59045,114396,9710,10834,20544,37466,39824,77289,24799,27554,52351
CED211,57011,63002,120018,27344,15321,42670,7707,16487,24202,1377,1830,3206,2288,2038,4330,38722,35674,74402,15923,24473,40399,5.9,5.7,5.8,67.9,56.6,62,63.9,53.4,58.4,4249,4010,8259,1475,2536,4012,10953,13359,24307,5597,7054,12652,10383,4863,15255,329,548,879,788,1277,2066,11502,6686,18192,56311,60692,117002,9358,9841,19198,38670,42041,80712,24433,25952,50386
CED212,57044,62952,119996,26231,14014,40247,6923,16484,23410,1524,1964,3487,2193,2131,4327,36873,34593,71471,16605,24539,41148,5.9,6.2,6.1,64.6,55,59.6,60.8,51.6,56,1606,1710,3313,897,1802,2699,5901,8752,14653,5131,7548,12675,15468,7413,22885,417,872,1289,920,1506,2421,16799,9790,26593,55145,59009,114154,8966,9702,18675,37214,39554,76769,24228,26868,51095
CED213,61363,65436,126797,25639,12222,37855,7850,17512,25361,1895,2179,4072,1837,1695,3535,37220,33611,70831,20030,27363,47401,4.9,5,5,60.7,51.4,55.9,57.7,48.8,53.1,1207,1399,2608,847,1726,2573,5031,7680,12709,4977,7714,12685,18341,7706,26045,451,983,1425,988,1643,2630,19780,10326,30100,58134,60722,118863,10030,10440,20471,39125,40142,79271,26468,28740,55208
