CED_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
CED201,167,364,287,241,301,135,78,1569,21,19,18,10,15,8,3,93,5,14,7,3,13,5,0,49,308,666,537,457,746,376,228,3318,10,20,16,9,18,7,6,92,21,46,35,17,27,11,8,162,36,65,49,27,41,20,11,247,344,735,589,485,784,397,243,3566,381,338,187,145,187,92,71,1402,3,3,5,0,0,3,0,25,729,1078,781,628,971,494,309,4991
CED202,314,665,436,284,409,104,40,2256,41,42,21,22,23,7,3,154,7,15,23,10,13,0,3,69,462,1019,764,515,870,269,104,3997,27,99,57,29,26,13,3,251,65,150,74,49,53,10,3,408,92,245,134,81,76,22,9,655,552,1261,893,600,946,292,113,4660,928,795,431,275,271,74,26,2794,15,16,3,5,7,0,0,44,1496,2065,1326,880,1227,363,141,7498
CED203,200,343,255,157,232,134,60,1385,26,16,10,4,3,8,8,81,4,8,4,4,3,4,0,29,343,607,484,318,517,328,191,2793,14,33,27,18,22,14,11,138,19,44,21,22,24,8,11,142,35,74,49,37,39,17,21,280,375,681,528,358,556,346,213,3069,419,395,214,167,199,121,83,1605,10,4,3,6,7,0,4,38,808,1083,749,534,761,464,296,4703
CED204,286,664,430,290,405,120,34,2229,49,48,29,17,14,6,3,171,9,9,9,5,7,0,3,40,438,985,734,551,840,281,108,3939,25,67,47,21,39,3,0,211,53,86,53,27,39,11,0,277,79,157,100,51,87,13,0,486,516,1139,834,607,928,298,109,4425,878,804,413,251,288,80,23,2731,6,6,6,3,9,0,0,34,1397,1947,1252,861,1221,381,131,7188
CED205,135,290,251,194,255,151,86,1362,23,6,4,5,13,7,14,75,14,8,12,13,13,11,12,75,333,581,516,403,610,417,270,3123,27,55,23,21,44,17,14,209,33,65,37,34,34,31,9,242,56,118,66,56,76,56,23,449,390,697,580,450,686,470,292,3571,538,501,352,259,359,249,137,2390,8,8,8,10,6,0,3,49,937,1210,940,722,1048,726,433,6018
CED206,203,349,292,229,312,144,71,1598,18,8,23,10,14,9,6,89,13,28,24,14,25,15,7,120,376,706,607,465,734,390,229,3514,35,74,36,39,42,26,12,263,40,109,62,38,66,29,9,350,80,178,96,77,107,55,21,618,455,882,711,539,846,448,251,4132,858,909,557,340,497,248,151,3553,13,22,15,8,6,3,5,85,1324,1819,1284,892,1349,701,408,7765
CED207,250,580,400,250,379,135,51,2034,27,20,16,11,25,10,3,112,6,8,10,7,14,4,3,56,378,887,702,509,835,355,140,3801,8,28,26,21,22,15,6,123,36,48,37,21,23,3,3,174,48,83,62,36,44,15,9,299,421,963,767,548,881,374,147,4099,497,470,247,163,221,78,28,1707,3,6,7,4,4,5,4,37,918,1441,1022,719,1107,457,174,5849
CED208,105,283,259,159,250,196,109,1347,14,12,12,5,12,14,10,70,5,6,6,5,8,14,10,53,215,562,498,354,615,514,285,3031,14,15,16,13,26,20,17,131,22,30,17,23,20,26,10,154,31,48,39,37,53,51,31,287,243,611,541,386,665,561,311,3316,262,335,212,176,271,173,97,1516,6,4,0,3,0,0,4,19,510,945,746,562,929,736,414,4856
CED209,263,514,391,278,380,117,51,1999,24,23,15,5,21,3,6,99,0,7,12,7,10,6,0,40,385,817,663,487,765,278,123,3517,12,38,29,27,18,12,0,136,25,53,40,18,22,0,7,159,31,90,67,45,47,11,5,298,417,907,731,527,807,289,130,3817,441,449,238,176,186,58,15,1558,3,12,3,3,10,3,0,36,862,1365,976,704,1002,348,150,5410
CED210,322,542,400,266,387,127,52,2095,52,35,23,7,32,6,5,164,8,15,14,11,9,3,0,61,520,900,699,536,848,302,133,3933,22,75,49,35,51,8,5,253,55,108,65,36,41,11,3,319,82,179,112,69,92,22,11,564,600,1082,814,602,940,322,144,4500,958,877,430,322,376,115,61,3139,18,27,17,9,8,3,3,81,1575,1988,1258,935,1323,444,202,7730
