CED_CODE_2016,F_ID_NS_0,F_ID_NS_1_15,F_ID_NS_16_24,F_ID_NS_25_34,F_ID_NS_35_39,F_ID_NS_40,F_ID_NS_41_48,F_ID_NS_49over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_15,F_Tot_16_24,F_Tot_25_34,F_Tot_35_39,F_Tot_40,F_Tot_41_48,F_Tot_49over,F_Tot_hours_NS,F_Tot_Tot,P_AgriForestFish_0,P_AgriForestFish_1_15,P_AgriForestFish_16_24,P_AgriForestFish_25_34,P_AgriForestFish_35_39,P_AgriForestFish_40,P_AgriForestFish_41_48,P_AgriForestFish_49over,P_AgriForestFish_hours_NS,P_AgriForestFish_Tot,P_Min_0,P_Min_1_15,P_Min_16_24,P_Min_25_34,P_Min_35_39,P_Min_40,P_Min_41_48,P_Min_49over,P_Min_hours_NS,P_Min_Tot,P_Mnfg_0,P_Mnfg_1_15,P_Mnfg_16_24,P_Mnfg_25_34,P_Mnfg_35_39,P_Mnfg_40,P_Mnfg_41_48,P_Mnfg_49over,P_Mnfg_hours_NS,P_Mnfg_Tot,P_EGW_WS_0,P_EGW_WS_1_15,P_EGW_WS_16_24,P_EGW_WS_25_34,P_EGW_WS_35_39,P_EGW_WS_40,P_EGW_WS_41_48,P_EGW_WS_49over,P_EGW_WS_hours_NS,P_EGW_WS_Tot,P_Cnstn_0,P_Cnstn_1_15,P_Cnstn_16_24,P_Cnstn_25_34,P_Cnstn_35_39,P_Cnstn_40,P_Cnstn_41_48,P_Cnstn_49over,P_Cnstn_hours_NS,P_Cnstn_Tot,P_WTrade_0,P_WTrade_1_15,P_WTrade_16_24,P_WTrade_25_34,P_WTrade_35_39,P_WTrade_40,P_WTrade_41_48,P_WTrade_49over,P_WTrade_hours_NS,P_WTrade_Tot,P_RTrade_0,P_RTrade_1_15,P_RTrade_16_24,P_RTrade_25_34,P_RTrade_35_39,P_RTrade_40,P_RTrade_41_48,P_RTrade_49over,P_RTrade_hours_NS,P_RTrade_Tot,P_AccomFoodS_0,P_AccomFoodS_1_15,P_AccomFoodS_16_24,P_AccomFoodS_25_34,P_AccomFoodS_35_39,P_AccomFoodS_40,P_AccomFoodS_41_48,P_AccomFoodS_49over,P_AccomFoodS_hours_NS,P_AccomFoodS_Tot,P_TransPostWhse_0,P_TransPostWhse_1_15,P_TransPostWhse_16_24,P_TransPostWhse_25_34,P_TransPostWhse_35_39,P_TransPostWhse_40,P_TransPostWhse_41_48,P_TransPostWhse_49over,P_TransPostWhse_hours_NS,P_TransPostWhse_Tot,P_InfoMedTelecom_0,P_InfoMedTelecom_1_15,P_InfoMedTelecom_16_24,P_InfoMedTelecom_25_34,P_InfoMedTelecom_35_39,P_InfoMedTelecom_40,P_InfoMedTelecom_41_48,P_InfoMedTelecom_49over,P_InfoMedTelecom_hours_NS,P_InfoMedTelecom_Tot,P_FinInsurS_0,P_FinInsurS_1_15,P_FinInsurS_16_24,P_FinInsurS_25_34,P_FinInsurS_35_39,P_FinInsurS_40,P_FinInsurS_41_48,P_FinInsurS_49over,P_FinInsurS_hours_NS,P_FinInsurS_Tot,P_RentHirREserv_0,P_RentHirREserv_1_15,P_RentHirREserv_16_24,P_RentHirREserv_25_34,P_RentHirREserv_35_39,P_RentHirREserv_40,P_RentHirREserv_41_48,P_RentHirREserv_49over,P_RentHirREserv_hours_NS,P_RentHirREserv_Tot,P_ProScieTechServ_0,P_ProScieTechServ_1_15,P_ProScieTechServ_16_24,P_ProScieTechServ_25_34,P_ProScieTechServ_35_39,P_ProScieTechServ_40,P_ProScieTechServ_41_48,P_ProScieTechServ_49over,P_ProScieTechServ_hours_NS,P_ProScieTechServ_Tot,P_AdminSupServ_0,P_AdminSupServ_1_15,P_AdminSupServ_16_24,P_AdminSupServ_25_34,P_AdminSupServ_35_39,P_AdminSupServ_40,P_AdminSupServ_41_48,P_AdminSupServ_49over,P_AdminSupServ_hours_NS,P_AdminSupServ_Tot,P_PubAdmiSafety_0,P_PubAdmiSafety_1_15,P_PubAdmiSafety_16_24,P_PubAdmiSafety_25_34,P_PubAdmiSafety_35_39,P_PubAdmiSafety_40,P_PubAdmiSafety_41_48,P_PubAdmiSafety_49over,P_PubAdmiSafety_hours_NS,P_PubAdmiSafety_Tot,P_EducTrain_0,P_EducTrain_1_15,P_EducTrain_16_24,P_EducTrain_25_34,P_EducTrain_35_39,P_EducTrain_40,P_EducTrain_41_48,P_EducTrain_49over,P_EducTrain_hours_NS,P_EducTrain_Tot,P_HealthCareSocA_0,P_HealthCareSocA_1_15,P_HealthCareSocA_16_24,P_HealthCareSocA_25_34,P_HealthCareSocA_35_39,P_HealthCareSocA_40,P_HealthCareSocA_41_48,P_HealthCareSocA_49over,P_HealthCareSocA_hours_NS,P_HealthCareSocA_Tot,P_ArtRecServ_0,P_ArtRecServ_1_15,P_ArtRecServ_16_24,P_ArtRecServ_25_34,P_ArtRecServ_35_39,P_ArtRecServ_40,P_ArtRecServ_41_48,P_ArtRecServ_49over,P_ArtRecServ_hours_NS,P_ArtRecServ_Tot
CED201,51,187,159,152,258,189,60,54,236,1337,1265,5566,5016,5253,6656,4743,1916,1863,489,32762,5,29,16,30,39,47,13,23,0,200,0,3,0,0,18,28,9,37,0,101,127,335,382,447,2052,1711,816,873,43,6784,20,15,32,37,186,194,97,108,10,696,170,309,347,450,1084,2061,801,1179,83,6496,90,161,210,281,976,947,419,440,20,3547,233,1937,1095,1061,1495,1135,573,709,87,8322,102,1399,557,438,381,328,205,341,41,3788,72,144,158,229,531,571,321,484,23,2537,47,74,98,90,332,367,148,187,7,1354,91,103,213,240,593,794,249,329,15,2619,23,95,68,83,213,231,91,161,11,990,114,407,394,422,1050,1354,507,664,22,4925,56,387,261,337,472,403,149,176,25,2276,136,208,252,268,735,694,327,274,24,2916,172,862,715,676,1060,717,468,716,29,5413,400,966,1424,1803,1688,1162,406,433,72,8345,35,335,142,115,144,133,56,89,3,1047
CED202,54,170,90,93,97,96,21,58,244,931,1731,6236,5409,5818,5551,3838,1857,2242,573,33244,71,218,155,190,185,285,162,565,28,1857,20,20,15,25,46,54,93,247,4,527,138,364,256,286,1275,1238,796,817,43,5220,31,14,20,37,175,191,72,118,3,669,191,306,330,472,1069,2003,846,1349,103,6677,39,113,102,113,306,334,204,267,15,1499,275,1756,1013,1021,1185,749,469,603,89,7160,182,1920,700,599,470,312,256,453,80,4967,127,211,197,285,474,556,384,769,54,3061,56,98,79,76,287,219,235,160,9,1219,63,64,99,138,259,298,123,143,10,1202,18,71,62,67,165,151,104,180,16,834,103,423,371,406,588,789,382,538,22,3623,60,422,268,253,317,217,98,141,32,1794,256,266,399,403,1110,991,438,436,34,4340,267,944,900,1006,1314,897,646,974,77,7027,629,1086,1816,2364,1805,1436,561,677,73,10450,64,327,169,181,196,148,80,166,26,1347
CED203,48,192,159,137,207,198,53,89,284,1368,1517,5772,5629,5800,7078,6001,2887,3218,620,38521,8,40,34,38,67,53,27,33,0,298,15,4,6,6,14,25,20,43,0,131,99,265,328,328,1126,1095,555,598,37,4429,31,24,31,48,216,198,82,93,4,721,98,243,294,381,735,1520,551,947,79,4856,47,116,161,155,470,508,241,298,18,2008,184,1571,1080,942,1325,918,524,624,114,7279,139,1580,1072,754,712,575,367,566,123,5884,91,162,266,311,601,668,342,435,49,2923,52,138,144,193,449,580,247,378,18,2195,133,82,206,252,732,1054,390,475,19,3336,22,77,80,100,200,230,131,217,3,1056,218,559,678,784,1309,2051,966,1328,59,7946,75,433,500,374,555,455,169,260,23,2842,244,281,449,518,1398,1006,628,478,37,5047,253,1316,1048,1055,1543,1292,815,1190,56,8566,433,1066,1581,1960,1995,1671,738,801,104,10340,55,429,275,288,321,323,164,254,26,2127
CED204,52,167,102,112,93,86,29,52,209,894,1708,5988,5289,5773,5350,3560,1783,2141,529,32124,75,233,188,227,276,307,159,539,42,2033,40,31,26,27,62,119,147,429,11,900,177,421,359,450,1494,1309,774,753,68,5813,33,25,28,77,150,220,105,119,7,770,171,335,307,474,917,1712,730,1086,91,5817,38,124,86,69,240,241,145,247,11,1198,279,1897,998,945,1168,678,509,535,75,7086,137,1612,639,545,406,288,206,437,80,4346,97,189,192,229,315,433,285,523,28,2293,28,118,72,81,205,148,81,121,3,856,111,100,206,218,634,453,256,257,17,2257,14,67,66,69,134,133,82,153,3,728,104,386,333,393,550,610,329,514,21,3245,68,411,306,276,325,230,97,133,27,1861,282,234,325,411,1035,918,478,397,43,4123,260,878,837,871,1039,784,503,865,52,6084,667,1118,1831,2495,1726,1331,551,645,90,10451,53,260,126,145,143,140,67,142,6,1088
CED205,33,192,170,146,290,201,49,50,331,1462,937,4708,4117,4297,6290,4324,1517,1662,644,28491,3,31,36,27,76,48,19,20,3,269,6,3,4,3,19,19,6,21,0,74,111,398,423,416,2503,1608,711,696,67,6926,13,9,21,21,172,157,75,70,7,552,101,241,293,380,862,1404,505,626,73,4490,45,166,209,188,857,756,294,329,15,2867,187,1502,997,854,1334,975,399,562,77,6895,91,1281,849,525,583,410,183,380,89,4389,80,168,285,359,680,680,343,477,37,3105,35,87,78,86,355,388,117,103,15,1266,80,123,208,206,655,941,264,274,14,2760,21,100,59,95,231,230,115,151,14,1012,116,448,398,425,1179,1663,465,645,51,5387,67,457,515,390,528,374,119,158,44,2645,89,147,196,216,726,484,238,181,21,2299,137,948,592,591,921,729,318,532,46,4822,279,928,1213,1629,1707,1076,463,517,94,7901,19,203,129,81,126,116,48,73,9,801
CED206,37,210,140,145,222,148,35,57,372,1366,1050,4912,4347,4604,6420,4261,1521,1598,747,29460,5,14,24,23,48,54,16,30,7,210,4,3,3,3,17,19,7,34,0,86,133,353,360,415,1987,1639,711,735,79,6406,19,25,30,28,203,148,76,80,7,607,149,384,362,559,1160,1903,658,1053,143,6372,39,140,135,161,629,586,229,267,17,2204,192,1790,1093,968,1378,858,435,489,96,7306,121,1439,754,508,560,402,202,355,79,4417,221,346,571,733,1470,1403,721,1093,117,6670,23,74,56,60,289,240,72,81,11,911,95,73,168,190,613,711,185,209,26,2267,27,90,81,71,237,197,90,148,11,949,69,274,255,280,691,870,302,372,35,3147,67,424,390,359,598,412,132,178,28,2584,155,267,342,346,1039,645,305,254,37,3403,145,707,671,697,1086,721,312,446,49,4835,235,736,1044,1308,1418,1029,350,488,110,6733,20,261,120,104,139,136,49,63,15,904
CED207,69,215,159,166,192,155,58,62,252,1316,1564,6262,5502,5712,5810,3969,1979,2014,565,33380,78,178,197,193,213,270,123,280,27,1558,13,0,8,3,14,27,16,75,5,161,164,444,371,522,1941,1549,919,976,63,6954,33,24,23,41,179,230,107,117,6,755,269,461,463,657,1470,3055,1216,1903,129,9617,68,168,185,195,593,596,356,429,27,2616,254,1663,1048,969,1278,941,534,690,82,7460,121,1408,551,441,318,195,220,315,52,3624,78,143,152,241,402,489,337,501,21,2349,39,84,77,75,226,214,116,115,8,949,67,72,133,147,320,450,188,228,5,1609,31,116,90,93,176,215,103,198,6,1036,150,420,411,470,675,874,397,588,24,4011,77,457,310,312,404,389,188,254,43,2424,190,228,235,293,767,738,366,351,26,3194,245,897,869,780,887,644,530,825,53,5729,457,1115,1506,1864,1530,940,405,409,92,8321,47,336,142,128,173,175,86,102,10,1202
CED208,41,215,165,113,187,206,42,60,238,1270,1339,6366,5336,5055,6123,5343,2138,2400,537,34625,9,35,17,21,24,45,14,27,3,186,3,3,5,9,10,42,11,28,0,115,93,315,292,283,1028,1062,568,592,28,4261,17,23,44,24,173,222,70,82,0,654,79,231,311,332,593,1275,432,798,37,4091,52,188,196,216,612,773,305,383,7,2729,197,1922,1182,830,1183,1003,481,670,71,7531,151,1747,1130,563,580,486,269,476,93,5495,68,177,217,244,443,559,259,347,24,2332,47,136,133,139,409,515,188,219,5,1801,114,134,260,311,789,1263,367,526,32,3801,40,129,114,101,262,355,150,244,13,1403,180,644,625,686,1558,2356,844,1132,43,8082,67,522,509,342,504,458,161,193,36,2790,129,195,218,273,834,692,376,259,20,2990,225,1586,899,853,1222,1079,610,1042,73,7600,434,1155,1572,1755,1766,1394,593,721,81,9469,40,470,172,145,155,191,79,130,20,1406
CED209,58,199,121,110,91,90,34,40,218,956,1803,6979,6086,5877,5184,3793,1800,2350,529,34396,117,302,218,258,225,397,163,969,50,2692,16,10,9,12,9,41,28,120,3,246,190,356,360,393,1116,1222,673,840,41,5182,28,34,31,47,186,158,112,126,8,732,180,417,364,486,991,2146,931,1553,100,7169,62,139,138,128,329,332,225,325,11,1688,305,1906,1118,1028,1068,951,562,738,72,7742,229,1986,718,627,503,450,240,510,79,5345,118,192,159,235,298,467,298,656,37,2452,25,126,93,93,174,143,86,118,3,872,89,112,179,184,336,395,218,255,5,1776,35,108,93,95,183,168,96,205,3,981,120,471,443,483,632,831,419,672,35,4101,83,493,325,293,303,241,98,189,31,2056,283,320,419,448,978,962,452,444,36,4347,314,990,1037,1005,1311,1114,721,1042,55,7582,574,1273,2007,2249,1701,1214,497,594,92,10197,53,376,144,140,154,164,95,152,10,1285
CED210,58,165,94,121,125,81,42,43,253,993,1501,5717,5199,5420,5448,3803,1725,1915,550,31282,36,89,71,91,113,154,72,155,15,799,22,8,7,7,14,30,22,86,0,192,133,295,271,296,1303,1572,630,763,46,5317,31,34,44,48,292,182,104,133,8,873,175,360,296,444,996,1907,787,1216,72,6258,42,124,97,119,339,358,195,223,7,1494,291,1599,1025,1048,1370,950,479,675,91,7525,171,1775,710,593,475,315,198,366,81,4688,150,180,227,295,458,627,433,736,53,3163,19,85,44,60,168,156,69,87,5,694,85,63,170,171,448,448,196,217,8,1806,19,58,63,65,190,166,84,135,7,790,99,351,297,306,602,709,323,498,21,3204,64,483,356,274,347,257,110,160,35,2081,243,311,325,334,997,931,418,393,31,3983,204,737,726,763,1063,730,467,754,31,5480,509,1091,1769,2234,1689,1227,528,623,87,9765,29,286,139,123,136,123,70,113,17,1028
