CED_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
CED201,8312,14506,10162,6856,10834,7616,3735,5522,1057,68598
CED202,8083,13721,10388,8284,8726,6781,4270,7070,1116,68436
CED203,9853,24456,8477,8032,10068,6941,3093,5876,1285,78078
CED204,8005,13920,9467,7847,7803,6381,3698,7696,1002,65812
CED205,7233,14759,8608,6307,8611,6360,4750,7183,1339,65151
CED206,6493,9643,9873,7485,9956,7402,6839,7552,1438,66675
CED207,8669,11673,13411,7955,9789,6770,4123,7023,1151,70554
CED208,9845,22859,7328,7020,9839,7267,2205,4907,1196,72477
CED209,9779,15846,10586,8470,8297,7062,3366,6845,1138,71401
CED210,6547,11838,9790,8496,7765,6559,4615,7557,1113,64284
CED211,9117,19808,8687,7028,10228,6737,2562,4884,1006,70071
CED212,8412,12796,11052,7846,9061,7403,3551,5955,1079,67140
CED213,9163,10583,12815,7852,8065,7115,3598,7015,1084,67294
CED214,10591,20591,8897,7679,10631,6721,4967,7081,1495,78644
CED215,7824,8980,9335,6806,6847,5558,4086,7212,1028,57676
CED216,14654,24225,5315,6236,9208,6763,1166,2572,1048,71187
CED217,7999,12148,12096,9182,12886,8715,9758,9768,1806,84360
CED218,14955,31775,5417,6634,10302,7344,1064,2812,1380,81684
CED219,7846,12023,14582,10102,12340,8908,9930,11387,1697,88803
CED220,8408,15880,8930,6718,9609,7217,4252,6938,1204,69157
CED221,9590,10169,9810,7505,6983,5723,4399,7586,1060,62829
CED222,9751,15508,10681,7699,11116,7759,5003,6868,1342,75735
CED223,10072,21270,8416,6918,10248,6007,1982,3786,986,69680
CED224,13196,28056,4164,5881,9022,6589,872,2410,1175,71365
CED225,10068,15669,13002,8185,11861,7936,4452,6481,1164,78807
CED226,11068,19322,13526,11744,15913,10169,11234,10113,1966,105043
CED227,11154,8629,7560,6502,6136,5740,3933,8069,996,58717
CED228,9237,17120,8886,7627,10627,7394,5010,7509,1629,75035
CED229,11513,16240,16471,11685,15038,9832,8097,9207,1626,99701
CED230,9776,10323,12143,7965,8631,6997,5567,8950,1220,71572
CED231,15721,42708,7643,11163,11941,8252,1765,5241,1762,106199
CED232,16937,34246,6549,7595,10875,7094,1185,3019,1543,89039
CED233,10605,17730,7103,5886,9397,7280,1657,3645,1053,64351
CED234,10588,8927,8423,6403,6382,5781,4249,9130,1011,60900
CED235,7566,13110,11365,8547,11082,8321,6353,8041,1340,75723
CED236,10714,8514,7855,6367,5593,5370,4141,8368,957,57866
CED237,10392,26239,9635,8569,11348,7135,3470,5855,1374,84018
CED294,178,405,297,277,182,134,200,307,57,2033
CED297,0,4,7,0,0,0,0,3,0,23
