LGA_CODE_2016,A55_64_SOLSE_VWW_12,A55_64_SOLSE_VWW_13,A55_64_SOLSE_VWW_14,A55_64_SOLSE_VWW_15,A55_64_SOLSE_VWW_16,A55_64_SOLSE_VWW_YNS,A55_64_SOLSE_VWW_T,A55_64_SOLSE_NWNAA_B00,A55_64_SOLSE_NWNAA_00_05,A55_64_SOLSE_NWNAA_06_10,A55_64_SOLSE_NWNAA_11,A55_64_SOLSE_NWNAA_12,A55_64_SOLSE_NWNAA_13,A55_64_SOLSE_NWNAA_14,A55_64_SOLSE_NWNAA_15,A55_64_SOLSE_NWNAA_16,A55_64_SOLSE_NWNAA_YNS,A55_64_SOLSE_NWNAA_T,A55_64_SOLSE_PinE_NS_B00,A55_64_SOLSE_PinE_NS_00_05,A55_64_SOLSE_PinE_NS_06_10,A55_64_SOLSE_PinE_NS_11,A55_64_SOLSE_PinE_NS_12,A55_64_SOLSE_PinE_NS_13,A55_64_SOLSE_PinE_NS_14,A55_64_SOLSE_PinE_NS_15,A55_64_SOLSE_PinE_NS_16,A55_64_SOLSE_PinE_NS_YNS,A55_64_SOLSE_PinE_NS_T,A55_64_SOLSE_T_B00,A55_64_SOLSE_T_00_05,A55_64_SOLSE_T_06_10,A55_64_SOLSE_T_11,A55_64_SOLSE_T_12,A55_64_SOLSE_T_13,A55_64_SOLSE_T_14,A55_64_SOLSE_T_15,A55_64_SOLSE_T_16,A55_64_SOLSE_T_YNS,A55_64_SOLSE_T_T,A55_64_L_PinE_NS_B00,A55_64_L_PinE_NS_00_05,A55_64_L_PinE_NS_06_10,A55_64_L_PinE_NS_11,A55_64_L_PinE_NS_12,A55_64_L_PinE_NS_13,A55_64_L_PinE_NS_14,A55_64_L_PinE_NS_15,A55_64_L_PinE_NS_16,A55_64_L_PinE_NS_YNS,A55_64_L_PinE_NS_T,A55_64_T_B00,A55_64_T_00_05,A55_64_T_06_10,A55_64_T_11,A55_64_T_12,A55_64_T_13,A55_64_T_14,A55_64_T_15,A55_64_T_16,A55_64_T_YNS,A55_64_T_T,A65_74_SEO_B00,A65_74_SEO_00_05,A65_74_SEO_06_10,A65_74_SEO_11,A65_74_SEO_12,A65_74_SEO_13,A65_74_SEO_14,A65_74_SEO_15,A65_74_SEO_16,A65_74_SEO_YNS,A65_74_SEO_T,A65_74_SOLSE_VWW_B00,A65_74_SOLSE_VWW_00_05,A65_74_SOLSE_VWW_06_10,A65_74_SOLSE_VWW_11,A65_74_SOLSE_VWW_12,A65_74_SOLSE_VWW_13,A65_74_SOLSE_VWW_14,A65_74_SOLSE_VWW_15,A65_74_SOLSE_VWW_16,A65_74_SOLSE_VWW_YNS,A65_74_SOLSE_VWW_T,A65_74_SOLSE_NWNAA_B00,A65_74_SOLSE_NWNAA_00_05,A65_74_SOLSE_NWNAA_06_10,A65_74_SOLSE_NWNAA_11,A65_74_SOLSE_NWNAA_12,A65_74_SOLSE_NWNAA_13,A65_74_SOLSE_NWNAA_14,A65_74_SOLSE_NWNAA_15,A65_74_SOLSE_NWNAA_16,A65_74_SOLSE_NWNAA_YNS,A65_74_SOLSE_NWNAA_T,A65_74_SOLSE_PinE_NS_B00,A65_74_SOLSE_PinE_NS_00_05,A65_74_SOLSE_PinE_NS_06_10,A65_74_SOLSE_PinE_NS_11,A65_74_SOLSE_PinE_NS_12,A65_74_SOLSE_PinE_NS_13,A65_74_SOLSE_PinE_NS_14,A65_74_SOLSE_PinE_NS_15,A65_74_SOLSE_PinE_NS_16,A65_74_SOLSE_PinE_NS_YNS,A65_74_SOLSE_PinE_NS_T,A65_74_SOLSE_T_B00,A65_74_SOLSE_T_00_05,A65_74_SOLSE_T_06_10,A65_74_SOLSE_T_06,A65_74_SOLSE_T_12,A65_74_SOLSE_T_13,A65_74_SOLSE_T_14,A65_74_SOLSE_T_15,A65_74_SOLSE_T_16,A65_74_SOLSE_T_YNS,A65_74_SOLSE_T_T,A65_74_L_PinE_NS_B00,A65_74_L_PinE_NS_00_05,A65_74_L_PinE_NS_06_10,A65_74_L_PinE_NS_11,A65_74_L_PinE_NS_12,A65_74_L_PinE_NS_13,A65_74_L_PinE_NS_14,A65_74_L_PinE_NS_15,A65_74_L_PinE_NS_16,A65_74_L_PinE_NS_YNS,A65_74_L_PinE_NS_T,A65_74_T_B00,A65_74_T_00_05,A65_74_T_06_10,A65_74_T_11,A65_74_T_12,A65_74_T_13,A65_74_T_14,A65_74_T_15,A65_74_T_16,A65_74_T_YNS,A65_74_T_T,A75_84_SEO_B00,A75_84_SEO_00_05,A75_84_SEO_06_10,A75_84_SEO_11,A75_84_SEO_12,A75_84_SEO_13,A75_84_SEO_14,A75_84_SEO_15,A75_84_SEO_16,A75_84_SEO_YNS,A75_84_SEO_T,A75_84_SOLSE_VWW_B00,A75_84_SOLSE_VWW_00_05,A75_84_SOLSE_VWW_06_10,A75_84_SOLSE_VWW_11,A75_84_SOLSE_VWW_12,A75_84_SOLSE_VWW_13,A75_84_SOLSE_VWW_14,A75_84_SOLSE_VWW_15,A75_84_SOLSE_VWW_16,A75_84_SOLSE_VWW_YNS,A75_84_SOLSE_VWW_T,A75_84_SOLSE_NWNAA_B00,A75_84_SOLSE_NWNAA_00_05,A75_84_SOLSE_NWNAA_06_10,A75_84_SOLSE_NWNAA_11,A75_84_SOLSE_NWNAA_12,A75_84_SOLSE_NWNAA_13,A75_84_SOLSE_NWNAA_14,A75_84_SOLSE_NWNAA_15,A75_84_SOLSE_NWNAA_16,A75_84_SOLSE_NWNAA_YNS,A75_84_SOLSE_NWNAA_T,A75_84_SOLSE_PinE_NS_B00,A75_84_SOLSE_PinE_NS_00_05,A75_84_SOLSE_PinE_NS_06_10,A75_84_SOLSE_PinE_NS_11,A75_84_SOLSE_PinE_NS_12,A75_84_SOLSE_PinE_NS_13,A75_84_SOLSE_PinE_NS_14,A75_84_SOLSE_PinE_NS_15,A75_84_SOLSE_PinE_NS_16,A75_84_SOLSE_PinE_NS_YNS,A75_84_SOLSE_PinE_NS_T,A75_84_SOLSE_T_B00,A75_84_SOLSE_T_00_05,A75_84_SOLSE_T_06_10,A75_84_SOLSE_T_11,A75_84_SOLSE_T_12,A75_84_SOLSE_T_13,A75_84_SOLSE_T_14,A75_84_SOLSE_T_15,A75_84_SOLSE_T_16,A75_84_SOLSE_T_YNS,A75_84_SOLSE_T_T,A75_84_L_PinE_NS_B00,A75_84_L_PinE_NS_00_05,A75_84_L_PinE_NS_06_10,A75_84_L_PinE_NS_11,A75_84_L_PinE_NS_12,A75_84_L_PinE_NS_13
LGA20110,0,0,0,0,0,5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,3,0,0,0,0,0,0,5,46,3,0,0,0,0,0,0,0,0,0,3,269,7,6,0,0,0,0,0,0,15,295,276,6,3,0,0,0,0,0,0,14,293,122,0,0,0,0,0,0,0,0,0,125,14,0,3,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,138,0,3,0,0,0,0,0,0,3,143,0,0,0,0,0,0,0,0,0,0,0,414,10,5,0,0,0,0,0,0,14,439,113,0,0,0,0,0,0,0,0,3,120,113,0,0,0,0,0,0,0,0,5,120,28,0,0,0,0,0,0,0,0,3,29,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,7,144,0,0,0,0,0,0
LGA20260,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,31,31,98,4,4,0,0,0,0,0,0,40,147,129,4,0,0,0,0,0,0,0,9,136,23,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,21,21,151,4,0,0,0,0,0,0,0,25,182,72,0,0,0,0,0,0,0,0,5,76,14,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,19,3,0,0,0,0,0
LGA20570,0,0,0,0,0,10,261,14,5,14,6,3,9,6,0,3,6,58,0,0,0,0,0,0,0,0,0,0,0,203,33,35,7,3,6,6,0,3,17,324,4,0,0,0,0,0,0,0,0,0,4,1069,64,62,4,3,19,10,4,5,61,1302,1149,15,9,3,4,0,0,3,0,41,1223,183,3,3,3,0,3,0,0,3,3,202,17,0,9,0,0,0,0,0,0,4,38,3,0,0,0,0,0,0,0,0,0,3,202,3,13,3,0,4,5,0,3,14,248,7,0,0,0,0,0,0,0,0,0,10,1365,16,21,6,9,8,5,7,3,58,1482,618,13,3,3,0,0,0,0,0,26,662,178,0,0,0,0,0,0,3,0,6,185,30,3,0,0,0,0,0,0,0,4,40,3,0,0,0,0,0,0,0,0,0,3,208,0,5,0,0,0,0,3,0,12,229,8,0,0,0,0,0
LGA20660,6,7,9,9,4,35,1780,227,20,44,12,12,12,13,13,19,31,395,8,0,0,0,0,0,0,0,0,6,15,1816,103,86,23,20,17,17,22,17,67,2189,0,0,0,0,0,0,0,0,0,0,3,3513,155,125,27,26,21,15,19,22,110,4042,1721,11,4,3,0,3,3,0,0,53,1809,1529,18,11,8,0,3,0,0,3,44,1622,251,22,38,16,8,12,0,11,5,26,384,17,0,0,0,0,0,0,0,0,0,18,1802,41,54,24,10,11,4,13,8,69,2030,3,0,0,0,0,0,0,0,0,5,5,3526,53,60,29,7,13,9,13,10,122,3847,798,6,9,0,0,0,0,0,0,23,843,1005,3,9,0,0,0,0,0,0,30,1043,375,19,14,4,3,3,0,3,0,23,449,7,0,0,0,0,0,0,0,0,0,6,1382,19,26,4,8,3,0,0,0,57,1500,3,0,0,0,0,0
LGA20740,0,0,0,0,0,3,114,8,0,0,0,0,0,0,4,3,0,19,3,0,0,0,0,0,0,0,0,0,4,115,4,6,0,0,0,0,4,3,9,141,4,0,0,0,0,0,0,0,0,0,6,800,23,19,3,0,0,5,4,3,29,889,1015,6,4,0,3,0,0,0,0,46,1081,173,0,0,0,0,0,0,0,0,4,184,19,0,0,0,0,0,0,3,0,0,27,3,0,0,0,0,0,0,0,0,0,3,200,0,3,0,0,0,0,3,0,7,211,4,0,0,0,0,0,0,0,0,0,6,1216,6,10,0,3,0,0,7,0,53,1293,532,3,0,0,0,0,0,0,0,28,561,116,0,0,3,0,0,0,0,0,5,125,17,0,0,0,0,0,0,0,0,0,22,8,0,0,0,0,0,0,0,0,0,9,144,0,0,3,0,0,0,0,0,8,155,3,0,0,0,0,0
LGA20830,0,3,0,0,0,7,155,10,0,0,0,0,0,0,0,4,3,9,3,0,0,0,0,0,0,0,0,0,3,137,5,3,3,0,3,0,0,4,11,169,0,0,0,0,0,0,0,0,0,0,5,852,38,26,6,3,4,0,0,4,33,958,987,15,5,5,3,3,0,0,0,29,1046,157,3,3,0,0,0,0,0,0,6,167,13,0,0,0,0,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,171,4,3,0,0,0,0,3,0,4,186,0,0,0,0,0,0,0,0,0,0,0,1149,15,8,5,3,3,0,4,0,37,1234,482,3,0,0,0,0,0,0,0,14,499,133,0,0,0,0,0,0,0,0,5,134,30,0,0,0,0,0,0,0,0,0,30,3,0,0,0,0,0,0,0,0,0,3,167,0,0,0,0,0,0,0,0,6,170,3,0,0,0,0,0
LGA20910,3,5,11,3,4,13,1113,95,15,19,6,6,9,5,3,8,14,185,4,0,0,0,0,0,0,0,0,0,3,1076,65,52,19,10,16,14,5,13,29,1302,0,0,0,0,0,0,0,0,0,0,0,3078,194,129,27,28,29,35,20,18,61,3610,1891,40,30,6,3,4,0,3,3,43,2026,835,17,3,0,0,0,0,0,3,20,887,146,4,10,3,0,0,8,3,3,12,192,10,0,0,0,0,0,0,0,0,0,10,991,27,13,3,8,0,8,3,5,30,1087,3,0,0,0,0,0,0,0,0,0,3,2882,61,43,12,10,7,5,8,10,79,3112,888,21,16,0,0,0,4,0,0,25,963,581,7,0,0,0,0,0,0,0,20,613,211,6,10,3,3,0,3,0,0,11,253,7,0,0,0,0,0,0,0,0,0,4,790,19,9,3,3,0,3,0,0,34,867,8,0,0,0,0,0
LGA21010,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,4,33,0,0,0,0,0,0,0,0,0,0,0,180,9,3,0,0,0,0,0,0,8,198,242,0,0,0,0,0,0,0,3,16,262,26,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,270,0,4,0,0,0,0,0,3,16,297,111,0,0,0,0,0,0,0,0,3,111,22,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0
LGA21110,5,8,10,4,8,44,2773,452,72,125,14,24,32,39,30,28,82,898,17,0,3,0,0,0,0,0,0,0,20,2949,202,200,27,33,39,49,30,30,135,3694,5,0,0,0,0,0,0,0,0,4,6,5402,343,265,41,48,43,62,35,35,199,6461,2252,34,21,0,0,3,0,8,5,35,2356,1921,27,24,5,5,3,9,4,0,30,2027,347,42,80,12,19,13,19,25,17,44,608,17,0,0,0,0,0,0,0,0,0,17,2281,67,103,18,27,15,27,28,14,71,2651,3,0,0,0,0,0,0,0,0,3,7,4532,102,121,18,26,24,27,35,24,108,5011,1042,16,11,7,0,0,6,0,0,40,1117,1180,13,6,0,0,0,0,3,0,38,1235,589,37,46,3,4,6,9,3,4,23,724,15,0,0,0,0,0,0,0,0,0,14,1781,49,53,8,8,5,8,6,4,61,1977,11,0,0,0,0,0
LGA21180,25,35,22,21,15,220,7434,3231,263,287,76,69,85,68,71,60,183,4388,77,5,7,0,0,0,0,0,0,12,100,9932,552,448,96,95,120,88,91,76,418,11918,10,0,3,0,0,0,0,0,0,13,21,11928,630,492,101,105,125,92,99,77,512,14155,1999,37,11,3,0,3,4,0,4,73,2130,5531,40,33,10,3,7,6,8,8,161,5809,2533,125,151,40,30,24,36,16,21,113,3090,90,3,3,0,0,0,0,0,0,3,102,8154,169,193,49,37,27,38,28,22,275,8996,13,3,0,0,0,0,0,0,0,6,25,10159,203,205,51,37,37,40,32,22,357,11148,742,8,4,0,0,0,0,0,0,41,788,2593,15,12,3,0,7,0,0,0,96,2739,2150,57,45,13,10,9,3,3,3,86,2376,48,0,0,0,0,0,0,0,0,0,50,4789,79,54,19,9,13,5,5,3,181,5168,7,0,0,0,0,0
