LGA_CODE_2016,MOL_SAL_Oth_SOLSE_NWorNAA,MOL_SAL_Oth_SOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_SOLSE_VWorW,MOL_SAL_Tot_SOLSE_NWorNAA,MOL_SAL_Tot_SOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_SOLSE_VWorW,MOL_Spanish_SOLSE_NWorNAA,MOL_Spanish_SOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_SOLSE_VWorW,MOL_Tamil_SOLSE_NWorNAA,MOL_Tamil_SOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_SOLSE_VWorW,MOL_Thai_SOLSE_NWorNAA,MOL_Thai_SOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_SOLSE_VWorW,MOL_Turkish_SOLSE_NWorNAA,MOL_Turkish_SOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_SOLSE_VWorW,MOL_Vietnamese_SOLSE_NWorNAA,MOL_Vietnamese_SOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_SOLSE_VWorW,MOL_Oth_SOLSE_NWorNAA,MOL_Oth_SOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_SOLSE_VWorW,MOL_Tot_SOLSE_NWorNAA,MOL_Tot_SOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LSatH_NS_SEO,M_LSatH_NS_SOLSE_VWorW,M_LSatH_NS_SOLSE_NWorNAA,M_LSatH_NS_SOLSE_Tot,M_LSatH_NS_NS,M_LSatH_NS_Tot,M_Tot_SEO,M_Tot_SOLSE_VWorW,M_Tot_SOLSE_NWorNAA,M_Tot_SOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_SOLSE_VWorW,FSEO_SOLSE_NWorNAA,FSEO_SOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_SOLSE_VWorW,FOL_Afrikaans_SOLSE_NWorNAA,FOL_Afrikaans_SOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_SOLSE_VWorW,FOL_Arabic_SOLSE_NWorNAA,FOL_Arabic_SOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_SOLSE_VWorW,FOL_AIndLng_SOLSE_NWorNAA,FOL_AIndLng_SOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Cantones_SEO,FOL_CL_Cantones_SOLSE_VWorW,FOL_CL_Cantones_SOLSE_NWorNAA,FOL_CL_Cantones_SOLSE_Tot,FOL_CL_Cantones_NS,FOL_CL_Cantones_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_SOLSE_VWorW,FOL_CL_Mandarin_SOLSE_NWorNAA,FOL_CL_Mandarin_SOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_SOLSE_VWorW,FOL_CL_Oth_SOLSE_NWorNAA,FOL_CL_Oth_SOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_SOLSE_VWorW,FOL_CL_Tot_SOLSE_NWorNAA,FOL_CL_Tot_SOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_SOLSE_VWorW,FOL_Croatian_SOLSE_NWorNAA,FOL_Croatian_SOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_Dutch_SEO,FOL_Dutch_SOLSE_VWorW,FOL_Dutch_SOLSE_NWorNAA,FOL_Dutch_SOLSE_Tot,FOL_Dutch_NS,FOL_Dutch_Tot,FOL_French_SEO,FOL_French_SOLSE_VWorW,FOL_French_SOLSE_NWorNAA,FOL_French_SOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_SOLSE_VWorW,FOL_German_SOLSE_NWorNAA,FOL_German_SOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_SOLSE_VWorW,FOL_Greek_SOLSE_NWorNAA,FOL_Greek_SOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_SOLSE_VWorW,FOL_IAL_Bengali_SOLSE_NWorNAA,FOL_IAL_Bengali_SOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_SOLSE_VWorW,FOL_IAL_Hindi_SOLSE_NWorNAA,FOL_IAL_Hindi_SOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_SOLSE_VWorW,FOL_IAL_Punjabi_SOLSE_NWorNAA,FOL_IAL_Punjabi_SOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhalese_SEO,FOL_IAL_Sinhalese_SOLSE_VWorW,FOL_IAL_Sinhale_SOLSE_NWorNAA,FOL_IAL_Sinhalese_SOLSE_Tot,FOL_IAL_Sinhalese_NS,FOL_IAL_Sinhalese_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_SOLSE_VWorW,FOL_IAL_Urdu_SOLSE_NWorNAA,FOL_IAL_Urdu_SOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_SOLSE_VWorW,FOL_IAL_Oth_SOLSE_NWorNAA,FOL_IAL_Oth_SOLSE_Tot,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_SOLSE_VWorW,FOL_IAL_Tot_SOLSE_NWorNAA,FOL_IAL_Tot_SOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_SOLSE_VWorW,FOL_Italian_SOLSE_NWorNAA,FOL_Italian_SOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japanese_SEO,FOL_Japanese_SOLSE_VWorW,FOL_Japanese_SOLSE_NWorNAA,FOL_Japanese_SOLSE_Tot,FOL_Japanese_NS,FOL_Japanese_Tot,FOL_Korean_SEO,FOL_Korean_SOLSE_VWorW,FOL_Korean_SOLSE_NWorNAA,FOL_Korean_SOLSE_Tot
LGA20110,0,0,0,0,..,11,0,13,0,13,..,9,0,9,0,9,..,3,0,3,0,3,..,0,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,32,9,46,0,46,..,394,50,439,0,442,..,20,0,24,482,506,5122,417,47,462,489,6074,5261,..,..,..,..,5261,..,4,0,4,0,4,..,0,0,3,0,3,..,0,0,0,0,0,..,3,5,8,0,8,..,11,3,16,0,16,..,0,0,0,0,0,..,15,13,28,0,28,..,10,0,10,0,10,..,14,0,14,0,14,..,16,0,16,0,16,..,48,0,48,0,48,..,7,3,15,0,15,..,0,0,0,0,0,..,5,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,10,0,10,..,13,0,15,0,15,..,184,34,212,7,219,..,5,0,8,0,8,..,0,3,3
LGA20260,0,0,0,0,..,20,0,20,0,20,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,8,0,8,0,8,..,19,6,25,0,31,..,152,32,189,5,197,..,14,4,22,1065,1085,4873,168,41,207,1072,6152,4823,..,..,..,..,4823,..,3,0,3,0,3,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,14,21,34,0,38,..,0,0,0,0,0,..,14,22,41,0,36,..,0,0,0,0,0,..,11,0,11,0,11,..,3,0,3,0,3,..,9,0,12,0,12,..,3,0,3,0,3,..,0,0,0,0,0,..,8,0,8,0,8,..,15,0,15,0,15,..,0,0,0,0,0,..,12,0,12,0,10,..,0,0,0,0,0,..,30,0,31,0,37,..,10,0,8,0,8,..,0,0,0,0,0,..,0,0,0
LGA20570,0,15,0,15,..,142,5,151,0,153,..,50,3,54,0,54,..,39,3,41,0,41,..,26,11,32,0,32,..,14,0,14,0,14,..,40,8,46,0,46,..,456,97,556,21,572,..,2289,342,2635,35,2670,..,136,4,148,2836,2982,43217,2429,353,2777,2876,48864,46783,..,..,..,..,46783,..,34,0,34,0,34,..,60,4,61,0,61,..,7,0,7,0,10,..,68,24,88,0,89,..,327,93,427,4,426,..,34,5,41,0,41,..,430,122,555,3,554,..,53,7,65,0,67,..,95,0,92,3,96,..,64,3,63,0,64,..,92,8,97,0,97,..,51,9,67,4,66,..,29,4,31,0,31,..,98,8,110,0,110,..,90,22,110,0,114,..,38,4,42,0,38,..,35,9,42,0,42,..,50,3,51,0,51,..,336,48,389,3,388,..,98,13,106,0,110,..,76,9,90,0,90,..,22,3,26
LGA20660,0,52,0,52,..,259,15,274,0,272,..,234,19,259,3,260,..,202,6,207,0,210,..,68,6,74,0,74,..,60,5,59,0,59,..,314,56,372,6,376,..,1474,231,1706,67,1770,..,10789,1545,12336,127,12461,..,155,26,184,2495,2673,44089,10948,1569,12515,2619,59222,45811,..,..,..,..,45811,..,48,0,45,0,45,..,476,112,592,6,594,..,6,0,6,0,6,..,554,141,693,6,696,..,1642,581,2221,7,2227,..,121,56,179,0,179,..,2314,774,3094,16,3106,..,247,41,287,3,286,..,71,3,77,0,77,..,193,10,204,0,205,..,243,12,251,0,255,..,1149,148,1302,20,1319,..,28,0,31,0,31,..,284,14,293,3,299,..,112,18,124,5,132,..,214,12,222,0,227,..,59,5,62,0,62,..,140,14,150,0,154,..,833,55,892,6,900,..,1714,233,1950,16,1964,..,205,14,222,3,223,..,96,35,130
LGA20740,0,0,0,0,..,16,0,16,0,16,..,35,4,37,0,37,..,3,0,3,0,3,..,5,8,14,0,14,..,4,0,4,0,4,..,14,8,20,0,20,..,107,21,130,6,135,..,649,98,750,20,771,..,40,3,44,1126,1169,13954,690,97,793,1146,15897,14893,..,..,..,..,14893,..,3,0,3,0,3,..,13,0,16,0,19,..,0,0,0,0,0,..,17,10,29,0,29,..,39,18,52,0,52,..,0,0,3,0,3,..,57,23,84,0,84,..,4,0,4,0,4,..,59,0,59,0,59,..,24,0,24,0,24,..,55,3,57,0,59,..,47,9,52,3,53,..,0,0,0,0,0,..,11,0,9,0,9,..,11,3,14,0,14,..,3,0,3,0,3,..,0,0,3,0,3,..,8,0,16,0,16,..,31,7,42,0,42,..,102,21,120,7,121,..,11,0,11,0,11,..,3,0,3
LGA20830,0,0,0,0,..,19,0,19,0,19,..,23,4,27,0,31,..,9,0,9,0,9,..,7,3,6,0,6,..,3,0,3,0,3,..,10,8,13,0,13,..,141,25,171,4,174,..,788,115,897,10,911,..,59,4,68,1497,1559,21069,850,123,967,1509,23543,22289,..,..,..,..,22289,..,18,0,18,0,18,..,21,0,19,0,19,..,3,0,3,0,3,..,16,3,15,0,15,..,60,29,87,0,87,..,4,0,7,0,7,..,82,29,111,0,111,..,20,0,25,0,25,..,75,4,74,0,74,..,24,0,24,0,24,..,50,3,56,0,58,..,32,6,35,0,35,..,8,0,8,0,8,..,6,0,6,0,9,..,28,0,32,0,32,..,20,0,20,0,18,..,8,0,8,0,8,..,6,0,12,0,12,..,78,6,83,3,87,..,107,19,129,5,127,..,22,3,20,0,20,..,4,0,4
LGA20910,0,19,0,19,..,87,0,84,0,84,..,218,13,230,4,236,..,41,0,42,0,42,..,27,5,30,0,30,..,63,9,72,0,72,..,62,8,72,0,72,..,680,85,764,20,786,..,5682,683,6363,50,6420,..,88,10,96,2275,2374,37437,5771,694,6461,2331,46229,40433,..,..,..,..,40433,..,107,7,111,0,111,..,135,15,148,0,148,..,0,0,0,0,0,..,192,37,229,0,229,..,782,328,1114,10,1124,..,67,24,91,0,94,..,1046,387,1432,9,1449,..,88,11,101,0,101,..,121,0,123,3,124,..,323,9,333,0,336,..,403,5,406,3,407,..,928,151,1078,13,1094,..,14,0,9,0,9,..,130,7,141,0,141,..,41,0,44,0,44,..,36,4,39,0,39,..,10,0,8,0,8,..,34,0,34,0,34,..,263,10,275,0,275,..,646,53,701,4,707,..,179,44,225,3,223,..,42,11,52
LGA21010,0,0,0,0,..,6,0,7,0,7,..,4,0,4,0,3,..,6,0,6,0,6,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,30,6,42,0,42,..,164,22,178,3,185,..,15,0,15,540,554,5982,176,22,191,541,6720,6365,..,..,..,..,6365,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,6,0,9,0,9,..,11,4,13,0,13,..,3,0,4,0,4,..,22,6,26,0,26,..,0,0,0,0,0,..,7,0,7,0,7,..,3,0,3,0,7,..,17,0,18,3,20,..,0,0,3,0,3,..,0,0,0,0,0,..,8,0,8,0,8,..,8,0,6,0,6,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,22,3,23,0,23,..,17,0,13,0,14,..,0,0,0,0,0,..,0,0,0
LGA21110,0,57,0,57,..,458,28,481,0,481,..,410,36,448,4,451,..,305,8,312,0,317,..,120,22,141,0,141,..,99,11,110,0,110,..,845,100,947,3,948,..,1171,169,1339,38,1378,..,18210,2728,20935,160,21098,..,172,16,189,3641,3829,55226,18377,2747,21122,3796,80145,58665,..,..,..,..,58665,..,52,0,52,0,52,..,309,93,402,7,410,..,0,0,0,0,0,..,2233,478,2714,20,2731,..,5641,2033,7675,29,7703,..,396,131,525,0,525,..,8275,2638,10912,51,10962,..,110,12,119,0,122,..,81,0,80,0,80,..,533,11,547,0,547,..,360,6,365,3,368,..,2093,369,2463,18,2479,..,91,7,106,0,107,..,613,20,637,10,644,..,119,4,122,0,122,..,298,10,308,0,307,..,85,14,100,4,102,..,535,47,580,4,585,..,1749,99,1848,14,1865,..,1328,164,1492,13,1501,..,296,37,332,3,341,..,326,81,405
LGA21180,20,170,0,171,..,2594,113,2709,24,2730,..,1130,205,1331,22,1353,..,607,218,829,14,843,..,108,19,134,3,135,..,963,188,1151,13,1161,..,10262,4361,14625,152,14777,..,5817,1739,7556,147,7701,..,44395,11009,55399,695,56095,..,324,130,455,5450,5913,35236,44721,11138,55860,6147,97239,34067,..,..,..,..,34067,..,14,0,14,0,14,..,1772,357,2130,29,2159,..,5,0,9,0,9,..,1306,815,2122,19,2144,..,972,531,1499,15,1514,..,428,244,675,11,686,..,2711,1591,4296,42,4337,..,1389,372,1764,23,1790,..,40,4,41,0,41,..,131,8,141,0,139,..,223,18,241,0,241,..,2091,631,2719,26,2742,..,249,30,274,0,274,..,1032,85,1113,7,1120,..,2026,305,2329,21,2349,..,455,27,484,0,489,..,433,84,517,0,521,..,415,43,458,3,462,..,4613,568,5174,36,5212,..,2158,419,2577,29,2608,..,62,3,67,0,73,..,54,20,76
