LGA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA20110,0,29,113,142,189,193,79,23,4,773,0,11,74,107,114,128,55,5,3,491,0,7,41,86,100,101,25,3,5,360,0,0,23,47,69,41,18,3,0,200,0,0,19,55,73,76,8,5,0,235,0,0,12,19,35,31,17,4,4,123,87,35,99,128,182,207,189,111,86,1116,665,427,935,1376,1815,2142,1718,915,383,10384
LGA20260,7,23,110,106,164,148,52,21,9,636,0,9,76,92,110,67,29,14,3,399,0,5,43,70,90,78,14,3,0,303,0,0,29,33,72,46,11,7,0,201,0,0,24,42,63,36,14,10,3,192,0,3,6,14,27,27,21,11,3,110,86,86,277,315,242,239,189,136,54,1611,606,533,1235,1360,1608,1784,1476,840,359,9798
LGA20570,11,445,1693,1397,1426,1131,427,121,62,6716,7,150,1167,1017,1050,688,192,71,20,4363,0,52,755,938,849,601,124,33,5,3352,0,20,401,608,639,445,75,23,10,2214,0,12,396,707,783,529,107,24,9,2563,8,17,116,391,473,304,105,48,25,1490,643,598,939,883,931,930,981,789,477,7179,6603,7544,13120,12416,12884,12080,9723,5449,2409,82219
LGA20660,20,480,2234,1714,1671,1448,695,235,78,8572,4,167,1843,1516,1361,1048,422,111,50,6521,3,68,1405,1615,1335,1024,325,79,27,5876,3,20,798,1270,1076,740,183,53,12,4153,0,16,990,2078,1654,1132,271,64,23,6227,3,13,268,1223,1256,731,236,76,22,3818,486,440,1002,961,992,850,889,774,706,7096,6834,7410,16248,17375,16224,14542,11511,6470,3253,99850
LGA20740,0,62,336,338,408,375,190,70,35,1816,0,18,223,201,249,201,90,24,9,1015,0,8,135,175,230,195,59,24,4,836,0,0,62,112,156,106,35,8,3,481,0,0,52,146,180,117,56,10,3,563,4,3,26,84,90,96,42,23,12,376,221,94,246,254,385,445,563,427,251,2887,1587,1127,2882,3337,4233,5190,5304,2667,1143,27459
LGA20830,8,179,668,581,681,589,235,77,25,3043,0,73,484,423,467,367,131,21,4,1968,0,28,315,333,394,339,78,16,3,1501,0,8,179,243,307,247,55,12,3,1057,0,3,184,314,409,297,61,23,7,1297,8,8,60,134,207,179,65,19,12,687,313,198,379,452,553,592,614,404,221,3731,3003,2510,5269,5432,6486,6718,5728,2925,1112,39188
LGA20910,13,320,1080,828,1118,1058,783,305,153,5652,7,113,854,761,1029,851,536,177,83,4410,8,49,696,921,1164,885,441,163,80,4405,0,19,442,757,903,670,318,100,48,3258,6,18,708,1765,2042,1224,586,176,92,6614,6,21,404,2631,3421,1846,669,216,105,9312,442,322,603,806,1049,868,766,635,704,6184,6178,4919,7980,12418,15855,12636,9718,5344,3624,78669
LGA21010,3,51,135,148,208,162,75,33,21,836,3,21,96,91,131,125,37,12,6,504,0,7,55,66,100,86,28,6,3,360,0,4,23,45,77,53,16,7,3,225,0,0,22,41,69,78,17,3,0,237,0,3,11,20,28,50,14,12,3,143,114,68,112,114,183,222,223,158,78,1279,777,645,1209,1316,1865,2259,1991,1101,528,11686
LGA21110,20,872,3078,1450,1736,1534,1078,448,244,10467,12,346,2547,1379,1429,1270,777,327,154,8232,11,152,2080,1569,1678,1341,730,270,131,7949,3,35,1164,1276,1433,1138,479,177,98,5789,10,50,1752,2984,3055,2100,888,313,158,11300,11,58,716,3941,5248,2899,1127,362,181,14546,734,822,1531,1227,1442,1187,1061,927,1005,9943,11910,13346,22544,20736,24102,18983,13951,8031,4829,138430
LGA21180,25,796,3802,2981,2516,1779,431,94,26,12443,4,266,2195,1953,1587,1063,211,28,7,7313,8,82,1415,1369,1246,727,127,18,9,4997,3,46,728,903,772,460,81,7,6,3015,7,23,660,1207,895,551,90,12,3,3445,8,19,183,382,373,209,52,23,5,1266,1232,1219,2546,1960,1921,1819,1671,1009,517,13901,12254,15155,31313,26317,24883,22171,15576,7863,2926,158457
