LGA_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
LGA20110,296,82,383,1610,666,98,2373,6933,1070,10384
LGA20260,278,73,359,1444,750,78,2265,5950,1587,9798
LGA20570,1997,382,2409,16404,6999,818,24218,51395,6616,82219
LGA20660,2637,561,3253,20941,7664,753,29360,64340,6156,99850
LGA20740,869,245,1143,4593,2183,228,7006,17719,2738,27459
LGA20830,850,241,1112,7621,3415,405,11443,24206,3541,39188
LGA20910,3054,519,3624,17607,6172,643,24417,49085,5170,78669
LGA21010,434,83,528,1715,921,69,2710,7740,1238,11686
LGA21110,4223,527,4829,27935,9502,857,38297,92024,8104,138430
LGA21180,2386,492,2926,29811,9903,660,40375,105038,13049,158457
LGA21270,253,84,336,778,375,37,1188,3373,643,5206
LGA21370,891,254,1164,5284,2381,208,7875,19334,3215,30424
LGA21450,960,189,1185,18431,5519,783,24734,42326,5346,72402
LGA21610,2881,518,3450,57003,15251,1746,74001,142104,15346,231449
LGA21670,351,94,448,1635,751,60,2444,7418,1123,10982
LGA21750,456,116,585,2977,1502,138,4618,10951,1706,17277
LGA21830,361,91,468,2294,1002,89,3388,8341,1393,13125
LGA21890,2952,728,3736,22341,6622,789,29760,83112,10410,123281
LGA22110,992,386,1391,5764,2624,242,8629,24879,4378,37892
LGA22170,2157,523,2713,22823,8563,1018,32405,67799,8910,109114
LGA22250,309,61,378,1360,621,68,2044,5921,906,8870
LGA22310,3670,509,4240,24761,7246,733,32745,75437,6933,115105
LGA22410,436,109,555,2690,1198,117,4006,10599,1765,16377
LGA22490,191,21,225,4128,1453,175,5754,9771,1244,16769
LGA22620,2101,603,2743,17585,7659,831,26073,55316,7897,89283
LGA22670,2575,402,3008,23048,6536,453,30033,84830,9739,124599
LGA22750,5213,1173,6460,37358,15885,1636,54881,120609,15681,191166
LGA22830,1176,291,1484,9858,3560,439,13850,31745,5532,51131
LGA22910,345,112,469,2016,994,95,3101,8337,1496,12934
LGA22980,237,54,290,708,306,30,1044,3347,467,4859
LGA23110,1621,300,1952,15296,4402,491,20184,47008,5236,72429
LGA23190,506,93,613,3118,1229,153,4494,10161,1261,15913
LGA23270,1601,253,1889,33952,9364,933,44252,97795,11418,153462
LGA23350,287,56,353,2424,1089,114,3631,8243,1232,13104
LGA23430,3205,865,4139,25906,8613,908,35434,80648,8515,124594
LGA23670,2601,469,3105,26117,9708,938,36764,83565,6719,127047
LGA23810,1367,366,1761,10748,4901,549,16197,37667,6138,59998
LGA23940,197,52,256,888,438,38,1363,4103,853,6322
LGA24130,620,169,811,8279,2892,416,11589,21969,3110,36659
LGA24210,3116,503,3668,18813,7874,499,27194,65105,5231,97529
LGA24250,170,33,207,1188,514,68,1769,4557,724,7049
LGA24330,1098,263,1379,12874,2998,469,16348,46847,5900,69093
LGA24410,2162,464,2647,19554,7256,830,27638,57023,5106,89771
LGA24600,824,405,1255,9312,3863,188,13365,98318,15545,127232
LGA24650,741,130,887,26955,6712,759,34426,59127,8540,102097
LGA24780,1118,280,1419,7775,3260,347,11380,27419,4847,43642
LGA24850,445,133,581,7055,2299,241,9596,19507,3333,32439
LGA24900,717,200,935,3976,1806,158,5937,15401,2641,23981
LGA24970,4277,747,5088,28729,9614,716,39056,105715,8944,153720
LGA25060,2471,456,2967,18499,6295,454,25253,64568,7298,97118
LGA25150,401,76,491,5474,1996,217,7683,15662,2028,25373
LGA25250,3773,477,4311,24278,6775,789,31844,94533,10081,136461
LGA25340,4087,909,5059,24422,11395,1088,36895,80928,10329,128156
LGA25430,409,144,563,2523,1208,192,3926,9700,2318,15946
LGA25490,299,74,373,2702,1044,105,3846,7964,1320,13134
LGA25620,259,52,314,1867,875,77,2814,7437,1296,11546
LGA25710,581,105,705,11242,4449,508,16196,30443,2577,49213
LGA25810,338,54,400,1494,672,79,2243,6533,958,9724
LGA25900,1204,204,1433,12251,4499,439,17186,61834,10056,89077
LGA25990,127,45,178,896,430,48,1375,3744,986,6105
LGA26080,129,21,149,314,283,7,606,1644,275,2523
LGA26170,659,140,808,4126,1969,200,6306,14873,2405,23581
LGA26260,437,138,582,2306,992,100,3401,8645,1155,13199
LGA26350,2077,357,2472,12927,5280,372,18581,64613,7775,90965
LGA26430,283,92,376,1268,689,46,1999,5805,954,8763
LGA26490,481,75,566,5431,2094,248,7776,13896,1677,23345
LGA26610,411,141,563,2860,1153,126,4144,9993,2513,16646
LGA26670,158,37,197,777,397,31,1202,3312,509,5023
LGA26700,673,325,1008,4236,1937,184,6354,14538,2315,23209
LGA26730,760,194,969,5214,2187,259,7650,17348,2541,27546
LGA26810,833,186,1033,6233,2732,312,9280,21815,4264,35358
LGA26890,98,32,132,578,202,16,805,2162,272,3234
LGA26980,4088,805,4959,27642,9021,878,37541,90023,7268,134835
LGA27070,2029,278,2354,36904,10218,952,48074,97046,10185,155311
LGA27170,624,104,745,6586,2522,302,9411,19282,2545,31242
LGA27260,1118,301,1451,46574,9986,1150,57708,93419,12182,163311
LGA27350,867,179,1075,9432,3812,337,13577,55590,7816,76983
LGA27450,2101,401,2533,25756,10488,1273,37521,75673,7893,121080
LGA27630,247,78,332,818,385,41,1242,3767,613,5618
LGA29399,0,0,0,91,39,0,133,391,218,746
LGA29499,25,13,38,649,290,14,960,3900,1969,6825
LGA29799,0,0,0,5,0,0,5,18,3,25
