LGA_CODE_2016,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
LGA20110,26,188,5,79,20,15,0,24,3,367,32,155,3,45,15,7,0,10,0,263,68,44,5,26,120,40,3,17,0,329,36,36,0,113,31,20,3,24,0,272,10,18,8,9,4,14,0,3,0,62,24,0,51,26,19,13,0,16,3,157,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,14,13,7,9,12,16,8,0,5,8,65,257,478,97,332,256,134,19,124,16,1716,26,36,14,8,3,6,9,3,0,99,7,11,11,6,11,0,4,4,0,46,108,59,279,16,18,25,80,57,12,651,77,10,141,9,4,4,21,26,3,291,75,27,34,18,8,14,17,34,3,235,35,225,11,103,28,22,3,25,3,453,48,205,9,55,18,12,6,9,0,368,124,83,18,40,137,53,4,31,3,497,58,57,7,137,28,27,6,29,0,353,18,25,11,17,7,18,6,12,0,108
LGA20260,16,187,12,60,22,4,0,13,0,317,42,105,3,17,19,3,0,4,0,195,39,30,3,14,83,24,0,16,3,216,24,44,3,172,14,10,0,23,3,289,4,11,3,3,5,5,0,5,0,36,17,4,37,22,11,18,0,6,3,116,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,0,16,3,4,0,14,6,8,0,9,6,54,181,399,82,318,180,79,8,97,18,1365,17,16,3,7,8,0,3,0,0,47,0,3,10,0,3,4,0,0,0,22,63,29,160,44,4,12,41,57,6,416,36,6,67,21,3,0,16,16,3,171,163,17,29,8,13,12,7,30,4,294,28,226,13,82,21,3,3,16,3,398,51,142,6,28,18,3,0,8,0,270,92,42,14,25,87,44,8,36,3,355,32,60,7,250,16,11,4,32,9,422,8,22,10,7,5,5,4,4,0,55
LGA20570,112,2104,85,598,219,81,14,49,17,3284,133,1500,25,351,141,67,3,32,18,2274,443,567,72,225,1303,348,20,107,26,3115,183,693,61,1115,357,176,7,128,27,2753,51,184,41,66,84,91,9,28,3,565,75,26,311,229,164,156,10,95,9,1080,0,0,0,4,3,7,0,8,0,23,22,49,10,31,44,12,0,9,3,183,16,32,18,59,47,45,3,49,45,326,1137,5450,771,2778,2509,1067,81,575,163,14530,94,304,77,50,55,29,11,32,9,656,132,349,137,31,88,38,16,48,10,861,485,451,1747,111,139,142,436,362,64,3937,331,74,1385,57,40,69,106,200,16,2277,162,116,188,39,59,41,47,86,15,740,178,2795,127,781,249,101,24,77,19,4361,262,2138,57,436,161,100,32,58,30,3270,1116,1201,216,344,1555,606,112,231,61,5438,287,1046,114,1435,433,227,55,202,48,3849,104,365,110,105,113,135,24,83,11,1061
LGA20660,179,2873,93,508,290,88,15,30,27,4108,228,1983,26,371,233,78,4,20,20,2971,824,1235,72,308,1683,371,15,85,56,4646,343,1349,67,1068,672,162,12,59,44,3782,132,495,76,109,200,141,0,29,12,1187,108,45,247,191,178,137,3,61,4,974,0,0,0,0,3,3,0,3,0,13,56,127,15,42,82,35,3,3,16,377,16,52,18,49,62,36,6,16,58,317,2206,9261,877,2775,3724,1181,86,386,256,20745,309,1130,186,113,201,99,25,53,32,2146,375,988,224,59,180,73,40,72,26,2032,997,1357,1975,164,306,191,293,336,56,5678,386,372,1499,45,102,59,74,165,24,2725,89,119,209,28,65,39,22,70,8,651,283,3797,144,712,330,107,30,57,41,5501,352,2611,77,424,270,102,22,49,23,3930,2210,2678,249,504,2282,782,152,250,104,9215,664,2153,150,1500,863,262,65,153,59,5865,241,963,215,181,282,209,45,82,23,2238
LGA20740,48,401,30,174,52,33,10,28,7,777,47,352,10,104,43,27,0,10,4,591,133,92,18,63,280,105,7,33,6,736,57,137,8,340,87,50,0,46,6,728,21,37,8,18,13,19,3,3,0,121,37,9,103,81,43,54,3,31,0,355,0,0,0,0,0,0,0,0,0,3,10,15,7,7,3,5,0,3,0,50,13,11,13,38,23,33,3,14,11,158,405,1130,231,850,583,358,24,200,45,3816,32,65,7,18,14,11,6,8,4,159,21,25,17,4,11,4,3,8,0,94,179,102,509,40,38,54,119,135,23,1199,163,39,537,18,22,27,45,95,18,960,87,49,90,14,17,10,28,58,3,366,68,489,42,220,57,38,10,34,7,973,79,521,22,118,50,28,7,15,11,850,245,166,55,85,296,169,23,73,20,1126,96,198,28,426,109,57,9,58,6,984,40,77,25,20,19,29,5,13,3,232
LGA20830,68,755,55,265,103,34,3,31,10,1318,84,703,14,158,61,12,3,27,6,1076,203,172,24,112,565,145,11,79,12,1321,110,240,27,596,154,62,11,78,14,1291,21,66,12,24,32,16,4,12,0,195,53,11,162,87,75,64,3,57,3,513,0,0,0,0,0,0,0,3,0,6,13,18,4,11,13,3,0,5,0,71,22,19,9,35,37,28,6,23,12,188,678,2109,386,1332,1117,418,57,382,68,6546,59,100,22,23,33,13,0,17,3,269,49,70,39,3,27,6,8,13,5,217,407,211,1205,50,76,96,327,267,36,2666,204,26,668,17,21,29,86,175,24,1242,264,75,127,37,42,28,69,128,0,770,91,926,63,315,106,42,11,42,7,1602,144,947,35,185,78,17,12,37,11,1473,432,377,76,139,646,216,49,109,19,2069,159,365,48,723,172,76,24,107,20,1702,34,92,41,31,41,20,7,27,3,307
LGA20910,211,1849,44,322,252,71,0,15,19,2784,216,1463,27,191,241,68,0,15,20,2246,1295,1447,53,226,1215,393,15,34,37,4717,404,1260,39,513,458,136,9,29,35,2882,148,497,38,72,141,139,3,9,16,1059,94,32,146,125,125,91,0,21,7,636,3,3,0,0,4,0,0,0,0,11,83,132,9,34,76,63,0,3,16,419,22,50,4,19,49,28,0,4,39,228,2852,7557,491,1594,2829,1126,39,167,205,16864,407,766,85,71,146,98,14,23,27,1640,405,680,78,21,106,64,14,16,22,1412,1011,1041,715,83,199,132,93,124,47,3446,500,375,737,33,93,64,21,76,22,1923,96,87,99,7,41,26,5,37,7,405,332,2701,60,420,272,95,6,27,32,3951,339,1809,41,239,261,96,12,18,21,2837,3676,3374,161,373,1663,929,65,106,122,10471,916,2217,86,706,599,234,27,63,67,4903,276,862,112,109,184,206,20,50,19,1837
LGA21010,27,222,14,75,25,9,0,11,3,398,35,145,3,36,23,5,0,8,0,256,47,43,9,22,119,46,3,10,3,308,35,55,8,174,28,20,3,16,3,350,3,10,0,6,5,0,0,6,3,38,15,4,47,28,17,20,0,10,3,145,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,0,0,3,0,21,10,6,3,20,12,10,3,8,6,73,212,544,112,372,268,116,14,88,24,1752,16,22,11,4,4,0,0,3,0,60,6,3,4,3,9,4,3,4,0,38,98,63,336,16,35,14,69,62,11,708,59,3,129,6,6,8,26,26,3,266,109,36,41,7,19,14,10,27,6,281,41,281,15,86,31,7,0,17,7,486,48,196,5,40,18,5,3,10,0,329,110,66,16,29,142,64,11,26,3,468,46,71,13,214,34,23,10,26,7,444,6,21,3,7,5,3,3,5,3,64
LGA21110,380,4327,66,483,479,142,0,24,42,5944,361,2293,28,329,375,102,3,30,20,3535,2090,2902,83,415,2195,699,20,101,127,8630,729,2583,105,739,919,247,12,66,63,5469,310,964,88,165,318,226,10,39,16,2135,138,57,215,203,185,121,7,34,6,964,6,0,0,6,3,3,0,0,0,27,131,222,11,52,151,71,0,10,12,663,64,89,13,32,53,35,0,11,66,362,4893,15326,862,2640,5270,1940,61,411,405,31803,691,1587,177,171,334,203,21,85,48,3319,709,1818,215,76,292,156,28,78,58,3427,1470,2301,970,150,362,307,129,246,100,6034,625,788,733,57,168,106,27,94,31,2629,148,173,153,23,59,36,19,42,8,669,542,6911,113,664,523,185,19,48,71,9084,512,2973,47,386,409,120,11,48,30,4540,5540,6761,303,683,3177,1552,122,290,269,18704,1475,4703,200,1050,1214,387,39,136,116,9323,510,1655,236,266,417,373,33,96,32,3607
LGA21180,86,1646,92,612,190,125,27,104,28,2907,114,1346,23,464,156,84,29,62,15,2297,703,1108,117,488,2264,696,119,367,82,5941,207,731,82,1645,658,260,66,220,45,3910,75,246,35,80,146,138,20,37,4,785,131,30,507,371,264,245,49,215,20,1836,3,7,3,9,7,5,7,13,0,60,24,61,17,50,87,39,5,33,8,335,31,61,43,142,109,101,23,114,118,744,1592,5905,1217,4105,4314,1931,420,1405,351,21229,183,494,191,129,207,152,85,101,13,1553,346,939,348,156,330,179,228,242,60,2824,783,1072,3226,239,468,318,1203,1047,126,8490,277,149,1453,50,108,79,195,299,28,2641,38,39,109,25,45,24,51,53,8,388,145,2120,137,817,233,159,73,165,42,3884,178,1728,65,526,191,104,84,111,22,2997,1578,2099,458,771,3155,1207,848,913,184,11214,334,1074,165,2120,838,358,278,409,73,5651,136,451,151,133,214,201,84,97,9,1478
