POA_CODE_2016,A55_64_SOLSE_VWW_12,A55_64_SOLSE_VWW_13,A55_64_SOLSE_VWW_14,A55_64_SOLSE_VWW_15,A55_64_SOLSE_VWW_16,A55_64_SOLSE_VWW_YNS,A55_64_SOLSE_VWW_T,A55_64_SOLSE_NWNAA_B00,A55_64_SOLSE_NWNAA_00_05,A55_64_SOLSE_NWNAA_06_10,A55_64_SOLSE_NWNAA_11,A55_64_SOLSE_NWNAA_12,A55_64_SOLSE_NWNAA_13,A55_64_SOLSE_NWNAA_14,A55_64_SOLSE_NWNAA_15,A55_64_SOLSE_NWNAA_16,A55_64_SOLSE_NWNAA_YNS,A55_64_SOLSE_NWNAA_T,A55_64_SOLSE_PinE_NS_B00,A55_64_SOLSE_PinE_NS_00_05,A55_64_SOLSE_PinE_NS_06_10,A55_64_SOLSE_PinE_NS_11,A55_64_SOLSE_PinE_NS_12,A55_64_SOLSE_PinE_NS_13,A55_64_SOLSE_PinE_NS_14,A55_64_SOLSE_PinE_NS_15,A55_64_SOLSE_PinE_NS_16,A55_64_SOLSE_PinE_NS_YNS,A55_64_SOLSE_PinE_NS_T,A55_64_SOLSE_T_B00,A55_64_SOLSE_T_00_05,A55_64_SOLSE_T_06_10,A55_64_SOLSE_T_11,A55_64_SOLSE_T_12,A55_64_SOLSE_T_13,A55_64_SOLSE_T_14,A55_64_SOLSE_T_15,A55_64_SOLSE_T_16,A55_64_SOLSE_T_YNS,A55_64_SOLSE_T_T,A55_64_L_PinE_NS_B00,A55_64_L_PinE_NS_00_05,A55_64_L_PinE_NS_06_10,A55_64_L_PinE_NS_11,A55_64_L_PinE_NS_12,A55_64_L_PinE_NS_13,A55_64_L_PinE_NS_14,A55_64_L_PinE_NS_15,A55_64_L_PinE_NS_16,A55_64_L_PinE_NS_YNS,A55_64_L_PinE_NS_T,A55_64_T_B00,A55_64_T_00_05,A55_64_T_06_10,A55_64_T_11,A55_64_T_12,A55_64_T_13,A55_64_T_14,A55_64_T_15,A55_64_T_16,A55_64_T_YNS,A55_64_T_T,A65_74_SEO_B00,A65_74_SEO_00_05,A65_74_SEO_06_10,A65_74_SEO_11,A65_74_SEO_12,A65_74_SEO_13,A65_74_SEO_14,A65_74_SEO_15,A65_74_SEO_16,A65_74_SEO_YNS,A65_74_SEO_T,A65_74_SOLSE_VWW_B00,A65_74_SOLSE_VWW_00_05,A65_74_SOLSE_VWW_06_10,A65_74_SOLSE_VWW_11,A65_74_SOLSE_VWW_12,A65_74_SOLSE_VWW_13,A65_74_SOLSE_VWW_14,A65_74_SOLSE_VWW_15,A65_74_SOLSE_VWW_16,A65_74_SOLSE_VWW_YNS,A65_74_SOLSE_VWW_T,A65_74_SOLSE_NWNAA_B00,A65_74_SOLSE_NWNAA_00_05,A65_74_SOLSE_NWNAA_06_10,A65_74_SOLSE_NWNAA_11,A65_74_SOLSE_NWNAA_12,A65_74_SOLSE_NWNAA_13,A65_74_SOLSE_NWNAA_14,A65_74_SOLSE_NWNAA_15,A65_74_SOLSE_NWNAA_16,A65_74_SOLSE_NWNAA_YNS,A65_74_SOLSE_NWNAA_T,A65_74_SOLSE_PinE_NS_B00,A65_74_SOLSE_PinE_NS_00_05,A65_74_SOLSE_PinE_NS_06_10,A65_74_SOLSE_PinE_NS_11,A65_74_SOLSE_PinE_NS_12,A65_74_SOLSE_PinE_NS_13,A65_74_SOLSE_PinE_NS_14,A65_74_SOLSE_PinE_NS_15,A65_74_SOLSE_PinE_NS_16,A65_74_SOLSE_PinE_NS_YNS,A65_74_SOLSE_PinE_NS_T,A65_74_SOLSE_T_B00,A65_74_SOLSE_T_00_05,A65_74_SOLSE_T_06_10,A65_74_SOLSE_T_06,A65_74_SOLSE_T_12,A65_74_SOLSE_T_13,A65_74_SOLSE_T_14,A65_74_SOLSE_T_15,A65_74_SOLSE_T_16,A65_74_SOLSE_T_YNS,A65_74_SOLSE_T_T,A65_74_L_PinE_NS_B00,A65_74_L_PinE_NS_00_05,A65_74_L_PinE_NS_06_10,A65_74_L_PinE_NS_11,A65_74_L_PinE_NS_12,A65_74_L_PinE_NS_13,A65_74_L_PinE_NS_14,A65_74_L_PinE_NS_15,A65_74_L_PinE_NS_16,A65_74_L_PinE_NS_YNS,A65_74_L_PinE_NS_T,A65_74_T_B00,A65_74_T_00_05,A65_74_T_06_10,A65_74_T_11,A65_74_T_12,A65_74_T_13,A65_74_T_14,A65_74_T_15,A65_74_T_16,A65_74_T_YNS,A65_74_T_T,A75_84_SEO_B00,A75_84_SEO_00_05,A75_84_SEO_06_10,A75_84_SEO_11,A75_84_SEO_12,A75_84_SEO_13,A75_84_SEO_14,A75_84_SEO_15,A75_84_SEO_16,A75_84_SEO_YNS,A75_84_SEO_T,A75_84_SOLSE_VWW_B00,A75_84_SOLSE_VWW_00_05,A75_84_SOLSE_VWW_06_10,A75_84_SOLSE_VWW_11,A75_84_SOLSE_VWW_12,A75_84_SOLSE_VWW_13,A75_84_SOLSE_VWW_14,A75_84_SOLSE_VWW_15,A75_84_SOLSE_VWW_16,A75_84_SOLSE_VWW_YNS,A75_84_SOLSE_VWW_T,A75_84_SOLSE_NWNAA_B00,A75_84_SOLSE_NWNAA_00_05,A75_84_SOLSE_NWNAA_06_10,A75_84_SOLSE_NWNAA_11,A75_84_SOLSE_NWNAA_12,A75_84_SOLSE_NWNAA_13,A75_84_SOLSE_NWNAA_14,A75_84_SOLSE_NWNAA_15,A75_84_SOLSE_NWNAA_16,A75_84_SOLSE_NWNAA_YNS,A75_84_SOLSE_NWNAA_T,A75_84_SOLSE_PinE_NS_B00,A75_84_SOLSE_PinE_NS_00_05,A75_84_SOLSE_PinE_NS_06_10,A75_84_SOLSE_PinE_NS_11,A75_84_SOLSE_PinE_NS_12,A75_84_SOLSE_PinE_NS_13,A75_84_SOLSE_PinE_NS_14,A75_84_SOLSE_PinE_NS_15,A75_84_SOLSE_PinE_NS_16,A75_84_SOLSE_PinE_NS_YNS,A75_84_SOLSE_PinE_NS_T,A75_84_SOLSE_T_B00,A75_84_SOLSE_T_00_05,A75_84_SOLSE_T_06_10,A75_84_SOLSE_T_11,A75_84_SOLSE_T_12,A75_84_SOLSE_T_13,A75_84_SOLSE_T_14,A75_84_SOLSE_T_15,A75_84_SOLSE_T_16,A75_84_SOLSE_T_YNS,A75_84_SOLSE_T_T,A75_84_L_PinE_NS_B00,A75_84_L_PinE_NS_00_05,A75_84_L_PinE_NS_06_10,A75_84_L_PinE_NS_11,A75_84_L_PinE_NS_12,A75_84_L_PinE_NS_13
POA3000,3,4,3,8,10,15,191,24,13,19,11,3,7,8,6,5,19,119,0,0,0,0,0,0,0,0,0,0,0,132,32,37,11,9,11,14,17,13,30,314,0,0,0,0,0,0,0,0,0,0,0,275,50,39,21,12,11,18,17,14,40,490,118,5,0,0,0,0,0,0,0,0,129,67,0,7,0,0,8,0,3,0,5,95,21,5,3,0,3,0,3,7,0,7,54,0,0,0,0,0,0,0,0,0,0,0,90,4,9,4,3,9,0,12,0,14,150,0,0,0,0,0,0,0,0,0,0,0,207,13,11,4,3,9,3,12,3,18,276,28,0,0,0,0,0,0,0,0,3,30,24,0,0,0,0,0,0,0,0,0,31,16,0,0,0,0,0,0,0,3,0,21,0,0,0,0,0,0,0,0,0,0,3,36,3,0,0,0,0,3,0,3,4,52,0,0,0,0,0,0
POA3002,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,116,0,0,5,0,4,0,3,0,8,136,69,3,0,0,0,0,0,0,0,6,81,30,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,4,41,0,0,0,0,0,0,0,0,0,0,0,109,3,0,0,0,0,0,0,0,10,122,23,0,0,0,0,0,0,0,0,3,22,12,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
POA3003,0,0,0,0,0,0,42,12,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,49,4,3,0,0,0,0,0,0,5,59,0,0,0,0,0,0,0,0,0,3,3,78,3,3,0,0,0,0,0,0,11,95,24,0,0,0,0,0,0,0,0,0,23,13,0,0,0,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,3,3,44,0,0,0,0,0,0,0,0,3,57,6,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,12,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
POA3004,0,3,0,4,3,0,118,10,3,0,4,0,0,0,3,0,3,23,0,0,0,0,0,0,0,0,0,0,3,87,20,18,3,0,3,0,3,5,3,141,0,0,0,0,0,0,0,0,0,3,3,234,25,22,11,3,12,8,9,5,10,339,175,4,4,0,0,0,0,0,0,7,186,59,3,6,0,0,0,3,3,0,0,79,9,0,3,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,71,3,12,0,0,0,3,3,0,3,100,0,0,0,0,0,0,0,0,0,0,0,243,9,14,0,0,3,3,3,0,9,285,55,0,0,0,0,0,0,0,0,3,60,12,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
POA3005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3006,7,8,4,6,0,4,193,21,6,14,5,9,10,11,8,10,9,99,0,0,0,0,0,0,0,0,0,0,0,149,15,34,9,10,13,23,19,10,12,295,0,0,0,0,0,0,0,0,0,0,0,283,25,45,18,22,24,22,16,18,15,487,135,8,6,0,0,0,0,0,4,0,148,88,5,3,3,0,10,0,0,0,4,112,16,0,7,0,5,5,0,0,5,3,40,4,0,0,0,0,0,0,0,0,0,4,108,6,9,3,5,11,0,3,5,8,150,0,0,0,0,0,0,0,0,0,0,0,239,12,13,3,5,13,0,5,6,8,306,41,0,0,0,0,0,0,0,0,0,46,21,0,0,0,0,0,0,0,0,0,26,11,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,32,3,0,0,0,0,0,0,0,3,40,0,0,0,0,0,0
POA3008,4,3,4,3,3,11,109,9,10,12,0,4,4,6,3,3,11,62,0,0,0,0,0,0,0,0,0,0,0,77,15,21,3,12,12,7,6,5,22,174,0,0,0,0,0,0,0,0,0,0,0,178,16,26,3,14,12,7,13,6,23,301,59,0,3,0,0,0,0,0,0,3,64,40,8,3,0,0,0,0,0,0,4,55,0,5,3,0,0,0,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,39,9,7,0,0,0,0,0,0,7,68,0,0,0,0,0,0,0,0,0,0,0,98,14,10,0,0,0,0,0,0,11,135,15,0,0,0,0,0,0,0,0,0,15,12,4,0,0,0,0,0,0,0,0,15,4,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,11,10,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
POA3010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3011,0,3,3,5,0,6,370,222,9,18,3,3,3,3,11,5,13,293,5,0,0,0,0,0,0,0,0,0,3,559,20,29,7,3,6,6,11,5,18,666,0,0,0,0,0,0,0,0,0,0,0,745,31,29,5,3,13,6,11,5,20,871,97,0,3,0,0,0,0,0,0,3,103,206,6,3,0,0,0,0,0,0,13,230,189,15,3,0,0,0,0,0,5,9,221,4,0,0,0,0,0,0,0,0,0,3,396,17,3,0,0,0,0,3,8,27,451,0,0,0,0,0,0,0,0,0,0,0,498,18,10,0,0,0,0,3,8,26,559,46,0,0,0,0,0,0,0,0,0,46,133,0,6,0,0,0,0,0,0,0,134,220,12,3,0,0,0,0,0,0,13,247,0,0,0,0,0,0,0,0,0,0,0,353,12,6,0,0,0,0,0,0,11,381,0,0,0,0,0,0
POA3012,3,0,0,0,0,12,517,284,19,23,4,7,3,8,3,11,26,386,0,0,0,0,0,0,0,0,0,0,0,754,39,34,10,12,4,6,3,11,38,907,0,0,0,0,0,0,0,0,0,8,11,976,44,38,10,15,6,10,10,11,52,1162,141,4,0,0,3,0,0,0,0,4,151,304,3,3,3,0,0,0,0,0,12,330,274,10,11,0,3,0,0,3,3,13,317,3,0,0,0,0,0,0,0,0,0,3,580,15,21,3,3,0,0,8,3,20,653,0,0,0,0,0,0,0,0,0,0,0,715,17,19,0,3,0,4,8,3,30,804,75,0,0,0,0,0,0,0,0,8,78,218,3,0,0,0,0,0,0,0,17,237,251,4,3,3,0,0,0,0,0,16,281,4,0,0,0,0,0,0,0,0,0,5,472,10,3,3,0,0,0,0,0,33,520,3,0,0,0,0,0
