POA_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
POA3000,27,24,14644,5,192,14892,0,3,1157,15,9,1189,4,0,525,42,19,593,28,33,16331,62,221,16671
POA3002,147,378,1491,3,6,2016,5,19,102,0,0,124,5,3,21,0,0,28,155,394,1616,3,6,2173
POA3003,67,443,1399,0,3,1922,20,35,58,0,0,110,7,11,42,0,0,64,92,489,1504,3,3,2089
POA3004,16,7,3966,0,9,3992,0,0,230,0,0,225,0,0,108,0,3,111,15,7,4298,0,11,4337
POA3005,4,0,164,0,0,164,0,0,3,0,0,3,0,0,7,0,0,7,4,0,167,0,0,169
POA3006,15,148,7589,11,3,7761,0,9,381,0,0,385,0,3,174,0,3,182,16,158,8141,11,8,8328
POA3008,3,103,4041,5,12,4161,0,0,234,0,0,233,0,5,102,0,3,105,3,105,4371,5,18,4497
POA3010,0,0,0,0,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12
POA3011,2967,1201,2780,49,21,7014,438,157,531,13,10,1139,117,49,118,0,15,295,3519,1396,3422,63,51,8451
POA3012,4528,1934,1543,27,39,8081,792,340,311,3,14,1458,125,78,58,0,10,270,5446,2348,1922,32,57,9811
POA3013,3477,858,446,50,3,4830,499,75,76,8,0,654,79,23,5,4,3,108,4050,953,527,55,7,5591
POA3015,3425,1710,364,34,26,5559,530,144,77,5,3,755,87,34,17,0,3,149,4042,1897,456,38,35,6462
POA3016,2817,1439,511,35,15,4825,290,189,232,17,6,732,46,38,48,3,3,138,3152,1665,789,57,23,5687
POA3018,2488,1286,288,11,6,4084,529,268,102,0,0,901,84,41,16,0,0,146,3103,1602,403,11,13,5129
POA3019,1104,1006,88,19,13,2221,325,281,12,12,3,629,78,59,0,0,0,142,1502,1344,99,24,12,2991
POA3020,8284,1773,784,14,24,10879,2512,308,330,3,16,3180,490,98,61,3,7,655,11291,2185,1170,20,45,14707
POA3021,10669,1337,847,31,28,12917,2966,398,311,4,6,3682,575,108,50,3,8,756,14212,1846,1213,42,44,17351
POA3022,633,144,4,0,0,783,199,35,0,0,3,233,28,6,0,23,0,60,863,191,6,23,3,1077
POA3023,14248,1612,148,13,12,16034,1651,304,50,5,3,2004,459,65,8,0,4,532,16354,1975,206,17,11,18570
POA3024,6326,192,13,0,8,6532,648,39,0,0,0,693,168,3,3,0,3,179,7142,233,17,0,12,7400
POA3025,2107,799,125,7,16,3057,857,178,66,3,0,1099,104,26,18,0,0,154,3070,1008,207,12,18,4310
POA3026,0,0,0,16,0,23,0,0,0,20,0,22,0,3,0,0,0,4,0,10,0,34,0,43
POA3027,1571,262,3,0,4,1842,67,14,0,0,0,80,33,6,0,0,0,37,1676,276,3,0,0,1961
POA3028,6338,1748,282,6,16,8382,1128,310,68,0,0,1509,193,50,14,0,5,258,7657,2103,358,5,18,10149
POA3029,20097,3823,716,8,17,24670,1689,409,224,0,7,2325,584,106,34,0,6,734,22369,4345,976,8,31,27726
POA3030,23855,3706,409,45,23,28036,2289,666,87,39,7,3091,605,118,19,3,5,755,26753,4492,517,79,37,31877
POA3031,1145,2738,2306,39,19,6249,114,268,643,3,0,1032,28,59,143,0,0,238,1288,3074,3094,40,24,7516
POA3032,3599,2823,3186,17,30,9658,465,208,566,3,3,1250,81,53,136,0,3,278,4145,3091,3889,21,36,11186
POA3033,3313,738,40,16,8,4119,720,115,14,0,0,856,106,24,0,0,0,129,4139,880,53,16,9,5095
POA3034,2362,686,17,28,5,3097,740,144,0,3,0,891,93,20,0,0,0,117,3194,851,21,29,5,4109
POA3036,1535,148,4,0,0,1688,199,82,13,0,0,293,41,14,4,0,0,65,1774,249,19,0,0,2045
POA3037,10779,2315,196,3,22,13309,918,345,109,0,0,1364,306,62,19,0,0,379,11994,2722,316,3,23,15058
POA3038,6598,701,35,9,3,7336,879,184,26,0,0,1093,174,25,3,0,0,200,7646,911,65,9,4,8626
POA3039,2529,862,1148,22,22,4584,361,82,290,3,3,742,62,27,59,0,4,157,2955,974,1494,24,32,5482
POA3040,4467,1629,2126,23,21,8257,526,216,396,3,0,1150,103,39,69,0,9,222,5096,1885,2593,27,26,9632
POA3041,2542,675,549,14,10,3784,322,74,92,3,0,492,60,16,22,0,3,100,2918,773,657,17,11,4383
POA3042,3275,1367,97,35,17,4790,810,221,17,18,0,1069,106,42,0,3,5,162,4194,1629,117,60,24,6021
POA3043,4298,973,49,3,5,5332,796,212,31,0,0,1045,131,29,4,0,0,162,5224,1221,85,3,6,6539
POA3044,4960,2641,362,28,18,8019,1070,416,139,7,13,1631,130,67,23,4,0,226,6160,3125,525,38,29,9873
POA3045,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
POA3046,5952,2773,672,10,34,9442,1746,455,157,0,11,2373,238,122,27,0,0,385,7935,3348,862,11,46,12204
POA3047,3373,442,611,80,20,4526,985,143,177,31,5,1342,249,27,50,11,25,365,4610,608,832,124,51,6236
POA3048,3489,522,40,0,9,4062,708,117,3,0,0,827,174,41,0,0,3,224,4372,670,44,0,22,5111
POA3049,2265,343,3,43,4,2660,320,67,0,29,0,420,73,11,0,5,0,89,2654,425,3,79,11,3172
POA3050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3051,309,1441,3234,20,29,5041,41,124,504,0,8,683,17,33,128,0,7,186,369,1597,3871,24,43,5904
POA3052,92,591,1112,3,12,1819,0,25,79,0,0,104,3,19,25,0,5,59,100,637,1226,3,16,1985
POA3053,81,1071,5719,31,40,6935,8,64,691,0,3,764,7,47,252,3,10,310,87,1181,6658,31,49,8006
POA3054,258,2107,692,34,13,3104,22,155,87,3,3,271,10,51,26,3,0,89,292,2309,804,42,14,3460
POA3055,1926,1081,1918,36,16,4977,371,112,304,7,3,797,60,29,68,0,3,152,2360,1215,2292,38,18,5923
POA3056,3061,2695,2872,82,35,8749,534,262,292,9,4,1093,105,75,89,3,5,272,3698,3034,3253,86,46,10121
POA3057,1081,1439,1872,31,15,4449,238,104,127,0,0,476,32,37,37,5,4,106,1359,1580,2037,43,20,5033
POA3058,6586,2588,870,37,43,10124,1396,338,125,3,4,1867,210,86,27,0,3,326,8189,3017,1019,40,57,12321
POA3059,3878,147,4,0,7,4035,335,22,0,0,0,351,66,0,0,0,0,70,4276,164,4,0,5,4458
POA3060,2705,456,41,10,11,3218,1010,88,8,0,7,1114,142,25,4,0,0,176,3856,577,53,11,12,4511
POA3061,942,64,36,41,10,1081,312,10,7,58,3,397,58,7,3,10,0,73,1309,83,44,103,8,1552
POA3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3063,147,0,0,0,0,147,14,0,0,0,0,14,3,0,0,0,0,3,165,0,0,0,0,165
POA3064,16490,1831,199,5,17,18536,1492,312,54,0,9,1863,474,70,6,3,6,563,18454,2210,255,9,29,20954
POA3065,542,1103,1858,25,22,3547,34,57,353,0,0,439,11,28,98,0,4,138,584,1182,2302,23,28,4129
POA3066,404,574,2140,42,8,3168,80,43,293,0,3,422,17,28,88,0,3,142,501,645,2528,46,13,3729
POA3067,399,847,1940,16,18,3220,54,71,128,3,0,253,11,22,51,0,0,79,462,933,2120,22,24,3562
POA3068,1136,3529,1902,29,36,6627,150,262,275,0,0,682,27,96,79,7,3,214,1314,3885,2259,33,35,7523
POA3070,3796,2548,1631,59,26,8064,628,243,230,8,3,1114,104,42,49,0,0,202,4524,2837,1909,72,29,9379
POA3071,3169,1352,1562,33,30,6145,596,190,311,3,3,1109,106,29,65,0,4,195,3870,1571,1941,42,35,7455
POA3072,5766,2399,1473,107,32,9777,1286,516,249,8,8,2067,199,107,54,0,11,372,7256,3027,1770,123,45,12219
POA3073,9195,4226,577,50,44,14088,2995,948,202,14,5,4158,449,181,30,5,4,663,12633,5359,808,62,51,18918
POA3074,4168,451,314,4,14,4944,1617,124,77,0,3,1821,224,31,13,0,5,268,6007,598,409,4,21,7037
POA3075,4776,299,339,6,12,5429,1628,66,100,0,3,1798,212,21,11,0,3,245,6616,377,452,6,18,7469
POA3076,6752,1700,117,0,10,8581,884,340,44,0,0,1267,204,45,12,0,0,267,7846,2089,177,0,13,10117
POA3078,1959,838,1037,10,12,3857,230,84,145,0,0,465,45,25,30,0,3,101,2233,952,1204,10,20,4422
POA3079,3334,925,931,14,19,5212,311,111,138,3,0,567,59,13,23,0,5,102,3703,1048,1096,13,28,5886
POA3081,2448,1237,194,0,22,3894,483,287,86,0,6,869,119,70,24,0,3,217,3052,1590,302,0,30,4979
POA3082,7056,1229,109,4,4,8400,807,186,13,0,0,1011,209,32,0,0,0,245,8075,1448,120,4,3,9651
POA3083,6696,1337,885,3,10,8936,1089,176,183,0,0,1449,207,41,33,0,0,284,7999,1557,1098,4,14,10673
POA3084,6038,1069,928,12,18,8062,785,153,121,0,10,1071,138,35,22,0,5,195,6960,1251,1074,12,32,9326
POA3085,3481,712,95,8,3,4297,379,153,13,5,0,551,79,22,3,0,0,105,3940,894,110,12,6,4959
POA3086,0,0,5,0,0,9,0,0,0,0,0,0,0,0,6,0,7,9,0,0,8,0,11,18
POA3087,2607,196,14,0,0,2825,394,93,0,0,0,488,57,4,0,0,4,65,3059,291,14,0,3,3379
POA3088,7369,959,150,4,8,8499,710,193,36,0,3,944,121,34,9,0,0,171,8199,1188,206,4,17,9608
POA3089,3291,168,5,0,8,3481,201,24,4,0,0,234,63,7,0,0,0,72,3560,205,13,0,8,3787
POA3090,626,5,0,0,5,637,31,0,0,0,0,30,11,0,0,0,0,11,667,5,0,0,5,678
POA3091,414,0,0,0,3,419,35,0,0,0,0,35,13,0,0,0,0,20,465,0,0,0,3,471
POA3093,933,251,54,0,0,1241,68,36,9,0,0,124,22,5,3,0,0,34,1027,294,72,0,6,1391
POA3094,2590,367,23,7,6,2997,220,66,3,0,0,295,43,6,3,0,0,51,2855,442,25,7,11,3344
POA3095,7844,323,333,5,15,8513,378,71,69,0,0,516,124,10,4,0,0,148,8349,403,402,7,14,9181
POA3096,533,0,0,0,3,535,35,0,0,0,0,35,9,0,0,0,0,9,573,0,0,0,3,577
POA3097,386,4,0,0,3,390,21,0,0,0,0,24,11,0,0,0,0,11,422,4,0,0,3,430
POA3099,1438,20,3,4,0,1472,94,8,0,0,0,112,19,0,0,0,0,17,1553,33,3,7,7,1600
POA3101,4075,1959,1825,20,22,7902,275,162,155,0,5,603,77,37,51,3,0,159,4427,2158,2027,22,28,8668
POA3102,1356,457,209,0,4,2031,147,47,28,0,0,224,20,3,4,0,0,31,1523,509,247,0,4,2288
POA3103,3093,1237,535,16,13,4891,233,178,96,0,3,515,78,29,21,0,0,123,3408,1439,653,16,14,5532
POA3104,5014,767,93,18,10,5897,524,86,13,3,0,628,121,9,3,0,3,139,5653,864,111,19,13,6662
POA3105,2500,435,225,3,3,3166,597,44,41,0,0,679,75,8,3,0,0,85,3177,483,269,3,3,3935
POA3106,3940,826,109,0,7,4887,288,145,17,0,0,446,85,26,3,0,5,117,4310,992,129,0,10,5447
POA3107,3335,721,43,3,0,4102,437,74,10,0,3,527,92,17,5,0,24,145,3864,815,56,7,30,4768
POA3108,4296,1245,1059,3,8,6619,766,137,150,0,4,1059,102,49,35,0,3,191,5169,1432,1244,4,14,7862
POA3109,5889,1919,708,0,22,8547,603,243,111,0,0,959,118,73,35,0,47,261,6613,2231,853,0,73,9768
POA3111,3305,299,59,0,3,3658,265,68,58,0,0,391,55,13,9,0,0,82,3626,379,124,0,3,4130
POA3113,2454,7,0,16,4,2482,117,4,0,0,0,120,44,0,0,0,0,47,2612,12,0,18,3,2650
POA3114,1043,0,0,0,3,1049,59,0,0,0,0,59,21,0,0,0,0,21,1124,0,0,0,3,1126
POA3115,1084,0,0,0,3,1091,57,0,0,0,0,57,19,0,0,0,0,19,1156,0,0,0,3,1157
POA3116,2873,48,0,0,13,2935,355,3,0,0,0,367,50,0,0,0,3,51,3284,56,0,0,11,3355
POA3121,1423,4525,5357,45,59,11408,183,368,856,8,5,1424,37,117,186,3,5,343,1651,5007,6401,52,73,13179
POA3122,2131,1443,5176,37,37,8827,113,115,432,0,5,666,37,32,139,0,3,206,2278,1589,5750,38,45,9706
POA3123,1833,1019,2232,11,19,5112,112,64,212,0,6,385,31,28,153,0,0,212,1971,1107,2595,9,21,5702
POA3124,4281,1516,1098,33,31,6958,271,123,119,0,3,516,75,29,30,0,0,133,4628,1663,1252,33,34,7612
POA3125,2794,1012,564,7,19,4393,340,234,105,0,0,684,84,38,22,0,3,137,3215,1286,691,7,20,5215
POA3126,1651,564,227,11,9,2462,84,64,28,4,0,182,24,9,9,0,3,48,1763,636,262,16,10,2690
POA3127,3859,1495,519,13,13,5908,243,161,47,0,0,454,53,30,12,0,4,101,4162,1680,578,13,18,6459
POA3128,2878,1731,1737,3,15,6369,328,245,277,0,3,850,99,59,77,0,6,241,3301,2034,2085,4,25,7459
POA3129,3406,1681,342,6,18,5448,445,168,43,0,3,661,86,31,14,0,0,129,3939,1882,395,6,14,6232
POA3130,7608,1847,401,13,19,9885,871,276,159,0,0,1310,156,34,25,0,0,215,8636,2162,588,11,18,11414
POA3131,5153,1664,127,8,12,6964,626,375,49,0,0,1048,125,70,14,0,7,219,5903,2114,195,8,20,8234
POA3132,3444,1602,286,3,13,5348,381,220,20,0,0,626,76,39,10,0,0,122,3903,1858,311,3,19,6088
POA3133,5860,836,52,6,8,6768,548,123,21,0,0,698,95,18,3,0,4,123,6506,981,82,6,14,7585
POA3134,9148,720,300,3,19,10198,850,238,45,0,6,1148,190,45,7,0,4,247,10189,1007,356,9,30,11592
POA3135,5882,413,100,9,15,6421,626,56,12,0,0,691,122,18,4,0,0,148,6633,485,120,9,13,7263
POA3136,13072,849,282,9,29,14234,1524,171,49,0,8,1758,307,31,13,0,12,363,14907,1054,341,9,43,16350
POA3137,3810,416,22,3,11,4256,404,167,8,0,3,582,81,29,0,0,5,111,4288,606,29,3,12,4947
POA3138,6281,247,10,0,21,6564,650,65,0,0,0,715,135,7,0,0,0,140,7062,325,17,0,25,7424
POA3139,3949,7,8,3,16,3986,489,3,3,3,3,498,108,0,0,0,3,112,4547,9,12,11,21,4597
POA3140,4208,767,51,30,19,5069,428,281,3,29,3,747,92,39,5,0,3,128,4719,1084,58,58,19,5951
POA3141,776,1606,8314,9,26,10741,56,79,866,0,3,1010,18,42,232,0,3,299,851,1730,9414,13,35,12043
POA3142,1521,991,2351,0,7,4870,77,71,248,0,0,394,44,34,94,0,0,174,1645,1092,2694,0,7,5437
POA3143,990,682,1707,18,12,3406,80,55,235,3,0,367,21,8,44,0,0,77,1087,752,1992,19,12,3854
POA3144,1765,758,1151,51,21,3751,118,63,144,3,3,331,24,9,35,3,4,73,1906,825,1328,55,30,4154
POA3145,4128,1814,1419,113,22,7501,352,173,150,10,5,693,74,41,36,3,3,159,4557,2027,1605,134,36,8359
POA3146,4782,1597,1930,5,20,8328,322,142,206,0,0,675,87,28,45,0,0,156,5188,1764,2179,6,18,9160
POA3147,3110,657,580,21,14,4384,339,110,132,0,0,588,55,20,9,0,9,99,3506,786,724,21,25,5068
POA3148,1616,714,289,0,7,2623,248,72,59,0,3,385,51,37,11,0,0,97,1906,819,359,0,10,3098
POA3149,7236,840,2201,9,26,10312,881,70,240,0,4,1196,174,27,46,0,5,248,8291,928,2488,7,33,11757
POA3150,15331,1436,1029,6,25,17832,1545,267,154,3,4,1968,315,63,27,0,3,412,17198,1766,1212,7,40,20216
POA3151,2400,535,65,0,10,3000,447,88,20,0,0,558,59,8,5,0,0,75,2904,632,86,0,11,3632
POA3152,8553,1121,121,69,15,9875,655,375,28,54,0,1117,163,71,13,5,3,256,9368,1576,164,130,16,11251
POA3153,4642,1453,419,3,27,6543,555,290,114,0,0,962,105,50,24,0,4,178,5301,1788,565,3,27,7687
POA3154,1261,49,11,3,0,1322,113,3,26,0,0,138,34,0,12,0,0,45,1407,55,43,4,0,1510
POA3155,5563,1566,159,6,18,7300,742,269,47,0,3,1055,152,61,6,0,7,218,6446,1889,209,3,27,8572
