POA_CODE_2016,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
POA3000,159,192,54,27,24,18,11,0,474,189,858,252,49,17,0,0,0,1363,384,923,198,80,66,46,10,5,1706,96,197,53,25,15,14,3,0,410,32,28,9,8,0,0,0,0,80,38,198,63,23,31,16,3,0,380,25,55,18,15,24,14,3,0,163,837,1327,361,125,82,48,10,4,2799,167,382,127,83,65,29,20,6,883,163,289,79,34,20,12,0,0,593,138,322,83,21,11,10,0,0,578,106,26,3,0,0,0,0,0,132,45,63,13,14,6,6,0,0,149,791,902,329,156,146,82,22,10,2434,3149,5763,1635,663,516,294,80,32,12141,215,252,47,20,16,0,3,0,551,83,366,89,15,3,0,0,0,569,180,353,54,24,8,3,0,0,621,143,190,32,10,9,4,0,0,385,33,46,4,8,0,0,0,0,92,89,371,88,56,47,24,9,0,672,61,156,68,28,56,26,8,0,401,1341,1814
POA3002,5,16,3,17,10,11,4,8,74,3,42,21,4,8,3,0,0,86,8,52,29,18,24,29,12,6,183,4,25,11,12,16,10,3,0,74,3,4,8,0,0,0,0,0,18,7,54,28,20,20,24,12,0,167,0,8,7,3,14,16,4,0,53,21,124,74,69,54,50,12,4,410,18,103,47,35,40,35,12,8,298,6,46,30,21,12,4,0,0,114,0,14,5,0,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,10,5,9,3,4,0,0,31,26,67,50,37,32,42,14,6,276,100,561,324,239,242,227,73,34,1811,4,27,13,7,12,4,0,0,62,0,7,3,8,0,0,0,0,19,0,10,9,3,0,0,3,0,32,5,25,14,5,8,0,0,0,50,3,4,4,3,0,0,0,0,8,14,115,39,31,49,36,20,8,315,4,35,15,11,49,31,8,11,174,19,142
POA3003,16,39,16,5,5,3,0,0,83,19,96,32,10,3,0,0,0,163,44,124,49,24,16,12,0,0,270,11,46,9,13,4,4,0,0,89,0,5,0,4,3,0,0,0,17,3,47,11,3,14,3,0,0,82,3,13,3,6,3,8,3,0,38,57,188,71,46,7,5,0,0,382,20,79,37,25,16,13,3,0,183,15,82,35,13,3,5,0,0,151,11,64,17,5,0,0,0,0,98,4,0,0,0,0,0,0,0,3,7,14,6,4,3,0,0,0,36,88,254,146,72,32,14,5,0,619,290,1055,440,231,112,68,20,0,2206,14,36,13,5,3,3,0,0,70,11,40,12,7,4,0,0,0,74,14,35,8,3,3,0,0,0,69,7,25,11,0,3,0,0,0,44,8,3,3,0,0,0,0,0,10,15,70,27,15,16,3,0,0,152,8,28,23,7,9,12,5,0,96,87,222
POA3004,18,30,25,15,13,18,3,3,125,13,132,103,15,17,8,0,0,280,22,163,91,48,49,56,25,16,466,7,71,33,13,21,23,4,0,176,3,4,9,0,3,3,0,0,19,12,65,41,21,22,28,19,8,219,0,19,12,5,8,11,7,3,76,44,329,160,106,102,71,24,10,849,10,69,63,31,40,57,11,4,287,24,75,33,18,8,6,0,0,163,18,30,14,12,3,8,0,0,91,3,0,0,0,0,0,0,0,5,0,12,9,11,4,4,0,0,46,60,144,109,81,69,63,30,29,589,237,1143,709,366,358,354,137,76,3380,20,55,25,10,8,7,0,0,127,9,46,30,13,8,0,0,0,99,6,53,28,9,5,5,4,3,105,6,32,21,10,3,3,0,0,70,0,10,0,0,4,0,0,0,16,26,162,66,40,45,36,20,8,417,3,51,32,35,36,42,21,8,233,79,432
POA3005,0,3,6,3,0,0,0,0,11,0,3,3,0,0,0,0,0,10,0,10,11,7,4,4,0,0,30,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,3,0,0,0,0,7,3,24,7,5,0,6,0,0,44,0,4,4,0,0,0,0,0,7,0,3,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,34,18,8,4,8,3,0,85,16,85,53,28,10,15,3,0,207,0,3,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,6,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,8,0,4,0,0,0,16,0,3,0,7,4,0,0,0,8,3,29
POA3006,31,117,44,14,26,15,6,0,258,57,419,189,43,21,5,0,0,730,118,451,164,83,69,52,22,3,959,26,106,30,19,21,9,0,4,225,3,11,8,6,3,3,0,0,37,10,114,66,19,36,20,10,3,274,4,27,20,18,18,15,3,0,99,237,923,323,159,88,63,19,0,1813,59,248,116,47,54,39,15,0,574,77,170,58,18,12,8,0,0,337,53,169,49,13,4,0,0,0,293,8,3,0,0,0,3,0,0,14,10,32,15,14,7,7,0,0,81,258,506,242,124,78,59,9,3,1281,948,3309,1316,576,442,285,81,15,6982,51,122,46,11,13,7,3,0,258,13,135,62,28,5,3,0,0,248,35,171,31,8,11,4,6,0,263,29,70,21,12,5,3,0,0,144,6,16,3,0,3,0,0,0,38,31,282,76,44,69,31,9,0,546,21,95,38,39,67,31,10,3,302,321,1131
POA3008,13,35,30,16,12,13,4,0,124,27,344,122,17,12,0,0,0,515,64,423,138,69,60,36,3,4,796,14,57,22,26,17,14,8,0,150,3,6,5,4,3,3,0,0,23,5,53,22,19,14,5,4,0,126,3,16,8,10,7,14,0,0,56,114,393,148,118,91,39,10,3,914,23,101,36,33,26,15,4,0,240,19,53,14,3,4,4,0,0,99,16,49,29,14,0,0,0,0,105,6,3,0,0,0,0,0,0,12,0,16,12,10,8,0,0,0,39,96,268,105,74,52,46,7,0,651,409,1817,681,401,306,184,39,8,3848,30,63,42,12,7,0,3,0,154,22,163,41,10,3,0,0,0,240,22,142,22,10,5,3,0,0,203,14,35,5,0,0,4,0,0,64,3,6,3,0,0,0,0,0,14,20,103,36,24,33,14,3,0,236,9,38,30,25,42,16,0,0,157,162,543
POA3010,21,10,0,0,0,0,0,0,31,4,4,0,0,0,0,0,0,12,6,15,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,15,3,4,0,0,0,0,0,0,4,14,3,0,0,0,0,0,0,15,18,15,0,6,8,0,0,0,47,3,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,8,29,3,0,0,0,0,0,0,36,122,58,5,6,12,4,0,0,208,25,11,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,8,5,11,0,0,0,0,0,0,12,3,3,3,0,0,0,0,0,11,14,3
POA3011,27,104,75,34,19,8,0,0,274,66,295,137,40,25,4,0,0,565,94,326,189,140,118,50,25,8,947,28,127,98,50,40,14,11,3,358,6,20,27,14,5,4,0,0,84,27,148,71,27,19,7,3,0,302,6,64,58,26,37,14,0,0,218,145,519,319,113,56,16,4,0,1187,60,216,171,117,68,20,7,0,672,59,241,99,62,23,11,0,0,497,30,118,67,37,11,3,0,0,265,11,3,6,0,0,0,0,0,17,18,39,26,15,16,4,0,0,118,195,273,191,125,121,82,73,39,1092,766,2503,1541,789,556,257,118,55,6589,32,102,73,25,15,7,0,0,257,14,73,34,19,9,0,0,0,147,18,56,25,6,10,9,3,3,126,8,50,39,15,13,0,0,0,125,4,17,15,8,3,0,0,0,48,38,298,132,59,51,20,8,7,611,22,156,128,96,69,23,12,0,511,154,540
POA3012,23,66,79,48,11,9,3,0,231,44,301,174,61,19,0,0,0,603,117,413,269,193,174,80,44,21,1322,26,145,111,59,45,26,11,3,434,4,25,27,12,6,7,0,0,84,15,132,72,42,24,13,3,0,300,3,63,54,48,44,18,7,0,250,104,564,378,146,86,19,3,5,1311,53,166,177,93,56,21,6,0,573,63,126,144,79,13,3,0,0,428,30,160,75,37,17,5,0,0,334,8,4,7,0,3,6,0,0,28,9,32,41,15,5,0,0,0,102,141,319,207,153,87,73,63,48,1086,648,2519,1818,990,598,282,137,83,7069,28,91,81,30,19,6,0,0,251,5,88,48,27,7,0,0,0,179,7,62,41,21,16,5,9,3,168,7,40,35,4,5,0,0,0,88,4,31,17,10,3,0,0,0,68,54,350,168,113,51,23,9,5,769,31,164,158,108,77,31,11,7,592,158,650
