SA2_MAINCODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
201011001,3456,10137,76,167,109,256,187,418,224,327,0,0,0,0,0,0,224,327,0,0,0,3,0,0,0,7,3,4,23,46,3886,10941,342,..,4228,10941
201011002,3587,8466,542,1066,189,431,734,1496,243,335,47,75,0,0,0,0,292,410,0,0,0,0,0,0,14,30,14,30,28,49,4654,10456,782,..,5432,10456
201011003,7707,18917,912,1428,137,292,1047,1721,118,193,0,0,0,0,0,0,118,193,5,7,7,15,0,0,54,125,68,145,54,92,8992,21071,1195,..,10185,21071
201011004,7067,16926,2408,4549,61,123,2460,4668,282,459,0,0,0,0,0,0,282,459,0,0,0,0,0,6,15,31,15,39,45,76,9868,22165,1104,..,10966,22165
201011005,2198,6133,46,76,3,17,48,87,17,27,0,0,0,0,0,0,19,29,0,0,0,0,0,0,0,3,0,3,7,9,2281,6262,146,..,2425,6262
201011006,2228,5981,223,533,0,0,223,533,12,16,0,0,0,0,0,0,12,16,0,0,0,0,0,0,0,0,0,0,8,13,2472,6540,237,..,2711,6540
201011007,1239,3672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,3,0,0,3,16,6,8,1246,3696,100,..,1349,3696
201011008,4758,11757,641,1019,7,19,652,1039,221,307,21,33,0,0,0,0,243,337,0,0,0,0,0,0,4,4,6,9,8,19,5667,13162,632,..,6300,13162
201021009,1982,5153,20,38,0,0,20,38,49,72,0,0,0,0,0,0,49,72,7,8,0,0,3,7,3,10,12,23,9,35,2079,5321,390,..,2469,5321
201021010,2482,5912,73,88,0,0,69,91,10,15,0,0,0,0,0,6,13,27,26,36,0,0,0,4,287,666,313,706,45,115,2933,6847,429,..,3360,6847
201021011,3421,7523,41,66,7,12,48,73,41,49,0,0,0,0,0,0,41,49,9,8,3,5,6,8,36,55,52,80,57,107,3612,7836,1697,..,5313,7836
201021012,1931,5051,0,0,0,0,0,0,7,11,0,0,0,0,0,0,7,11,3,3,0,0,0,3,0,8,3,12,17,38,1964,5113,292,..,2256,5113
201031013,1338,2889,0,3,0,0,0,3,0,12,0,0,0,0,0,0,0,12,9,8,4,13,3,4,3,3,13,28,6,25,1365,2953,364,..,1723,2953
201031014,1474,3486,0,0,0,0,0,0,16,24,0,0,0,0,0,0,16,24,11,17,41,53,0,0,0,3,54,74,10,19,1561,3599,290,..,1851,3599
201031015,1617,4133,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,7,11,4,8,0,3,7,15,14,26,5,14,1632,4178,236,..,1869,4178
201031016,2977,6638,293,414,0,0,292,417,40,48,0,0,0,0,0,0,45,49,22,32,9,17,0,0,16,24,47,72,13,23,3374,7202,404,..,3778,7202
201031017,2038,4639,25,45,4,4,28,52,35,36,0,0,0,0,0,0,35,36,29,37,0,4,7,13,15,35,57,82,8,21,2164,4831,474,..,2639,4831
202011018,4960,11361,537,812,150,251,682,1058,157,249,44,64,0,0,0,0,199,315,0,0,0,0,0,0,16,41,16,41,23,34,5885,12813,959,..,6838,12813
202011019,4240,10323,262,362,0,0,262,362,42,78,0,0,0,0,0,0,42,78,0,0,0,0,0,0,7,17,6,17,30,57,4577,10833,517,..,5095,10833
202011020,4336,10445,834,1336,107,219,934,1553,43,65,13,21,0,0,0,0,52,87,0,0,0,0,0,0,7,8,5,8,12,14,5340,12113,739,..,6081,12113
202011021,2989,7361,516,833,97,198,613,1028,21,23,0,0,0,0,0,0,21,23,0,0,0,0,0,0,0,0,0,0,7,9,3630,8432,496,..,4119,8432
202011022,6868,16378,551,855,35,79,588,938,182,302,0,0,17,18,0,0,203,319,42,54,21,29,0,3,4,17,78,98,31,59,7758,17790,798,..,8553,17790
202011023,1512,4746,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,4,5,7,7,14,0,0,0,0,7,16,4,21,1528,4793,75,..,1606,4793
202011024,2686,8071,6,9,0,0,6,9,4,9,0,0,0,0,0,0,4,9,0,3,15,26,0,0,0,0,22,29,9,18,2729,8136,189,..,2911,8136
202011025,3958,10701,110,168,9,11,114,177,17,20,0,0,0,0,0,0,17,20,8,19,3,6,0,0,8,15,19,41,12,24,4118,10973,280,..,4395,10973
202021026,2296,6522,3,7,0,0,3,7,4,6,0,0,0,0,0,0,4,6,3,6,12,18,0,0,0,0,20,22,37,99,2356,6657,240,..,2591,6657
202021027,3788,8369,243,339,3,4,247,348,30,34,0,0,0,0,0,0,30,34,3,3,4,3,0,0,4,14,11,16,32,67,4115,8843,625,..,4734,8843
202021028,3265,7425,14,24,6,9,19,37,27,27,0,0,0,0,0,0,27,26,12,20,4,12,0,6,12,20,33,58,29,65,3373,7610,781,..,4155,7610
202021029,1748,3927,7,7,0,0,7,7,17,27,0,0,0,0,0,0,16,27,5,13,13,14,3,6,7,12,31,44,18,43,1826,4055,500,..,2326,4055
202021030,3251,8094,156,246,0,3,155,249,71,110,0,0,0,0,0,0,74,106,0,0,0,0,0,0,38,72,38,72,23,27,3532,8541,524,..,4062,8541
202021031,2287,6062,64,98,8,10,69,110,8,8,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,6,4,10,17,33,2377,6229,283,..,2668,6229
202031032,1544,3928,8,11,3,9,6,15,3,4,0,0,0,0,0,0,3,4,21,22,3,7,0,0,5,15,30,54,5,18,1593,4019,193,..,1786,4019
202031033,2619,5858,11,15,0,0,11,15,50,66,0,0,0,0,0,0,50,66,34,51,11,11,6,18,15,33,63,108,33,70,2775,6115,795,..,3570,6115
203011034,1944,5949,3,4,0,0,3,4,3,5,0,0,0,0,0,0,3,5,3,9,0,0,3,14,0,0,8,18,3,3,1956,5985,124,..,2081,5985
