SA2_MAINCODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
201011001,26,6,53,40,20,31,3,21,0,203,0,0,0,0,0,0,0,0,0,3,8,8,4,7,8,0,0,4,0,37,6,6,18,14,9,14,7,5,8,81,505,1236,575,469,436,211,114,171,36,3754
201011002,11,3,72,18,19,24,8,9,0,156,0,0,0,0,0,0,0,0,0,3,10,29,0,7,9,3,6,0,3,75,0,5,14,4,3,3,0,3,15,49,594,1760,428,385,355,228,75,122,49,3990
201011003,36,10,161,63,56,32,20,35,3,421,4,0,0,0,0,0,0,0,0,7,18,28,11,11,14,8,4,8,3,113,20,15,26,23,13,21,20,24,13,177,863,2317,1237,905,802,410,233,370,94,7230
201011004,33,10,148,76,49,52,17,53,4,447,0,0,0,3,0,0,0,6,0,9,8,16,12,15,23,4,5,10,0,91,16,15,38,20,14,24,18,30,23,192,580,1637,1194,1036,712,459,258,459,89,6427
201011005,12,0,35,12,16,12,3,6,3,99,0,0,0,0,0,0,0,0,0,0,8,5,7,3,7,0,0,0,0,30,8,9,9,8,5,9,4,4,7,61,328,814,354,244,259,114,58,97,34,2307
201011006,12,3,59,23,15,28,10,13,3,170,0,0,0,0,0,0,0,0,0,4,5,5,0,4,4,4,0,0,0,27,5,0,8,4,4,7,8,10,4,42,177,422,413,274,218,151,94,153,33,1942
201011007,6,0,14,12,6,3,3,3,0,46,3,0,0,0,0,0,0,0,0,3,3,5,3,3,3,0,3,0,0,21,3,3,13,7,3,5,4,8,8,60,150,281,281,160,125,69,67,78,24,1238
201011008,20,3,88,38,22,25,7,32,3,243,0,0,0,0,0,4,0,4,0,7,7,8,8,8,7,8,5,3,0,52,4,9,18,13,17,18,19,29,23,146,278,719,695,456,381,224,174,317,53,3298
201021009,11,0,25,8,11,10,4,3,0,79,0,0,0,0,0,0,0,0,0,3,0,4,5,3,4,0,0,0,0,26,11,10,9,7,8,3,12,12,0,70,258,395,333,197,209,81,105,120,36,1733
201021010,17,0,50,11,11,11,7,23,0,136,0,0,0,0,0,0,0,3,0,7,0,5,0,5,5,3,0,3,0,32,8,4,19,14,11,4,15,19,7,91,333,458,417,242,222,95,102,164,30,2072
201021011,35,7,70,26,11,15,4,24,0,189,0,0,0,0,0,0,0,0,0,0,15,18,0,9,3,3,0,8,0,53,13,19,12,3,9,5,8,23,11,102,483,763,394,368,246,120,81,213,48,2715
201021012,14,3,17,5,12,8,5,7,0,66,0,0,0,0,0,0,0,0,0,0,7,6,7,0,3,3,3,3,0,32,10,4,22,4,9,10,3,8,4,78,292,408,331,191,190,78,101,113,31,1738
201031013,3,3,15,3,6,3,0,10,0,40,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,7,6,0,3,3,0,0,7,11,4,37,176,124,98,91,62,21,46,71,12,706
201031014,3,0,19,8,7,0,0,8,0,55,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,0,0,9,6,3,6,4,7,0,6,3,4,44,208,177,153,140,95,39,55,78,14,960
201031015,10,3,29,12,5,6,4,6,0,75,0,0,0,0,4,0,0,0,0,4,3,3,8,0,0,0,4,3,0,26,13,0,6,3,6,3,9,8,4,52,180,280,267,152,144,55,72,93,20,1252
201031016,13,0,58,11,10,18,3,21,3,138,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,3,0,0,26,14,4,14,12,7,8,4,20,8,90,168,285,333,256,124,102,72,166,25,1527
201031017,7,0,28,12,5,12,3,11,0,69,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,3,0,16,16,3,9,3,9,5,4,12,3,69,175,182,226,148,86,59,54,109,20,1057
202011018,23,5,121,34,21,23,6,31,7,273,0,0,3,0,0,0,0,3,0,3,5,15,5,5,6,3,3,12,3,55,15,13,10,10,8,7,14,20,20,118,405,1376,669,529,384,224,126,321,63,4107
202011019,14,3,77,25,24,35,6,27,4,220,0,0,0,0,0,0,0,0,0,0,7,3,3,0,3,7,8,4,0,29,10,3,21,16,11,9,9,28,12,116,235,543,598,464,287,181,151,277,41,2775
202011020,16,7,81,30,20,19,10,20,0,215,0,3,0,0,0,0,0,0,0,4,7,9,4,10,8,6,3,3,0,46,9,10,8,10,4,14,3,15,9,79,497,1367,545,524,388,249,117,191,41,3932
202011021,16,8,41,34,14,19,0,10,0,150,0,0,0,0,0,0,0,0,0,0,7,8,4,3,5,7,4,0,0,34,6,6,5,9,12,9,0,8,7,52,325,1076,373,408,325,182,70,161,29,2946
202011022,23,4,130,59,32,41,16,63,3,374,0,0,0,0,0,0,0,6,0,6,4,13,13,9,6,3,3,11,3,60,13,14,26,18,8,15,10,24,20,141,498,1228,965,749,517,332,226,487,69,5065
202011023,3,7,39,14,20,10,3,3,0,100,0,0,0,0,0,0,0,0,0,3,4,3,0,3,3,3,0,0,0,18,10,4,17,9,5,4,7,3,0,59,229,423,378,186,211,80,73,83,12,1672
202011024,13,3,46,17,21,19,5,7,0,140,0,0,0,0,0,0,0,0,0,0,3,8,3,7,4,0,3,0,0,35,8,10,13,12,3,9,7,6,9,80,415,1054,429,317,352,130,89,112,23,2911
202011025,22,3,96,30,25,21,9,29,0,236,0,0,0,0,0,0,0,0,0,3,6,5,10,7,8,9,4,0,3,50,17,16,16,12,24,13,11,15,6,130,371,902,777,529,419,211,164,226,47,3646
202021026,14,0,44,13,17,12,3,14,0,111,0,0,0,0,0,0,0,0,0,0,6,8,11,3,10,0,3,3,0,46,14,10,21,10,4,11,10,12,8,102,370,673,437,257,247,112,122,137,30,2387
202021027,14,5,46,13,5,9,9,24,0,126,0,0,0,0,0,0,0,0,0,3,6,31,0,5,8,4,3,5,4,64,13,11,10,9,10,11,4,18,8,88,346,995,399,380,232,130,81,204,31,2795
202021028,13,3,38,17,3,8,0,12,3,100,0,0,0,0,0,0,0,0,0,3,8,9,4,0,7,0,0,3,0,30,18,6,16,10,8,3,17,14,3,95,438,713,425,288,213,105,103,188,37,2502
202021029,8,0,20,10,9,10,0,3,0,65,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,3,0,11,8,4,7,3,5,0,7,13,9,56,158,198,204,110,92,62,80,82,16,996
202021030,15,3,61,19,14,17,5,27,0,173,0,0,0,0,0,0,0,9,0,10,12,27,4,7,10,3,0,8,0,69,5,12,23,13,13,9,7,22,9,110,460,794,506,370,278,134,112,232,41,2922
202021031,12,5,28,19,4,10,0,3,0,85,0,0,0,0,0,0,0,0,0,3,9,12,5,11,3,0,0,0,0,40,9,16,11,13,8,3,3,9,12,67,394,838,333,277,202,119,44,87,36,2321
202031032,4,0,24,11,12,12,3,7,0,68,0,0,0,0,0,0,0,3,0,5,3,0,3,0,3,0,0,0,0,7,13,0,9,3,9,3,3,13,7,61,214,249,240,104,149,63,76,100,25,1225
202031033,16,0,16,9,12,6,0,18,0,83,0,0,0,0,0,0,0,0,0,0,4,4,3,0,3,0,0,0,0,17,21,3,10,10,3,5,10,20,10,93,513,253,164,162,119,58,87,166,26,1535
203011034,13,0,36,22,12,22,4,10,0,125,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,3,0,0,17,10,9,18,13,10,10,0,9,7,77,261,449,466,261,247,129,93,141,30,2073
203011035,15,0,35,14,9,7,8,12,0,109,0,0,0,0,0,0,0,0,0,0,5,8,5,6,0,0,3,0,0,31,10,13,18,6,10,3,10,16,8,96,379,464,464,264,214,82,134,185,39,2222
203011036,12,0,26,7,6,15,0,10,0,84,0,0,0,0,0,0,0,0,0,0,3,4,6,3,3,3,6,4,0,28,15,5,17,3,3,8,3,5,8,70,394,452,359,192,166,111,86,121,24,1909
203021037,24,3,82,50,25,26,13,30,4,252,0,0,0,0,0,0,0,0,0,6,3,16,3,12,9,4,3,3,5,55,13,10,15,15,9,8,3,8,18,106,472,1432,732,588,517,302,162,256,65,4535
203021038,35,4,121,62,28,34,30,62,4,379,0,0,0,0,0,0,3,3,0,13,3,8,7,4,3,7,9,7,3,56,14,3,47,33,20,27,53,80,45,333,325,646,910,901,458,364,422,596,106,4725
203021039,27,11,105,32,14,16,9,22,3,238,0,0,0,0,0,0,0,0,0,3,14,24,7,4,11,3,4,9,4,70,6,13,19,3,7,7,11,17,20,102,585,1626,643,531,479,235,139,234,67,4543
203021040,33,17,153,52,48,28,15,38,4,388,0,0,3,0,0,0,3,0,0,12,9,23,10,12,8,6,8,11,0,80,16,18,23,18,16,21,18,33,18,170,789,2270,1144,869,763,388,222,369,71,6893
203021041,41,13,195,67,47,53,20,33,8,476,0,0,0,0,3,0,0,0,0,7,12,17,13,16,16,5,13,11,0,95,8,10,29,18,14,13,11,24,18,150,732,2080,1442,1059,807,478,280,451,87,7424
203021042,36,17,105,44,38,39,8,24,0,311,0,3,0,0,0,0,0,0,0,5,21,34,8,14,24,14,7,4,3,124,17,29,18,11,13,15,3,16,12,132,1073,2775,993,812,806,500,159,306,71,7493
203021043,25,13,97,53,36,45,24,36,4,333,0,0,0,0,0,0,0,0,0,4,7,15,8,24,8,3,18,5,0,100,11,8,33,20,17,17,14,15,22,165,586,1229,1050,760,590,297,311,342,108,5265
203021044,24,4,106,54,33,24,13,28,0,301,0,0,0,0,0,0,0,0,0,3,6,3,8,6,4,3,4,8,3,45,3,7,21,20,7,17,5,9,8,108,416,849,784,621,469,243,178,276,45,3891
203021045,27,3,116,57,21,32,14,31,0,305,0,0,0,3,0,0,0,3,0,3,5,8,5,6,7,0,3,3,0,42,4,10,35,13,13,10,22,30,15,154,252,595,812,643,352,264,192,354,51,3529
203021046,19,3,50,15,19,8,3,5,0,134,0,5,0,0,0,0,0,0,0,4,13,12,6,3,6,5,3,0,4,53,3,11,4,4,5,3,0,3,8,41,632,1529,359,376,367,196,57,84,49,3647
203021047,29,5,94,39,23,20,10,32,3,251,0,0,0,0,0,0,0,0,0,3,8,12,5,6,10,6,3,11,4,62,10,13,21,13,10,13,24,28,21,149,424,979,730,516,449,215,220,291,85,3912
203031048,15,8,107,51,21,27,12,21,3,268,0,0,0,0,0,0,0,0,0,3,3,14,10,9,5,4,7,3,0,45,12,7,17,8,11,9,7,14,16,102,404,889,793,575,401,223,151,260,60,3764
203031049,20,0,55,13,10,8,0,10,0,115,0,0,0,0,0,0,0,0,0,3,6,9,3,5,4,0,0,0,3,25,3,9,11,4,5,6,0,7,3,45,303,509,305,167,139,99,28,88,30,1673
203031050,43,13,144,76,41,49,6,18,10,399,0,4,0,0,0,0,0,3,0,6,20,36,14,20,21,5,0,3,0,128,25,13,33,24,8,5,9,12,22,153,1089,2729,1436,991,789,428,155,301,120,8040
203031051,12,3,28,12,9,12,6,7,0,83,0,0,0,0,0,0,0,0,0,3,3,7,7,3,5,0,4,0,0,24,6,5,10,6,3,13,6,9,6,67,199,392,296,205,186,105,72,99,23,1580
203031052,4,0,16,5,3,0,0,6,0,41,0,0,0,0,0,3,0,0,0,4,3,6,0,0,7,0,0,0,0,26,3,0,3,3,0,0,0,0,4,20,195,424,140,92,119,54,18,46,28,1111
203031053,26,23,104,38,37,32,6,15,4,294,0,3,0,0,0,0,0,0,0,4,10,30,11,18,11,13,3,0,3,101,16,17,15,9,11,9,4,12,21,121,1031,2339,1003,707,654,387,113,264,97,6593
204011054,26,3,37,6,11,12,3,19,0,124,0,0,0,0,0,0,0,0,0,0,11,0,4,9,3,0,0,0,0,31,11,3,13,4,8,7,6,17,9,75,294,309,313,248,173,83,73,144,31,1667
204011055,18,4,30,14,11,6,3,10,3,95,0,3,0,0,0,0,0,0,0,5,6,3,0,3,0,0,4,3,0,17,8,8,13,0,0,4,8,14,6,61,341,379,267,195,126,71,66,153,27,1622
204011056,22,3,80,39,24,30,18,26,3,240,0,0,0,0,0,0,0,3,0,3,12,7,9,6,14,4,7,7,0,59,15,10,32,11,27,14,25,21,18,176,465,731,832,512,431,233,262,307,58,3822
