SA2_MAINCODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
201011001,0,3,0,47,3,0,0,0,0,3,0,0,0,10,38,55,0,0,0,0,0,0,0,0,0,11,3,14,234,32,6,153,12,94,8,70,11,346,48,1031
201011002,0,16,3,116,3,0,0,0,0,0,3,0,0,9,52,74,3,0,0,0,0,0,0,0,0,15,4,22,229,57,12,192,17,112,9,98,13,413,68,1211
201011003,4,3,0,80,7,0,0,4,0,3,0,0,0,15,93,129,0,0,0,4,3,0,3,0,0,32,11,52,458,121,22,386,37,204,19,166,21,780,116,2335
201011004,0,3,0,30,7,0,0,3,0,7,0,0,3,21,104,144,0,0,0,0,0,3,0,0,0,22,20,51,420,105,14,294,26,225,12,174,28,808,145,2245
201011005,3,0,0,43,0,0,0,0,0,0,0,0,0,6,28,39,0,0,0,0,0,0,0,0,0,5,0,5,121,31,0,103,9,62,5,70,9,260,31,697
201011006,0,0,0,4,3,0,0,3,0,0,0,0,0,4,25,36,0,0,0,5,0,0,0,0,0,5,3,16,158,26,5,117,10,60,5,44,10,231,36,708
201011007,0,0,0,5,0,0,0,0,0,3,0,0,0,3,15,22,0,0,0,0,0,0,0,0,0,3,4,12,64,18,0,61,10,34,4,33,9,129,21,381
201011008,0,3,0,16,0,0,0,3,0,5,0,3,0,13,58,83,0,0,3,0,0,0,3,0,0,26,9,47,203,45,15,167,19,113,11,107,15,606,69,1372
201021009,0,0,0,19,0,0,0,0,0,0,0,0,4,6,35,51,3,0,0,0,0,3,0,0,0,3,0,13,140,28,7,75,14,103,6,40,10,211,44,668
201021010,0,3,0,27,0,0,0,3,0,4,0,0,0,12,39,64,3,0,0,0,0,3,0,0,0,6,5,21,152,49,7,131,17,84,7,81,16,348,53,956
201021011,3,3,0,53,4,0,0,0,0,0,0,0,0,6,66,84,3,3,0,4,0,0,0,0,0,5,10,22,164,96,17,172,20,108,12,116,21,387,79,1185
201021012,0,4,0,29,0,0,0,0,0,3,0,0,0,5,26,43,0,0,0,0,0,0,0,0,0,5,10,20,97,37,12,93,16,83,3,54,12,172,43,625
201031013,0,0,0,6,0,0,0,0,0,0,0,0,0,10,26,33,0,0,0,0,0,0,0,0,0,14,3,19,61,21,5,51,3,46,5,35,11,198,37,478
201031014,0,0,0,11,0,0,0,0,0,0,0,0,0,3,32,41,0,0,0,0,0,0,0,0,0,12,0,15,50,26,6,80,13,38,6,41,7,184,39,493
201031015,0,0,0,4,0,0,0,3,0,4,0,0,0,5,20,33,0,0,3,0,0,0,0,0,0,4,0,7,80,29,7,88,10,54,10,41,6,187,26,536
201031016,0,0,0,5,3,0,0,0,0,4,0,0,0,20,28,51,0,0,0,0,0,0,0,0,0,21,9,34,91,47,8,90,9,60,6,67,8,517,47,951
201031017,0,0,0,5,0,0,0,4,0,0,0,3,0,12,36,51,0,0,0,0,0,0,0,0,0,17,11,26,74,21,7,80,3,76,6,48,6,331,51,711
202011018,0,4,0,62,4,0,3,3,0,0,0,0,0,14,75,94,0,3,0,0,0,0,0,0,3,21,11,35,261,83,13,214,17,108,16,108,12,469,86,1389
