SA3_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
20101,0,0,12,0,0,0,0,0,0,13,3268,6150,6395,10369,5206,4752,3448,1708,580,41857,0,9,0,20,5,0,0,0,0,39,0,0,0,3,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,5,0,3,6,12,12,8,4,3,0,47,0,0,0,8,0,0,0,0,0,7,4,15,150,120,39,13,9,0,0,342,0,0,0,0,7,14,15,17,3,61,0,4,0,7,4,0,3,0,0,24,8,52,31,156,157,219,225,127,39,1013,0,4,4,6,7,3,0,0,0,29,0,0,4,3,3,0,0,3,0,20,3,3,5,11,12,18,67,11,7,138,0,0,0,0,0,3,11,6,5,31,0,5,4,0,3,3,3,0,0,25,6,37,39,325,40,15,13,3,3,477,0,0,3,10,3,4,0,0,0,20,0,3,3,25,5,0,0,0,0,32,0,3,0,11,9,0,0,0,0,21
20102,0,0,0,0,0,0,0,0,0,0,642,1616,1205,2192,1617,1712,1295,490,158,10920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,3,0,0,28,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,5,0,0,14,0,0,0,0,8,9,5,8,0,31,0,0,0,0,0,7,0,0,0,8,0,8,5,65,127,117,153,70,6,559,0,0,0,4,0,0,0,0,0,5,0,0,0,3,0,0,3,0,0,9,0,3,0,4,6,17,38,5,0,75,0,0,0,0,3,5,5,4,0,24,0,0,0,0,0,0,0,0,0,7,0,0,0,19,0,6,4,7,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3
20103,0,0,0,0,0,0,0,0,0,0,570,1398,1164,2038,1434,1682,1466,637,182,10574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,13,0,0,0,0,3,3,3,0,0,8,0,0,0,0,0,0,0,0,0,3,3,6,7,17,90,97,142,87,7,451,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,10,0,0,0,3,4,12,19,12,0,53,0,0,0,3,3,0,3,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,3,4,0,0,27,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
20201,3,3,4,21,5,0,0,0,0,45,2936,5597,5645,9419,4543,4478,3315,1853,690,38470,0,3,0,16,0,0,0,0,0,22,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,4,17,6,6,8,0,3,42,0,0,0,0,0,0,0,0,0,0,0,8,24,59,16,9,4,3,0,117,0,0,0,0,0,0,4,7,0,14,0,4,0,12,4,0,7,0,0,25,4,18,27,94,145,147,188,86,30,736,0,5,3,7,3,3,0,0,0,23,0,0,0,3,0,3,8,0,0,12,0,0,3,10,11,18,37,8,3,91,0,0,0,0,9,3,4,11,0,18,0,0,3,6,3,3,3,0,0,23,11,31,28,235,21,14,14,3,0,352,0,0,4,0,3,0,3,0,0,9,0,5,0,4,3,0,0,0,0,19,0,0,3,3,0,0,3,0,0,8
20202,0,0,0,0,0,0,0,0,0,3,1134,2664,2135,3779,2642,2827,2131,925,290,18528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,4,0,10,3,6,3,0,0,32,0,0,0,0,0,3,0,0,0,3,0,5,3,19,7,9,3,0,0,47,0,0,0,0,4,4,6,3,0,21,0,0,0,3,0,3,8,0,0,18,0,27,23,112,190,226,239,115,29,958,0,0,0,5,5,7,0,0,0,14,0,0,0,8,4,0,0,0,0,22,0,0,0,7,13,10,44,28,5,107,0,0,0,3,4,6,12,6,3,23,0,0,4,10,0,3,0,0,0,23,3,0,3,48,3,5,7,9,0,81,0,0,4,3,0,4,7,0,0,16,0,0,0,4,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,6
20203,0,0,0,0,0,0,0,0,0,0,270,612,463,834,688,881,646,295,106,4792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,18,32,40,13,3,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,12,3,0,24,0,0,0,0,3,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20301,0,0,0,0,0,0,0,0,0,0,602,1441,1052,1875,1140,973,644,235,73,8036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,4,3,4,0,17,0,0,0,3,0,0,0,0,0,3,0,12,12,47,59,80,81,38,5,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,3,11,26,5,0,52,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
20302,3,36,97,116,28,8,0,0,0,294,5533,9910,10652,18436,8777,7506,5076,2515,1062,69455,0,9,7,25,10,0,0,0,0,49,0,0,18,53,34,51,23,26,3,207,0,0,3,5,7,5,4,0,0,23,3,8,13,33,23,8,11,0,0,93,0,0,0,10,3,9,4,0,0,20,15,62,160,296,69,65,29,8,3,702,0,3,8,59,92,124,141,145,26,599,0,0,8,18,7,8,7,3,0,58,14,99,107,431,488,588,590,360,140,2822,0,0,4,31,4,3,0,0,0,50,0,3,4,25,14,4,8,4,3,71,0,4,17,39,33,55,212,80,38,482,0,0,5,6,20,19,49,44,18,169,0,11,33,20,12,8,8,3,0,96,29,66,281,824,58,25,23,5,0,1319,0,4,22,22,9,5,3,3,0,67,5,36,37,104,35,15,4,4,3,235,13,19,11,49,21,3,0,0,0,117
20303,0,0,3,0,0,0,0,0,0,3,2165,4434,3195,6237,3457,3809,3106,1355,476,28243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,21,17,9,8,3,0,66,0,0,0,0,0,0,0,0,0,4,0,4,0,20,9,4,3,0,0,39,0,0,0,0,9,10,10,22,0,57,0,0,0,0,3,10,14,4,0,31,9,87,75,228,250,262,352,207,72,1548,0,0,0,3,0,3,0,0,0,13,0,0,7,14,3,3,0,0,0,32,0,3,3,16,10,30,74,31,14,188,0,3,0,0,6,15,27,25,3,84,0,5,3,8,3,3,0,0,0,16,0,4,3,43,6,3,13,0,3,75,0,3,3,3,0,0,0,0,0,17,0,0,0,3,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,4
20401,0,0,0,3,0,0,0,0,0,6,1352,2952,2589,4345,2846,3218,2689,1173,387,21551,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,5,0,3,0,12,3,3,3,3,0,31,0,0,0,3,0,3,0,0,0,6,0,13,132,11,6,3,3,0,0,176,0,0,0,0,0,4,10,3,0,27,0,0,0,0,0,8,7,0,0,15,0,14,18,72,136,182,225,112,33,803,0,0,0,0,0,4,0,0,0,9,0,0,0,3,0,4,4,3,0,17,0,0,3,3,10,14,56,39,9,145,0,0,0,0,4,13,17,3,0,35,0,4,3,3,0,0,0,0,0,9,0,3,5,70,9,6,9,3,0,102,0,0,4,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
