SA3_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
20101,0,0,0,0,3,9,18,20,7,67,0,9,6,8,11,9,9,0,0,51,15,66,69,585,62,31,26,6,4,864,0,3,9,20,3,4,7,0,0,47,0,3,4,35,3,3,5,0,0,62,0,3,0,18,11,0,0,0,0,32,0,5,12,40,14,21,27,18,8,139,0,0,0,8,15,32,51,48,31,181,0,6,3,41,11,5,3,9,0,81,0,8,3,25,0,0,0,0,0,42,0,0,0,5,3,0,0,0,0,12,0,18,21,64,28,29,7,9,0,178,0,0,0,3,3,23,33,10,0,69,0,0,3,9,0,4,0,0,0,24,0,0,3,9,3,0,3,3,0,18,0,0,3,27,3,0,0,0,0,36,3,3,3,12,17,95,227,147,32,536,8,52,82,227,149,143,75,37,13,786,0,0,3,3,14,16,17,16,5,69,0,9,9,46,4,3,0,0,0,65
20102,0,0,0,0,3,8,11,5,3,33,0,0,0,3,3,0,0,0,0,7,0,3,0,24,4,5,9,9,3,66,0,0,0,0,0,0,3,4,0,9,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,9,0,13,17,17,15,7,0,73,0,0,4,14,10,18,20,8,0,71,0,0,0,8,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,10,7,13,0,0,4,34,0,0,0,3,13,30,43,15,0,107,0,0,0,0,3,7,3,0,0,16,0,0,0,0,0,0,0,0,3,3,0,0,3,11,0,0,0,0,0,8,0,0,3,3,15,44,66,41,9,178,3,9,10,76,98,86,59,11,0,353,0,0,0,0,0,13,12,0,0,28,0,0,0,0,0,0,0,0,0,3
20103,0,0,0,3,3,3,6,5,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,9,4,3,0,44,0,0,0,3,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,8,4,7,15,0,0,31,0,0,0,3,0,3,14,14,3,36,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,0,4,10,4,0,0,0,15,0,3,0,3,3,20,18,3,0,45,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,7,0,0,0,6,9,33,66,24,7,148,0,4,7,40,48,58,41,16,3,215,0,0,0,0,0,3,4,8,4,24,0,0,0,4,0,0,0,0,0,6
20201,0,0,0,0,9,6,6,17,4,46,0,0,4,18,4,5,8,0,0,43,20,50,58,449,42,27,18,9,4,675,0,0,10,20,18,5,3,0,0,61,5,19,5,12,7,0,0,0,0,47,0,0,6,11,0,3,3,0,0,22,0,6,6,36,16,13,21,13,6,118,0,0,4,6,13,23,29,23,20,121,0,8,7,10,3,3,0,0,0,30,0,5,6,31,3,3,0,0,0,51,0,0,0,8,4,3,0,0,0,17,0,5,21,52,30,18,14,3,0,150,0,0,0,0,0,10,8,6,3,26,0,3,0,21,7,0,0,0,0,34,0,17,72,223,64,34,19,11,0,448,3,3,0,29,0,0,0,0,0,37,0,0,3,14,9,42,66,42,16,183,7,24,54,216,109,115,60,19,8,610,0,0,0,6,12,12,13,10,3,46,0,10,7,41,3,0,0,0,0,61
20202,0,0,0,7,6,7,17,5,3,43,0,0,11,16,4,0,3,0,0,37,11,0,3,77,10,9,15,13,0,140,0,0,4,5,4,3,8,3,0,30,0,0,0,3,0,0,0,0,0,6,0,0,3,0,3,0,0,0,0,9,0,5,0,15,14,10,16,16,9,84,0,0,0,10,14,28,50,19,7,124,0,0,5,9,3,6,3,0,0,20,0,0,0,3,0,0,0,0,0,7,0,0,0,8,8,0,0,0,0,20,0,0,0,7,16,11,3,0,0,46,0,0,0,8,9,28,33,7,0,74,0,0,0,3,3,0,0,0,0,7,0,0,0,0,0,0,3,3,0,6,0,0,0,3,0,0,0,0,0,3,0,5,7,19,27,40,88,41,9,239,0,23,23,146,128,126,74,19,3,545,0,0,0,4,4,9,15,7,3,39,0,0,0,0,0,0,0,0,0,4
20203,0,0,0,0,3,3,4,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,13,0,3,3,0,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,10,0,0,0,0,3,0,9,3,0,16,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,9,9,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,7,0,34,0,0,3,23,16,30,19,3,0,93,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
20301,0,0,0,0,0,0,6,0,0,7,0,0,0,3,4,0,0,0,0,6,4,3,3,5,4,4,0,0,0,24,0,0,0,3,3,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,10,12,3,6,0,0,37,0,0,3,3,6,9,12,7,5,49,0,4,3,3,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,3,4,0,0,0,7,0,0,0,3,0,5,7,0,0,20,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,10,9,36,41,13,9,114,0,10,14,57,40,35,26,8,0,181,0,0,0,3,9,6,10,3,0,32,0,0,0,3,0,0,0,0,0,3
20302,0,0,3,7,40,49,119,89,38,342,3,17,54,50,19,14,14,3,0,184,50,131,369,1430,92,77,38,20,14,2223,3,11,37,83,40,14,17,11,0,202,5,74,67,207,50,27,14,3,3,452,18,42,15,108,32,6,4,0,0,220,4,32,23,120,72,61,55,40,25,429,3,7,21,53,114,233,401,417,194,1447,5,16,12,59,19,3,3,3,0,113,3,19,22,88,11,4,0,0,0,142,3,0,3,26,24,20,9,6,0,93,3,17,72,182,63,67,25,13,3,441,0,0,0,3,8,45,93,26,4,186,0,9,13,30,12,6,3,4,0,75,3,13,79,159,50,31,29,5,3,376,0,7,11,73,4,0,0,0,0,95,0,6,10,34,43,189,453,258,128,1123,22,88,200,664,330,281,133,48,17,1783,0,7,3,38,48,81,87,53,10,332,16,72,81,194,16,11,8,4,0,387
20303,0,3,3,3,11,30,51,41,5,156,0,4,3,10,0,7,0,0,0,35,0,4,8,77,18,20,28,6,4,163,0,4,3,22,4,5,7,5,3,42,0,0,0,9,0,0,3,0,0,10,0,0,0,0,3,0,0,0,0,7,3,17,0,59,37,35,32,16,8,210,0,3,0,25,25,55,99,62,21,286,0,6,7,23,10,4,4,0,0,50,0,3,4,10,0,0,0,0,0,16,0,3,0,3,4,3,0,0,0,8,0,4,10,34,23,19,3,0,0,89,0,0,0,4,8,50,88,37,0,200,0,0,0,8,13,3,4,0,0,26,0,0,0,3,0,0,0,0,0,4,0,0,3,4,0,0,0,0,0,4,0,7,3,18,19,62,139,81,29,363,9,53,52,270,154,123,109,33,6,819,0,0,0,11,17,22,26,12,9,93,0,3,0,3,0,0,0,0,0,11
20401,0,0,0,6,10,20,21,4,0,56,0,4,8,10,3,3,3,0,0,29,0,9,6,115,11,8,14,3,0,173,0,0,4,4,3,3,0,3,0,27,0,0,0,8,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,3,8,28,12,15,23,10,3,98,0,0,0,5,12,41,65,48,21,194,0,3,11,20,3,5,0,0,0,42,0,0,10,17,3,0,0,0,0,36,0,0,0,3,0,3,3,0,3,11,0,5,5,23,21,10,0,4,0,81,0,0,0,0,4,30,36,18,6,90,0,0,0,7,5,7,3,0,0,15,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,12,17,57,109,37,14,242,0,19,42,126,116,129,82,24,10,561,0,0,0,10,7,15,15,8,3,50,0,0,0,10,0,0,0,0,0,12
