SA3_CODE_2016,F_400_499_15_19_yrs,F_400_499_20_24_yrs,F_400_499_25_34_yrs,F_400_499_35_44_yrs,F_400_499_45_54_yrs,F_400_499_55_64_yrs,F_400_499_65_74_yrs,F_400_499_75_84_yrs,F_400_499_85ov,F_400_499_Tot,F_500_649_15_19_yrs,F_500_649_20_24_yrs,F_500_649_25_34_yrs,F_500_649_35_44_yrs,F_500_649_45_54_yrs,F_500_649_55_64_yrs,F_500_649_65_74_yrs,F_500_649_75_84_yrs,F_500_649_85ov,F_500_649_Tot,F_650_799_15_19_yrs,F_650_799_20_24_yrs,F_650_799_25_34_yrs,F_650_799_35_44_yrs,F_650_799_45_54_yrs,F_650_799_55_64_yrs,F_650_799_65_74_yrs,F_650_799_75_84_yrs,F_650_799_85ov,F_650_799_Tot,F_800_999_15_19_yrs,F_800_999_20_24_yrs,F_800_999_25_34_yrs,F_800_999_35_44_yrs,F_800_999_45_54_yrs,F_800_999_55_64_yrs,F_800_999_65_74_yrs,F_800_999_75_84_yrs,F_800_999_85ov,F_800_999_Tot,F_1000_1249_15_19_yrs,F_1000_1249_20_24_yrs,F_1000_1249_25_34_yrs,F_1000_1249_35_44_yrs,F_1000_1249_45_54_yrs,F_1000_1249_55_64_yrs,F_1000_1249_65_74_yrs,F_1000_1249_75_84_yrs,F_1000_1249_85ov,F_1000_1249_Tot,F_1250_1499_15_19_yrs,F_1250_1499_20_24_yrs,F_1250_1499_25_34_yrs,F_1250_1499_35_44_yrs,F_1250_1499_45_54_yrs,F_1250_1499_55_64_yrs,F_1250_1499_65_74_yrs,F_1250_1499_75_84_yrs,F_1250_1499_85ov,F_1250_1499_Tot,F_1500_1749_15_19_yrs,F_1500_1749_20_24_yrs,F_1500_1749_25_34_yrs,F_1500_1749_35_44_yrs,F_1500_1749_45_54_yrs,F_1500_1749_55_64_yrs,F_1500_1749_65_74_yrs,F_1500_1749_75_84_yrs,F_1500_1749_85ov,F_1500_1749_Tot,F_1750_1999_15_19_yrs,F_1750_1999_20_24_yrs,F_1750_1999_25_34_yrs,F_1750_1999_35_44_yrs,F_1750_1999_45_54_yrs,F_1750_1999_55_64_yrs,F_1750_1999_65_74_yrs,F_1750_1999_75_84_yrs,F_1750_1999_85ov,F_1750_1999_Tot,F_2000_2999_15_19_yrs,F_2000_2999_20_24_yrs,F_2000_2999_25_34_yrs,F_2000_2999_35_44_yrs,F_2000_2999_45_54_yrs,F_2000_2999_55_64_yrs,F_2000_2999_65_74_yrs,F_2000_2999_75_84_yrs,F_2000_2999_85ov,F_2000_2999_Tot,F_3000_more_15_19_yrs,F_3000_more_20_24_yrs,F_3000_more_25_34_yrs,F_3000_more_35_44_yrs,F_3000_more_45_54_yrs,F_3000_more_55_64_yrs,F_3000_more_65_74_yrs,F_3000_more_75_84_yrs,F_3000_more_85ov,F_3000_more_Tot,F_PI_NS_15_19_yrs,F_PI_NS_ns_20_24_yrs,F_PI_NS_ns_25_34_yrs,F_PI_NS_ns_35_44_yrs,F_PI_NS_ns_45_54_yrs,F_PI_NS_ns_55_64_yrs,F_PI_NS_ns_65_74_yrs,F_PI_NS_ns_75_84_yrs,F_PI_NS_ns_85_yrs_ovr,F_PI_NS_ns_Tot,F_Tot_15_19_yrs,F_Tot_20_24_yrs,F_Tot_25_34_yrs,F_Tot_35_44_yrs,F_Tot_45_54_yrs,F_Tot_55_64_yrs,F_Tot_65_74_yrs,F_Tot_75_84_yrs,F_Tot_85ov,F_Tot_Tot,P_Neg_Nil_income_15_19_yrs,P_Neg_Nil_income_20_24_yrs,P_Neg_Nil_income_25_34_yrs,P_Neg_Nil_income_35_44_yrs,P_Neg_Nil_income_45_54_yrs,P_Neg_Nil_income_55_64_yrs,P_Neg_Nil_income_65_74_yrs,P_Neg_Nil_income_75_84_yrs,P_Negtve_Nil_incme_85_yrs_ovr,P_Neg_Nil_income_Tot,P_1_149_15_19_yrs,P_1_149_20_24_yrs,P_1_149_25_34_yrs,P_1_149_35_44_yrs,P_1_149_45_54_yrs,P_1_149_55_64_yrs,P_1_149_65_74_yrs,P_1_149_75_84_yrs,P_1_149_85ov,P_1_149_Tot,P_150_299_15_19_yrs,P_150_299_20_24_yrs,P_150_299_25_34_yrs,P_150_299_35_44_yrs,P_150_299_45_54_yrs,P_150_299_55_64_yrs,P_150_299_65_74_yrs,P_150_299_75_84_yrs,P_150_299_85ov,P_150_299_Tot,P_300_399_15_19_yrs,P_300_399_20_24_yrs,P_300_399_25_34_yrs,P_300_399_35_44_yrs,P_300_399_45_54_yrs,P_300_399_55_64_yrs,P_300_399_65_74_yrs,P_300_399_75_84_yrs,P_300_399_85ov,P_300_399_Tot,P_400_499_15_19_yrs,P_400_499_20_24_yrs,P_400_499_25_34_yrs,P_400_499_35_44_yrs,P_400_499_45_54_yrs,P_400_499_55_64_yrs,P_400_499_65_74_yrs,P_400_499_75_84_yrs,P_400_499_85ov,P_400_499_Tot,P_500_649_15_19_yrs,P_500_649_20_24_yrs,P_500_649_25_34_yrs,P_500_649_35_44_yrs,P_500_649_45_54_yrs,P_500_649_55_64_yrs,P_500_649_65_74_yrs,P_500_649_75_84_yrs,P_500_649_85ov,P_500_649_Tot,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot
20101,125,399,570,626,665,705,1129,828,450,5489,84,516,783,750,770,619,612,287,200,4613,30,424,790,734,727,592,376,157,87,3920,7,318,745,708,762,553,181,84,41,3401,5,207,729,612,699,536,142,60,37,3034,0,65,506,437,472,285,60,30,9,1861,0,15,298,360,373,240,44,12,6,1344,0,0,132,198,239,182,30,10,3,791,0,3,95,174,228,165,37,6,4,716,3,9,16,106,108,74,34,27,19,396,308,299,483,438,486,511,530,486,321,3857,3343,3866,6794,6643,6995,6561,5226,3107,1603,44132,2670,583,583,526,510,764,321,117,42,6119,1713,452,312,275,276,328,279,103,38,3775,842,1322,952,675,664,980,829,446,180,6885,255,731,748,685,821,1099,2120,1402,456,8315,310,727,844,887,1015,1176,1819,1261,601,8642,207,934,1141,1015,1072,1057,1128,520,274,7351,90,871,1435,1191,1187,1065,814,333,139,7129,36,753,1721,1370,1418,1150,483,182,76,7185
20102,25,54,90,150,221,244,316,226,146,1470,15,61,137,184,241,236,195,60,30,1162,6,74,151,189,237,202,110,39,15,1028,0,49,108,158,206,197,87,15,13,842,0,26,86,149,199,153,45,17,15,684,0,9,59,93,132,105,26,4,3,428,0,3,48,82,109,84,28,10,3,370,0,0,13,48,73,53,9,3,9,203,0,0,8,59,60,53,10,0,3,192,0,5,14,24,43,22,12,0,0,123,99,54,103,164,213,248,216,127,109,1341,726,515,1148,1785,2306,2418,1837,775,420,11939,583,73,127,174,239,375,169,40,16,1807,362,73,67,97,127,171,128,26,6,1056,114,115,167,212,286,402,375,129,39,1823,54,90,118,204,263,414,780,375,88,2380,76,110,132,216,343,432,634,378,192,2516,56,136,205,285,379,409,404,123,55,2059,26,148,246,295,393,405,260,92,30,1892,6,114,253,336,425,446,213,50,18,1863
20103,24,63,96,134,183,244,374,236,106,1459,16,77,151,192,215,196,175,73,43,1131,4,58,137,141,202,164,95,40,20,863,7,52,128,120,172,141,53,14,10,693,4,23,71,71,128,82,47,12,9,449,0,0,41,53,85,51,11,3,3,242,0,3,21,37,58,42,13,0,0,180,0,0,5,28,31,26,3,3,0,93,0,0,7,17,14,24,4,0,0,66,0,3,7,12,14,8,7,3,0,59,81,31,69,101,132,184,247,143,86,1082,636,513,1042,1281,1764,2042,1866,900,439,10474,543,83,90,122,196,331,119,33,25,1541,320,68,66,72,98,160,72,26,16,887,120,177,187,226,305,491,377,161,39,2084,45,93,136,195,313,543,1066,559,176,3124,54,111,146,235,296,480,768,423,162,2680,46,126,211,277,335,373,348,148,67,1914,17,153,244,278,346,358,219,101,40,1751,6,114,275,275,380,338,157,43,17,1607
20201,119,384,503,443,532,669,953,729,388,4726,89,481,783,691,628,595,590,263,185,4312,38,461,812,721,680,613,340,157,61,3895,16,313,771,638,669,566,220,78,47,3304,6,186,679,539,631,448,134,60,35,2731,7,70,499,375,396,271,63,21,8,1714,0,17,249,304,304,224,42,9,7,1148,0,3,109,180,195,126,35,6,9,661,0,6,69,156,160,104,25,20,8,542,4,6,33,79,61,47,22,18,3,277,307,238,467,404,425,476,518,493,479,3818,3002,3572,6419,5884,6039,6022,4688,2891,1632,40147,2233,424,430,441,404,639,254,102,53,4992,1566,433,304,250,240,345,206,67,32,3435,697,1077,787,631,634,877,787,409,159,6060,266,619,672,663,744,1005,1811,1319,403,7510,245,634,758,677,848,1049,1582,1125,521,7437,192,879,1123,983,923,974,1089,505,263,6935,104,926,1450,1147,1116,1115,695,352,138,7051,38,729,1667,1274,1250,1159,533,202,93,6950
20202,37,78,147,219,328,348,626,361,191,2332,30,99,217,312,375,337,359,155,61,1950,17,126,225,296,392,326,230,89,27,1722,4,82,202,280,355,281,138,46,23,1412,4,45,179,267,343,263,87,36,12,1234,0,10,113,179,250,178,52,13,3,793,0,0,69,146,189,158,32,13,3,619,0,0,17,85,129,89,10,12,3,344,0,0,23,124,143,102,25,6,3,428,3,0,3,50,86,43,32,9,4,235,159,76,184,263,304,371,344,238,198,2141,1279,866,1898,2998,3739,3797,3088,1464,698,19830,1105,132,177,291,318,511,223,48,27,2823,678,132,96,158,159,270,177,49,42,1758,211,201,255,312,370,640,527,234,56,2819,81,147,203,312,399,689,1205,687,180,3901,94,157,238,327,496,606,1090,615,272,3897,68,217,299,431,530,603,714,298,103,3272,36,266,400,464,660,618,458,170,47,3116,16,186,444,549,703,681,342,106,44,3076
20203,9,19,45,45,74,98,133,110,31,557,5,22,49,85,110,86,64,32,31,480,4,21,37,63,106,86,38,14,3,377,0,16,37,63,92,70,22,7,4,313,0,10,38,48,59,52,11,4,6,238,0,3,13,25,34,38,4,7,0,123,0,0,13,24,22,27,11,0,0,90,0,0,9,13,16,15,3,0,0,59,0,0,3,8,18,16,0,0,0,42,0,0,4,11,11,7,3,3,0,34,66,15,38,60,85,93,91,67,40,549,343,193,426,593,867,942,695,404,173,4624,291,25,45,63,94,122,42,24,12,723,147,19,21,31,51,70,47,18,10,409,49,48,61,88,113,212,161,67,18,817,27,45,71,76,146,228,384,204,70,1259,22,38,49,81,148,207,304,179,61,1079,13,36,75,120,194,178,138,56,33,851,11,43,81,109,177,182,95,40,8,754,3,47,105,134,197,179,77,22,10,766
20301,12,41,71,127,129,120,136,66,39,737,15,53,116,144,174,130,90,25,15,762,5,56,88,144,129,112,51,24,4,618,3,32,105,138,119,110,31,9,0,546,0,24,123,115,134,91,28,5,0,521,0,4,68,82,68,63,17,3,3,309,0,0,35,71,78,34,12,0,0,231,0,0,14,32,29,20,0,0,0,105,0,0,12,41,33,20,7,0,3,125,3,0,8,14,27,15,3,0,0,73,72,39,53,88,100,93,84,57,54,640,573,385,981,1377,1430,1250,829,337,162,7330,537,48,106,131,131,202,84,17,14,1268,274,64,58,76,77,84,49,16,3,706,88,108,109,136,151,197,184,69,16,1068,45,71,99,141,175,198,362,184,37,1307,45,89,88,162,168,196,261,124,49,1187,44,89,148,183,238,233,193,61,19,1210,13,121,151,217,227,221,118,46,9,1124,9,75,206,271,274,253,90,21,6,1211
20302,180,705,959,953,1172,1245,1937,1528,1013,9688,130,842,1275,1384,1322,1189,1096,531,315,8086,54,754,1421,1308,1339,1050,644,281,138,6990,21,628,1443,1169,1306,969,395,166,83,6182,11,387,1472,1130,1171,876,265,123,78,5498,3,96,1076,804,753,519,111,32,18,3419,4,31,654,625,616,381,68,28,10,2413,0,11,280,395,416,276,56,9,3,1448,0,3,239,412,392,214,45,23,15,1342,10,9,60,184,179,96,59,39,12,638,517,470,817,771,885,901,922,870,772,6920,5979,6737,12794,12140,12603,11679,9304,5845,3343,80427,4869,1094,1372,1129,1135,1594,681,255,156,12288,3257,995,578,616,546,693,467,181,71,7404,1329,2054,1517,1198,1332,1788,1737,946,344,12248,499,1270,1288,1255,1461,1975,3557,2716,951,14979,414,1335,1533,1337,1739,1870,3129,2276,1390,15020,305,1603,1964,1851,1802,1873,2033,989,465,12893,140,1545,2556,2034,2063,1824,1312,599,266,12347,75,1347,3076,2322,2491,2064,929,354,142,12794
20303,51,141,242,301,354,489,804,531,260,3172,38,176,366,503,499,597,635,273,132,3210,17,133,414,435,535,479,415,139,59,2617,7,119,433,452,554,439,268,101,44,2413,0,65,397,434,519,402,203,48,47,2111,0,30,349,334,350,234,89,29,20,1441,0,13,205,258,319,253,72,27,9,1160,0,3,77,180,208,145,49,20,4,687,0,0,73,196,196,140,56,25,4,690,3,7,24,101,114,81,55,24,12,416,168,91,234,260,308,384,479,350,262,2533,1809,1353,3670,4718,4948,5392,4800,2362,1154,30213,1603,212,320,491,415,747,350,140,136,4419,1109,244,178,255,179,323,234,93,28,2640,313,379,360,439,392,709,825,371,111,3901,132,280,297,415,419,781,1503,918,270,5008,128,294,337,407,523,768,1317,849,367,4998,94,363,504,649,702,947,1163,553,205,5179,43,318,682,664,806,846,824,304,122,4602,22,284,844,828,935,908,633,223,76,4748
20401,39,142,200,273,308,437,616,438,211,2665,29,152,303,354,406,422,398,169,97,2329,27,162,302,323,390,365,232,83,36,1920,9,129,272,301,407,311,138,58,23,1647,6,52,243,253,347,292,97,37,21,1353,0,20,145,169,205,182,54,7,3,786,0,0,87,122,158,127,29,19,3,540,0,0,33,71,101,81,14,10,4,309,0,0,39,70,89,55,26,13,0,300,0,0,6,20,35,41,30,22,11,172,219,106,234,283,357,422,458,318,192,2582,1508,1170,2551,3059,3757,4161,3549,1826,820,22410,1291,192,228,288,360,635,316,127,31,3476,690,179,145,155,178,231,171,72,23,1857,241,245,317,328,445,659,691,246,66,3230,99,173,259,340,483,752,1574,856,272,4811,124,229,292,378,498,762,1234,705,309,4533,114,286,440,471,590,711,779,334,156,3884,94,371,546,543,651,708,514,210,57,3704,44,342,658,607,855,747,354,139,48,3786
