SA3_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
20101,9981,19747,145,842,1166,5402,239,1093,6138,24158,7689,31496,544,2266,883,2892,1727,5442,3157,10605,10850,42097,60,279,350,1273,191,659,2032,5496,2633,7711,214,671,507,1124,1516,3206,2235,5004,4870,12713,399,828,26101,75390
20102,3431,6774,50,299,256,1189,100,466,1548,6154,1955,8105,142,607,227,762,610,1877,985,3245,2935,11350,16,71,67,248,27,113,373,980,487,1417,31,105,101,201,397,819,523,1119,1007,2535,66,138,7445,20798
20103,3165,6272,48,285,244,1160,73,302,1153,4627,1509,6379,117,487,181,577,490,1527,785,2589,2299,8961,14,58,49,194,36,134,424,1178,524,1569,36,117,96,215,408,850,545,1179,1067,2743,66,134,6595,18111
20201,9344,18515,169,934,964,4543,234,1081,5435,21432,6805,28000,420,1725,796,2641,1597,4983,2816,9344,9617,37342,58,292,387,1393,161,554,1975,5307,2582,7536,205,627,463,1005,1450,3061,2115,4697,4696,12235,423,871,24078,68963
20202,5506,10873,91,473,506,2294,129,594,2713,10671,3433,14030,217,886,474,1566,890,2750,1583,5202,5020,19236,19,71,134,447,46,167,625,1636,828,2317,61,177,216,470,647,1348,925,2000,1746,4319,153,315,12425,34745
20203,1442,2835,27,139,147,694,27,125,558,2263,753,3213,41,174,106,336,207,630,357,1142,1113,4356,6,20,28,96,16,50,125,350,175,520,15,36,41,83,150,318,204,437,377,956,26,59,2962,8208
20301,1998,3944,56,295,279,1300,59,278,1442,5826,1844,7705,149,633,184,608,434,1359,764,2605,2608,10305,7,41,43,155,13,52,220,594,287,850,19,60,63,131,205,437,287,627,578,1471,42,96,5219,15820
20302,18264,36228,272,1520,1942,8953,407,1859,11185,43343,13803,55677,1131,4687,1847,6274,3699,11575,6685,22535,20489,78215,120,527,646,2306,283,986,3259,8681,4306,12498,402,1298,981,2152,3091,6642,4473,10088,8780,22587,764,1590,48298,138622
20303,8392,16478,112,579,827,3763,147,671,4784,18879,5867,23887,391,1567,741,2477,1267,3878,2405,7922,8267,31810,30,129,192,652,57,198,934,2498,1206,3477,118,356,293,640,799,1620,1203,2615,2409,6089,161,344,19236,54723
20401,6386,12575,80,408,519,2440,151,654,2767,10977,3510,14478,205,858,406,1330,1039,3191,1657,5381,5172,19860,27,118,148,513,77,278,801,2166,1053,3069,81,254,219,463,747,1575,1048,2292,2104,5364,157,320,13813,38122
20402,5681,11174,87,458,467,2121,115,518,2407,9533,3072,12623,205,810,352,1132,830,2557,1381,4501,4455,17123,23,113,153,541,54,194,818,2186,1051,3029,64,199,182,380,612,1279,859,1852,1909,4883,166,329,12208,33512
20403,8017,15765,121,650,773,3556,168,762,4083,16075,5140,21043,316,1270,626,1982,1149,3543,2093,6805,7233,27847,29,133,233,833,98,355,1311,3538,1673,4855,100,307,307,649,835,1735,1238,2695,2908,7552,195,413,18362,51576
