SA3_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
20101,1797,2811,4930,4963,5266,3670,612,51,11,24112,1368,816,1473,1346,1364,2505,4243,2766,1423,17309,171,239,390,328,366,391,366,291,164,2707,3343,3866,6794,6643,6995,6561,5226,3107,1603,44132,495,2322,6248,5899,6413,4168,535,41,16,26138,2108,2314,2808,3184,3045,2613,838,100,10,17026,102,184,464,335,288,325,108,15,0,1821,86,138,154,125,138,109,31,17,3,803,2793,4954,9670,9549,9881,7218,1517,173,31,45790,190,401,470,291,326,193,15,0,0,1898,434,329,245,200,174,134,30,0,0,1559,631,736,720,496,504,335,40,0,0,3452,3427,5690,10394,10042,10385,7551,1559,174,31,49247,3056,1523,2124,1977,2174,4097,7541,4813,2113,29421,338,478,782,679,725,713,718,491,256,5182,6819,7686,13301,12700,13287,12360,9822,5476,2398,83848
20102,334,390,785,1270,1709,1347,325,28,13,6202,338,88,283,374,412,869,1352,658,333,4708,51,41,84,134,186,204,170,89,72,1034,726,515,1148,1785,2306,2418,1837,775,420,11939,161,429,940,1515,1926,1437,330,45,12,6794,406,293,469,869,1152,1083,399,50,14,4732,25,30,96,92,131,158,53,9,0,585,22,42,47,40,66,53,23,15,0,308,609,789,1548,2517,3281,2726,801,107,27,12415,33,50,75,70,105,86,4,0,0,419,55,17,33,43,54,50,12,0,0,263,92,64,103,113,154,130,20,0,4,687,703,852,1652,2633,3434,2856,818,109,32,13102,685,157,388,518,675,1526,2619,1268,502,8337,118,97,157,240,365,399,330,176,111,1986,1505,1106,2203,3394,4478,4777,3772,1557,648,23428
20103,299,371,667,859,1184,971,242,21,10,4618,303,121,320,338,479,935,1460,781,362,5090,40,27,61,83,102,139,167,91,64,764,636,513,1042,1281,1764,2042,1866,900,439,10474,106,362,772,1046,1366,1087,235,35,7,5015,357,262,433,601,743,806,284,40,13,3527,18,28,74,67,74,108,39,12,0,422,23,18,17,37,46,36,21,15,0,214,496,669,1293,1753,2236,2041,577,91,21,9185,40,103,97,76,87,93,3,0,0,501,52,24,34,45,45,56,6,0,0,259,95,130,127,119,137,148,10,0,0,765,592,801,1424,1870,2370,2181,589,96,21,9945,668,220,484,620,950,1733,2962,1581,578,9791,73,55,113,168,205,276,334,183,93,1512,1330,1079,2016,2657,3532,4195,3882,1854,700,21245
20201,1678,2637,4600,4318,4533,3447,574,46,20,21850,1143,749,1435,1241,1163,2207,3779,2528,1306,15551,176,191,380,320,344,371,335,320,310,2748,3002,3572,6419,5884,6039,6022,4688,2891,1632,40147,450,2332,5969,5173,5499,3678,449,40,11,23611,1926,2077,2561,2725,2671,2595,793,89,13,15457,110,187,470,321,281,344,100,7,0,1814,70,119,123,126,112,102,33,19,4,710,2564,4711,9126,8350,8563,6723,1379,151,31,41593,168,337,366,298,236,178,9,3,0,1595,404,274,203,185,123,120,30,3,0,1354,573,611,573,479,360,303,34,5,0,2947,3135,5320,9705,8829,8919,7028,1412,155,31,44535,2544,1263,1954,1783,1919,3645,6780,4527,2032,26442,337,389,765,635,709,736,679,556,456,5269,6023,6970,12416,11241,11552,11405,8880,5240,2515,76243
20202,592,645,1324,2156,2877,2117,511,65,23,10308,610,165,426,631,618,1386,2313,1224,531,7909,77,56,149,213,240,292,262,177,151,1606,1279,866,1898,2998,3739,3797,3088,1464,698,19830,187,700,1613,2434,3254,2293,411,69,12,10969,782,519,844,1503,1888,1752,644,93,24,8043,36,34,112,168,183,228,88,7,0,864,40,30,58,59,77,61,29,12,5,367,1044,1278,2631,4156,5404,4334,1173,183,40,20238,49,71,94,107,117,146,7,3,0,594,121,31,47,61,90,98,26,6,0,476,172,107,139,165,205,237,30,5,0,1070,1211,1387,2765,4323,5608,4577,1203,192,42,21306,1289,370,826,1065,1116,2374,4438,2333,875,14685,168,119,272,382,494,582,515,333,209,3075,2668,1878,3871,5768,7219,7525,6155,2852,1128,39071
20203,122,130,255,412,606,512,134,22,6,2199,188,54,133,122,194,351,486,330,141,1995,29,7,39,53,71,77,77,54,24,434,343,193,426,593,867,942,695,404,173,4624,54,144,344,531,721,702,177,35,3,2708,151,74,145,282,381,363,132,41,5,1570,12,14,32,19,49,63,19,9,3,205,9,10,22,18,25,26,9,4,3,133,216,242,540,855,1174,1150,343,85,17,4615,19,29,27,23,40,35,3,0,0,170,23,9,4,6,18,6,0,0,0,73,44,38,33,27,53,46,3,0,0,241,256,277,567,884,1229,1192,345,85,17,4852,364,79,168,202,328,661,1057,591,250,3705,62,28,79,112,144,162,165,107,51,906,686,384,818,1194,1701,2013,1568,786,311,9469
20301,284,301,721,1045,1105,717,178,10,5,4365,257,60,215,270,255,458,597,297,142,2555,30,31,39,67,64,79,56,25,11,404,573,385,981,1377,1430,1250,829,337,162,7330,112,340,948,1332,1418,913,203,17,4,5287,330,251,394,695,746,566,240,33,7,3265,16,18,99,77,62,69,34,4,0,388,23,24,21,46,40,39,8,7,0,199,478,632,1456,2151,2259,1584,494,60,18,9136,39,29,29,31,47,32,0,0,0,206,54,25,15,24,26,14,4,0,0,164,95,52,45,58,70,50,4,0,0,369,567,682,1503,2203,2332,1638,497,62,18,9504,614,120,266,344,363,768,1158,572,217,4436,57,52,93,142,132,155,107,52,26,821,1242,863,1864,2696,2833,2563,1761,687,258,14759
20302,3198,5033,9357,9072,9373,6478,1125,89,30,43754,2506,1327,2776,2497,2555,4556,7559,5182,2835,31789,267,383,658,573,678,650,623,583,479,4889,5979,6737,12794,12140,12603,11679,9304,5845,3343,80427,685,4178,12416,11182,11608,7263,937,74,12,48362,3824,4366,4975,5736,5560,4837,1518,170,23,30995,217,303,851,641,527,598,153,13,3,3312,150,231,339,263,266,189,56,20,14,1526,4873,9073,18588,17825,17956,12889,2660,280,57,84191,276,609,788,567,623,428,18,6,0,3309,795,543,409,345,258,275,55,9,0,2689,1068,1149,1198,913,882,697,66,13,4,5996,5944,10224,19786,18737,18839,13588,2725,288,60,90188,5558,2694,4246,3826,4116,7405,13584,9076,4436,54943,551,767,1357,1160,1349,1246,1209,997,701,9342,12055,13688,25386,23722,24312,22243,17524,10355,5191,154470
20303,991,1067,2787,3619,4043,3023,654,56,3,16246,748,217,687,889,673,2071,3830,2095,1039,12254,72,69,193,210,233,297,324,203,105,1708,1809,1353,3670,4718,4948,5392,4800,2362,1154,30213,257,1013,3478,4400,4643,3102,464,41,3,17398,1244,1012,1497,2499,2550,2583,957,122,11,12467,87,59,287,237,245,281,111,14,0,1306,50,55,86,94,96,82,31,16,3,521,1638,2140,5352,7222,7536,6046,1566,184,22,31696,66,112,129,155,166,150,3,3,0,781,240,78,79,108,105,129,30,6,0,773,305,194,214,258,267,275,31,7,0,1555,1935,2329,5559,7479,7802,6322,1597,187,22,33248,1716,415,916,1184,1049,3391,7011,3904,1674,21259,165,160,368,456,472,597,630,364,172,3384,3814,2906,6841,9119,9326,10308,9245,4456,1869,57894
20401,693,843,1755,2191,2772,2389,619,74,13,11351,702,237,604,638,705,1465,2616,1519,674,9170,112,89,192,234,276,309,317,231,127,1891,1508,1170,2551,3059,3757,4161,3549,1826,820,22410,349,1074,2408,2679,3435,2764,629,99,29,13463,835,543,997,1380,1637,1803,754,137,26,8102,37,50,181,165,188,255,97,20,6,1001,51,68,78,83,118,96,46,16,8,564,1278,1734,3668,4307,5381,4913,1526,271,62,23132,73,98,142,130,158,138,9,0,0,751,95,47,67,73,81,102,13,0,0,479,171,145,210,202,245,242,19,0,0,1229,1447,1876,3875,4504,5623,5157,1541,272,62,24362,1557,487,782,886,1176,2538,5118,2829,1107,16477,222,194,408,473,575,677,656,419,212,3841,3227,2554,5066,5864,7372,8373,7314,3521,1384,44677
20402,694,724,1580,1987,2516,2171,469,75,15,10231,512,216,483,514,567,1218,2313,1491,793,8106,92,78,117,167,227,237,252,186,218,1578,1294,1018,2175,2673,3308,3623,3036,1758,1031,19918,258,846,2006,2321,3092,2356,512,93,18,11500,842,495,863,1285,1492,1577,559,96,23,7241,58,69,146,145,166,238,75,15,7,919,39,42,64,68,65,70,37,16,0,411,1201,1459,3085,3816,4813,4247,1183,222,45,20070,47,109,120,96,112,112,5,0,0,608,99,41,55,69,51,79,13,0,0,411,146,155,179,165,159,191,17,0,0,1021,1347,1610,3260,3983,4972,4445,1202,224,45,21094,1123,343,678,768,912,2047,4262,2708,1256,14098,188,146,239,326,416,474,487,358,326,2970,2660,2107,4177,5076,6300,6968,5953,3290,1631,38158
20403,1197,1314,2935,3254,3864,3010,620,70,20,16287,770,292,868,807,801,1746,2895,1723,870,10771,130,128,281,269,304,314,278,196,101,1998,2108,1731,4077,4328,4970,5067,3794,1991,990,29058,565,1733,3772,3954,4887,3483,660,83,25,19163,1351,874,1641,1994,2237,2132,778,104,14,11121,69,88,312,218,223,359,116,12,3,1411,56,73,117,121,116,85,51,15,7,642,2048,2766,5840,6287,7472,6055,1601,220,48,32340,109,185,189,193,175,154,5,0,0,1018,230,92,85,97,101,112,26,0,0,741,341,276,277,292,271,260,35,0,0,1762,2385,3047,6117,6584,7746,6316,1634,218,52,34100,1759,502,1212,1213,1323,2954,5389,3167,1353,18871,255,293,547,542,621,673,520,365,178,3980,4403,3840,7875,8340,9695,9941,7542,3754,1576,56959
20501,738,949,1963,2056,2536,1978,408,63,3,10687,648,221,647,640,659,1293,2302,1271,592,8282,78,80,136,187,204,254,227,173,110,1449,1464,1249,2748,2879,3401,3520,2941,1504,707,20417,314,1068,2611,2531,3069,2254,460,66,19,12390,858,624,1081,1311,1573,1471,543,104,17,7577,30,46,212,136,176,222,62,12,0,908,44,39,76,67,90,73,37,10,3,437,1248,1785,3983,4036,4914,4024,1100,192,37,21325,77,133,107,114,130,124,11,0,0,697,177,73,70,60,62,81,19,0,0,548,253,208,179,172,195,213,27,0,0,1245,1500,1988,4160,4214,5109,4232,1128,199,38,22562,1376,380,837,887,971,2037,4176,2437,894,14000,152,158,287,347,425,472,439,300,173,2753,3018,2537,5283,5443,6509,6744,5739,2933,1111,39320
20502,541,608,1314,1614,2250,1979,469,64,11,8858,477,207,507,462,574,1493,2839,1591,635,8799,78,77,156,168,237,284,311,276,191,1780,1103,893,1979,2245,3067,3764,3617,1934,839,19432,207,684,1566,1694,2323,1956,424,73,9,8933,652,404,891,1134,1453,1533,608,94,8,6778,47,58,152,131,183,249,101,14,0,936,35,29,42,76,78,79,39,19,3,404,933,1171,2649,3036,4041,3811,1172,206,24,17052,65,112,100,117,165,165,7,0,0,733,82,54,59,56,61,98,13,0,0,424,146,165,160,173,225,261,21,0,0,1161,1081,1336,2811,3210,4266,4079,1188,206,26,18211,1064,317,699,742,1036,2600,5662,3143,1077,16338,158,167,316,333,484,551,682,460,294,3445,2302,1823,3826,4288,5789,7234,7532,3811,1395,37995
20503,752,779,1947,2404,3076,2768,670,104,20,12531,674,266,675,739,829,1998,3713,2015,1013,11922,63,89,191,215,271,346,398,288,168,2036,1490,1140,2815,3362,4183,5109,4778,2401,1204,26481,261,835,2304,2761,3490,2618,616,94,15,12991,946,579,1245,1669,2133,2345,879,142,21,9962,72,65,240,173,258,330,124,30,3,1288,62,48,84,86,88,95,57,28,10,559,1339,1524,3875,4690,5966,5386,1684,289,58,24806,72,129,153,155,180,193,11,0,0,884,107,50,81,91,89,141,28,0,3,593,182,177,231,244,270,328,31,3,3,1486,1524,1699,4102,4937,6241,5716,1716,290,55,26286,1526,414,932,1026,1379,3361,6879,3787,1639,20947,155,164,384,396,599,676,770,542,254,3933,3199,2278,5426,6360,8215,9763,9358,4624,1954,51170
20504,1106,1673,3148,3040,3400,2532,466,52,10,15431,872,543,1185,957,1219,2222,3068,1988,925,12988,149,204,370,293,355,374,326,295,178,2545,2124,2420,4704,4289,4977,5129,3861,2336,1106,30954,334,1620,3891,3514,4072,2903,430,37,10,16809,1321,1101,1754,1949,2103,1825,576,76,10,10708,56,94,300,189,241,345,71,8,0,1304,58,98,101,89,94,105,36,10,7,592,1767,2908,6049,5737,6507,5174,1108,137,25,29411,204,384,463,377,346,320,10,3,0,2109,263,148,188,168,120,132,25,3,0,1046,461,534,656,545,469,450,33,5,0,3152,2228,3441,6697,6286,6973,5623,1141,145,23,32563,1871,918,1623,1450,1982,3670,5791,3583,1466,22350,301,415,719,580,729,783,665,495,273,4945,4397,4768,9040,8315,9688,10072,7593,4220,1759,59863
20505,616,682,1615,1715,2114,1807,385,53,16,8999,532,173,587,502,618,1237,1890,1105,546,7185,68,82,149,177,217,232,201,151,73,1352,1215,939,2358,2391,2946,3275,2479,1310,638,17540,234,886,2073,2148,2487,2047,448,61,12,10404,695,459,939,1058,1247,1323,436,81,11,6245,30,40,186,133,181,210,65,3,5,854,41,38,55,62,89,69,23,8,4,399,1002,1429,3250,3402,4004,3648,970,161,39,17898,61,114,143,129,156,131,8,3,0,741,122,45,82,52,60,75,19,0,0,451,182,157,227,182,214,205,26,3,0,1195,1185,1587,3474,3582,4219,3850,1000,164,35,19093,1162,386,1058,991,1077,2137,3665,2073,876,13434,160,168,315,365,424,483,401,299,118,2727,2510,2135,4853,4934,5720,6470,5065,2536,1029,35249
20601,789,3112,8722,5741,3975,2300,413,32,8,25093,800,901,1357,1079,925,1428,2025,1920,922,11347,79,225,650,383,277,209,142,145,85,2191,1667,4240,10726,7206,5174,3930,2584,2094,1006,38633,116,1878,11455,7560,5354,2627,413,24,11,29436,905,2967,4432,3205,2153,1509,446,49,3,15675,27,111,504,396,181,122,38,9,0,1392,20,93,268,145,118,62,30,5,0,750,1074,5058,16668,11310,7803,4317,922,89,15,47253,69,238,542,368,239,160,5,0,0,1621,291,430,378,176,135,102,20,7,0,1534,354,668,914,540,372,268,32,5,0,3160,1427,5726,17580,11854,8175,4586,950,96,15,50413,1749,1672,2216,1618,1505,2395,3562,3308,1535,19556,161,444,1308,812,557,415,287,260,130,4369,3336,7836,21113,14286,10233,7390,4798,3654,1680,74327
