SA3_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
20101,233,477,315,174,289,70,26,1589,30,34,16,19,14,6,0,115,6,8,14,7,11,0,3,41,329,720,541,350,628,204,71,2852,15,71,46,30,22,9,0,188,56,123,54,37,44,5,0,320,73,189,96,63,64,18,3,504,406,909,638,414,691,217,77,3355,688,576,310,209,196,51,16,2045,7,8,0,0,5,0,0,30,1104,1499,949,628,890,266,95,5430
20102,41,95,66,58,60,10,6,337,3,3,9,0,3,0,0,20,3,4,0,4,3,0,0,15,60,141,101,83,120,15,12,536,5,9,9,3,0,0,0,32,4,13,7,7,10,3,0,46,7,26,18,12,14,3,3,77,69,163,122,92,134,23,11,617,111,99,65,32,36,13,4,354,4,0,3,3,0,0,0,10,180,266,191,129,168,30,14,979
20103,39,69,53,36,52,11,3,261,6,9,0,0,0,0,5,22,0,0,3,0,0,0,0,8,46,115,69,63,88,28,9,426,6,17,10,4,9,3,0,50,10,20,10,10,4,0,0,61,16,40,23,18,12,3,0,110,61,154,91,87,99,35,13,539,160,153,80,80,64,12,0,554,3,0,3,3,0,0,0,10,224,311,179,168,163,51,12,1103
20201,218,471,302,199,269,78,25,1567,45,38,21,20,10,5,3,137,6,7,4,4,4,0,3,36,347,700,501,385,568,194,84,2792,20,57,36,17,30,3,0,163,44,65,46,22,31,6,0,221,65,122,74,40,61,15,0,381,414,822,581,429,626,204,86,3168,678,610,306,182,208,52,14,2062,4,4,8,0,4,0,0,20,1098,1436,898,614,841,259,104,5249
20202,59,166,115,79,113,37,10,578,5,10,12,3,4,0,0,30,0,3,3,0,0,0,0,9,78,244,205,144,239,79,13,1005,0,8,11,4,16,0,0,44,7,16,8,3,12,4,0,54,11,26,21,8,23,3,0,95,87,267,226,156,263,83,13,1104,162,164,91,65,63,19,6,573,3,0,3,0,3,0,0,8,257,434,319,215,332,104,20,1681
20203,12,29,12,17,22,7,0,101,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,3,18,39,31,34,43,9,0,178,0,0,0,3,3,4,0,13,0,3,0,0,0,0,0,7,0,3,5,4,3,4,0,16,13,42,36,33,48,14,3,192,61,40,21,24,19,5,0,168,3,3,0,0,0,0,0,4,79,83,64,52,68,13,3,362
20301,17,65,36,23,43,9,8,205,0,5,3,0,0,0,0,11,0,0,0,3,0,0,0,3,28,97,75,44,82,16,13,355,0,3,3,3,4,0,0,10,0,8,6,7,3,0,0,24,3,10,10,9,5,0,0,36,29,105,83,54,86,16,13,386,61,58,37,17,16,10,3,202,0,0,0,0,0,0,0,3,95,162,121,73,102,22,17,587
20302,400,626,486,345,481,169,70,2577,58,42,24,11,41,6,7,183,7,10,16,9,10,6,3,61,625,1068,861,664,1061,413,177,4877,30,93,57,39,52,6,9,284,63,116,69,35,44,10,3,351,94,206,125,75,95,21,11,632,719,1278,989,743,1160,434,191,5506,1014,955,470,345,414,137,64,3403,23,29,15,9,12,6,3,91,1749,2260,1473,1102,1586,581,261,9006
20303,112,285,204,131,175,59,33,990,13,9,5,6,7,3,0,42,0,8,3,3,3,3,0,29,177,438,326,240,349,132,64,1719,4,13,10,13,11,7,3,60,12,34,27,7,15,7,3,93,15,45,36,13,28,10,3,151,184,483,364,261,369,144,66,1869,191,189,94,78,87,23,7,665,0,6,5,3,3,0,0,22,379,681,458,344,460,166,72,2556
20401,76,174,123,91,121,30,6,616,8,10,7,3,4,3,0,36,0,4,4,3,11,0,3,27,123,284,239,175,259,66,19,1174,4,23,22,17,12,0,0,77,11,29,22,12,9,0,0,80,18,51,42,25,20,3,3,155,144,334,278,202,275,71,22,1328,246,253,95,84,89,20,3,789,6,0,3,4,6,0,0,22,394,585,372,291,373,90,26,2138
20402,85,182,119,91,131,20,5,637,13,14,3,0,7,3,0,38,3,3,0,3,3,0,0,18,127,292,208,185,240,49,6,1110,6,23,15,5,8,0,0,60,20,34,19,6,10,0,0,85,25,59,38,17,16,0,0,151,150,354,238,197,260,51,6,1259,262,218,132,77,95,24,8,812,5,5,6,5,3,0,0,26,410,578,381,277,358,73,13,2096
20403,158,321,224,124,178,40,9,1056,23,23,6,5,10,0,0,64,8,5,8,6,13,0,0,42,247,541,391,264,409,96,34,1983,20,30,21,16,29,4,0,112,35,37,18,13,11,5,3,115,53,70,36,29,31,8,4,230,306,609,425,290,447,102,36,2208,349,354,177,122,108,30,3,1143,13,10,4,5,0,0,0,28,668,974,610,415,553,135,37,3383
20501,80,185,129,79,102,28,11,611,15,12,3,5,5,0,3,42,4,4,0,0,8,3,0,19,136,281,213,161,269,73,24,1155,0,17,5,7,14,5,0,47,17,29,11,6,8,3,0,77,21,40,24,17,24,6,0,126,151,327,229,174,292,77,24,1287,250,257,134,68,112,36,4,870,0,3,0,0,0,0,0,7,405,590,368,247,403,120,29,2158
