SA4_CODE_2016,A25_34_SOLSE_T_06_10,A25_34_SOLSE_T_11,A25_34_SOLSE_T_12,A25_34_SOLSE_T_13,A25_34_SOLSE_T_14,A25_34_SOLSE_T_15,A25_34_SOLSE_T_16,A25_34_SOLSE_T_YNS,A25_34_SOLSE_T_T,A25_34_L_PinE_NS_B00,A25_34_L_PinE_NS_00_05,A25_34_L_PinE_NS_06_10,A25_34_L_PinE_NS_11,A25_34_L_PinE_NS_12,A25_34_L_PinE_NS_13,A25_34_L_PinE_NS_14,A25_34_L_PinE_NS_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B00,A25_34_T_00_05,A25_34_T_06_10,A25_34_T_11,A25_34_T_12,A25_34_T_13,A25_34_T_14,A25_34_T_15,A25_34_T_16,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B00,A35_44_SEO_00_05,A35_44_SEO_06_10,A35_44_SEO_11,A35_44_SEO_12,A35_44_SEO_13,A35_44_SEO_14,A35_44_SEO_15,A35_44_SEO_16,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_SOLSE_VWW_B00,A35_44_SOLSE_VWW_00_05,A35_44_SOLSE_VWW_06_10,A35_44_SOLSE_VWW_11,A35_44_SOLSE_VWW_12,A35_44_SOLSE_VWW_13,A35_44_SOLSE_VWW_14,A35_44_SOLSE_VWW_15,A35_44_SOLSE_VWW_16,A35_44_SOLSE_VWW_YNS,A35_44_SOLSE_VWW_T,A35_44_SOLSE_NWNAA_B00,A35_44_SOLSE_NWNAA_00_05,A35_44_SOLSE_NWNAA_06_10,A35_44_SOLSE_NWNAA_11,A35_44_SOLSE_NWNAA_12,A35_44_SOLSE_NWNAA_13,A35_44_SOLSE_NWNAA_14,A35_44_SOLSE_NWNAA_15,A35_44_SOLSE_NWNAA_16,A35_44_SOLSE_NWNAA_YNS,A35_44_SOLSE_NWNAA_T,A35_44_SOLSE_PinE_NS_B00,A35_44_SOLSE_PinE_NS_00_05,A35_44_SOLSE_PinE_NS_06_10,A35_44_SOLSE_PinE_NS_11,A35_44_SOLSE_PinE_NS_12,A35_44_SOLSE_PinE_NS_13,A35_44_SOLSE_PinE_NS_14,A35_44_SOLSE_PinE_NS_15,A35_44_SOLSE_PinE_NS_16,A35_44_SOLSE_PinE_NS_YNS,A35_44_SOLSE_PinE_NS_T,A35_44_SOLSE_T_B00,A35_44_SOLSE_T_00_05,A35_44_SOLSE_T_06_10,A35_44_SOLSE_T_11,A35_44_SOLSE_T_12,A35_44_SOLSE_T_13,A35_44_SOLSE_T_14,A35_44_SOLSE_T_15,A35_44_SOLSE_T_16,A35_44_SOLSE_T_YNS,A35_44_SOLSE_T_T,A35_44_L_PinE_NS_B00,A35_44_L_PinE_NS_00_05,A35_44_L_PinE_NS_06_10,A35_44_L_PinE_NS_11,A35_44_L_PinE_NS_12,A35_44_L_PinE_NS_13,A35_44_L_PinE_NS_14,A35_44_L_PinE_NS_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B00,A35_44_T_00_05,A35_44_T_06_10,A35_44_T_11,A35_44_T_12,A35_44_T_13,A35_44_T_14,A35_44_T_15,A35_44_T_16,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B00,A45_54_SEO_00_05,A45_54_SEO_06_10,A45_54_SEO_11,A45_54_SEO_12,A45_54_SEO_13,A45_54_SEO_14,A45_54_SEO_15,A45_54_SEO_16,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_SOLSE_VWW_B00,A45_54_SOLSE_VWW_00_05,A45_54_SOLSE_VWW_06_10,A45_54_SOLSE_VWW_11,A45_54_SOLSE_VWW_12,A45_54_SOLSE_VWW_13,A45_54_SOLSE_VWW_14,A45_54_SOLSE_VWW_15,A45_54_SOLSE_VWW_16,A45_54_SOLSE_VWW_YNS,A45_54_SOLSE_VWW_T,A45_54_SOLSE_NWNAA_B00,A45_54_SOLSE_NWNAA_00_05,A45_54_SOLSE_NWNAA_06_10,A45_54_SOLSE_NWNAA_11,A45_54_SOLSE_NWNAA_12,A45_54_SOLSE_NWNAA_13,A45_54_SOLSE_NWNAA_14,A45_54_SOLSE_NWNAA_15,A45_54_SOLSE_NWNAA_16,A45_54_SOLSE_NWNAA_YNS,A45_54_SOLSE_NWNAA_T,A45_54_SOLSE_PinE_NS_B00,A45_54_SOLSE_PinE_NS_00_05,A45_54_SOLSE_PinE_NS_06_10,A45_54_SOLSE_PinE_NS_11,A45_54_SOLSE_PinE_NS_12,A45_54_SOLSE_PinE_NS_13,A45_54_SOLSE_PinE_NS_14,A45_54_SOLSE_PinE_NS_15,A45_54_SOLSE_PinE_NS_16,A45_54_SOLSE_PinE_NS_YNS,A45_54_SOLSE_PinE_NS_T,A45_54_SOLSE_T_B00,A45_54_SOLSE_T_00_05,A45_54_SOLSE_T_06_10,A45_54_SOLSE_T_11,A45_54_SOLSE_T_12,A45_54_SOLSE_T_13,A45_54_SOLSE_T_14,A45_54_SOLSE_T_15,A45_54_SOLSE_T_16,A45_54_SOLSE_T_YNS,A45_54_SOLSE_T_T,A45_54_L_PinE_NS_B00,A45_54_L_PinE_NS_00_05,A45_54_L_PinE_NS_06_10,A45_54_L_PinE_NS_11,A45_54_L_PinE_NS_12,A45_54_L_PinE_NS_13,A45_54_L_PinE_NS_14,A45_54_L_PinE_NS_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B00,A45_54_T_00_05,A45_54_T_06_10,A45_54_T_11,A45_54_T_12,A45_54_T_13,A45_54_T_14,A45_54_T_15,A45_54_T_16,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B00,A55_64_SEO_00_05,A55_64_SEO_06_10,A55_64_SEO_11,A55_64_SEO_12,A55_64_SEO_13,A55_64_SEO_14,A55_64_SEO_15,A55_64_SEO_16,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_SOLSE_VWW_B00,A55_64_SOLSE_VWW_00_05,A55_64_SOLSE_VWW_06_10,A55_64_SOLSE_VWW_11
201,485,67,111,88,74,90,43,16,1140,0,0,0,0,0,0,0,0,0,5,5,237,155,599,104,158,126,109,131,62,45,1728,530,180,131,32,25,29,15,15,9,26,990,135,206,323,39,43,41,25,32,21,16,880,4,5,26,7,11,6,12,8,4,4,76,3,3,3,0,0,0,0,0,0,0,11,138,215,357,41,57,50,35,31,25,22,962,0,0,0,0,0,0,0,0,0,3,3,675,391,487,73,80,79,52,48,28,51,1956,1321,151,104,11,17,8,8,12,5,68,1694,246,94,106,17,12,10,9,3,7,14,517,9,13,19,4,3,0,0,0,3,5,57,3,0,0,0,0,0,0,0,0,0,4,254,110,127,22,9,11,9,6,11,18,577,0,0,0,0,0,0,0,0,0,15,17,1570,259,234,31,34,20,18,18,15,95,2287,1863,57,53,8,3,11,3,6,0,94,2095,395,43,29,4
202,451,80,66,102,120,129,60,46,1192,0,0,0,0,0,0,0,0,0,76,77,232,142,552,105,91,135,126,149,71,142,1745,480,205,178,29,20,13,11,15,3,39,990,116,142,314,51,46,37,27,21,15,19,785,0,7,49,11,8,13,12,11,4,5,127,0,0,0,0,0,0,0,0,0,0,3,114,150,362,57,53,54,40,34,19,25,918,0,0,0,0,0,0,0,0,0,51,53,598,355,540,83,71,73,53,45,23,116,1961,1141,121,90,3,14,9,9,4,3,58,1455,182,99,104,15,16,13,12,7,8,8,456,16,10,45,5,7,12,8,10,6,7,122,3,3,4,0,0,0,0,0,0,0,10,200,108,155,18,26,32,22,16,15,13,594,0,0,0,0,0,0,0,0,0,50,48,1347,228,241,20,38,38,28,20,12,118,2095,1603,57,35,0,3,7,5,3,4,62,1779,237,26,17,3
203,1279,222,267,325,281,333,200,86,3551,0,0,3,0,0,0,0,0,0,80,86,872,481,1682,317,364,427,368,414,240,253,5422,1279,489,472,113,67,70,45,44,20,83,2686,499,391,795,107,125,100,70,77,32,44,2235,22,33,78,18,32,38,23,25,19,12,305,7,4,12,0,0,0,0,0,0,0,16,525,424,883,125,161,142,92,101,52,54,2560,3,0,0,0,0,0,0,0,0,71,82,1804,911,1356,234,226,216,135,152,78,214,5326,2804,339,357,48,25,24,27,16,8,95,3758,935,262,309,33,35,27,26,22,16,39,1707,103,33,68,10,25,31,19,25,14,18,336,13,0,3,0,0,0,0,0,0,7,22,1051,295,383,48,55,62,51,39,30,57,2066,3,0,0,0,0,0,0,0,0,43,50,3860,632,739,98,83,86,72,57,34,199,5871,4156,125,94,13,15,15,12,4,3,132,4568,1402,78,55,3
204,365,47,75,79,89,89,51,42,959,0,0,0,0,0,0,0,0,0,6,7,254,151,482,74,107,103,119,114,70,75,1543,539,162,138,35,13,7,17,24,10,46,988,108,138,291,50,57,27,27,22,12,25,752,0,9,13,6,5,3,3,8,7,5,54,0,0,4,0,0,0,0,0,0,0,9,107,146,308,57,65,32,27,25,20,27,818,0,0,0,0,0,0,0,0,0,10,11,652,306,449,89,79,42,49,51,26,84,1822,1360,157,114,21,10,8,9,3,3,64,1747,242,58,76,21,11,16,7,8,10,19,462,19,3,14,7,3,0,0,5,4,4,67,3,3,0,0,0,0,0,0,0,0,6,266,70,95,21,19,15,7,12,12,26,538,6,0,0,0,0,0,0,0,0,9,23,1626,227,208,40,25,22,15,17,19,105,2307,2073,70,39,7,5,3,5,5,3,82,2290,396,24,23,9
205,589,72,113,117,147,143,51,68,1520,0,0,0,0,0,0,0,0,0,89,96,467,262,821,115,170,157,187,171,75,208,2638,931,251,232,51,44,38,30,19,9,66,1667,218,206,400,43,62,48,53,35,21,39,1133,17,21,26,5,11,3,7,8,3,5,115,0,0,0,0,0,0,0,0,0,0,3,233,229,429,52,76,53,58,39,23,47,1249,4,0,0,0,0,0,0,0,0,89,96,1171,479,663,106,123,93,94,61,33,197,3013,2296,240,204,24,36,23,24,12,10,123,2991,452,131,155,26,16,17,17,17,5,34,874,32,15,37,13,3,4,11,17,8,11,146,6,0,0,0,0,0,0,0,0,3,10,487,149,190,33,19,21,31,32,13,52,1031,6,0,0,0,0,0,0,0,0,48,54,2791,386,401,60,58,45,51,41,23,224,4081,4207,130,101,28,11,13,6,16,7,155,4672,793,47,37,5
206,9825,2333,3192,4085,5111,6080,3773,1579,43155,0,0,7,3,0,3,3,3,0,67,93,7885,5893,14646,4257,5352,6302,7423,8516,5173,2356,67793,5344,2627,2864,684,599,479,428,471,211,318,14020,4136,2745,3547,671,791,712,831,916,502,340,15187,247,233,349,77,100,112,149,176,125,125,1694,31,22,23,4,5,0,4,6,5,12,112,4409,3006,3920,748,899,824,985,1099,629,471,16996,0,0,3,0,0,3,0,0,0,42,59,9753,5629,6788,1437,1495,1310,1411,1569,838,832,31067,6663,1069,675,157,145,128,116,119,93,237,9393,5174,959,722,123,136,135,142,152,100,217,7857,825,252,331,69,83,105,101,117,123,165,2176,45,13,0,0,0,3,3,0,0,5,71,6042,1220,1057,198,217,253,242,269,224,389,10105,14,0,3,0,0,0,0,3,0,21,36,12717,2290,1728,351,364,379,360,385,318,643,19539,6302,239,179,75,50,62,53,51,28,160,7206,5611,268,175,38
207,5975,1000,1224,1509,1588,1629,910,535,19919,0,0,6,0,0,0,0,0,3,3,16,3695,3743,6785,1253,1495,1758,1787,1851,1036,638,24050,2688,844,702,144,150,102,98,97,55,119,4987,4415,2778,2731,436,514,572,536,504,279,177,12933,106,226,427,128,144,198,281,308,161,138,2107,23,20,13,0,0,6,0,0,3,3,67,4536,3024,3174,559,667,772,812,805,442,314,15106,3,0,0,0,0,0,0,0,0,12,14,7224,3866,3875,701,813,877,914,902,501,444,20108,4404,702,432,70,66,40,33,49,9,98,5909,6577,1357,1117,178,182,175,152,144,77,152,10116,813,410,729,141,191,182,244,196,99,168,3179,35,10,8,0,0,3,0,0,0,5,58,7430,1771,1850,317,382,364,394,344,180,325,13344,7,0,0,0,0,0,0,0,0,10,17,11843,2472,2278,393,439,402,426,394,189,440,19278,4769,274,136,15,28,18,15,15,10,130,5413,7251,487,215,39
208,4766,854,1012,1256,1464,1310,693,307,14747,3,0,4,0,0,0,0,0,0,8,21,3298,2291,6199,1313,1490,1643,1825,1619,868,454,20989,3829,1836,1613,331,325,264,245,215,132,191,8974,3035,2295,2603,431,480,422,461,416,205,137,10483,48,88,175,37,59,92,112,107,56,40,819,12,11,11,0,3,0,0,6,0,0,51,3090,2399,2784,476,544,511,572,536,266,176,11350,3,0,0,0,0,0,0,0,0,7,13,6923,4232,4402,801,867,777,817,748,398,377,20338,6892,1359,969,172,165,119,107,96,53,172,10107,5011,1014,753,149,119,105,111,103,48,135,7555,293,104,268,63,65,67,75,79,53,58,1136,32,7,3,0,0,0,0,0,0,5,50,5340,1122,1028,215,187,178,192,189,107,192,8742,4,0,0,0,0,0,0,0,0,5,11,12233,2481,1998,391,348,298,297,285,159,369,18859,7155,377,216,31,30,24,25,22,12,113,8016,5392,249,156,27
209,8593,1316,1668,2099,2015,1740,988,486,23999,3,0,6,0,0,3,3,0,3,25,46,3974,3165,9697,1569,1963,2371,2238,1922,1107,651,28644,2816,1095,1109,208,162,133,90,104,40,186,5942,4201,3475,4756,579,647,593,436,400,203,234,15526,324,336,564,135,132,231,106,116,60,61,2070,32,20,41,0,3,7,4,5,3,9,122,4559,3834,5362,713,785,827,544,525,259,308,17718,4,0,6,0,3,0,0,0,0,4,19,7380,4933,6472,923,949,966,637,624,303,501,23680,5117,717,524,91,79,45,53,36,18,171,6853,7317,1335,1197,164,180,128,101,93,50,251,10810,1218,305,383,82,90,131,105,106,77,163,2648,61,5,13,0,7,0,4,0,0,4,97,8596,1647,1591,250,269,258,200,203,129,424,13559,4,0,0,0,0,0,0,0,0,10,20,13719,2369,2119,343,344,309,252,233,147,604,20439,5921,246,159,28,18,21,9,13,3,186,6603,8950,421,245,42
210,6584,1130,1278,1568,1468,1261,746,398,18962,0,3,3,0,0,0,3,0,0,106,115,3277,2584,7260,1336,1447,1719,1599,1361,809,604,21997,1866,686,588,121,89,62,44,56,14,107,3643,4125,2872,3736,448,504,478,383,342,173,262,13324,455,426,577,139,139,255,153,147,116,63,2477,35,29,33,4,3,5,3,0,0,3,115,4616,3326,4345,585,652,739,547,488,292,331,15921,8,3,0,0,0,0,0,0,0,43,55,6483,4017,4944,710,735,804,590,547,306,486,19619,3666,444,283,50,37,26,25,11,13,130,4685,7480,1155,1064,164,127,142,100,86,40,255,10607,1326,403,411,109,105,185,90,120,106,115,2975,60,17,8,3,7,0,5,0,0,10,107,8869,1579,1482,271,238,324,195,207,147,383,13697,12,3,3,0,0,0,0,0,0,35,53,12543,2026,1772,323,272,350,220,222,158,555,18437,3972,177,97,15,9,15,11,5,4,146,4443,6811,342,212,40
