SA4_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
201,475,703,1176,8471,10241,18707,0,0,3,613,705,1318,108,88,196,17153,19279,36433,498,683,1178,360,324,680,182,245,431,78,98,174,338,437,781,23,28,55,176,204,383,446,513,958,2188,2412,4599,261,340,609,108,163,268,4541,5880,10429,1266,1451,2719,39,46,89,36866,43138,80001,386,320,708,289,208,494,44,40,83,19,14,29,125,119,245,248,339,582,393,467,858,29940,27853,57794,259,218,478,94,176,275,30292,28254,58538,8058,7562,15623,76798,80690,157485
202,647,818,1462,8893,10908,19798,0,0,0,1381,1538,2919,171,160,336,14965,16611,31577,159,185,342,302,277,579,136,176,320,104,113,216,250,302,553,51,46,89,135,156,290,547,690,1232,1640,1926,3566,133,196,329,108,126,235,4327,5682,10012,1507,1712,3221,40,45,85,34854,40858,75709,301,297,592,265,242,503,31,54,87,11,16,26,121,100,222,180,329,504,318,440,751,29376,27427,56799,248,219,470,102,168,276,29736,27813,57545,8552,7876,16429,74698,78392,153092
203,1121,1499,2614,13581,17145,30726,0,0,0,2442,2787,5232,87,80,166,32372,36688,69059,200,258,453,1975,1989,3961,324,425,747,136,161,295,976,1226,2201,49,46,99,268,374,649,802,902,1702,3686,4318,8007,285,359,646,147,190,337,6200,8527,14726,3158,3749,6908,94,123,213,66782,79345,146124,1033,717,1755,1460,1141,2598,69,63,133,10,9,20,395,346,739,317,406,716,722,755,1472,50337,46428,96759,469,341,810,198,299,501,50999,47065,98065,13629,12533,26164,135813,143119,278929
204,502,710,1205,12432,14502,26934,0,0,0,945,1056,2005,60,43,107,19409,21075,40487,80,106,179,348,314,664,279,352,631,101,137,242,641,756,1397,16,15,32,303,345,645,550,622,1175,2703,2939,5641,214,274,489,149,178,327,4044,5255,9301,1708,1933,3635,44,58,99,44032,49964,93996,343,313,659,232,162,392,35,45,76,8,3,9,123,104,231,188,301,487,319,408,731,29084,25695,54783,271,222,491,117,151,269,29475,26072,55543,8992,8602,17598,83920,86275,170194
205,828,1145,1976,20055,23785,43846,0,0,3,1509,1783,3291,189,231,421,25462,28567,54034,120,176,293,732,722,1455,522,679,1205,211,220,433,427,509,931,45,37,82,409,494,906,893,1079,1976,4271,4823,9090,379,535,912,247,308,552,5775,7556,13328,2766,3231,5996,86,98,191,64102,74834,138932,401,332,737,309,289,603,54,56,107,8,12,17,141,108,250,292,514,809,442,632,1078,51147,45997,97146,450,403,850,168,286,456,51768,46684,98451,15261,14267,29530,133172,138247,271416
206,8541,11914,20457,13892,17056,30943,58,53,104,1437,1756,3193,10,9,27,51426,60436,111861,143,177,327,12150,13331,25482,249,365,617,148,158,298,601,873,1474,514,579,1092,752,916,1665,1167,1572,2739,2525,2916,5442,112,177,281,104,135,239,3621,4928,8545,3676,4950,8626,132,159,288,92713,110538,203252,7632,5888,13519,8239,7920,16164,3634,3941,7574,22,18,35,541,423,970,936,1031,1962,1493,1471,2969,124939,125924,250860,1642,1391,3037,494,725,1215,127079,128035,255117,36473,36170,72641,285795,305884,591679
207,6437,8362,14797,13158,16699,29852,3,6,12,3112,3858,6973,13,17,35,34637,40315,74958,329,444,775,9940,10634,20579,144,200,346,142,161,307,612,820,1432,509,554,1061,833,1016,1847,1213,1527,2737,2760,3392,6148,266,386,650,138,163,298,4840,6899,11738,3527,4407,7937,99,128,225,76281,91637,167920,4445,3847,8296,2929,2540,5469,937,1021,1960,3,7,13,761,648,1406,680,774,1450,1443,1427,2870,64965,62237,127202,575,512,1091,216,334,549,65751,63085,128834,14562,14943,29506,172782,186862,359644
208,3043,4426,7476,17469,22302,39770,10,3,10,1276,1468,2742,8,4,17,40134,47069,87198,165,262,426,10001,10901,20901,282,359,636,142,165,309,567,740,1303,327,318,644,447,494,946,624,812,1440,2916,3457,6379,83,139,217,91,143,238,4451,6169,10619,2642,3289,5933,142,142,284,81761,98252,180010,5163,4447,9608,1473,1360,2834,13852,14986,28834,0,3,6,552,421,980,553,621,1170,1113,1043,2158,69181,65976,135158,644,507,1152,270,434,709,70101,66919,137022,17592,18180,35776,194086,209615,403707
209,5696,7023,12723,14982,18391,33375,104,113,216,2047,2462,4501,260,291,552,63448,70684,134131,177,280,454,17633,18222,35854,442,600,1044,319,337,657,591,705,1298,822,801,1622,657,768,1426,1809,2130,3935,3209,3615,6821,340,460,803,239,321,558,4100,5554,9658,6762,7562,14325,117,132,252,118063,133427,251489,7451,6196,13644,12323,11373,23695,161,171,338,14,26,44,4016,3343,7363,677,930,1609,4711,4295,9006,73141,67483,140617,713,546,1255,302,495,792,74147,68520,142670,20926,20859,41785,243480,251875,495353
210,3644,4441,8081,9877,12222,22103,1101,1112,2208,984,1181,2165,79,86,162,57727,62006,119736,172,221,390,7092,7435,14526,462,531,990,509,578,1085,376,490,862,702,696,1402,538,592,1132,1179,1326,2505,1994,2341,4339,173,246,414,192,229,415,3206,4280,7487,3737,4128,7867,67,89,161,90167,99794,189958,4990,4310,9303,23654,21975,45624,71,51,120,13,16,29,3078,2502,5579,434,485,913,3521,3000,6526,37787,33910,71697,356,291,645,152,205,355,38292,34404,72704,15734,15320,31057,180073,183294,363371
