SA4_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
201,487,412,238,141,182,78,25,1564,343,377,221,163,202,62,15,1372,338,362,199,130,152,52,17,1250,5844,6121,3427,2040,2771,895,325,21423,38,35,17,24,18,0,0,137,7058,7297,4104,2498,3322,1088,380,25745,37,78,45,42,48,12,7,259,89,131,76,70,91,23,9,497,32,67,40,26,49,14,8,232,1293,1728,1121,759,1019,296,92,6307,53,66,35,24,20,5,3,215,1505,2070,1314,916,1220,346,121,7505,8558,9370,5415,3416,4541,1432,500,33249
202,505,414,251,143,203,74,17,1604,351,387,226,142,186,57,19,1377,329,323,148,100,149,43,12,1103,5814,5863,3274,2155,2820,904,254,21087,32,32,26,17,15,0,0,114,7029,7027,3924,2554,3367,1080,310,25290,33,48,36,23,50,28,11,219,77,120,85,69,94,21,17,489,29,75,70,36,54,18,5,293,1230,1670,1057,736,1021,309,103,6127,58,47,29,19,23,7,0,171,1430,1956,1273,887,1240,379,129,7291,8460,8984,5192,3442,4605,1462,441,32581
203,1311,1187,649,474,626,330,162,4738,988,949,572,397,527,223,90,3745,973,913,453,281,368,168,83,3237,10523,10295,5700,3529,4589,1900,771,37306,64,59,33,30,13,6,3,214,13858,13410,7401,4720,6121,2619,1109,49241,113,183,132,99,198,109,45,881,230,289,187,139,193,72,39,1154,111,160,102,70,132,46,33,653,1676,2362,1559,1166,1573,521,222,9085,89,103,68,36,50,16,5,374,2221,3100,2050,1508,2151,765,349,12151,16074,16512,9453,6233,8275,3383,1454,61388
204,380,325,209,107,156,56,19,1249,318,400,194,147,195,41,11,1307,416,414,182,105,191,41,10,1365,6008,6438,3740,2406,3198,715,169,22668,46,38,36,20,16,5,0,166,7163,7617,4361,2784,3753,859,209,26748,40,51,46,32,41,17,6,234,82,137,86,83,107,32,3,528,34,56,52,44,53,16,6,262,1237,1822,1131,793,1052,236,58,6330,80,68,46,32,27,8,0,262,1476,2139,1359,987,1278,299,74,7611,8635,9755,5725,3768,5034,1159,288,34360
205,628,606,343,248,293,97,29,2245,551,633,383,205,316,75,19,2193,513,586,314,225,286,88,18,2038,9515,9927,5543,3571,4714,1300,343,34914,84,84,53,37,29,4,3,298,11289,11844,6642,4295,5635,1564,417,41680,79,102,79,63,104,36,8,472,164,230,120,91,129,41,12,786,79,141,82,76,120,40,13,554,2190,2934,1737,1317,1768,397,87,10433,130,104,80,33,44,4,4,399,2640,3511,2103,1590,2168,525,121,12642,13932,15357,8739,5882,7804,2080,530,54325
206,6050,3674,1625,984,1275,1009,550,15177,2595,2092,1035,592,832,523,300,7960,2741,1865,834,509,664,407,237,7257,10639,9283,4967,2979,3833,2319,1256,35267,142,96,49,16,17,10,7,341,22165,17009,8509,5076,6625,4271,2348,66008,840,1060,651,542,797,621,426,4942,279,382,248,182,288,191,97,1664,239,285,172,105,190,123,86,1199,740,1191,819,558,844,562,375,5091,162,153,80,65,40,25,14,539,2254,3081,1969,1456,2152,1523,1004,13441,24422,20095,10478,6534,8783,5791,3351,79445
207,6199,5705,3061,2029,3162,2534,1479,24168,1332,1529,953,594,858,585,340,6191,1566,1708,950,595,845,586,322,6566,6339,8580,5659,3634,5000,3293,1900,34408,45,58,27,15,24,11,7,179,15484,17568,10646,6867,9884,7012,4048,71512,461,833,590,506,955,699,427,4465,102,221,178,134,219,156,92,1110,71,196,117,108,163,123,71,850,332,758,683,526,804,523,323,3949,32,50,23,22,14,17,7,163,992,2061,1583,1297,2156,1519,924,10534,16479,19629,12234,8157,12040,8535,4971,82048
208,5324,5160,2734,1695,2422,1672,941,19945,2536,2619,1427,880,1140,649,384,9633,2481,2557,1323,785,1078,612,333,9172,10240,11624,6879,4241,5516,3301,1813,43620,44,63,40,29,28,12,11,229,20627,22020,12406,7625,10187,6251,3487,82601,252,512,383,321,544,388,241,2645,207,379,300,224,346,222,134,1803,152,267,210,134,207,105,108,1184,635,1292,967,748,1084,689,389,5800,76,56,34,17,26,16,9,241,1317,2506,1893,1446,2205,1425,869,11670,21945,24528,14297,9076,12393,7676,4354,94272
209,9457,7373,3688,2115,3214,2320,1290,29465,2643,2483,1324,756,1112,683,340,9337,2410,1946,936,599,800,453,260,7407,14690,14170,7817,4863,6502,3383,1554,52981,169,146,80,51,53,23,7,537,29375,26111,13842,8383,11687,6866,3456,99724,630,852,603,479,625,499,360,4036,334,531,378,249,332,183,107,2119,193,289,225,160,237,137,78,1320,1819,2708,1805,1264,1700,802,385,10478,152,138,89,81,47,31,3,545,3132,4519,3094,2227,2943,1656,932,18497,32505,30631,16935,10609,14627,8524,4387,118222
210,8424,7675,4112,2616,3786,2595,1382,30588,2336,2192,1153,696,919,445,211,7951,1733,1429,721,464,586,320,168,5426,9416,8718,4778,2903,3982,1972,925,32700,148,142,63,45,42,16,15,471,22060,20157,10836,6721,9305,5351,2699,77130,593,862,684,490,786,511,274,4198,357,481,313,237,328,160,76,1946,185,251,185,121,186,99,50,1075,1390,1828,1269,918,1245,510,286,7449,102,143,83,57,45,24,18,471,2628,3567,2530,1822,2586,1305,702,15136,24686,23721,13360,8536,11894,6657,3401,92266
