SA4_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
201,324,482,802,213,262,475,323,1221,1544,342,1957,2301,1405,4226,5631,1486,1948,3434,3970,1717,5683,3090,1867,4960,3774,1576,5351,3570,1052,4618,2772,779,3550,2558,488,3051,4607,555,5162,2738,112,2852,1542,35,1577,877,252,1126,1720,27,1748,3639,410,4050,736,1102,1844,39682,20067,59743
202,254,375,624,223,268,496,294,1043,1336,309,1723,2035,1225,3683,4911,1297,1882,3174,3580,1630,5204,2953,1747,4698,3829,1522,5347,3664,1035,4695,2780,732,3515,2605,492,3091,4573,633,5203,2877,95,2974,1606,47,1649,960,242,1204,1674,33,1703,3602,367,3969,652,1028,1682,38945,18570,57513
203,536,725,1260,347,438,781,525,1697,2229,502,2720,3224,2141,5662,7804,2152,3128,5284,5617,2519,8140,4641,2788,7422,6175,2696,8870,6027,1826,7851,4765,1401,6167,4896,981,5873,9180,1252,10426,6070,187,6258,3559,98,3657,2176,477,2652,4336,89,4432,6768,639,7405,1255,1623,2876,71673,30955,102631
204,327,444,770,262,262,529,348,1180,1524,387,2002,2389,1511,4141,5657,1467,2135,3597,4154,1775,5924,3329,1932,5260,4200,1697,5895,4098,1048,5142,3057,690,3743,3022,460,3483,5105,548,5659,3219,99,3319,1620,25,1650,881,222,1102,1521,32,1554,4417,248,4664,901,1318,2220,43821,20273,64101
205,621,838,1460,457,560,1021,625,2269,2897,682,3512,4188,2819,7220,10039,2668,3452,6115,7355,2864,10216,5622,2846,8465,6918,2490,9406,6229,1527,7758,4480,1108,5589,4529,746,5277,7299,887,8186,4362,127,4490,2381,47,2426,1526,469,1996,2850,53,2904,6989,389,7375,1503,2166,3664,69914,33568,103488
206,2422,8653,11078,791,1894,2687,1280,4753,6028,868,5858,6730,2651,8043,10697,2375,5669,8045,5038,5894,10934,4690,7777,12467,6656,9763,16426,6818,8845,15667,6029,8322,14358,6666,6664,13335,15557,12005,27557,12644,2582,15225,9598,1697,11297,8736,6681,15421,24242,2279,26521,11898,6249,18143,1418,2895,4312,130369,116542,246911
207,1767,2130,3897,644,663,1306,775,1635,2418,560,2173,2729,1793,4128,5922,1778,3069,4848,4074,2499,6575,4050,2745,6797,5567,3029,8604,5405,2459,7863,4437,2140,6576,4713,1688,6407,9880,2763,12646,7711,448,8161,5730,268,5995,5265,1518,6782,17579,271,17847,9539,1093,10627,1137,1191,2326,92410,35917,128334
208,1113,1798,2910,520,696,1213,588,1918,2510,502,2929,3433,1773,5829,7601,1738,3900,5637,4466,3230,7704,4202,3736,7938,5906,4129,10037,5997,3241,9237,5083,2848,7935,5611,2069,7682,12143,3270,15414,9674,422,10096,7197,266,7460,6710,1763,8474,19409,255,19665,10398,1052,11448,1453,1884,3339,104491,45239,149732
209,1332,1378,2713,663,578,1245,954,2114,3071,763,3209,3975,3279,6053,9335,3205,3080,6282,8162,3065,11225,7140,3553,10689,9688,3884,13577,9894,2920,12820,8642,2326,10968,8686,1703,10389,17368,2169,19535,12233,390,12620,7575,166,7740,5072,690,5759,9942,148,10091,11850,1015,12867,2035,1739,3772,128476,40190,168667
210,1048,881,1927,508,403,916,812,1486,2297,689,2278,2964,2829,4419,7250,2634,2119,4745,6534,1925,8464,5852,2267,8125,7600,2503,10099,7401,1804,9210,6246,1380,7624,6074,1001,7078,11740,1262,13004,7885,236,8116,4874,118,4992,3340,368,3710,5718,84,5804,8605,595,9199,1692,1397,3089,92080,26538,118615
211,1113,1173,2280,565,575,1138,833,1892,2727,659,3120,3784,2620,7023,9641,3007,4077,7085,7648,3462,11112,7463,3951,11414,10148,4015,14162,10244,2777,13016,8780,2180,10963,9211,1588,10801,18575,1950,20531,13547,321,13865,8224,151,8373,5540,640,6182,10749,118,10870,12589,786,13382,2029,1953,3979,133533,41759,175298
212,2517,2553,5073,1070,807,1873,1673,2750,4423,1386,4166,5559,4913,8541,13458,5219,4385,9603,12611,4105,16716,11709,4895,16609,16046,4948,20997,15998,3402,19403,13632,2571,16209,13536,1748,15287,25691,2375,28067,16569,574,17143,9476,321,9795,6201,758,6956,11328,314,11641,17462,1495,18952,2791,2453,5247,189847,53167,243018
213,2218,1894,4114,995,766,1762,1785,3077,4860,1430,4154,5584,4824,7741,12562,5152,3794,8948,11400,3803,15204,10992,4815,15808,14662,5420,20082,14727,3987,18716,12854,3040,15896,12580,2179,14762,24533,3025,27551,16362,654,17013,10241,334,10577,6843,954,7799,11713,308,12023,16219,1501,17715,2998,2454,5452,182530,53894,236425
214,608,857,1466,343,390,732,466,1520,1992,507,2605,3111,1901,5949,7854,2110,3369,5482,5636,2630,8265,4973,3032,7998,6456,2927,9380,6325,1868,8193,5240,1331,6574,5146,921,6062,9746,1030,10784,6443,142,6586,3730,64,3799,2410,506,2912,4807,51,4859,7507,527,8028,1457,1949,3406,75813,31668,107477
215,371,420,790,267,284,553,366,1170,1537,338,2044,2387,1492,4261,5754,1347,1993,3334,4020,1706,5728,3197,1706,4901,3814,1431,5249,3738,795,4531,2429,602,3034,2562,364,2925,3955,454,4408,2199,78,2277,1144,37,1180,588,215,807,1129,40,1167,3806,226,4040,934,1355,2287,37704,19192,56900
216,336,342,681,196,190,381,287,862,1146,271,1456,1731,1242,2973,4215,1162,1447,2610,3312,1241,4550,2452,1388,3841,3221,1173,4395,3130,668,3804,2225,490,2716,2266,322,2579,3740,373,4111,2170,85,2252,1107,31,1141,568,147,714,1109,34,1141,3238,196,3438,778,1089,1872,32811,14509,47321
217,280,335,616,211,260,471,280,975,1249,269,1490,1763,1102,3094,4192,1073,1634,2708,2886,1287,4176,2432,1422,3853,3093,1252,4341,2920,724,3642,2134,540,2665,2199,339,2540,3620,401,4019,2156,88,2246,1112,39,1147,607,214,816,1171,41,1211,2996,223,3214,652,1002,1656,31180,15359,46541
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
