SA4_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
201,3367,19839,21933,7561,4526,57232,2515,59743
202,3004,18726,21558,7600,4279,55169,2348,57513
203,5754,34451,40246,12190,6357,98988,3641,102631
204,2952,20363,24014,8691,5225,61243,2855,64101
205,5437,34583,37970,13341,7555,98886,4599,103488
206,59472,111376,53364,10323,4075,238614,8289,246911
207,9547,45869,49528,13719,6366,125029,3304,128334
208,11214,56179,57897,14006,6309,145608,4123,149732
209,10323,54499,65885,21034,11742,163480,5192,168667
210,6795,37564,45762,15487,8872,114476,4140,118615
211,6832,51914,72361,24769,14770,170637,4656,175298
212,13023,74142,97305,32891,17630,234994,8025,243018
213,14835,79285,91548,28333,14133,228134,8293,236425
214,5279,35924,42496,12861,6752,103307,4168,107477
215,3471,18192,20057,7546,4810,54078,2822,56900
216,2471,14861,17355,6499,3892,45073,2242,47321
217,2298,14908,17003,6281,4004,44493,2048,46541
297,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0
