SA4_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
201,61973,66545,128519,25019,12929,37943,7821,17470,25289,1842,2323,4163,2685,2211,4899,37366,34928,72295,20434,27111,47546,7.2,6.3,6.8,60.3,52.5,56.3,56,49.2,52.4,1798,2035,3831,1108,2148,3249,5798,8977,14773,4321,6534,10860,15745,7765,23506,542,1064,1605,864,1254,2121,17148,10079,27231,59138,62006,121143,10069,11098,21165,39746,41308,81054,26433,28892,55322
202,60173,64603,124780,24362,12921,37281,7868,17199,25072,1816,2276,4089,2293,1969,4258,36341,34364,70699,19377,25455,44834,6.3,5.7,6,60.4,53.2,56.7,56.6,50.1,53.2,1611,2005,3619,1150,2310,3457,5738,9047,14790,4248,6202,10447,15479,7482,22956,509,1010,1518,834,1391,2221,16820,9874,26699,57367,60075,117440,9340,10494,19836,38527,39790,78318,24961,27811,52770
203,109156,117970,227122,46911,24134,71046,14171,32555,46725,3236,4016,7254,4252,3661,7917,68573,64364,132944,34029,46601,80628,6.2,5.7,6,62.8,54.6,58.5,58.9,51.5,55,3736,3837,7571,1829,3756,5580,12890,18341,31233,9256,13029,22287,27576,13774,41349,828,1534,2364,1550,2425,3970,29953,17732,47685,103470,109547,213017,19243,20812,40059,68296,72257,140552,49071,53404,102475
204,68406,71384,139788,29114,15012,44130,8092,18379,26463,2396,2549,4947,2075,1936,4011,41676,37878,79553,21406,28044,49448,5,5.1,5,60.9,53.1,56.9,57.9,50.3,54,1163,1485,2647,949,1971,2924,4717,8379,13098,5036,7860,12899,19284,8960,28246,617,1264,1878,1068,1686,2749,20974,11906,32880,64542,66406,130950,10956,11487,22442,44803,45736,90544,27365,29032,56394
205,108772,114826,223600,41439,20090,61524,12472,28799,41270,3670,4020,7691,4638,3591,8227,62216,56497,118717,37898,49170,87069,7.5,6.4,6.9,57.2,49.2,53.1,52.9,46.1,49.4,1667,2037,3706,1267,2832,4102,6939,12130,19063,6990,11307,18297,32432,14264,46694,904,1966,2868,1641,2600,4239,34975,18829,53802,102364,106120,208482,16238,17982,34221,71447,72955,144401,41889,46182,88074
206,251741,272543,524285,119443,92903,212343,35368,58323,93688,6015,8112,14131,11350,11299,22651,172179,170631,342809,56412,78287,134697,6.6,6.6,6.6,68.4,62.6,65.4,63.9,58.5,61.1,27734,31444,59176,7174,12803,19976,70640,80698,151340,19828,23402,43230,23643,12307,35947,1139,1532,2671,2519,3528,6048,27302,17371,44671,185332,198279,383611,65977,72691,138663,101111,109623,210739,144608,156238,300846
207,142342,158013,300350,62491,38111,100607,21198,39513,60717,3091,4189,7278,6110,5395,11510,92899,87209,180109,42862,63493,106357,6.6,6.2,6.4,65.3,55.2,60,61,51.8,56.1,16481,14633,31107,4128,6958,11086,37326,42210,79540,12270,15763,28032,14545,6996,21545,579,976,1557,1546,2772,4321,16667,10747,27417,133496,145352,278852,26726,28532,55258,90873,99935,190807,65072,69784,134859
208,156447,173391,329844,76525,45552,122078,21473,45852,67328,3707,5070,8777,5780,5341,11121,107488,101815,209300,40624,62452,103073,5.4,5.2,5.3,68.7,58.7,63.5,65,55.6,60.1,14017,13932,27943,4145,7552,11699,37525,43611,81134,14518,19170,33693,22123,10268,32395,705,1286,1996,2078,3421,5506,24915,14982,39892,150094,162620,312711,28158,30217,58372,100229,109512,209741,72046,77560,149605
209,194224,205282,399503,91122,49400,140525,25767,53242,79008,5336,6740,12070,8515,7710,16224,130741,117089,247829,52882,76794,129675,6.5,6.6,6.5,67.3,57,62,62.9,53.3,58,10991,10855,21847,3498,6739,10240,28522,36059,64577,16747,21396,38142,39089,17829,56917,1212,2217,3428,2538,4053,6590,42836,24097,66934,190958,197657,388623,32201,33203,65404,128757,134387,263142,83715,86363,170084
210,141503,147096,288599,62946,33536,96484,17950,33189,51140,4274,4504,8778,6855,5808,12659,92027,77036,169060,40967,61442,102406,7.4,7.5,7.5,65,52.4,58.6,60.2,48.4,54.2,5549,5286,10835,1783,3538,5320,16410,20930,37342,11543,14743,26285,29299,13010,42306,971,1734,2709,1959,2968,4924,32233,17707,49939,140410,143883,284295,23784,23764,47546,95213,98977,194191,60343,60503,120847
