SA4_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
201,59138,62006,121143,2426,2671,5098,196,208,400,6482,7158,13638,192,233,430,107,108,207,95,84,178,38,39,79,44,51,102,22,19,38,0,0,0,7173,7900,15073,354,405,763,114,124,238,10069,11098,21165,6667,6778,13442,75874,79876,155752
202,57367,60075,117440,2184,2444,4632,270,277,543,5897,6715,12614,185,178,369,100,107,211,101,105,202,53,61,112,55,55,117,16,17,32,0,0,0,6672,7525,14199,345,412,754,139,115,258,9340,10494,19836,7209,6932,14137,73915,77496,151412
203,103470,109547,213017,5282,5791,11069,370,406,774,11202,12240,23434,378,379,760,133,141,273,198,197,395,59,76,133,96,100,195,55,69,120,0,0,0,12486,13596,26084,1235,1185,2425,238,242,478,19243,20812,40059,11498,11201,22696,134207,141562,275771
204,64542,66406,130950,3880,4136,8020,1071,1123,2192,4357,4678,9035,615,486,1100,117,108,222,155,160,311,54,62,117,100,95,197,73,54,129,0,0,0,6545,6758,13306,394,453,848,136,128,265,10956,11487,22442,7517,7575,15090,83015,85463,168483
205,102364,106120,208482,6646,7558,14207,427,449,873,7484,8210,15697,439,463,906,111,114,223,193,211,396,60,61,121,99,100,201,49,37,90,8,0,9,8859,9651,18511,465,526,990,268,244,509,16238,17982,34221,13051,12775,25829,131646,136880,268529
206,185332,198279,383611,8929,9719,18650,2439,2590,5027,34396,37710,72114,1753,1967,3720,678,740,1422,1226,1201,2423,328,356,687,191,196,387,420,500,923,9,3,18,41443,45270,86718,14868,17010,31877,726,694,1425,65977,72691,138663,31378,31845,63218,282683,302805,585495
207,133496,145352,278852,3566,3818,7386,526,543,1071,15943,16807,32749,396,423,816,263,259,519,299,298,596,82,91,180,35,50,85,123,142,259,4,0,3,17664,18618,36284,5257,5868,11120,240,223,461,26726,28532,55258,10963,11496,22459,171188,185379,356569
208,150094,162620,312711,4120,4357,8472,634,632,1263,17920,18975,36898,460,488,945,159,177,339,302,268,567,71,83,157,48,51,101,79,81,159,7,5,11,19675,20759,40437,4068,4797,8863,294,305,600,28158,30217,58372,13671,14596,28268,191918,207425,399345
209,190958,197657,388623,4684,4754,9435,723,713,1442,20997,21601,42593,572,561,1131,264,229,496,275,276,553,89,110,195,118,116,233,92,88,189,0,3,6,23134,23695,46830,4006,4415,8425,383,337,717,32201,33203,65404,16964,17641,34602,240121,248505,488630
210,140410,143883,284295,4514,4385,8903,586,576,1156,14567,14502,29067,365,359,723,150,161,309,181,149,330,53,50,100,53,42,91,39,65,108,5,0,5,15993,15902,31895,2987,3208,6198,288,260,550,23784,23764,47546,13255,13171,26434,177449,180821,358273
