SA4_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
201,267,61,936,394,277,284,104,290,23,2643,5,9,4,11,4,8,3,13,3,61,105,149,71,94,102,33,46,53,13,666,155,118,244,139,122,143,134,230,149,1436,5744,12260,7724,5714,4677,2520,1762,2897,657,43946
202,233,65,918,365,247,267,94,309,18,2511,3,11,5,5,6,4,3,16,3,56,102,179,70,81,66,38,36,52,15,632,183,128,220,174,129,133,116,240,131,1450,5859,12688,7433,5666,4401,2368,1717,3058,559,43745
203,474,145,1772,764,482,509,206,469,59,4877,7,15,10,12,5,14,8,14,4,88,148,288,139,181,165,90,88,81,34,1225,223,207,401,251,198,220,217,343,307,2367,10538,24660,14863,11139,8974,5086,3205,5075,1254,84799
204,420,69,1147,451,297,351,158,392,34,3305,8,13,3,3,3,3,11,22,3,67,130,94,76,111,81,31,61,59,19,668,260,132,303,199,168,158,231,308,216,1983,7475,10976,8997,6584,4995,2700,2475,3766,734,48704
205,520,94,1634,632,485,491,179,567,41,4626,7,11,4,4,6,11,5,28,4,79,163,157,125,111,105,49,75,95,39,912,438,155,472,302,227,289,266,484,295,2932,9853,15644,14308,9269,6935,3789,3603,5576,1093,70071
206,1308,429,3905,1663,1001,820,131,484,83,9826,32,51,25,46,38,40,13,47,10,294,1057,1893,286,522,832,417,82,171,187,5445,486,847,402,404,393,302,116,270,735,3959,42671,115219,19847,20331,27571,14969,2862,7229,3818,254513
207,644,160,1401,666,459,453,91,259,34,4155,26,13,15,29,20,20,6,23,4,152,435,619,121,177,357,199,38,69,56,2069,265,354,199,152,180,184,67,130,372,1908,23291,54953,10184,9315,15524,8238,1648,3602,1912,128665
208,783,260,1956,841,681,637,142,329,61,5699,17,21,8,11,15,8,6,20,3,114,525,806,178,244,425,250,65,100,79,2669,331,386,295,198,269,258,100,157,431,2431,28087,58879,14771,11797,17872,9467,2374,4150,2137,149528
209,846,245,2875,1259,1035,924,434,673,80,8367,23,12,25,19,28,26,28,57,10,225,373,597,270,332,435,196,215,181,88,2686,358,350,708,442,461,415,377,498,562,4179,20166,48137,24922,17950,19931,9846,6257,8245,2299,157744
210,524,137,1888,819,671,642,424,565,55,5714,10,18,20,14,12,13,28,40,11,163,210,329,191,259,274,115,168,132,51,1733,291,272,546,354,384,282,326,378,408,3243,12082,26056,17288,12274,13113,6346,5723,6178,1647,100701
211,949,267,2829,1224,1081,994,300,677,84,8396,14,18,21,20,12,17,16,48,4,170,406,543,266,319,412,180,115,144,80,2457,395,362,660,362,403,342,283,394,604,3802,23482,49825,29231,18487,21319,10401,5222,7994,2300,168261
212,1221,309,4314,1753,1365,1274,870,1390,126,12624,30,16,50,31,28,31,52,93,20,354,406,516,433,438,478,263,357,314,110,3323,476,439,1089,595,627,524,695,870,997,6306,25510,56533,36721,25100,28486,14873,12462,15365,3553,218613
213,1260,339,4022,1945,1379,1278,1015,1248,146,12634,25,22,36,36,39,29,58,83,16,353,429,675,392,483,599,272,443,308,114,3721,455,449,942,658,630,530,850,864,985,6376,25704,56389,32116,24944,28644,13940,13819,14080,3689,213315
214,585,158,1883,835,614,582,202,505,39,5400,5,12,18,16,10,7,5,21,5,101,197,237,144,172,166,84,77,72,41,1185,226,231,462,286,236,268,205,320,315,2557,11496,20952,17473,11022,9554,5816,3150,5074,1224,85761
215,358,59,838,339,248,286,90,308,26,2548,9,3,6,3,4,8,9,16,3,61,60,66,45,64,35,25,39,36,12,367,276,118,249,167,114,177,154,329,181,1760,6620,8556,5975,5124,3409,2084,1692,3048,561,37070
216,294,44,773,308,210,254,117,341,34,2365,8,5,5,9,0,5,3,14,0,51,72,53,47,34,32,29,30,51,13,361,220,87,211,158,85,140,140,313,161,1514,5104,7529,5764,4153,2963,1774,1572,3112,470,32434
217,304,48,874,319,194,228,93,359,21,2436,9,11,4,3,9,3,0,17,0,59,90,68,45,58,46,18,42,50,13,426,283,82,197,136,92,101,141,273,138,1440,5972,7715,5786,4311,2931,1737,1682,3080,480,33691
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,4,0,22
299,9,3,34,8,3,3,4,6,0,75,0,0,0,0,0,0,0,0,0,0,3,4,5,7,3,3,0,6,0,34,4,5,15,4,0,0,9,14,15,66,132,367,223,181,112,65,72,142,34,1337
