SA4_CODE_2016,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
201,114,822,27,163,84,24,0,10,9,1241,33,175,4,39,24,3,3,0,10,282,568,3973,162,609,762,236,16,129,54,6519,5,3,3,11,13,3,0,0,0,39,245,442,68,343,345,110,9,59,18,1644,242,409,124,857,606,203,12,88,31,2563,301,294,685,1610,1210,586,55,414,46,5190,44,24,29,106,185,118,7,82,6,611,48,37,42,212,167,88,9,53,3,662,19,47,12,32,43,19,0,18,5,196,65,121,39,139,116,104,13,124,51,776,1933,7508,1219,4196,3658,1514,134,992,243,21391,17,62,0,0,0,5,0,0,0,93,72,438,3,5,9,0,3,3,4,542,464,1392,67,83,148,43,20,38,32,2290,25,111,0,10,3,6,0,4,0,162,239,1187,46,213,117,35,12,25,13,1898,59,233,5,53,27,3,3,0,12,398,1422,6322,424,920,1006,369,103,295,121,10975,10,3,7,10,12,3,0,0,0,48
202,160,890,21,178,122,18,4,13,3,1410,27,183,3,20,19,3,0,0,0,259,699,4116,146,532,708,248,17,144,58,6661,0,11,0,21,11,0,0,4,0,49,184,458,78,357,310,110,8,43,14,1551,244,396,105,790,508,162,12,112,21,2349,351,306,683,1588,1087,540,68,407,54,5080,48,33,31,113,149,124,8,83,3,582,76,40,46,231,200,101,20,90,13,806,17,58,9,27,46,16,3,23,4,204,74,123,42,152,116,92,15,102,57,771,2105,7783,1188,4071,3378,1424,155,1035,241,21388,3,67,0,3,3,3,0,0,0,79,53,433,10,10,19,0,0,3,6,543,425,1368,45,82,135,31,5,29,15,2128,14,104,0,6,14,3,0,0,0,151,292,1297,56,235,157,26,11,25,13,2113,54,234,14,31,31,3,3,10,3,376,1542,6553,395,784,960,399,90,320,89,11126,5,7,5,28,12,5,0,8,0,73
203,219,1459,28,276,159,33,3,16,10,2207,66,301,4,29,43,4,0,3,7,458,1208,8100,304,1345,1608,607,37,197,118,13527,7,14,7,46,15,8,0,0,3,101,451,957,178,697,726,232,29,75,36,3387,508,796,294,1554,1216,435,34,167,55,5059,554,524,1313,3023,2051,1112,123,651,103,9449,64,49,40,215,228,172,15,96,9,890,92,78,66,409,357,186,21,108,14,1329,30,105,21,65,70,37,3,8,11,364,92,204,70,266,208,161,31,128,108,1270,3720,14717,2378,8105,6920,3052,299,1481,499,41178,24,139,3,5,15,0,0,3,0,199,113,1066,24,17,36,5,0,6,8,1275,880,2530,125,222,269,109,56,80,52,4321,53,191,6,16,32,6,0,3,3,311,422,2072,83,353,212,57,19,41,22,3278,121,414,12,44,64,10,3,4,9,682,3170,13096,935,1936,2259,1066,268,599,250,23570,16,19,17,53,16,9,7,4,4,141
204,157,697,12,158,74,13,8,10,9,1128,46,201,4,22,20,6,0,0,0,302,710,3799,122,571,635,189,24,160,49,6255,0,11,5,24,11,6,0,0,3,58,296,535,92,406,392,122,12,57,17,1919,376,534,165,1109,713,220,30,163,38,3352,464,351,842,1827,1379,682,91,479,47,6160,80,30,41,135,201,131,11,103,10,748,83,47,66,278,250,128,21,111,9,982,24,58,17,33,53,21,3,21,4,236,117,144,58,180,176,131,25,157,69,1052,2585,7215,1428,4808,3990,1657,208,1285,254,23447,10,33,0,7,3,0,0,0,0,55,60,248,0,7,13,0,0,3,0,334,421,980,28,82,88,24,7,39,15,1687,25,65,6,3,3,0,0,0,3,105,272,1004,31,202,93,20,15,22,9,1670,74,249,13,28,30,11,0,3,0,419,1564,5509,341,796,810,310,100,305,82,9827,4,12,6,26,20,3,0,5,5,89
205,161,1058,17,235,104,27,0,11,14,1636,46,255,4,22,31,5,0,4,0,362,889,5381,177,758,833,256,18,184,73,8569,13,14,3,27,13,8,0,8,0,90,374,741,90,527,490,138,16,107,25,2500,500,757,205,1491,1030,311,28,188,53,4570,700,509,1264,2868,2074,981,114,777,74,9358,102,52,57,249,287,187,17,135,10,1091,134,48,76,472,314,173,14,121,8,1367,48,61,24,60,61,38,5,39,10,343,185,190,71,339,241,209,24,204,113,1573,3390,10183,2001,7148,5565,2367,231,1789,387,33066,11,68,0,6,3,0,0,3,3,102,65,348,8,12,11,0,0,5,3,439,442,1312,44,110,114,42,15,34,18,2121,26,116,5,14,6,0,0,0,0,169,292,1448,47,298,134,40,14,29,17,2314,82,312,20,31,33,9,3,7,4,498,1966,7994,513,1061,1090,381,93,353,120,13559,22,28,8,37,16,18,0,12,0,123
206,1215,4918,94,522,798,149,10,37,56,7808,317,1052,16,68,168,37,6,12,13,1678,9179,31966,1632,4993,8018,3952,131,1078,718,61677,19,25,12,59,31,15,0,9,4,173,1096,1840,360,988,1356,661,28,144,66,6539,1370,1863,681,2066,2079,996,35,239,122,9449,919,854,1343,2084,2078,978,63,310,105,8744,95,112,42,221,281,148,6,61,3,975,262,277,105,479,637,278,15,84,29,2168,160,445,62,133,201,119,7,51,32,1205,197,433,88,277,299,169,9,124,278,1889,19121,60549,4797,12869,18398,8254,351,2391,1753,128476,127,531,9,26,59,27,0,4,4,789,963,7354,62,77,224,40,14,20,82,8820,7700,22643,879,1424,3494,1318,177,583,546,38758,307,939,32,62,136,50,14,29,37,1598,2112,7752,221,679,1122,258,43,95,102,12377,514,1474,37,111,252,61,14,20,18,2510,20201,62174,4447,7933,12594,7009,903,2758,1538,119560,44,44,33,80,39,34,9,20,9,309
207,538,2410,53,298,457,104,5,22,31,3911,103,444,10,30,93,13,3,0,4,694,3957,15224,620,2054,4661,1816,55,416,348,29145,11,18,4,23,11,10,0,3,0,76,570,1123,184,617,1005,387,25,96,42,4057,619,736,265,1076,1316,557,22,132,51,4783,413,388,618,1205,1055,542,37,179,41,4480,57,32,30,111,173,84,3,46,3,536,144,124,58,264,477,166,10,53,19,1315,115,264,28,76,156,74,5,23,10,756,125,278,37,166,240,124,10,41,126,1155,8506,28189,2083,6330,10937,4250,190,1100,821,62423,77,268,10,15,36,11,0,3,3,418,511,3631,36,30,123,32,7,16,35,4415,4315,10421,539,575,1972,798,117,283,285,19302,221,551,11,32,98,27,4,12,9,967,1138,3744,126,371,611,180,24,53,61,6316,218,608,23,50,119,21,3,3,9,1060,10609,29567,2114,3141,6789,3453,480,1166,745,58065,22,26,8,29,11,15,0,3,3,127
208,613,2738,50,321,488,112,4,14,25,4366,137,536,8,38,89,16,0,0,7,834,4611,16869,663,2311,4637,1843,88,408,313,31742,8,27,0,23,21,10,0,3,3,95,789,1556,227,837,1437,476,39,94,59,5510,895,1286,398,1496,1809,684,33,153,64,6809,576,554,996,1881,1744,768,73,276,88,6952,70,71,37,152,266,138,8,47,8,788,188,204,70,415,633,217,15,61,13,1827,102,265,49,104,187,111,0,34,21,872,125,334,59,200,343,177,15,72,167,1503,10060,31560,2702,8235,12842,4893,290,1265,902,72738,103,276,14,8,33,11,0,0,4,444,488,2880,36,35,89,19,10,9,46,3615,4407,9963,409,612,1746,685,117,253,235,18426,250,595,20,37,116,41,0,11,15,1081,1251,4144,116,426,649,175,31,47,57,6895,262,675,22,76,115,36,3,5,8,1206,12455,31679,2158,3445,6725,3596,510,1069,726,62358,24,39,11,37,29,13,0,9,3,162
209,400,2692,60,499,371,81,5,21,21,4145,82,542,10,40,97,17,0,5,9,803,2695,14487,734,2491,4119,1526,101,597,270,27028,15,15,12,64,29,23,0,4,3,161,689,1361,285,1127,1479,513,51,172,52,5728,866,1329,548,2634,2261,852,76,288,106,8966,747,774,1582,3839,2895,1313,181,603,144,12080,68,70,82,266,494,219,28,95,13,1337,161,143,126,675,777,273,32,158,25,2371,83,187,50,111,226,102,17,55,14,850,141,324,105,463,481,289,41,176,203,2216,6969,27420,3762,12793,14182,5502,547,2374,947,74499,39,236,4,18,25,7,0,0,0,331,294,2330,28,37,98,21,8,18,18,2854,2450,7366,500,785,1443,645,312,501,171,14175,122,473,9,47,91,27,10,19,13,805,829,3876,154,628,525,124,41,70,45,6288,184,702,37,77,131,24,3,14,20,1191,6994,24772,2385,3794,6120,2756,1045,1660,551,50079,31,29,30,86,34,30,9,16,7,271
210,190,1369,20,334,193,44,6,17,17,2183,42,273,3,18,53,7,0,0,6,396,1521,7992,457,1574,2496,922,85,395,176,15620,18,15,8,52,21,13,0,4,5,135,417,773,200,712,881,292,35,116,34,3463,607,900,369,2018,1629,641,63,229,79,6531,469,503,1011,2716,2079,888,160,520,94,8435,63,56,41,191,332,165,17,88,9,970,113,113,82,486,529,237,30,106,28,1719,40,128,33,97,125,55,13,34,13,545,105,213,74,363,369,223,25,157,124,1653,4072,14784,2374,8890,9193,3643,446,1776,632,45818,23,143,5,9,18,0,3,3,0,217,98,793,22,10,42,12,4,10,17,1007,1210,3640,271,488,765,352,289,296,104,7408,69,226,11,22,42,9,11,10,13,416,382,1945,68,403,272,80,44,37,22,3252,98,370,16,35,78,14,3,4,9,620,3986,13584,1517,2361,3715,1622,908,1143,367,29210,22,28,25,60,29,14,9,10,6,209
