SA4_CODE_2016,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_15,F_AgriForestFish_16_24,F_AgriForestFish_25_34,F_AgriForestFish_35_39,F_AgriForestFish_40,F_AgriForestFish_41_48,F_AgriForestFish_49over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_15,F_Min_16_24,F_Min_25_34,F_Min_35_39,F_Min_40,F_Min_41_48,F_Min_49over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_15,F_Mnfg_16_24,F_Mnfg_25_34,F_Mnfg_35_39,F_Mnfg_40,F_Mnfg_41_48,F_Mnfg_49over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_15,F_EGW_WS_16_24,F_EGW_WS_25_34,F_EGW_WS_35_39,F_EGW_WS_40,F_EGW_WS_41_48,F_EGW_WS_49over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_15,F_Cnstn_16_24,F_Cnstn_25_34,F_Cnstn_35_39,F_Cnstn_40,F_Cnstn_41_48,F_Cnstn_49over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_15,F_WTrade_16_24,F_WTrade_25_34,F_WTrade_35_39,F_WTrade_40,F_WTrade_41_48,F_WTrade_49over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_15,F_RTrade_16_24,F_RTrade_25_34,F_RTrade_35_39,F_RTrade_40,F_RTrade_41_48,F_RTrade_49over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_15,F_AccomFoodS_16_24,F_AccomFoodS_25_34,F_AccomFoodS_35_39,F_AccomFoodS_40,F_AccomFoodS_41_48,F_AccomFoodS_49over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_15,F_TransPostWhse_16_24,F_TransPostWhse_25_34,F_TransPostWhse_35_39,F_TransPostWhse_40,F_TransPostWhse_41_48,F_TransPostWhse_49over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_15,F_InfoMedTelecom_16_24,F_InfoMedTelecom_25_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40,F_InfoMedTelecom_41_48,F_InfoMedTelecom_49over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_15,F_FinInsurS_16_24,F_FinInsurS_25_34,F_FinInsurS_35_39,F_FinInsurS_40,F_FinInsurS_41_48,F_FinInsurS_49over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_15,F_RentHirREserv_16_24,F_RentHirREserv_25_34,F_RentHirREserv_35_39,F_RentHirREserv_40,F_RentHirREserv_41_48,F_RentHirREserv_49over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_15,F_ProScieTechServ_16_24,F_ProScieTechServ_25_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40,F_ProScieTechServ_41_48,F_ProScieTechServ_49over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_15,F_AdminSupServ_16_24,F_AdminSupServ_25_34,F_AdminSupServ_35_39,F_AdminSupServ_40,F_AdminSupServ_41_48,F_AdminSupServ_49over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_15,F_PubAdmiSafety_16_24,F_PubAdmiSafety_25_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40,F_PubAdmiSafety_41_48,F_PubAdmiSafety_49over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_15,F_EducTrain_16_24,F_EducTrain_25_34,F_EducTrain_35_39,F_EducTrain_40,F_EducTrain_41_48,F_EducTrain_49over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_15,F_HealthCareSocA_16_24,F_HealthCareSocA_25_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40,F_HealthCareSocA_41_48,F_HealthCareSocA_49over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_15,F_ArtRecServ_16_24,F_ArtRecServ_25_34,F_ArtRecServ_35_39,F_ArtRecServ_40,F_ArtRecServ_41_48,F_ArtRecServ_49over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_15,F_OthServ_16_24,F_OthServ_25_34,F_OthServ_35_39,F_OthServ_40,F_OthServ_41_48,F_OthServ_49over,F_OthServ_hours_NS,F_OthServ_Tot
201,1079,3104,2032,2683,6496,7477,4296,6755,757,34677,38,132,106,116,55,86,40,120,14,706,3,4,4,14,8,11,12,15,0,66,59,259,179,173,332,185,113,108,17,1436,9,4,13,16,33,34,6,11,0,132,22,143,118,98,100,85,14,29,3,621,9,57,51,57,73,54,23,19,0,343,191,1195,761,741,573,302,150,178,49,4132,120,1178,485,395,269,125,92,222,52,2948,29,90,69,102,120,64,49,44,6,575,36,56,46,47,102,68,73,38,3,460,42,41,94,94,153,110,45,33,3,615,10,47,47,43,95,60,38,34,4,374,54,263,241,273,286,237,116,125,12,1612,33,301,167,148,132,63,27,36,16,936,164,197,312,317,461,340,137,143,8,2079,205,665,703,806,838,492,358,550,46,4666,573,920,1681,2049,1366,1027,338,367,62,8376,35,162,121,103,74,56,32,53,7,647,48,247,171,173,160,99,63,55,13,1033
202,1153,3088,2011,2778,6311,7278,4148,6626,669,34049,26,142,99,137,87,113,47,144,21,824,4,8,14,16,17,31,11,22,0,121,70,275,203,208,424,264,134,95,23,1701,5,12,20,34,43,59,18,10,0,202,11,145,94,91,90,90,35,48,9,610,18,75,44,32,65,50,21,26,3,330,191,1271,719,686,577,264,172,161,35,4074,84,1003,440,364,209,148,85,171,44,2552,29,88,79,68,66,66,27,44,0,470,21,62,46,45,75,44,29,20,0,348,85,72,177,177,391,186,85,64,11,1248,7,50,46,46,85,65,29,33,0,363,72,249,221,248,269,192,98,131,8,1493,42,274,192,173,153,94,40,32,14,1008,153,154,236,297,501,328,140,127,25,1962,202,660,705,671,672,463,299,509,33,4227,582,952,1642,2159,1300,911,368,381,72,8371,30,156,74,80,52,45,25,48,3,518,46,241,156,210,182,101,65,63,9,1072
203,1969,5720,3773,4686,11488,15400,7608,12416,1265,64319,37,139,100,94,58,110,32,99,10,676,7,3,5,10,3,3,4,11,0,47,86,366,318,283,363,395,126,134,15,2088,19,42,42,44,144,64,24,24,3,415,45,317,200,185,160,190,59,64,22,1239,35,147,125,116,193,141,65,54,4,876,373,2234,1491,1364,1196,827,390,405,76,8355,225,2132,860,721,465,302,188,285,87,5275,49,136,131,154,166,152,74,76,14,939,25,113,94,78,128,86,39,38,3,606,132,127,284,279,460,351,173,127,0,1924,32,104,110,107,234,156,79,81,3,898,114,507,493,467,589,488,215,256,21,3153,72,576,389,306,299,156,75,101,42,2008,295,420,541,529,863,662,271,253,27,3870,375,1265,1401,1321,1418,991,653,971,58,8451,874,1905,3205,3618,2435,1623,607,625,127,15012,45,333,147,142,103,82,42,68,13,983,83,512,351,374,353,201,108,110,28,2111
204,1476,2973,2177,2941,6880,8752,4872,8607,921,39607,77,295,214,246,169,224,90,368,37,1714,4,0,3,9,0,6,3,5,0,29,79,232,240,221,359,353,142,148,15,1788,7,13,13,14,27,11,7,5,0,94,37,145,96,130,131,113,38,65,9,764,23,53,62,76,85,64,38,31,4,442,176,1068,726,872,655,343,215,256,44,4363,161,1243,540,527,323,228,182,374,63,3644,31,106,87,120,167,93,70,97,7,773,9,45,33,25,56,43,13,16,0,248,40,47,94,149,169,102,39,40,7,695,16,61,54,55,107,64,44,56,3,450,58,238,219,251,268,187,94,110,17,1448,50,344,209,191,193,129,49,57,21,1242,191,185,314,381,657,470,246,203,33,2680,205,567,687,725,764,489,373,578,45,4427,545,894,1709,2211,1298,896,371,416,86,8433,34,132,79,78,74,28,25,52,9,501,40,251,164,187,186,132,59,67,19,1098
205,2335,4881,3257,4333,9916,11744,6855,12924,1334,57579,136,564,397,437,285,332,147,769,71,3150,5,13,19,8,19,26,12,20,0,116,77,358,245,234,358,213,123,125,13,1753,26,29,72,52,118,99,31,31,0,459,51,241,172,175,125,185,60,68,9,1096,23,86,95,105,133,107,53,51,4,651,351,1970,1231,1175,937,526,276,329,80,6866,215,1766,744,665,444,267,182,367,76,4739,45,168,136,142,142,91,57,63,10,850,5,111,57,50,102,47,21,19,3,425,80,90,181,183,227,184,54,70,10,1070,28,92,107,85,192,124,60,76,6,762,88,423,323,349,372,291,130,143,15,2139,67,555,260,264,208,135,62,87,26,1651,303,367,526,558,891,515,279,208,24,3667,341,1040,1173,1218,1013,642,546,811,59,6838,869,1461,2700,3066,1749,1227,470,589,139,12270,61,262,122,159,105,62,32,47,16,871,70,446,315,318,342,194,89,124,20,1923
206,3451,12163,11815,11388,25731,39384,19492,34837,2561,160826,14,56,50,46,54,66,45,32,3,364,19,10,23,21,31,76,47,72,0,306,144,445,471,442,805,1017,545,650,26,4543,58,22,61,90,292,288,134,114,3,1066,64,211,219,228,350,554,224,394,21,2267,117,244,294,302,703,821,436,531,16,3474,428,3121,2263,1949,2531,1965,1261,1352,140,15019,326,3387,2912,1758,1478,1231,913,1182,192,13377,147,180,241,362,655,674,321,356,19,2968,170,319,368,415,862,1229,633,809,30,4838,411,301,523,711,1793,2684,1126,1335,40,8928,91,291,259,245,533,751,378,426,20,2998,799,1717,1907,2047,3452,5396,2844,3756,115,22028,178,762,930,636,967,1108,572,683,49,5886,555,422,800,1013,2570,1933,1169,976,48,9480,665,3176,2472,2422,3379,3067,1931,3084,141,20343,1220,2542,3647,4743,4720,4577,2017,2126,208,25805,156,959,627,691,673,805,463,646,44,5064,150,762,637,744,1069,747,458,489,49,5100
207,1704,8884,6279,6036,13240,20332,9675,19242,1384,86787,6,38,35,32,22,28,10,20,0,187,7,7,16,12,9,27,12,22,0,114,91,439,302,316,521,527,235,273,22,2736,27,18,49,45,120,128,38,50,0,475,39,217,234,213,197,239,108,163,18,1430,73,259,303,298,468,538,172,246,17,2369,250,2690,1637,1289,1156,964,504,587,93,9183,156,2088,1056,676,474,457,258,345,79,5584,53,130,151,187,237,303,92,123,4,1278,51,184,178,195,284,372,154,204,4,1626,195,256,501,567,818,1161,427,518,28,4473,75,218,213,221,313,358,157,186,25,1762,327,1187,1143,1175,1494,1858,758,1080,67,9089,84,525,482,337,413,403,179,183,30,2641,184,277,434,509,934,622,339,316,22,3643,366,2265,1702,1589,1606,1431,916,1547,77,11498,749,2476,3240,3312,2515,2195,976,1010,115,16586,45,603,216,174,161,188,76,116,13,1591,79,597,439,389,429,315,173,178,24,2619
208,2040,8686,6076,6709,15153,24892,12700,23786,1668,101708,10,38,24,30,34,36,19,18,0,212,4,5,12,15,18,42,7,42,0,142,116,520,458,460,781,787,388,374,16,3908,31,20,56,79,175,178,82,65,0,688,48,305,327,296,313,380,134,178,18,1996,92,274,345,383,563,697,282,285,18,2941,342,2906,1807,1511,1355,1115,599,668,96,10398,165,2053,935,664,455,374,265,380,63,5354,79,146,188,220,304,320,141,150,12,1564,76,186,214,224,369,453,198,243,13,1977,281,275,586,636,888,1330,467,629,27,5117,60,244,266,247,345,441,220,299,19,2141,375,1359,1419,1472,1564,2162,878,1252,74,10553,117,641,554,496,549,518,234,306,28,3451,316,312,645,765,1169,784,434,376,38,4841,482,2474,2211,1996,1993,1779,1220,1841,81,14077,850,2488,3688,3880,2944,2412,961,1005,134,18354,66,635,277,271,228,234,113,167,25,2020,111,780,531,501,492,361,197,227,21,3217
209,2672,9430,7838,8497,25145,30611,14227,21134,2659,122228,27,76,65,82,99,85,33,27,3,506,0,3,9,11,11,33,11,18,0,102,183,689,615,631,1278,981,363,248,47,5040,50,39,70,82,265,195,52,45,7,804,78,433,389,351,413,510,146,169,25,2504,86,272,323,302,653,529,197,176,14,2541,477,3828,2370,2131,2044,1162,577,523,148,13258,209,2672,1312,929,710,498,260,335,122,7043,141,212,346,449,648,467,195,157,24,2642,66,196,188,204,333,327,126,122,14,1575,265,220,496,561,1077,1103,304,319,38,4383,70,182,211,182,386,331,166,141,7,1668,317,944,1077,1148,1420,1445,507,591,45,7491,133,812,718,621,779,520,178,194,52,4002,473,495,890,954,1704,1062,555,399,42,6578,604,2345,2365,2207,2711,1784,1203,1668,106,14991,1287,2799,4476,5367,4652,3244,1082,1153,247,24317,77,627,308,278,257,166,88,91,18,1903,119,845,628,655,731,439,199,214,49,3877
210,1965,6314,5668,5975,18324,21117,9421,14082,2306,85178,10,41,50,44,35,53,28,33,5,292,0,5,3,7,16,14,3,8,0,53,116,428,409,427,965,711,273,199,37,3566,23,22,34,38,173,106,37,31,4,463,43,287,205,236,296,311,80,107,25,1588,45,139,171,211,455,351,126,106,14,1614,306,2461,1583,1383,1481,771,378,335,130,8833,170,1815,856,699,591,353,220,229,90,5026,159,204,425,519,918,658,237,235,41,3395,32,101,93,88,236,170,66,76,10,869,213,126,364,395,809,840,241,231,30,3245,34,104,161,144,307,219,104,116,16,1206,168,519,532,607,965,850,316,296,39,4285,103,538,503,427,574,379,128,128,28,2801,302,323,590,664,1187,719,352,295,42,4462,368,1232,1468,1502,1779,1156,682,954,82,9227,680,1568,2537,2981,2734,1824,630,839,174,13962,40,339,159,162,156,154,59,76,19,1157,73,475,362,399,477,270,136,133,27,2352
