SA4_CODE_2016,F_ID_NS_0,F_ID_NS_1_15,F_ID_NS_16_24,F_ID_NS_25_34,F_ID_NS_35_39,F_ID_NS_40,F_ID_NS_41_48,F_ID_NS_49over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_15,F_Tot_16_24,F_Tot_25_34,F_Tot_35_39,F_Tot_40,F_Tot_41_48,F_Tot_49over,F_Tot_hours_NS,F_Tot_Tot,P_AgriForestFish_0,P_AgriForestFish_1_15,P_AgriForestFish_16_24,P_AgriForestFish_25_34,P_AgriForestFish_35_39,P_AgriForestFish_40,P_AgriForestFish_41_48,P_AgriForestFish_49over,P_AgriForestFish_hours_NS,P_AgriForestFish_Tot,P_Min_0,P_Min_1_15,P_Min_16_24,P_Min_25_34,P_Min_35_39,P_Min_40,P_Min_41_48,P_Min_49over,P_Min_hours_NS,P_Min_Tot,P_Mnfg_0,P_Mnfg_1_15,P_Mnfg_16_24,P_Mnfg_25_34,P_Mnfg_35_39,P_Mnfg_40,P_Mnfg_41_48,P_Mnfg_49over,P_Mnfg_hours_NS,P_Mnfg_Tot,P_EGW_WS_0,P_EGW_WS_1_15,P_EGW_WS_16_24,P_EGW_WS_25_34,P_EGW_WS_35_39,P_EGW_WS_40,P_EGW_WS_41_48,P_EGW_WS_49over,P_EGW_WS_hours_NS,P_EGW_WS_Tot,P_Cnstn_0,P_Cnstn_1_15,P_Cnstn_16_24,P_Cnstn_25_34,P_Cnstn_35_39,P_Cnstn_40,P_Cnstn_41_48,P_Cnstn_49over,P_Cnstn_hours_NS,P_Cnstn_Tot,P_WTrade_0,P_WTrade_1_15,P_WTrade_16_24,P_WTrade_25_34,P_WTrade_35_39,P_WTrade_40,P_WTrade_41_48,P_WTrade_49over,P_WTrade_hours_NS,P_WTrade_Tot,P_RTrade_0,P_RTrade_1_15,P_RTrade_16_24,P_RTrade_25_34,P_RTrade_35_39,P_RTrade_40,P_RTrade_41_48,P_RTrade_49over,P_RTrade_hours_NS,P_RTrade_Tot,P_AccomFoodS_0,P_AccomFoodS_1_15,P_AccomFoodS_16_24,P_AccomFoodS_25_34,P_AccomFoodS_35_39,P_AccomFoodS_40,P_AccomFoodS_41_48,P_AccomFoodS_49over,P_AccomFoodS_hours_NS,P_AccomFoodS_Tot,P_TransPostWhse_0,P_TransPostWhse_1_15,P_TransPostWhse_16_24,P_TransPostWhse_25_34,P_TransPostWhse_35_39,P_TransPostWhse_40,P_TransPostWhse_41_48,P_TransPostWhse_49over,P_TransPostWhse_hours_NS,P_TransPostWhse_Tot,P_InfoMedTelecom_0,P_InfoMedTelecom_1_15,P_InfoMedTelecom_16_24,P_InfoMedTelecom_25_34,P_InfoMedTelecom_35_39,P_InfoMedTelecom_40,P_InfoMedTelecom_41_48,P_InfoMedTelecom_49over,P_InfoMedTelecom_hours_NS,P_InfoMedTelecom_Tot,P_FinInsurS_0,P_FinInsurS_1_15,P_FinInsurS_16_24,P_FinInsurS_25_34,P_FinInsurS_35_39,P_FinInsurS_40,P_FinInsurS_41_48,P_FinInsurS_49over,P_FinInsurS_hours_NS,P_FinInsurS_Tot,P_RentHirREserv_0,P_RentHirREserv_1_15,P_RentHirREserv_16_24,P_RentHirREserv_25_34,P_RentHirREserv_35_39,P_RentHirREserv_40,P_RentHirREserv_41_48,P_RentHirREserv_49over,P_RentHirREserv_hours_NS,P_RentHirREserv_Tot,P_ProScieTechServ_0,P_ProScieTechServ_1_15,P_ProScieTechServ_16_24,P_ProScieTechServ_25_34,P_ProScieTechServ_35_39,P_ProScieTechServ_40,P_ProScieTechServ_41_48,P_ProScieTechServ_49over,P_ProScieTechServ_hours_NS,P_ProScieTechServ_Tot,P_AdminSupServ_0,P_AdminSupServ_1_15,P_AdminSupServ_16_24,P_AdminSupServ_25_34,P_AdminSupServ_35_39,P_AdminSupServ_40,P_AdminSupServ_41_48,P_AdminSupServ_49over,P_AdminSupServ_hours_NS,P_AdminSupServ_Tot,P_PubAdmiSafety_0,P_PubAdmiSafety_1_15,P_PubAdmiSafety_16_24,P_PubAdmiSafety_25_34,P_PubAdmiSafety_35_39,P_PubAdmiSafety_40,P_PubAdmiSafety_41_48,P_PubAdmiSafety_49over,P_PubAdmiSafety_hours_NS,P_PubAdmiSafety_Tot,P_EducTrain_0,P_EducTrain_1_15,P_EducTrain_16_24,P_EducTrain_25_34,P_EducTrain_35_39,P_EducTrain_40,P_EducTrain_41_48,P_EducTrain_49over,P_EducTrain_hours_NS,P_EducTrain_Tot,P_HealthCareSocA_0,P_HealthCareSocA_1_15,P_HealthCareSocA_16_24,P_HealthCareSocA_25_34,P_HealthCareSocA_35_39,P_HealthCareSocA_40,P_HealthCareSocA_41_48,P_HealthCareSocA_49over,P_HealthCareSocA_hours_NS,P_HealthCareSocA_Tot,P_ArtRecServ_0,P_ArtRecServ_1_15,P_ArtRecServ_16_24,P_ArtRecServ_25_34,P_ArtRecServ_35_39,P_ArtRecServ_40,P_ArtRecServ_41_48,P_ArtRecServ_49over,P_ArtRecServ_hours_NS,P_ArtRecServ_Tot
201,67,174,95,96,103,88,25,56,246,949,1748,6150,5455,5865,5330,3608,1754,2234,569,32713,101,268,215,276,262,398,233,865,45,2663,27,17,22,21,48,66,92,234,3,526,148,393,302,345,1426,1257,827,774,49,5527,28,22,22,44,167,181,65,88,3,624,180,335,320,453,1010,1815,726,1186,102,6113,41,115,95,117,289,300,181,227,14,1373,267,1714,1037,1052,1184,740,461,631,87,7177,187,1867,695,613,483,285,252,498,79,4958,119,214,173,270,384,431,306,668,51,2627,55,104,79,83,282,214,226,144,9,1200,57,57,108,119,229,249,112,126,5,1065,18,67,66,55,139,141,99,165,9,766,96,400,342,418,536,731,358,487,22,3389,54,438,266,253,278,197,82,135,34,1728,260,278,400,398,1051,909,415,396,31,4140,271,900,860,965,1241,852,610,925,66,6692,656,1100,1872,2408,1810,1431,549,690,77,10590,59,311,190,181,184,142,79,161,25,1338
202,54,160,102,111,92,80,29,50,220,905,1729,6053,5305,5843,5375,3589,1773,2185,548,32395,92,284,226,308,323,438,224,918,55,2859,40,31,26,30,62,122,154,433,11,910,186,437,358,442,1500,1328,782,757,70,5867,37,25,30,77,154,224,110,117,7,774,164,330,296,471,919,1692,723,1066,95,5753,39,127,89,73,235,237,147,254,9,1210,283,1918,1001,972,1167,678,511,530,79,7137,134,1610,635,544,405,287,206,436,82,4329,94,195,193,229,314,418,284,521,31,2282,31,112,72,74,201,139,77,114,3,821,113,97,206,216,636,439,256,249,17,2231,12,64,64,68,131,128,79,142,3,707,100,373,320,384,536,583,311,477,21,3119,71,403,296,276,323,225,93,134,30,1842,278,230,326,420,1038,916,465,391,39,4098,254,866,838,869,1031,761,494,850,45,6005,685,1131,1834,2505,1730,1344,546,648,90,10529,55,252,121,146,143,130,64,133,6,1059
203,99,338,195,211,198,158,73,79,423,1775,3033,11698,10463,10390,9831,7133,3303,3871,976,60706,105,270,206,216,224,414,153,553,43,2181,38,15,15,16,21,56,41,193,0,390,263,566,534,544,2041,2525,1140,1444,69,9130,60,64,76,76,455,313,207,247,18,1517,328,716,615,873,1851,3849,1604,2623,162,12626,94,236,217,231,620,653,388,514,19,2974,541,3278,2019,1923,2270,1813,965,1319,151,14265,357,3467,1307,1120,902,692,405,754,147,9151,248,333,362,479,712,1028,680,1254,80,5181,45,201,129,137,315,283,142,190,10,1452,172,167,337,342,756,813,401,456,12,3460,55,154,145,152,350,318,170,324,13,1674,205,781,704,732,1179,1491,699,1135,50,6973,129,888,611,515,590,479,192,311,65,3772,489,586,691,711,1814,1824,833,793,63,7804,485,1654,1657,1650,2279,1769,1107,1713,85,12389,1008,2177,3521,4167,3139,2307,976,1135,168,18606,74,625,265,265,270,268,148,244,30,2193
204,85,181,119,128,122,96,26,66,274,1100,1852,6106,5683,6594,5814,4079,2119,3007,699,35941,222,560,437,587,536,923,427,1784,117,5598,22,8,17,19,22,39,36,145,3,306,214,400,420,486,1574,1715,954,1014,85,6871,25,22,25,48,201,154,104,146,5,740,286,392,355,542,985,1814,767,1403,101,6644,48,115,124,138,317,364,234,306,17,1661,280,1527,931,1164,1172,851,561,734,83,7294,214,1806,760,760,574,453,346,815,106,5841,143,240,261,309,597,564,383,967,61,3518,16,71,44,44,122,109,58,89,0,563,44,58,112,166,241,190,99,123,9,1044,26,86,80,69,152,138,86,178,4,825,96,329,307,384,465,441,240,395,34,2689,101,521,327,312,414,325,154,211,42,2404,380,307,410,520,1498,1600,943,854,67,6575,239,720,813,861,1104,792,574,879,58,6033,644,1023,1875,2470,1609,1193,513,635,102,10064,55,216,117,121,192,103,69,152,18,1046
205,105,278,202,164,133,131,37,89,471,1608,2961,10328,9063,9410,7889,5407,2711,4083,1057,52908,366,1070,730,911,790,1196,669,3505,183,9422,132,37,43,31,226,173,224,593,26,1476,282,570,462,555,1723,1490,1269,1131,79,7562,199,102,162,155,1015,748,487,538,21,3425,431,639,586,880,1580,3124,1229,2354,150,10966,80,175,179,191,465,484,323,421,20,2339,491,2800,1602,1609,1826,1211,778,1058,157,11542,327,2676,1054,972,786,578,358,832,136,7717,170,354,335,357,521,566,419,980,52,3758,31,158,91,73,217,159,89,115,5,938,95,121,194,209,322,332,121,199,19,1607,46,127,127,118,269,232,125,258,10,1314,158,579,446,534,696,758,354,646,36,4205,127,816,432,458,422,353,155,247,47,3063,502,514,635,718,1707,1302,763,641,51,6836,415,1289,1338,1459,1415,1032,810,1277,96,9129,974,1656,2933,3461,2230,1718,688,885,164,14707,96,430,180,228,272,193,81,150,23,1651
206,178,703,622,486,689,884,357,513,1046,5472,5896,19629,19336,19358,27611,29884,15862,19540,2217,159332,41,104,89,108,127,201,97,183,15,961,59,28,29,34,64,203,112,319,10,852,291,726,795,809,2409,3226,1835,2551,81,12717,94,64,105,141,814,853,381,469,17,2937,320,574,752,912,1739,4279,1871,4058,142,14642,199,409,503,535,1513,2179,1125,1601,44,8122,627,4719,3631,3003,4501,3856,2451,3122,239,26153,605,5752,5744,3289,3235,2992,2210,3687,398,27912,352,555,738,1005,1862,2252,1201,1628,97,9702,277,606,659,741,2056,3127,1434,2222,77,11197,644,513,766,1084,3582,6502,2601,4116,115,19925,148,457,432,449,961,1557,835,1621,40,6494,1323,2946,3026,3404,7121,14100,6626,10945,269,49753,281,1299,1684,1086,1909,2159,1074,1537,101,11126,834,677,1090,1440,4782,3986,2332,2152,101,17397,901,5046,3410,3365,5276,5262,3063,5307,244,31877,1488,3239,4422,5956,6511,6684,3305,4131,292,36034,310,1775,1145,1368,1443,1902,1002,1732,99,10777
207,102,511,386,286,355,408,108,197,588,2940,2970,14980,12709,11829,12522,12525,5713,7350,1220,81820,22,71,64,55,54,94,36,103,8,507,23,15,22,18,27,106,52,133,3,402,183,660,566,561,1567,1867,1105,1648,48,8197,39,36,81,83,362,407,171,234,3,1425,180,563,640,736,1127,2459,990,2259,102,9049,126,456,445,446,1079,1561,671,1174,35,6002,427,4307,2588,2018,2293,2152,1222,2024,174,17210,276,3648,2115,1258,1207,1142,636,1236,160,11683,143,326,383,470,766,1196,516,851,32,4678,91,361,318,328,819,1237,519,757,20,4462,279,429,687,800,1648,3164,1217,2206,65,10490,105,358,342,351,585,867,412,908,38,3976,522,1952,1756,1914,3222,5523,2341,4585,134,21954,139,937,874,665,914,939,385,589,63,5497,312,463,565,674,1843,1583,881,831,47,7196,470,3394,2066,1981,2442,2476,1416,2621,128,16997,909,2987,3762,4039,3628,3505,1746,2395,160,23123,95,1155,405,349,381,515,230,453,33,3617
208,114,640,417,431,400,486,149,248,641,3524,3735,16319,14962,14573,14920,14896,6994,8742,1333,96470,11,68,52,65,87,130,58,118,4,595,21,18,23,19,31,113,51,206,0,480,249,765,702,744,2401,2781,1683,2360,66,11741,43,49,79,122,423,551,260,320,11,1858,281,713,786,1030,1770,3875,1598,3236,146,13428,161,454,539,597,1314,2056,973,1466,40,7614,526,4508,2678,2280,2683,2624,1473,2342,181,19293,273,3538,1800,1164,1072,999,703,1309,146,11000,228,394,453,552,953,1357,714,1147,69,5856,133,350,319,363,953,1390,657,959,39,5168,393,447,773,881,1757,3496,1487,2598,76,11909,97,365,393,402,537,945,521,1140,48,4447,603,2085,2009,2261,3381,6517,2780,5325,162,25132,196,1009,878,855,1055,1194,576,860,78,6700,482,539,815,979,2178,2003,1144,1021,69,9225,595,3443,2654,2437,2952,2880,1856,3073,132,20021,990,2924,4139,4543,3914,3491,1659,2266,173,24104,111,1284,506,531,522,705,345,640,48,4692
209,181,662,448,465,702,495,141,184,872,4154,4853,18344,17290,17604,20882,15380,6367,6783,1887,109382,48,144,133,154,253,257,94,185,9,1282,22,7,11,18,44,103,58,160,0,423,404,1037,1028,1159,4801,4286,2275,2517,186,17702,87,85,105,135,731,661,262,361,27,2464,503,1043,1199,1575,3527,7065,2650,4396,331,22282,184,425,514,502,1711,1795,856,1149,45,7177,701,5673,3495,3057,4074,2888,1541,1969,285,23674,344,4488,2378,1594,1575,1250,672,1161,244,13704,385,584,931,1247,2461,2721,1476,2074,188,12063,115,314,296,328,1082,1172,437,568,46,4369,367,303,617,735,2005,2666,881,1207,80,8853,90,257,274,274,682,707,376,613,23,3287,469,1390,1487,1632,3047,4339,1621,2502,102,16596,221,1274,1270,1095,1637,1307,490,637,104,8029,732,835,1149,1305,3780,3080,1662,1284,119,13952,707,3268,2846,2692,4020,2952,1874,2745,159,21267,1474,3241,5056,6236,6116,4647,1718,1926,316,30735,131,1126,518,485,592,535,269,357,48,4062
210,113,420,301,306,437,333,81,144,697,2820,3001,11144,10813,11227,14568,10253,4169,4542,1505,71229,27,85,89,94,131,183,81,156,12,850,18,8,8,6,47,57,23,102,5,275,291,717,759,818,3718,3213,1557,1635,130,12836,44,53,66,72,471,431,177,257,22,1596,364,792,785,1138,2527,4651,1681,3006,292,15235,98,277,298,338,1262,1266,513,678,48,4772,454,3551,2367,1987,2880,1981,1047,1248,230,15742,279,2988,1657,1139,1269,869,500,800,178,9683,475,643,1129,1508,2994,3051,1609,2417,228,14057,62,186,173,148,698,621,231,309,19,2449,283,184,431,501,1422,1798,578,693,54,5944,60,166,214,202,525,446,229,421,31,2287,230,759,718,837,1930,2532,940,1253,90,9292,167,900,933,758,1232,920,336,447,64,5759,471,551,857,910,2611,1980,987,837,104,9304,444,1668,1703,1771,2583,1870,1030,1428,129,12615,755,1784,2791,3390,3431,2520,911,1220,218,17019,68,668,278,300,386,429,159,252,30,2571
