SA4_CODE_2016,Ag_For_Fish_OcMngr,Ag_For_Fish_OcProf,Ag_For_Fish_OcTechTrdW,Ag_For_Fish_OcComPerS,Ag_For_Fish_OcClericAdm,Ag_For_Fish_OcSalesWk,Ag_For_Fish_OcMacOp_Driv,Ag_For_Fish_OcLab,Ag_For_Fish_OcID_NS,Agri_for_fish_Tot,Mining_OcMngr,Mining_OcProf,Mining_OcTechTrdW,Mining_OcComPerS,Mining_OcClericAdm,Mining_OcSalesWk,Mining_OcMacOp_Driv,Mining_OcLab,Mining_OcID_NS,Mining_Tot,Manufact_OcMngr,Manufact_OcProf,Manufact_OcTechTrdW,Manufact_OcComPerS,Manufact_OcClericAdm,Manufact_OcSalesWk,Manufact_OcMacOp_Driv,Manufact_OcLab,Manufact_OcID_NS,Manufacturing_Tot,El_Gas_W_W_OcMngr,El_Gas_W_W_OcProf,El_Gas_W_W_OcTechTrdW,El_Gas_W_W_OcComPerS,El_Gas_W_W_OcClericAdm,El_Gas_W_W_OcSalesWk,El_Gas_W_W_OcMacOp_Driv,El_Gas_W_W_OcLab,El_Gas_W_W_OcID_NS,El_Gas_W_W_Tot,Construc_OcMngr,Construc_OcProf,Construc_OcTechTrdW,Construc_OcComPerS,Construc_OcClericAdm,Construc_OcSalesWk,Construc_OcMacOp_Driv,Construc_OcLab,Construc_OcID_NS,Construction_Tot,WhlesaleTde_OcMngr,WhlesaleTde_OcProf,WhlesaleTde_OcTechTrdW,WhlesaleTde_OcComPerS,WhlesaleTde_OcClericAdm,WhlesaleTde_OcSalesWk,WhlesaleTde_OcMacOp_Driv,WhlesaleTde_OcLab,WhlesaleTde_OcID_NS,WhlesaleTde_Tot,RetTde_OcMngr,RetTde_OcProf,RetTde_OcTechTrdW,RetTde_OcComPerS,RetTde_OcClericAdm,RetTde_OcSalesWk,RetTde_OcMacOp_Driv,RetTde_OcLab,RetTde_OcID_NS,RetTde_Tot,Acom_food_OcMngr,Acom_food_OcProf,Acom_food_OcTechTrdW,Acom_food_OcComPerS,Acom_food_OcClericAdm,Acom_food_OcSalesWk,Acom_food_OcMacOp_Driv,Acom_food_OcLab,Acom_food_OcID_NS,Acom_food_scs_Tot,Trans_po_wh_OcMngr,Trans_po_wh_OcProf,Trans_po_wh_OcTechTrdW,Trans_po_wh_OcComPerS,Trans_po_wh_OcClericAdm,Trans_po_wh_OcSalesWk,Trans_po_wh_OcMacOp_Driv,Trans_po_wh_OcLab,Trans_po_wh_OcID_NS,Trans_po_wh_Tot,Infon_med_tel_OcMngr,Infon_med_tel_OcProf,Infon_med_tel_OcTechTrdW,Infon_med_tel_OcComPerS,Infon_med_tel_OcClericAdm,Infon_med_tel_OcSalesWk,Infon_med_tel_OcMacOp_Driv,Infon_med_tel_OcLab,Infon_med_tel_OcID_NS,Infon_med_tel_Tot,Fin_and_ins_s_OcMngr,Fin_and_ins_s_OcProf,Fin_and_ins_s_OcTechTrdW,Fin_and_ins_s_OcComPerS,Fin_and_ins_s_OcClericAdm,Fin_and_ins_s_OcSalesWk,Fin_and_ins_s_OcMacOp_Driv,Fin_and_ins_s_OcLab,Fin_and_ins_s_OcID_NS,Fin_and_ins_s_Tot,Rent_hi_re_es_OcMngr,Rent_hi_re_es_OcProf,Rent_hi_re_es_OcTechTrdW,Rent_hi_re_es_OcComPerS,Rent_hi_re_es_OcClericAdm,Rent_hi_re_es_OcSalesWk,Rent_hi_re_es_OcMacOp_Driv,Rent_hi_re_es_OcLab,Rent_hi_re_es_OcID_NS,Rent_hi_re_es_Tot,Prof_sci_tec_OcMngr,Prof_sci_tec_OcProf,Prof_sci_tec_OcTechTrdW,Prof_sci_tec_OcComPerS,Prof_sci_tec_OcClericAdm,Prof_sci_tec_OcSalesWk,Prof_sci_tec_OcMacOp_Driv,Prof_sci_tec_OcLab,Prof_sci_tec_OcID_NS,Prof_sci_tec_Tot,Admin_sup_s_OcMngr,Admin_sup_s_OcProf,Admin_sup_s_OcTechTrdW,Admin_sup_s_OcComPerS,Admin_sup_s_OcClericAdm,Admin_sup_s_OcSalesWk,Admin_sup_s_OcMacOp_Driv,Admin_sup_s_OcLab,Admin_sup_s_OcID_NS,Admin_sup_s_Tot,Pub_adm_sfty_OcMngr,Pub_adm_sfty_OcProf,Pub_adm_sfty_OcTechTrdW,Pub_adm_sfty_OcComPerS,Pub_adm_sfty_OcClericAdm,Pub_adm_sfty_OcSalesWk,Pub_adm_sfty_OcMacOp_Driv,Pub_adm_sfty_OcLab,Pub_adm_sfty_OcID_NS,Pub_adm_sfty_Tot,Educ_training_OcMngr,Educ_training_OcProf,Educ_training_OcTechTrdW,Educ_training_OcComPerS,Educ_training_OcClericAdm,Educ_training_OcSalesWk,Educ_training_OcMacOp_Driv,Educ_training_OcLab,Educ_training_OcID_NS,Educ_training_Tot,Hlth_care_soc_OcMngr,Hlth_care_soc_OcProf,Hlth_care_soc_OcTechTrdW,Hlth_care_soc_OcComPerS,Hlth_care_soc_OcClericAdm,Hlth_care_soc_OcSalesWk,Hlth_care_soc_OcMacOp_Driv,Hlth_care_soc_OcLab,Hlth_care_soc_OcID_NS,Hlth_care_soc_Tot,ArtRecreatOcMngr,ArtRecreatOcProf,ArtRecreatOcTechTrdW,ArtRecreatOcComPerS,ArtRecreatOcClericAdm,ArtRecreatOcSalesWk,ArtRecreatOcMacOp_Driv,ArtRecreatOcLab,ArtRecreatOcID_NS,ArtRecreatTot,Other_scs_OcMngr,Other_scs_OcProf,Other_scs_OcTechTrdW,Other_scs_OcCom_PS_W,Other_scs_OcClericAdmin,Other_scs_OcSalesWk,Other_scs_OcMacOp_Driv,Other_scs_OcLab,Other_scs_OcID_NS,Other_scs_Tot,ID_NS_OcMngr,ID_NS_OcProf,ID_NS_OcTechTrdW,ID_NS_OcComPerS,ID_NS_OcClericAdm,ID_NS_OcSalesWk,ID_NS_OcMacOp_Driv,ID_NS_OcLab,ID_NS_OcID_NS,ID_NS_Tot
201,1600,69,204,18,108,33,115,483,21,2663,71,81,110,10,35,9,173,32,6,526,821,352,1498,57,396,354,647,1343,55,5527,91,93,126,0,111,12,108,68,13,624,686,110,3225,9,457,84,559,930,56,6113,211,122,132,6,183,393,209,107,12,1373,1097,225,497,64,446,3962,223,621,35,7177,830,28,613,1295,133,740,51,1228,30,4958,240,92,135,47,546,131,1304,110,22,2627,164,317,256,23,263,92,13,53,16,1200,146,301,13,0,519,62,0,7,12,1065,70,63,42,4,174,332,39,37,7,766,318,1647,450,16,831,49,13,44,37,3389,121,152,235,126,288,20,26,743,16,1728,428,674,215,1357,1023,22,115,190,104,4140,475,3975,193,1157,655,25,14,161,39,6692,462,4299,376,3260,1431,37,78,564,70,10590,161,279,176,303,112,79,18,189,16,1338,136,147,1163,305,211,42,41,262,17,2334,280,173,457,136,240,181,206,368,529,2573
202,1713,73,197,6,111,31,87,604,28,2859,88,118,206,3,59,3,374,56,8,910,754,356,1295,71,415,384,614,1924,52,5867,114,116,168,0,190,6,123,45,17,774,695,130,3015,9,442,82,514,824,38,5753,232,94,97,3,167,321,174,118,4,1210,1123,197,477,76,366,3930,217,721,26,7137,639,27,557,1207,110,604,68,1086,28,4329,243,125,103,41,437,113,1078,119,23,2282,130,284,155,7,109,90,9,32,3,821,330,730,48,11,1028,43,3,6,25,2231,81,50,36,15,142,329,22,29,5,707,309,1582,392,11,699,41,20,34,27,3119,121,170,217,134,305,34,28,813,17,1842,432,798,196,1407,843,18,117,201,77,4098,415,3786,158,976,501,10,14,118,29,6005,500,4361,368,3251,1333,68,71,511,67,10529,158,241,145,237,82,38,17,129,16,1059,174,189,1206,291,239,45,28,209,13,2412,270,194,395,112,235,199,224,351,508,2492
203,1082,91,172,9,97,32,108,546,33,2181,58,43,102,3,19,3,136,32,5,390,1367,830,2599,160,723,620,1153,1586,91,9130,215,236,265,12,343,68,260,94,23,1517,1376,309,6806,15,939,170,902,1985,118,12626,578,349,225,16,423,686,460,212,25,2974,2159,735,838,122,946,7637,677,1086,65,14265,1421,61,1147,2654,248,1327,102,2141,47,9151,532,320,282,172,904,211,2335,355,63,5181,216,470,265,15,225,193,15,37,15,1452,503,1139,38,17,1521,121,22,17,66,3460,188,152,75,23,352,720,57,72,31,1674,744,3418,920,16,1520,141,29,122,61,6973,296,344,490,350,494,49,125,1589,26,3772,758,1398,367,2928,1661,39,117,356,183,7804,913,7646,411,1749,1267,43,65,235,50,12389,846,7602,696,5898,2368,99,107,878,102,18606,380,409,274,583,189,123,21,185,30,2193,330,358,2125,695,396,67,57,376,36,4438,537,458,782,263,440,343,443,602,977,4836
204,3541,139,306,14,208,79,196,1058,71,5598,35,20,63,0,16,0,148,16,3,306,966,450,1673,97,524,386,968,1723,74,6871,92,56,230,8,107,20,150,72,7,740,736,110,3342,33,526,70,727,1039,55,6644,273,143,164,5,211,436,220,201,9,1661,1141,165,559,60,383,3995,289,663,32,7294,1192,39,767,1463,210,711,60,1361,45,5841,385,114,188,73,625,153,1825,125,38,3518,73,149,144,5,62,90,18,20,7,563,117,263,13,6,583,44,0,10,7,1044,104,44,54,14,159,400,22,28,8,825,192,1187,411,13,768,36,16,37,26,2689,192,151,334,174,288,38,147,1064,21,2404,879,1087,679,1951,1335,14,226,282,124,6575,457,3455,195,1113,563,19,15,187,31,6033,474,3756,358,3427,1232,43,56,665,53,10064,139,159,180,237,86,43,17,167,11,1046,137,173,1485,290,255,55,40,257,15,2709,368,182,577,134,274,201,290,470,620,3120
205,5661,200,464,27,270,84,563,2064,81,9422,116,89,534,7,77,7,505,96,29,1476,945,348,2190,104,518,423,1149,1799,77,7562,348,392,1250,22,380,13,620,331,68,3425,1158,173,5377,40,816,116,1243,1935,108,10966,425,132,268,8,296,615,348,224,19,2339,1769,261,847,92,604,6609,351,967,45,11542,1406,48,1016,1982,224,1025,55,1903,46,7717,411,155,195,55,743,169,1839,150,37,3758,99,220,252,3,137,149,21,49,8,938,184,392,22,23,909,50,6,8,10,1607,109,69,55,40,306,601,51,57,23,1314,263,1642,774,14,1283,72,28,97,30,4205,167,187,427,224,435,36,88,1472,29,3063,721,1251,401,1935,1848,39,126,369,146,6836,574,5233,246,1858,904,26,22,225,52,9129,557,5277,560,5214,1891,68,80,988,71,14707,246,304,223,373,146,108,25,193,25,1651,241,224,2220,539,401,75,91,455,22,4271,528,276,825,195,401,282,402,651,1015,4577
206,356,162,72,3,121,44,19,175,14,961,199,394,71,9,106,5,39,17,12,852,3408,3129,1995,256,1154,1009,621,1050,94,12717,724,1085,196,6,533,204,76,60,48,2937,2961,1603,6165,32,1473,250,323,1705,130,14642,2428,2027,373,46,1152,1404,446,179,66,8122,5468,2983,1082,279,1582,13002,567,1050,137,26153,4857,589,4825,10912,1032,1837,214,3526,118,27912,1706,1881,296,696,1827,588,2234,355,110,9702,2171,5761,914,91,1280,756,30,103,95,11197,3731,8456,168,75,6251,806,17,34,388,19925,1161,1313,141,89,1018,2473,60,143,102,6494,6806,33389,2158,144,5651,892,55,169,493,49753,1953,2475,532,1169,1611,396,138,2744,107,11126,3062,6435,492,2416,4131,70,69,237,487,17397,2957,22311,592,2773,2669,139,36,237,169,31877,2432,21552,801,6124,4055,251,141,474,203,36034,1987,3838,550,2561,888,445,35,358,119,10777,1218,1628,2414,1986,1001,222,64,448,64,9041,2377,2766,1031,703,1291,929,445,706,2295,12543
207,223,69,39,3,60,23,10,74,4,507,112,188,20,0,44,4,22,4,6,402,2431,1800,1204,122,860,693,408,592,85,8197,357,542,119,0,258,51,47,27,17,1425,2077,849,3804,6,978,178,175,891,90,9049,2045,1398,275,17,909,893,283,137,38,6002,3489,1648,613,145,1013,9005,354,860,78,17210,2372,192,1628,3739,389,1388,125,1817,47,11683,855,838,148,188,998,268,1166,153,57,4678,1011,1958,412,34,545,406,17,48,38,4462,2034,4591,78,25,3249,299,10,15,192,10490,595,687,75,36,705,1720,23,61,66,3976,3148,13679,1102,53,3218,404,26,108,206,21954,835,877,469,571,958,186,87,1460,55,5497,1140,2434,250,1191,1759,32,40,187,172,7196,1453,11228,364,2109,1547,76,11,137,80,16997,1532,13057,526,4031,3140,147,101,471,125,23123,637,834,162,1327,321,166,8,123,39,3617,693,809,1537,890,632,116,52,373,38,5134,1512,1311,546,294,792,545,263,394,1341,7002
208,224,87,54,5,78,40,14,90,3,595,130,214,47,0,53,5,19,3,7,480,3427,2178,1913,126,1403,1025,736,840,93,11741,493,617,156,3,337,95,98,38,17,1858,2590,942,6415,34,1427,237,270,1383,139,13428,2510,1493,348,11,1277,1260,498,164,56,7614,3886,1708,750,167,1320,9917,497,978,73,19293,2169,185,1527,3522,443,1312,103,1679,58,11000,1155,915,169,244,1216,334,1582,181,67,5856,1175,2312,476,30,644,414,20,58,39,5168,2482,4954,116,36,3590,493,12,17,207,11909,766,665,95,35,881,1844,23,72,72,4447,4178,14932,1320,73,3699,547,47,104,235,25132,1228,1195,580,686,1203,203,105,1443,63,6700,1427,2753,342,2053,2051,48,40,286,231,9225,1774,13042,410,2730,1736,83,9,144,89,20021,1692,12172,648,5113,3629,166,99,464,122,24104,879,1119,284,1471,461,175,34,210,57,4692,827,677,2158,1257,717,133,66,339,39,6211,1830,1537,788,338,1178,710,391,504,1418,8688
209,392,69,126,8,98,45,131,399,16,1282,92,126,53,3,41,4,87,18,6,423,3082,1893,4239,180,1913,1142,2365,2710,175,17702,370,509,330,6,589,151,333,133,43,2464,2422,750,11915,41,2001,289,1318,3349,189,22282,1563,1021,518,27,1399,1319,952,338,49,7177,3621,1134,1241,201,1632,13193,916,1607,124,23674,2098,131,2072,3546,426,2211,210,2946,66,13704,1263,822,509,367,2546,674,5184,573,128,12063,754,1687,734,30,681,351,29,60,43,4369,1264,2965,122,31,3963,331,24,30,118,8853,476,329,134,68,711,1355,61,124,37,3287,1991,8817,1599,82,3455,287,61,173,128,16596,761,859,769,761,1348,205,279,2974,86,8029,1536,3062,800,3985,3403,61,231,577,300,13952,1478,13075,621,3296,2261,72,40,318,100,21267,1540,12241,1130,9421,4687,186,218,1161,148,30735,638,890,331,1295,399,211,33,224,41,4062,692,682,3864,1298,949,171,137,764,60,8613,1217,1158,1598,446,1380,782,1204,1317,1960,11072
210,330,47,100,12,76,30,70,180,3,850,41,52,48,3,27,4,80,17,9,275,1895,1148,3214,132,1407,669,1914,2297,160,12836,222,285,249,4,375,83,257,99,21,1596,1585,458,8162,28,1279,211,977,2396,148,15235,993,570,372,19,936,818,760,271,35,4772,2236,659,970,153,1009,8762,793,1071,94,15742,1419,82,1405,2179,306,1648,178,2392,72,9683,1373,959,644,517,3080,711,5869,770,145,14057,421,853,373,22,419,246,33,48,30,2449,784,1761,75,39,2868,283,26,17,98,5944,290,169,98,68,532,904,55,152,19,2287,1044,4705,1024,33,2081,181,57,101,63,9292,507,589,473,459,937,161,301,2264,62,5759,850,1706,522,3101,2409,64,137,315,204,9304,843,7310,362,2409,1291,47,51,240,68,12615,737,5803,660,6275,2560,95,157,633,93,17019,405,432,241,799,278,145,28,199,42,2571,441,377,2934,780,620,101,134,594,57,6033,790,655,1225,374,945,515,1014,1033,1546,8097
