SA4_CODE_2016,M_Mng_0,M_Mng_1_15,M_Mng_16_24,M_Mng_25_34,M_Mng_35_39,M_Mng_40,M_Mng_41_48,M_Mng_49over,M_Mng_hours_NS,M_Mng_Tot,M_Pro_0,M_Pro_1_15,M_Pro_16_24,M_Pro_25_34,M_Pro_35_39,M_Pro_40,M_Pro_41_48,M_Pro_49over,M_Pro_hours_NS,M_Pro_Tot,M_TTW_0,M_TTW_1_15,M_TTW_16_24,M_TTW_25_34,M_TTW_35_39,M_TTW_40,M_TTW_41_48,M_TTW_49over,M_TTW_hours_NS,M_TTW_Tot,M_CPS_0,M_CPS_1_15,M_CPS_16_24,M_CPS_25_34,M_CPS_35_39,M_CPS_40,M_CPS_41_48,M_CPS_49over,M_CPS_hours_NS,M_CPS_Tot,M_CA_0,M_CA_1_15,M_CA_16_24,M_CA_25_34,M_CA_35_39,M_CA_40,M_CA_41_48,M_CA_49over,M_CA_hours_NS,M_CA_Tot,M_Sal_0,M_Sal_1_15,M_Sal_16_24,M_Sal_25_34,M_Sal_35_39,M_Sal_40,M_Sal_41_48,M_Sal_49over,M_Sal_hours_NS,M_Sal_Tot,M_MOD_0,M_MOD_1_15,M_MOD_16_24,M_MOD_25_34,M_MOD_35_39,M_MOD_40,M_MOD_41_48,M_MOD_49over,M_MOD_hours_NS,M_MOD_Tot,M_Lab_0,M_Lab_1_15,M_Lab_16_24,M_Lab_25_34,M_Lab_35_39,M_Lab_40,M_Lab_41_48,M_Lab_49over,M_Lab_hours_NS,M_Lab_Tot,M_ID_NS_0,M_ID_NS_1_15,M_ID_NS_16_24,M_ID_NS_25_34,M_ID_NS_35_39,M_ID_NS_40,M_ID_NS_41_48,M_ID_NS_49over,M_ID_NS_hours_NS,M_ID_NS_Tot,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_Mng_0,F_Mng_1_15,F_Mng_16_24,F_Mng_25_34,F_Mng_35_39,F_Mng_40,F_Mng_41_48,F_Mng_49over,F_Mng_hours_NS,F_Mng_Tot,F_Pro_0,F_Pro_1_15,F_Pro_16_24,F_Pro_25_34,F_Pro_35_39,F_Pro_40,F_Pro_41_48,F_Pro_49over,F_Pro_hours_NS,F_Pro_Tot,F_TTW_0,F_TTW_1_15,F_TTW_16_24,F_TTW_25_34,F_TTW_35_39,F_TTW_40,F_TTW_41_48,F_TTW_49over,F_TTW_hours_NS,F_TTW_Tot,F_CPS_0,F_CPS_1_15,F_CPS_16_24,F_CPS_25_34,F_CPS_35_39,F_CPS_40,F_CPS_41_48,F_CPS_49over,F_CPS_hours_NS,F_CPS_Tot,F_CA_0,F_CA_1_15,F_CA_16_24,F_CA_25_34,F_CA_35_39,F_CA_40,F_CA_41_48,F_CA_49over,F_CA_hours_NS,F_CA_Tot,F_Sal_0,F_Sal_1_15,F_Sal_16_24,F_Sal_25_34,F_Sal_35_39,F_Sal_40,F_Sal_41_48,F_Sal_49over,F_Sal_hours_NS,F_Sal_Tot,F_MOD_0,F_MOD_1_15,F_MOD_16_24,F_MOD_25_34,F_MOD_35_39,F_MOD_40,F_MOD_41_48,F_MOD_49over,F_MOD_hours_NS,F_MOD_Tot,F_Lab_0,F_Lab_1_15,F_Lab_16_24,F_Lab_25_34,F_Lab_35_39,F_Lab_40,F_Lab_41_48,F_Lab_49over,F_Lab_hours_NS,F_Lab_Tot,F_ID_NS_0,F_ID_NS_1_15,F_ID_NS_16_24,F_ID_NS_25_34,F_ID_NS_35_39,F_ID_NS_40,F_ID_NS_41_48,F_ID_NS_49over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_15,F_Tot_16_24,F_Tot_25_34,F_Tot_35_39,F_Tot_40,F_Tot_41_48,F_Tot_49over,F_Tot_hours_NS,F_Tot_Tot
201,155,183,170,266,644,1114,812,2156,78,5579,140,351,315,448,948,1259,727,1064,57,5307,220,347,319,522,1975,2431,1082,1361,158,8415,110,424,228,298,331,403,229,248,50,2317,43,124,96,131,483,356,216,208,19,1677,74,556,205,221,377,377,237,321,39,2418,142,183,208,265,687,685,504,878,78,3630,162,899,464,484,949,764,442,431,97,4684,34,42,27,43,92,93,49,84,191,661,1079,3104,2032,2683,6496,7477,4296,6755,757,34677,131,225,229,392,459,448,280,639,33,2835,461,809,1256,1478,1277,1193,617,755,56,7909,77,286,259,311,330,231,83,106,33,1710,368,1320,1181,1273,824,416,178,232,96,5884,305,892,1114,1145,1502,873,354,249,57,6492,202,1593,823,653,470,230,114,95,72,4251,10,51,43,63,66,31,24,29,0,322,145,932,523,512,345,150,95,104,62,2865,50,42,27,41,48,45,10,33,157,442,1748,6150,5455,5865,5330,3608,1754,2234,569,32713
202,146,183,191,303,571,1084,780,2118,82,5458,172,344,295,508,1053,1256,674,1067,33,5393,234,335,326,500,1737,2185,1037,1344,123,7826,144,355,198,296,355,466,222,254,35,2326,57,117,102,131,460,372,223,241,11,1714,61,529,230,204,383,296,250,281,41,2270,128,209,195,241,598,667,484,837,75,3445,173,967,448,557,1066,879,438,409,103,5042,29,49,32,44,81,80,30,71,160,582,1153,3088,2011,2778,6311,7278,4148,6626,669,34049,129,220,282,406,509,511,294,671,35,3066,532,855,1364,1602,1326,1153,586,749,58,8222,58,285,245,296,347,178,98,92,30,1619,335,1268,1053,1229,744,414,194,222,81,5551,300,871,986,1122,1434,766,322,223,66,6097,177,1587,754,641,494,217,125,98,48,4134,19,43,39,49,105,65,21,22,9,370,147,877,537,465,365,246,117,86,58,2895,39,46,42,38,48,42,16,19,161,437,1729,6053,5305,5843,5375,3589,1773,2185,548,32395
203,241,258,285,449,1107,2071,1366,3472,101,9342,292,632,551,810,2029,2827,1483,2194,89,10901,420,607,592,906,3300,4912,2087,2653,250,15726,205,747,441,533,634,934,450,525,82,4547,116,227,192,228,833,748,395,544,32,3321,129,1063,478,431,680,730,398,666,54,4624,228,373,394,446,1232,1393,849,1380,134,6433,280,1731,795,816,1514,1542,516,833,177,8210,56,84,49,78,153,233,66,146,351,1220,1969,5720,3773,4686,11488,15400,7608,12416,1265,64319,246,399,465,605,926,945,564,980,49,5178,892,1740,2638,2675,2450,2304,1194,1457,113,15468,128,532,485,571,658,376,189,182,45,3152,590,2653,2260,2352,1463,895,387,392,174,11168,539,1714,2106,1986,2651,1641,581,425,111,11762,375,2944,1527,1239,953,468,236,227,119,8086,39,120,94,101,186,147,34,37,3,764,174,1518,835,769,438,258,89,124,90,4294,53,89,60,89,106,96,25,41,277,831,3033,11698,10463,10390,9831,7133,3303,3871,976,60706
204,255,243,248,393,670,1434,958,3099,122,7422,137,234,232,346,814,1012,565,857,46,4246,314,407,403,593,2008,2759,1340,1754,169,9744,155,292,192,266,386,564,381,409,33,2682,52,95,88,141,402,354,205,253,16,1600,75,467,190,217,363,373,253,348,44,2330,194,208,270,339,1001,970,605,1246,113,4948,247,984,520,613,1135,1164,515,523,146,5848,48,46,39,32,96,119,60,121,235,789,1476,2973,2177,2941,6880,8752,4872,8607,921,39607,175,333,318,473,561,648,399,1103,66,4071,447,683,1259,1475,1185,1111,575,795,71,7600,84,275,298,357,382,234,138,167,41,1965,384,1308,1175,1442,944,481,287,293,128,6441,303,906,1109,1289,1561,919,370,285,67,6812,204,1377,807,865,589,266,177,157,66,4496,22,52,55,67,124,83,26,38,10,475,188,1119,632,580,426,302,134,142,78,3601,54,43,27,53,49,33,10,30,177,478,1852,6106,5683,6594,5814,4079,2119,3007,699,35941
205,309,449,332,577,963,1818,1146,4500,147,10237,214,390,345,468,1150,1371,801,1283,65,6073,584,628,587,952,3258,4206,1891,2965,270,15351,173,441,284,375,487,533,329,347,62,3035,92,163,142,195,587,455,286,311,23,2261,117,792,319,313,595,508,347,497,57,3535,355,361,369,427,1273,1258,1116,1802,138,7090,405,1569,834,975,1471,1443,837,1078,213,8816,94,88,51,55,134,154,100,145,358,1177,2335,4881,3257,4333,9916,11744,6855,12924,1334,57579,241,540,508,686,749,857,492,1525,96,5691,690,1151,1847,2026,1570,1468,831,1119,110,10814,143,516,456,459,540,302,157,195,29,2795,604,2125,2065,2191,1235,616,350,370,177,9735,557,1607,1801,1885,2192,1366,446,384,95,10338,345,2455,1286,1112,851,431,208,207,129,7034,39,81,72,89,83,64,50,38,11,522,284,1772,958,898,576,261,160,207,101,5217,71,75,69,57,90,47,15,41,310,767,2961,10328,9063,9410,7889,5407,2711,4083,1057,52908
206,496,686,755,1068,3425,7143,4400,11073,253,29296,1196,3232,2635,3683,9307,17361,8100,13723,490,59728,413,824,1608,1286,3523,5167,2409,3502,289,19017,395,2299,1874,1718,1522,1664,957,1105,205,11740,281,840,838,883,3302,3277,1368,1770,113,12686,224,1665,1325,1019,1856,2068,1052,1774,143,11123,138,465,589,537,1046,943,463,684,119,4984,239,1972,2053,1015,1350,1217,568,744,215,9364,76,183,142,171,407,544,181,462,743,2898,3451,12163,11815,11388,25731,39384,19492,34837,2561,160826,846,752,1323,1889,3731,5031,3455,5481,144,22660,2595,5196,6123,7745,10664,14294,7439,9553,448,64048,166,669,833,740,1196,998,543,630,75,5843,698,4549,3873,3058,2467,1720,1001,909,347,18630,887,2816,3162,3134,6541,5397,2262,1695,237,26135,472,4059,2443,1896,2045,1669,900,911,203,14599,17,112,95,105,128,94,42,30,8,637,116,1274,1320,601,488,309,89,101,99,4401,107,197,161,180,351,377,130,226,642,2375,5896,19629,19336,19358,27611,29884,15862,19540,2217,159332
207,276,520,586,819,1883,4239,2495,7117,159,18104,498,1809,1281,1754,4616,8231,3722,6944,246,29104,209,644,782,817,2272,2932,1224,1724,150,10745,179,1612,786,633,575,629,336,426,75,5244,147,620,476,420,1480,1598,701,911,65,6418,152,1686,924,646,942,1184,594,1164,95,7389,64,328,340,268,560,595,253,378,50,2833,135,1521,996,580,738,644,272,373,111,5373,44,150,110,99,168,281,81,200,431,1562,1704,8884,6279,6036,13240,20332,9675,19242,1384,86787,338,630,931,1231,1612,2168,1241,2187,91,10424,1273,3524,4222,4457,4570,5544,2602,3443,256,29881,78,412,412,402,522,410,182,186,34,2638,337,3146,1990,1509,1106,697,334,291,131,9538,521,2629,2754,2485,3234,2552,908,712,152,15947,290,3436,1694,1220,960,775,339,378,122,9218,9,76,51,58,96,76,18,14,3,398,76,988,559,364,292,142,53,54,39,2564,55,139,100,102,136,167,38,79,386,1200,2970,14980,12709,11829,12522,12525,5713,7350,1220,81820
208,335,490,530,820,2172,5340,3444,9154,212,22494,532,1620,1318,1796,4397,8663,4155,7363,259,30109,309,681,790,1061,3054,4496,1950,2675,237,15253,195,1595,721,720,647,937,506,582,89,5992,155,568,441,478,1674,1900,892,1142,84,7332,164,1611,896,703,1088,1516,822,1517,100,8418,126,375,380,336,980,831,422,598,65,4112,180,1612,903,697,946,871,393,483,124,6209,52,144,94,101,203,340,113,266,495,1793,2040,8686,6076,6709,15153,24892,12700,23786,1668,101708,456,641,1044,1515,1795,2569,1548,2686,97,12349,1509,3702,5105,5180,4998,6093,3020,3766,229,33588,121,544,494,553,664,484,206,228,34,3336,450,3470,2370,2160,1434,963,467,469,164,11955,663,3045,3387,3173,4152,3327,1160,900,198,20003,380,3700,1854,1418,1185,995,431,507,144,10619,23,86,57,69,150,104,34,20,5,544,89,983,542,416,384,191,69,73,37,2784,55,139,110,93,163,164,56,94,421,1294,3735,16319,14962,14573,14920,14896,6994,8742,1333,96470
209,302,373,446,663,2554,4437,2660,6166,213,17829,416,1201,1034,1421,4774,6757,2955,4212,225,23003,554,1009,1295,1693,6368,8747,3488,4154,513,27825,283,1262,850,952,1184,1439,750,741,152,7606,203,454,477,529,2633,2289,1013,1178,112,8880,177,1806,1002,777,1489,1500,770,1239,166,8922,321,594,879,1017,3047,2727,1513,2053,289,12451,346,2559,1776,1315,2725,2344,942,1168,328,13490,77,167,82,128,364,376,133,220,664,2217,2672,9430,7838,8497,25145,30611,14227,21134,2659,122228,426,453,781,1102,1937,1937,1102,1603,76,9412,1571,2977,4225,4646,5219,5206,2353,2777,256,29225,187,709,746,784,1123,753,290,227,68,4890,789,3823,3472,3480,2926,1413,598,680,300,17486,997,3184,3977,4112,6154,4185,1308,824,248,24989,532,5164,2599,2078,1738,971,430,380,213,14116,64,153,158,216,391,216,79,56,14,1346,205,1728,1210,1047,1129,509,167,160,165,6317,86,149,119,135,257,180,52,73,540,1595,4853,18344,17290,17604,20882,15380,6367,6783,1887,109382
210,193,248,269,427,1736,2911,1551,3831,165,11333,259,579,499,731,2823,3973,1506,2084,146,12608,445,769,968,1171,4821,6010,2370,2944,469,19963,149,810,590,618,823,987,564,556,120,5222,138,320,281,369,1889,1621,733,875,74,6294,139,1148,674,491,1093,998,517,721,112,5887,288,598,895,1051,2742,2569,1296,1982,307,11715,275,1742,1400,1031,2117,1789,799,913,303,10366,94,104,92,88,279,267,91,172,597,1775,1965,6314,5668,5975,18324,21117,9421,14082,2306,85178,240,298,396,616,1263,1255,726,1018,67,5878,893,1444,2165,2382,3177,3033,1229,1522,182,16022,110,488,434,509,778,428,200,173,50,3183,468,2270,2289,2511,2078,1071,542,684,257,12172,681,1859,2572,2627,4630,2994,923,628,216,17124,367,3357,1834,1501,1297,671,308,262,182,9768,51,121,143,170,330,216,65,57,24,1179,131,1207,901,804,843,449,142,129,99,4709,69,116,83,107,175,134,28,60,418,1195,3001,11144,10813,11227,14568,10253,4169,4542,1505,71229
