SED_CODE_2016,D_5_9_FPET_MPTLF,D_5_9_FPET_MPNLF,D_5_9_FPET_MPLFSNS,D_5_9_FPET_T,D_5_9_FPULFTW_MPEFT,D_5_9_FPULFTW_MPEPT,D_5_9_FPULFTW_MP_EAW,D_5_9_FPULFTW_MP_E_HNS,D_5_9_FPULFTW_MPET,D_5_9_FPULFTW_MPULFTW,D_5_9_FPULFTW_MPULPTW,D_5_9_FPULFTW_MPUT,D_5_9_FPULFTW_MPTLF,D_5_9_FPULFTW_MPNLF,D_5_9_FPULFTW_MPLFSNS,D_5_9_FPULFTW_T,D_5_9_FPULPTW_MPEFT,D_5_9_FPULPTW_MPEPT,D_5_9_FPULPTW_MPEAW,D_5_9_FPULPTW_MP_E_HNS,D_5_9_FPULPTW_MPET,D_5_9_FPULPTW_MPULFTW,D_5_9_FPULPTW_MPULPTW,D_5_9_FPULPTW_MPUT,D_5_9_FPULPTW_MPTLF,D_5_9_FPULPTW_MPNLF,D_5_9_FPULPTW_MPLFSNS,D_5_9_FPULPTW_T,D_5_9_FPUT_MPEFT,D_5_9_FPUT_MPEPT,D_5_9_FPUT_MPEAW,D_5_9_FPUT_MPEHNS,D_5_9_FPUT_MPET,D_5_9_FPUT_MPULFTW,D_5_9_FPUT_MPULPTW,D_5_9_FPUT_MPUT,D_5_9_FPUT_MPTLF,D_5_9_FPUT_MPNLF,D_5_9_FPUT_MPLFSNS,D_5_9_FPUT_T,D_5_9_FPTLF_MPEFT,D_5_9_FPTLF_MPEPT,D_5_9_FPTLF_MPEAW,D_5_9_FPTLF_MPEHNS,D_5_9_FPTLF_MPET,D_5_9_FPTLF_MPULFTW,D_5_9_FPTLF_MPULPTW,D_5_9_FPTLF_MPUT,D_5_9_FPTLF_MPTLF,D_5_9_FPTLF_MPNLF,D_5_9_FPTLF_MPLFSNS,D_5_9_FPTLF_T,D_5_9_FPNLF_MPEFT,D_5_9_FPNLF_MPEPT,D_5_9_FPNLF_MPEAW,D_5_9_FPNLF_MPEHNS,D_5_9_FPNLF_MPET,D_5_9_FPNLF_MPULFTW,D_5_9_FPNLF_MPULPTW,D_5_9_FPNLF_MPUT,D_5_9_FPNLF_MPTLF,D_5_9_FPNLF_MPNLF,D_5_9_FPNLF_MPLFSNS,D_5_9_FPNLF_T,D_5_9_FPLFSNS_MPEFT,D_5_9_FPLFSNS_MPEPT,D_5_9_FPLFSNS_MPEAW,D_5_9_FPLFSNS_MPEHNS,D_5_9_FPLFSNS_MPET,D_5_9_FPLFSNS_MPULFTW,D_5_9_FPLFSNS_MPULPTW,D_5_9_FPLFSNS_MPUT,D_5_9_FPLFSNS_MPTLF,D_5_9_FPLFSNS_MPNLF,D_5_9_FPLFSNS_MPLFSNS,D_5_9_FPLFSNS_T,D_5_9_FPT_MPEFT,D_5_9_FPT_MPEPT,D_5_9_FPT_MPEAW,D_5_9_FPT_MPEHNS,D_5_9_FPT_MPET,D_5_9_FPT_MPULFTW,D_5_9_FPT_MPULPTW,D_5_9_FPT_MPUT,D_5_9_FPT_MPTLF,D_5_9_FPT_MPNLF,D_5_9_FPT_MPLFSNS,D_5_9_FPT_T,D_10_12_FPEFT_MPEFT,D_10_12_FPEFT_MPEPT,D_10_12_FPEFT_MPEAW,D_10_12_FPEFT_MPEHNS,D_10_12_FPEFT_MPET,D_10_12_FPEFT_MPULFTW,D_10_12_FPEFT_MPULPTW,D_10_12_FPEFT_MPUT,D_10_12_FPEFT_MPTLF,D_10_12_FPEFT_MPNLF,D_10_12_FPEFT_MPLFSNS,D_10_12_FPEFT_T,D_10_12_FPEPT_MPEFT,D_10_12_FPEPT_MPEPT,D_10_12_FPEPT_MPEAW,D_10_12_FPEPT_MPEHNS,D_10_12_FPEPT_MPET,D_10_12_FPEPT_MPULFTW,D_10_12_FPEPT_MPULPTW,D_10_12_FPEPT_MPUT,D_10_12_FPEPT_MPTLF,D_10_12_FPEPT_MPNLF,D_10_12_FPEPT_MPLFSNS,D_10_12_FPEPT_T,D_10_12_FPEAW_MPEFT,D_10_12_FPEAW_MPEPT,D_10_12_FPEAW_MPEAW,D_10_12_FPEAW_MPEHNS,D_10_12_FPEAW_MPET,D_10_12_FPEAW_MPULFTW,D_10_12_FPEAW_MPULPTW,D_10_12_FPEAW_MPUT,D_10_12_FPEAW_MPTLF,D_10_12_FPEAW_MPNLF,D_10_12_FPEAW_MPLFSNS,D_10_12_FPEAW_T,D_10_12_FPHNS_MPEFT,D_10_12_FPHNS_MPEPT,D_10_12_FPHNS_MPEAW,D_10_12_FPHNS_MPEHNS,D_10_12_FPHNS_MPET,D_10_12_FPHNS_MPULFTW,D_10_12_FPHNS_MPULPTW,D_10_12_FPHNS_MPUT,D_10_12_FPHNS_MPTLF,D_10_12_FPHNS_MPNLF,D_10_12_FPHNS_MPLFSNS,D_10_12_FPHNS_T,D_10_12_FPET_MPEFT,D_10_12_FPET_MPEPT,D_10_12_FPET_MPEAW,D_10_12_FPET_MPEHNS,D_10_12_FPET_MPET,D_10_12_FPET_MPULFTW,D_10_12_FPET_MPULPTW,D_10_12_FPET_MPUT,D_10_12_FPET_MPTLF,D_10_12_FPET_MPNLF,D_10_12_FPET_MPLFSNS,D_10_12_FPET_T,D_10_12_FPULFTW_MPEFT,D_10_12_FPULFTW_MPEPT,D_10_12_FPULFTW_MPEAW,D_10_12_FPULFTW_MPEHNS,D_10_12_FPULFTW_MPET,D_10_12_FPULFTW_MPULFTW,D_10_12_FPULFTW_MPULPTW,D_10_12_FPULFTW_MPUT,D_10_12_FPULFTW_MPTLF,D_10_12_FPULFTW_MPNLF,D_10_12_FPULFTW_MPLFSNS,D_10_12_FPULFTW_T,D_10_12_FPULPTW_MPEFT,D_10_12_FPULPTW_MPEPT,D_10_12_FPULPTW_MPEAW,D_10_12_FPULPTW_MPEHNS,D_10_12_FPULPTW_MPET,D_10_12_FPULPTW_MPULFTW,D_10_12_FPULPTW_MPULPTW,D_10_12_FPULPTW_MPUT,D_10_12_FPULPTW_MPTLF,D_10_12_FPULPTW_MPNLF,D_10_12_FPULPTW_MPLFSNS,D_10_12_FPULPTW_T,D_10_12_FPUT_MPEFT,D_10_12_FPUT_MPEPT,D_10_12_FPUT_MPEAW,D_10_12_FPUT_MPEHNS,D_10_12_FPUT_MPET,D_10_12_FPUT_MPULFTW,D_10_12_FPUT_MPULPTW,D_10_12_FPUT_MPUT,D_10_12_FPUT_MPTLF,D_10_12_FPUT_MPNLF,D_10_12_FPUT_MPLFSNS,D_10_12_FPUT_T,D_10_12_FPTLF_MPEFT,D_10_12_FPTLF_MPEPT,D_10_12_FPTLF_MPEAW,D_10_12_FPTLF_MPEHNS,D_10_12_FPTLF_MPET,D_10_12_FPTLF_MPULFTW,D_10_12_FPTLF_MPULPTW,D_10_12_FPTLF_MPUT,D_10_12_FPTLF_MPTLF,D_10_12_FPTLF_MPNLF,D_10_12_FPTLF_MPLFSNS,D_10_12_FPTLF_T,D_10_12_FPNLF_MPEFT,D_10_12_FPNLF_MPEPT,D_10_12_FPNLF_MPEAW,D_10_12_FPNLF_MPEHNS
SED20106,1172,48,0,1221,13,0,0,0,15,0,0,0,20,0,0,20,15,3,0,0,20,0,0,0,20,0,0,24,31,6,0,0,34,4,0,4,38,0,0,39,1052,97,11,21,1183,24,5,28,1207,50,0,1255,312,30,0,5,340,6,3,12,350,38,0,390,0,0,0,0,0,0,0,0,0,0,3,3,1365,123,11,26,1525,32,8,39,1556,86,3,1649,236,35,0,0,269,10,3,13,278,21,0,304,259,26,0,3,284,10,4,13,294,14,0,310,6,0,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,496,59,0,3,559,16,4,17,583,33,0,618,6,0,0,0,8,3,0,3,7,0,0,7,11,0,0,0,8,0,0,0,8,0,0,8,13,0,0,0,16,3,0,3,18,0,0,18,515,62,3,3,577,16,5,23,599,33,0,639,120,16,0,3
SED20207,3579,123,9,3711,97,4,0,0,100,12,0,12,110,3,0,115,201,13,0,7,212,28,0,28,244,16,0,258,296,18,0,8,316,37,0,37,357,18,0,374,3367,364,32,59,3826,99,12,115,3940,142,9,4084,1300,181,18,31,1534,64,18,82,1615,179,3,1796,3,0,0,8,13,0,0,0,12,0,9,20,4669,548,52,101,5369,163,32,193,5567,321,15,5900,664,77,8,9,759,17,3,25,781,36,0,820,811,118,7,7,939,24,3,29,969,25,0,995,24,3,0,0,27,0,0,0,25,3,0,29,5,0,0,13,22,0,0,0,22,0,0,21,1512,195,14,29,1742,48,6,56,1796,67,3,1868,37,9,0,0,42,5,0,5,52,3,0,56,72,4,0,0,79,13,3,10,95,9,0,97,110,14,0,0,124,21,3,18,147,10,0,153,1618,204,11,29,1868,63,6,75,1943,78,3,2018,469,58,6,9
SED20302,2339,106,6,2452,22,6,0,0,28,6,0,6,31,3,0,34,77,11,4,0,92,9,3,13,98,7,0,106,97,18,4,0,115,13,3,13,130,9,0,140,2070,275,51,31,2419,45,6,48,2468,115,6,2590,779,126,31,31,968,15,6,25,991,104,3,1101,11,0,0,3,13,0,0,0,13,0,11,28,2867,402,77,64,3408,64,13,72,3478,218,22,3722,402,49,4,4,463,11,0,12,468,32,0,502,747,88,15,10,854,15,0,15,865,24,0,892,30,8,10,0,43,0,0,0,43,0,0,47,10,0,0,17,29,0,0,0,28,0,0,29,1188,146,24,32,1389,24,0,26,1412,59,0,1469,10,0,0,0,10,3,0,7,20,4,0,19,39,7,0,0,49,3,0,3,50,0,0,50,49,8,0,0,61,8,0,8,68,3,0,69,1234,154,26,32,1446,28,0,30,1478,59,0,1543,312,45,7,3
SED20401,1874,77,3,1952,14,9,0,0,16,0,0,0,19,4,0,27,62,10,0,3,79,3,0,4,81,3,0,82,72,15,0,6,95,6,0,5,103,5,0,110,1687,200,36,20,1950,23,5,33,1980,82,3,2061,584,86,10,11,680,12,3,15,699,65,0,760,3,4,0,4,12,0,0,0,12,0,0,12,2268,293,48,33,2645,38,11,45,2690,143,3,2833,267,32,4,5,309,9,3,6,316,17,0,331,602,63,9,3,683,3,0,4,684,26,0,712,4,0,8,0,14,0,0,0,14,0,0,12,4,0,0,0,9,0,0,0,9,0,3,10,879,104,16,7,1011,8,0,10,1026,39,3,1064,0,0,0,0,3,0,0,0,3,0,0,3,27,3,0,0,33,0,0,0,33,3,0,37,28,3,0,0,33,0,0,0,40,3,0,42,911,108,16,9,1046,8,0,14,1061,43,3,1103,242,31,0,6
SED20508,2009,66,4,2078,5,5,0,0,10,3,0,3,13,4,0,18,50,0,3,0,53,5,3,4,58,0,0,57,54,5,3,0,60,8,3,5,71,5,0,71,1706,266,45,26,2040,25,10,34,2072,69,4,2145,537,72,7,7,624,14,9,18,647,38,0,683,0,0,0,3,4,0,0,0,4,0,4,8,2252,337,51,34,2667,42,13,52,2725,106,4,2833,274,58,0,4,337,8,3,11,345,17,3,364,653,84,3,4,747,5,0,3,755,17,0,777,29,0,8,0,34,0,0,0,39,0,0,39,3,3,0,9,15,0,0,0,15,0,0,17,955,145,15,14,1134,15,6,18,1155,43,3,1196,8,0,0,0,10,0,0,0,10,0,0,9,11,0,0,0,11,4,0,3,20,0,0,20,23,0,0,0,21,4,0,3,31,0,0,27,978,150,15,14,1160,21,4,25,1178,43,3,1226,212,26,9,3
SED20604,2078,81,6,2165,19,4,0,0,27,4,0,4,29,4,0,35,46,3,0,0,52,3,0,3,55,4,0,60,63,11,0,0,70,6,0,5,81,10,0,90,1766,267,47,36,2122,28,9,37,2159,88,6,2258,493,59,14,14,582,19,3,16,599,74,7,679,3,0,0,0,3,0,0,0,3,0,0,5,2261,324,63,58,2704,48,12,59,2762,168,10,2937,424,47,15,6,488,3,0,3,493,28,0,519,615,82,9,10,715,7,0,7,724,32,3,753,11,0,0,0,23,0,0,0,23,0,0,18,12,0,0,5,19,0,0,0,22,0,0,22,1062,134,26,22,1240,7,0,7,1252,58,3,1312,8,0,0,0,8,3,0,3,14,8,0,20,13,0,0,0,14,0,0,0,17,0,0,17,22,0,0,0,21,3,0,3,31,8,0,34,1082,134,26,23,1268,12,0,12,1282,66,3,1348,195,28,7,3
SED20704,2187,68,0,2258,21,0,0,0,27,4,0,4,26,3,0,31,36,3,0,0,39,4,4,9,49,3,0,56,54,4,0,0,62,13,4,12,80,4,0,85,1905,243,44,37,2228,32,12,41,2269,74,0,2344,497,75,8,7,597,32,7,42,634,111,0,740,7,0,0,0,7,0,0,0,7,0,4,11,2406,319,57,45,2830,63,18,76,2907,182,3,3089,346,37,6,0,389,7,0,6,400,15,0,417,639,77,10,8,729,3,0,3,732,13,0,752,21,4,10,0,34,0,0,0,34,3,0,37,8,0,0,3,15,0,0,0,15,3,0,15,1013,119,29,12,1168,13,0,15,1180,34,0,1222,11,0,0,0,11,0,0,0,11,0,0,14,20,0,0,0,20,0,0,3,29,7,0,31,32,0,0,0,36,3,0,3,36,8,0,44,1041,122,29,12,1201,14,5,18,1216,47,0,1261,226,46,9,8
SED20804,1559,88,5,1650,19,3,0,0,22,3,0,3,26,0,0,26,49,8,0,0,61,3,0,8,61,0,0,67,69,9,0,0,76,7,0,7,89,0,0,89,1366,199,28,21,1617,20,11,31,1642,93,5,1740,458,72,7,11,556,18,3,26,575,73,4,654,3,0,0,0,3,0,0,0,3,0,4,12,1834,278,34,34,2171,42,16,57,2224,167,10,2400,280,48,6,3,327,4,0,5,335,21,0,363,451,85,10,5,555,9,5,10,567,27,3,592,16,7,0,0,28,0,0,0,28,0,0,28,5,0,0,5,14,0,0,0,14,0,0,14,754,135,18,14,921,8,7,14,942,49,3,986,16,3,0,0,18,0,0,0,13,0,0,13,19,0,0,0,27,0,3,3,25,0,0,25,36,3,0,0,38,0,3,3,43,0,0,44,790,141,18,18,966,9,5,21,979,51,3,1029,196,37,7,13
SED20906,2528,74,6,2611,15,0,0,0,17,3,0,3,23,0,0,23,79,7,0,0,91,5,0,5,93,3,0,94,101,4,0,0,105,10,0,10,117,3,0,117,2322,231,26,20,2602,36,3,43,2644,77,6,2727,565,40,11,3,623,25,3,26,647,40,0,691,3,0,0,0,3,0,0,0,3,0,0,5,2890,269,38,31,3225,63,9,64,3294,116,3,3415,545,44,0,3,596,14,5,20,618,26,0,641,747,66,3,14,827,12,0,13,836,12,0,854,9,3,7,0,14,0,0,0,14,0,0,14,9,0,0,8,15,0,0,0,15,0,3,15,1303,111,13,17,1448,24,5,33,1480,41,3,1523,10,0,0,0,16,10,0,11,22,0,0,22,40,9,0,0,55,3,0,3,54,3,0,55,57,9,0,0,64,10,0,11,79,3,0,79,1359,121,13,24,1518,31,6,43,1558,44,3,1598,255,21,3,0
SED21001,2215,76,3,2297,17,3,3,0,23,4,0,7,30,0,0,30,58,7,0,0,61,0,5,8,67,6,0,73,73,7,3,0,87,6,5,11,98,7,0,100,2004,202,40,20,2260,35,15,52,2316,85,3,2400,608,72,14,4,695,22,0,28,722,53,0,779,0,0,0,0,4,0,0,0,4,0,4,3,2611,268,56,28,2954,61,17,81,3038,138,7,3181,446,45,4,0,496,10,5,15,507,29,0,541,804,70,5,10,893,17,3,19,905,26,0,931,16,4,5,0,28,0,0,0,24,0,0,24,11,0,0,4,22,0,0,0,22,4,0,22,1282,115,17,14,1430,25,10,31,1461,61,0,1522,8,3,0,0,13,3,0,3,16,0,0,21,16,3,0,0,19,0,0,3,26,0,0,26,30,6,0,0,35,4,0,3,38,8,0,43,1309,124,19,14,1465,29,13,37,1503,62,0,1569,271,35,4,3
