SED_CODE_2016,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
SED20106,67,254,177,121,131,115,29,16,898,81,772,534,201,92,18,6,3,1702,205,1096,698,524,463,372,149,57,3564,99,570,283,240,155,103,40,16,1489,25,69,49,49,29,23,12,0,252,42,358,298,171,175,112,48,15,1213,13,136,95,91,122,106,35,3,606,405,2188,1410,958,581,369,90,20,6024,140,748,586,401,417,301,89,16,2690,181,573,297,172,132,63,14,3,1431,100,365,172,94,53,18,5,4,804,13,12,6,3,5,4,3,0,49,29,86,73,80,46,23,6,0,348,559,1337,774,625,496,374,188,71,4422,1947,8561,5435,3738,2895,1993,711,219,25497,102,308,226,104,85,42,15,7,886,16,231,169,94,43,11,0,0,572,50,316,137,78,39,29,22,8,679,67,217,112,106,34,19,0,0,565,18,60,39,21,8,0,0,0,149,107,955,468,375,385,224,91,26,2652,51,428,272,289,431,309,76,16,1870,590,2695
SED20207,26,115,179,117,88,46,14,3,598,82,782,1087,281,67,8,5,0,2322,273,1202,1520,1352,935,525,202,57,6059,171,475,415,286,171,97,61,11,1693,10,67,75,70,24,13,3,0,259,39,165,240,149,99,33,11,3,744,26,107,132,95,100,62,16,5,536,240,1286,1534,759,371,148,43,13,4389,136,321,346,242,158,70,15,4,1287,79,209,172,71,42,19,7,4,597,72,327,216,128,56,28,19,3,849,11,15,6,4,3,3,11,0,52,25,57,96,58,47,18,5,3,313,376,492,520,405,298,251,146,54,2535,1565,5609,6531,4021,2460,1331,555,163,22240,82,262,274,124,68,10,3,0,825,36,412,365,78,25,8,0,0,924,23,260,252,100,57,41,19,10,767,19,83,66,44,9,9,3,0,231,9,53,44,18,12,4,4,0,143,161,785,672,479,276,129,38,13,2558,94,484,535,398,247,135,37,14,1943,304,1956
SED20302,16,36,69,59,53,60,12,6,309,38,157,192,69,37,17,0,0,507,216,783,831,892,818,758,403,113,4814,235,596,436,384,422,270,126,35,2501,30,113,157,126,71,63,20,6,588,23,106,114,112,87,60,24,14,545,17,94,95,96,152,149,58,9,677,106,383,396,290,242,215,60,22,1709,78,148,183,138,142,129,37,8,862,40,88,62,45,56,37,10,3,339,50,215,146,131,99,42,28,4,710,9,3,5,5,4,3,4,4,34,0,39,51,49,34,27,14,9,222,376,321,355,417,404,424,313,143,2758,1227,3094,3093,2810,2618,2250,1117,373,16583,14,89,94,60,35,22,8,4,313,4,61,48,28,22,10,0,0,172,10,59,65,57,36,25,32,12,293,8,29,34,16,19,3,0,0,112,24,74,75,47,30,14,0,3,264,149,547,436,478,392,350,116,50,2522,62,400,437,305,382,301,120,19,2029,214,816
SED20401,16,81,75,72,65,56,20,8,390,58,307,321,119,62,35,3,0,907,197,773,845,954,781,639,375,99,4669,178,542,389,326,288,174,131,26,2052,30,93,85,61,42,17,6,7,342,39,133,108,98,77,14,9,5,480,13,92,117,103,115,92,54,7,583,125,575,549,366,337,202,85,27,2269,104,223,209,159,132,104,34,9,976,83,158,128,55,49,30,10,7,515,32,152,133,91,44,37,18,3,520,3,4,9,0,3,3,3,0,27,11,46,48,46,29,16,8,5,202,203,291,292,257,236,211,169,104,1772,1080,3478,3309,2712,2252,1643,923,306,15700,42,150,128,82,43,15,8,6,473,6,102,98,43,19,3,0,0,275,16,71,84,69,37,24,27,15,342,19,35,48,9,13,8,5,0,135,16,44,55,31,17,3,4,0,166,164,631,489,388,354,203,92,28,2351,74,420,358,315,315,245,97,29,1851,226,886
SED20508,19,35,77,65,89,92,33,9,421,28,61,78,59,51,27,0,0,306,123,445,581,669,864,859,395,127,4058,175,492,432,375,364,232,119,42,2225,21,72,130,96,98,70,48,6,538,20,83,126,140,160,96,41,17,697,16,78,133,130,226,255,102,23,957,48,208,325,322,397,319,109,27,1766,71,128,172,175,184,167,64,10,968,39,69,64,48,63,54,19,0,355,47,106,114,92,64,52,21,5,510,5,0,0,0,0,6,3,3,21,3,21,48,44,50,28,23,15,238,230,177,232,248,309,393,268,132,1983,856,1983,2501,2470,2921,2645,1251,418,15045,13,54,91,82,58,33,12,4,358,0,13,17,13,15,20,0,0,72,21,26,40,49,21,35,25,15,222,5,33,40,25,21,9,3,0,141,18,35,55,41,30,10,11,3,202,109,466,544,577,607,427,200,53,2977,51,298,387,380,581,474,178,40,2399,113,443
SED20604,7,33,46,60,67,57,6,3,282,30,85,74,57,45,26,0,0,314,323,819,783,956,838,647,231,70,4671,168,312,284,294,303,194,95,16,1666,48,127,174,181,136,97,39,5,800,38,121,134,129,152,63,27,12,670,14,84,128,139,202,184,46,16,807,118,261,326,348,355,173,48,7,1637,95,135,148,142,146,111,25,3,803,31,67,39,31,44,29,10,3,250,58,135,155,123,96,68,22,4,664,7,6,5,0,9,0,4,0,31,10,37,41,44,37,33,22,7,239,413,352,390,397,419,320,239,101,2642,1368,2558,2736,2897,2853,1998,810,258,15482,17,45,84,40,51,14,10,0,273,0,15,28,17,26,17,0,3,106,19,47,50,47,36,37,21,9,263,9,27,16,13,9,6,5,0,82,27,79,79,62,39,17,5,0,311,161,509,488,569,581,369,151,55,2880,62,315,356,350,439,306,95,20,1934,205,650
SED20704,20,54,55,63,49,49,9,4,303,59,143,131,73,54,12,0,0,463,223,661,594,722,717,511,213,86,3724,193,454,307,323,281,176,84,27,1841,46,117,153,171,131,80,36,9,752,58,139,171,163,150,77,22,11,786,57,128,164,133,184,187,85,14,954,111,322,389,317,276,178,43,8,1659,116,166,168,169,173,102,37,5,936,44,72,55,40,50,33,14,0,315,59,140,96,99,63,40,19,3,529,10,0,3,4,4,7,4,0,27,4,24,43,50,45,30,18,3,211,386,285,254,338,341,322,240,134,2299,1394,2698,2585,2666,2513,1802,820,311,14787,24,60,88,41,48,20,6,4,295,5,26,38,32,31,10,3,0,141,13,41,49,71,36,24,19,10,263,12,23,34,12,14,4,0,4,87,27,67,74,46,25,9,3,0,247,228,627,598,571,598,312,124,42,3095,97,411,441,424,411,294,110,46,2237,177,545
SED20804,13,40,56,59,48,62,24,0,292,44,152,79,60,36,23,3,0,402,237,590,567,669,708,604,303,75,3750,190,402,307,288,279,186,101,14,1769,29,79,113,116,119,46,21,5,530,36,136,113,137,159,67,37,13,691,14,108,113,126,208,201,76,21,874,75,253,260,243,222,122,46,19,1236,75,129,198,193,193,166,49,14,1022,39,79,115,76,80,47,15,5,456,51,133,97,100,80,37,20,8,520,3,10,4,0,3,11,0,0,31,9,28,44,40,34,20,18,6,209,403,573,487,469,456,387,279,146,3207,1222,2714,2551,2573,2632,1980,983,329,14985,14,45,62,48,41,22,4,3,236,10,14,20,24,21,5,4,0,108,13,48,46,36,33,23,13,3,219,13,22,28,38,18,8,3,0,124,13,48,66,49,40,15,5,0,230,163,518,425,526,574,331,160,54,2757,77,287,323,313,436,339,116,27,1910,169,521
SED20906,45,90,116,160,103,57,23,6,606,59,257,414,296,127,23,3,0,1180,101,383,602,818,672,418,237,137,3371,93,263,248,251,206,124,62,38,1277,13,31,52,49,29,14,8,3,198,37,114,151,164,106,38,28,14,652,8,59,103,138,119,72,25,7,532,171,681,957,817,481,206,73,45,3428,101,188,282,270,200,97,35,13,1182,93,116,137,104,81,29,18,9,589,61,141,126,108,58,32,16,12,547,6,0,5,3,4,3,0,0,28,12,22,58,60,41,21,10,4,230,217,208,259,260,177,159,129,65,1467,1017,2562,3515,3494,2398,1289,664,354,15292,45,122,221,169,91,25,10,4,697,10,84,165,125,63,11,0,3,452,13,72,84,109,59,58,60,19,475,21,53,50,38,29,10,0,4,199,7,21,31,17,14,3,5,0,100,118,417,477,553,341,183,116,46,2247,52,226,415,491,418,235,117,48,1996,162,869
SED21001,82,136,144,194,149,126,55,23,900,116,500,522,268,145,39,3,6,1595,163,625,529,674,606,496,293,173,3558,84,202,205,258,200,106,101,33,1192,20,39,46,71,37,28,13,6,255,58,254,230,184,169,90,57,28,1060,10,91,80,137,142,130,66,24,679,326,1104,946,961,621,339,153,84,4537,139,264,289,348,317,186,86,36,1668,138,213,144,103,79,33,12,10,742,73,186,111,91,40,22,19,7,554,21,9,3,3,3,3,4,0,43,19,46,39,42,38,21,10,11,226,257,248,236,247,200,165,167,155,1671,1498,3921,3517,3580,2735,1785,1047,594,18677,81,161,168,194,103,60,34,12,814,21,155,199,117,57,7,0,0,563,31,133,119,98,65,36,42,16,540,33,77,64,60,28,3,7,3,281,16,28,30,21,17,12,3,4,129,192,662,585,655,545,344,246,126,3363,65,287,332,480,533,403,232,96,2428,440,1366
