SED_CODE_2016,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
SED20106,21,80,255,153,123,92,29,3,0,763,373,1819,7521,4605,3323,2086,579,44,5,20366,3,9,38,35,22,25,20,7,0,163,0,3,63,56,38,15,3,0,0,177,19,87,590,496,351,224,61,9,0,1834,4,10,168,122,92,28,4,0,0,423,12,156,892,464,360,212,58,4,6,2169,9,63,404,316,269,165,49,5,0,1283,151,492,1084,599,454,267,96,10,0,3149,210,765,1409,439,243,118,40,11,0,3236,8,90,427,358,257,162,63,3,0,1384,8,82,547,441,295,141,24,0,0,1536,5,138,1333,1016,575,259,88,16,3,3431,10,75,394,229,213,133,59,14,0,1143,19,365,2876,1862,1139,709,292,23,8,7289,16,143,642,339,224,169,54,4,0,1595,0,63,569,526,405,285,82,3,0,1935,41,162,938,639,550,506,172,14,0,3025,21,168,1237,831,662,560,182,17,0,3687,54,203,637,344,239,122,49,7,0,1653
SED20207,25,73,219,207,142,88,15,3,0,763,809,1615,5241,5490,4198,1930,264,20,10,19565,3,6,45,54,36,27,3,0,0,173,0,3,21,23,18,18,0,0,0,77,55,113,696,1011,951,556,75,3,0,3466,5,21,166,175,114,45,3,0,0,530,91,349,958,930,611,308,40,3,0,3287,17,97,364,470,438,194,33,0,0,1602,478,651,1049,894,676,316,47,6,0,4116,567,428,693,443,328,148,22,3,0,2634,32,220,866,989,885,487,77,3,0,3556,13,37,296,430,188,72,10,0,0,1040,5,65,804,940,390,143,22,0,0,2378,17,64,247,232,108,64,13,0,0,753,21,158,1147,1447,612,218,44,5,3,3654,24,142,430,430,345,178,39,4,0,1602,13,76,521,840,737,315,60,6,0,2570,59,206,705,896,701,390,59,8,0,3021,33,247,1074,1300,1051,534,88,0,0,4325,60,118,247,228,132,71,10,0,0,872
SED20302,45,48,100,120,116,110,23,4,3,573,847,1129,3227,3187,3244,2250,494,55,22,14445,36,54,176,189,266,247,198,96,6,1280,0,4,34,37,42,28,9,0,0,149,95,170,545,612,616,382,84,3,4,2519,9,15,109,123,139,83,18,0,0,486,160,412,998,879,746,483,111,10,8,3807,22,55,242,273,234,180,31,3,0,1046,434,389,758,731,661,476,95,3,0,3558,509,310,396,269,301,234,51,4,0,2080,21,50,253,336,376,289,93,13,0,1431,10,24,65,91,71,43,4,0,0,311,4,31,179,174,120,55,21,0,0,583,17,45,124,114,117,71,25,0,0,510,20,55,323,355,258,209,75,9,0,1297,29,75,202,260,254,145,60,7,3,1039,5,44,276,346,320,239,45,3,0,1282,33,91,526,593,495,364,64,3,3,2172,47,227,814,801,946,724,138,4,7,3712,68,68,142,132,136,128,46,4,0,723
SED20401,23,46,113,108,151,75,25,10,6,549,717,1368,3398,3139,3202,2238,456,31,9,14546,3,3,27,32,31,14,9,5,0,121,0,3,9,15,14,8,3,0,0,48,73,183,572,784,772,556,134,10,0,3091,0,19,90,81,72,50,9,0,0,319,110,375,931,688,633,402,83,14,0,3240,17,82,293,367,294,233,39,4,0,1337,423,525,700,590,546,385,101,11,0,3284,427,286,280,211,180,97,15,3,0,1494,12,58,213,232,282,232,64,3,0,1086,15,38,174,176,133,80,13,0,0,627,3,54,298,281,230,133,19,0,0,1014,19,51,127,89,76,63,11,4,0,440,14,141,627,557,380,274,107,12,0,2114,28,89,231,219,288,200,63,9,0,1115,5,58,317,381,364,276,73,9,0,1481,46,150,618,608,615,464,73,3,0,2583,46,267,965,856,867,725,152,17,0,3898,45,80,137,95,70,43,20,3,0,499
SED20508,30,33,51,58,73,70,26,7,3,348,756,868,2086,2696,3118,2402,481,45,9,12450,13,18,37,57,83,92,53,21,4,379,0,3,22,26,13,12,0,0,0,85,70,102,247,366,431,300,70,9,0,1579,0,10,56,66,70,58,12,0,0,277,115,313,710,702,597,434,81,7,3,2949,22,33,81,123,148,133,26,3,0,569,383,371,475,443,514,429,90,13,0,2711,540,266,235,258,267,183,64,5,0,1821,17,37,126,191,257,280,77,5,0,994,9,14,34,73,79,48,10,3,0,274,3,27,124,183,174,111,27,4,0,648,5,31,66,88,79,79,33,8,0,381,20,56,237,360,354,301,123,21,3,1477,19,22,106,170,212,192,69,3,0,787,13,45,238,411,505,385,55,3,0,1653,36,74,407,601,643,597,108,7,0,2474,38,175,638,876,1066,930,168,9,0,3894,68,50,58,97,80,79,29,5,0,467
SED20604,32,34,53,79,79,60,35,9,0,380,952,1089,2608,2846,3410,2601,553,67,13,14140,47,87,151,209,293,378,354,98,15,1628,0,0,16,24,22,10,4,0,0,79,116,259,612,642,761,549,93,3,3,3043,9,7,44,62,99,71,8,0,0,292,119,269,586,483,496,404,86,11,0,2454,27,41,113,145,160,109,31,4,0,635,449,363,561,519,586,418,113,12,3,3019,543,276,344,255,277,223,66,4,0,1991,21,68,186,266,356,314,111,3,4,1334,17,23,41,53,42,33,4,0,0,214,3,27,113,113,114,79,7,0,0,460,17,20,58,58,78,54,12,0,0,298,22,56,190,267,280,202,63,9,0,1085,24,51,138,180,235,215,49,4,0,896,144,404,596,649,790,458,73,4,4,3109,51,107,443,578,578,533,89,9,0,2382,70,239,784,869,1110,1004,147,10,3,4244,45,24,59,60,72,49,16,3,0,314
SED20704,26,35,58,77,64,56,19,4,0,343,1025,1552,2762,2946,3196,2346,431,33,11,14307,29,59,148,174,221,200,128,39,3,1004,4,40,154,136,110,46,6,0,0,502,123,272,470,423,521,366,61,3,4,2251,3,18,93,74,108,72,10,0,0,385,100,321,667,509,488,344,57,5,0,2490,17,39,81,114,123,87,17,0,0,482,530,598,595,508,540,383,100,11,0,3265,739,477,286,216,209,137,20,3,0,2081,11,47,111,161,249,262,63,4,0,907,13,33,70,92,71,55,13,0,0,344,10,81,284,354,287,151,35,0,0,1196,6,16,72,64,72,51,23,3,0,315,18,91,294,303,232,195,63,7,0,1205,19,54,135,156,193,155,35,3,0,742,14,75,299,421,497,361,53,6,3,1725,49,193,535,674,693,537,109,3,5,2807,68,366,967,1022,1205,1016,166,14,0,4828,50,72,78,76,80,76,23,7,0,464
SED20804,28,25,53,67,68,73,31,10,3,363,730,1181,2414,2389,2906,2318,443,44,22,12442,22,41,97,107,123,139,73,28,8,629,0,23,78,70,76,37,8,0,0,293,110,306,596,492,563,479,68,3,3,2618,0,3,58,68,78,46,7,0,0,265,86,308,618,480,449,322,62,4,0,2326,13,48,102,91,115,81,22,0,0,469,464,432,491,453,496,419,94,20,3,2874,422,302,335,190,199,137,44,5,0,1629,15,28,101,157,240,212,71,5,0,838,7,22,70,70,68,47,14,3,0,313,8,47,210,212,171,89,7,0,0,739,3,20,46,55,54,52,20,0,0,256,10,65,254,289,267,210,64,12,0,1175,8,53,129,144,194,193,37,4,3,762,4,56,251,395,449,357,53,5,0,1581,21,101,380,490,589,483,74,4,0,2151,38,301,844,780,1043,1044,159,12,6,4225,39,36,55,74,68,66,24,3,0,368
SED20906,20,26,93,126,133,59,24,3,0,478,674,1074,2560,3481,3806,2090,453,32,9,14181,0,7,6,19,18,8,4,0,0,65,0,0,14,19,16,12,3,0,0,61,46,77,263,431,487,326,64,7,6,1701,0,9,64,106,77,40,4,0,0,294,47,190,438,462,488,314,69,5,0,2008,16,61,201,293,334,188,41,3,0,1138,388,486,535,500,548,333,98,6,3,2900,389,333,288,246,228,112,29,3,0,1628,3,35,150,235,274,205,40,9,0,957,22,46,127,243,218,98,16,0,0,770,3,64,368,638,467,196,30,3,0,1771,8,47,140,139,140,76,19,3,0,570,15,175,692,1052,924,463,112,10,0,3451,15,70,188,281,271,160,48,5,0,1039,3,45,204,355,442,292,51,8,3,1403,81,152,424,701,889,570,103,8,0,2930,42,206,591,821,1016,658,165,6,0,3505,138,113,110,133,123,56,26,3,3,704
SED21001,18,41,125,123,121,71,27,11,0,534,746,1567,3399,3288,3700,2299,545,60,8,15600,0,5,15,18,29,6,7,0,0,89,0,3,8,18,16,10,4,0,0,57,61,91,278,331,417,246,77,9,0,1507,0,9,87,75,60,38,8,0,0,278,48,190,426,374,416,249,44,6,0,1751,19,61,240,288,292,157,38,3,0,1102,352,637,674,485,503,308,78,13,0,3058,453,484,572,291,298,145,28,4,0,2277,9,57,180,190,226,158,34,3,0,857,22,71,211,254,176,92,17,4,0,848,6,82,465,578,466,221,48,8,0,1876,6,52,206,167,154,99,34,7,0,732,28,316,1010,1046,903,571,181,25,3,4091,11,111,262,242,261,141,54,4,0,1090,10,48,235,369,491,321,62,9,0,1539,104,247,583,605,909,730,177,11,0,3377,39,279,1004,978,1163,896,237,24,0,4612,119,123,133,104,96,50,25,0,0,649
