SOSR_CODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
SOSR201,393,44,56,48,126290,126834,4627,228,149,106,154511,159623,123870,4158,4469,287,209735,342522,191190,8976,14400,570,81413,296548,174193,12020,27232,1512,50398,265362,144458,9188,28229,3509,25733,211120,109865,5380,17409,6415,10532,149599,60812,2031,6159,9946,3779,82732,18019,500,1256,10495,1388,31661,827431,42524,99364,32886,663786,1665995,604,63,59,59,122329,123105,10827,543,315,117,144703,156508,156006,6811,7650,529,182188,353181,193945,12755,22638,1669,73589,304594,174846,15081,41395,4988,43916,280226,140050,10651,41705,13197,22445,228049,99039,5405,27216,27377,8884,167930,44215,1709,9431,43371,3726,102445,9097,297,2406,39678,2113,53590,828634,53312,152819,130982,603880,1769632,998,107,112,106,248616,249943,15460,763,468,222,299213,316127,279880,10972,12116,810,391917,695698,385136,21730,37037,2237,155003,601145,349046,27102,68624,6500,94308,545587,284510,19840,69937,16708,48178,439174,208898,10782,44633,33793,19420,317529,105026,3735,15590,53319,7504,185177,27123,795,3668,50172,3503,85254,1656065,95837,252184,163872,1267660,3435626
SOSR203,17,0,8,0,4968,4990,141,12,3,4,5840,6002,3541,154,123,11,6811,10640,5536,396,552,15,2975,9472,5496,526,1244,61,2164,9480,5591,426,1434,169,1076,8701,4727,241,902,364,439,6667,2670,91,288,546,152,3744,888,26,62,562,59,1596,28604,1871,4618,1722,24481,61294,17,0,0,7,4943,4969,279,14,11,7,5628,5934,4319,266,215,38,6200,11039,5761,557,823,92,2851,10084,5708,718,1931,219,1834,10403,5528,541,2136,644,920,9767,4354,270,1408,1325,352,7721,2134,71,458,2213,143,5024,506,14,120,2242,114,2996,28601,2460,7103,6788,22974,67932,36,0,7,7,9905,9959,418,29,11,8,11466,11931,7862,428,340,46,13007,21680,11295,958,1370,111,5820,19552,11200,1245,3178,277,3994,19884,11115,969,3571,815,1996,18465,9081,508,2308,1688,799,14388,4800,161,747,2758,299,8763,1395,43,183,2805,169,4593,57207,4330,11723,8510,47457,129222
SOSR211,22,7,3,10,8956,8994,288,23,4,10,9653,9981,6302,390,278,16,11486,18467,9412,828,1042,44,5214,16545,9258,1027,2259,143,3361,16043,9640,823,2432,301,1815,15011,8207,483,1578,633,749,11647,4168,143,539,806,272,5919,1092,34,86,751,93,2053,48388,3758,8235,2699,41589,104666,24,0,5,10,8622,8670,531,52,11,13,9512,10117,8052,696,445,44,10621,19862,9691,1176,1695,126,5047,17743,9436,1300,3509,346,2991,17586,9741,1056,3767,1062,1474,17108,7379,504,2410,2252,563,13112,3133,110,737,3235,286,7502,625,31,180,2912,151,3895,48615,4932,12767,10004,39271,115597,48,9,12,18,17578,17664,817,75,19,19,19170,20098,14353,1088,727,58,22109,38326,19101,2010,2743,174,10256,34284,18695,2330,5770,489,6353,33634,19379,1881,6202,1366,3285,32117,15583,985,3985,2888,1312,24759,7300,251,1275,4040,557,13422,1715,61,268,3665,241,5952,96997,8691,21004,12706,80862,220263
SOSR212,11,3,6,0,5680,5699,174,8,5,4,5242,5431,3815,196,136,20,6726,10891,5852,445,664,25,2994,9983,6465,641,1381,79,2022,10588,6471,487,1522,182,1100,9766,5353,313,958,391,463,7481,2900,91,309,570,176,4035,874,12,76,482,70,1507,31915,2197,5053,1747,24463,65381,21,3,3,3,5418,5441,374,28,3,4,5059,5468,4636,355,263,24,6224,11499,6175,748,1004,80,2814,10828,6638,872,2045,250,1755,11557,6361,642,2205,641,892,10739,4887,284,1386,1536,299,8380,2222,95,460,2412,132,5321,480,15,106,2063,78,2739,31797,3044,7465,7006,22661,71969,25,9,10,3,11097,11145,550,32,8,4,10296,10899,8451,549,402,40,12951,22389,12026,1196,1671,104,5808,20807,13101,1518,3427,330,3769,22142,12837,1129,3723,827,1991,20504,10239,601,2339,1921,764,15863,5121,179,772,2980,309,9362,1352,23,179,2539,150,4248,63713,5237,12522,8755,47127,137351
SOSR213,13,0,3,6,7703,7722,200,15,3,0,6744,6968,4966,242,195,16,8640,14067,8454,709,838,55,4405,14460,9099,836,1989,100,3112,15136,9901,746,2437,287,1779,15150,9257,439,1626,662,803,12792,5212,147,544,987,299,7194,1483,25,90,956,99,2649,48599,3154,7735,3062,33580,96130,18,7,5,0,7236,7258,334,53,8,3,6375,6773,6382,521,296,27,8032,15262,8968,1019,1390,90,4262,15728,9456,1217,3020,391,2710,16799,10207,959,3321,1020,1399,16904,8688,420,2235,2383,533,14263,3916,131,755,3997,242,9051,795,17,168,3730,137,4849,48764,4339,11200,11655,30927,106887,26,6,5,6,14938,14987,537,72,12,3,13115,13737,11349,761,493,41,16678,29330,17424,1730,2223,147,8674,30191,18557,2054,5011,487,5819,31934,20110,1698,5759,1305,3176,32056,17941,859,3861,3049,1338,27053,9129,278,1298,4989,543,16238,2279,42,259,4682,233,7501,97365,7498,18934,14716,64509,203020
SOSR214,3,4,3,3,4245,4253,105,9,4,3,3477,3596,2240,137,96,11,4187,6673,3934,347,388,23,2508,7206,4848,533,1086,72,1999,8544,5628,462,1454,216,1285,9042,6046,372,1250,453,574,8690,3522,140,437,703,217,5023,997,21,68,698,91,1869,27340,2027,4784,2183,18578,54907,8,3,0,0,3780,3795,190,18,5,10,2939,3164,2767,227,147,14,3767,6928,4357,513,682,56,2287,7888,5076,679,1641,218,1646,9259,5821,525,1978,621,947,9885,5874,333,1634,1556,387,9777,2552,88,574,2628,186,6026,548,15,135,2467,97,3261,27194,2406,6793,7571,16034,59991,8,3,3,3,8025,8049,300,28,4,11,6422,6762,5010,367,241,25,7952,13599,8291,860,1075,77,4793,15094,9927,1212,2728,291,3645,17803,11451,986,3430,837,2228,18934,11922,702,2882,2009,961,18475,6077,228,1006,3332,403,11053,1543,34,210,3162,187,5132,54531,4426,11575,9747,34612,114902
SOSR215,6,0,4,0,6140,6155,134,9,8,0,5111,5253,3744,165,145,3,6552,10613,6770,510,645,31,3828,11785,7611,839,1726,97,3171,13448,9119,776,2301,290,2064,14555,9196,522,1892,658,999,13263,5066,188,607,998,394,7255,1424,41,110,1020,139,2740,43069,3061,7439,3103,28402,85067,11,3,0,4,5651,5665,274,21,10,6,4613,4929,4923,355,256,17,6024,11573,7204,794,1122,83,3559,12757,8123,994,2518,341,2567,14549,9467,790,3099,889,1452,15700,8567,464,2091,2226,614,13961,3742,115,688,3667,285,8507,764,27,144,3700,179,4820,43089,3563,9936,10933,24940,92460,17,3,7,3,11792,11821,406,32,16,7,9724,10185,8664,524,400,28,12570,22188,13970,1300,1766,114,7385,24539,15731,1834,4250,439,5741,27995,18591,1564,5407,1183,3512,30257,17765,990,3978,2888,1614,27228,8814,308,1299,4660,687,15760,2191,69,257,4722,321,7560,86158,6622,17371,14037,53342,177528
SOSR221,0,0,0,0,1670,1673,25,0,0,0,1221,1249,881,68,40,4,1601,2596,1804,130,192,9,1092,3227,2326,254,517,38,993,4133,2865,278,897,110,671,4821,2887,230,720,205,315,4362,1340,67,212,277,121,2023,311,8,36,227,39,633,12451,1034,2624,876,7733,24722,3,0,0,0,1542,1546,48,8,0,0,1097,1161,1155,79,67,7,1462,2769,2006,201,279,37,981,3503,2528,294,671,79,764,4336,3009,218,896,274,421,4824,2597,147,652,589,155,4146,961,44,183,858,67,2111,155,7,35,737,40,972,12461,1010,2779,2589,6527,25366,3,0,0,0,3209,3218,73,10,0,0,2324,2410,2036,146,107,15,3061,5364,3807,334,473,48,2073,6731,4855,549,1186,123,1758,8472,5880,494,1799,384,1090,9647,5490,378,1372,801,470,8504,2304,113,397,1138,185,4133,468,13,72,970,85,1603,24911,2042,5406,3462,14264,50085
SOSR222,0,0,0,0,1150,1150,18,0,0,0,792,816,526,37,27,0,1141,1726,1152,92,121,3,684,2050,1519,160,365,31,656,2737,1914,169,627,71,443,3228,1736,135,438,144,187,2638,694,30,117,146,61,1043,166,9,11,119,32,344,7725,631,1710,523,5138,15723,3,3,4,0,1004,1012,37,3,0,3,706,751,715,65,28,8,976,1788,1291,115,169,20,639,2236,1639,172,427,55,533,2826,1987,137,596,191,253,3161,1455,88,350,358,85,2340,492,15,89,433,33,1052,92,0,17,372,23,502,7713,594,1687,1440,4255,15679,3,3,4,0,2151,2156,59,3,0,3,1501,1563,1233,101,63,8,2113,3521,2441,205,289,24,1323,4284,3159,334,799,87,1191,5565,3900,305,1225,266,692,6392,3192,217,788,509,274,4978,1181,44,201,576,88,2095,259,10,27,497,59,847,15439,1221,3400,1963,9389,31400
SOSR231,29,0,3,4,14150,14188,234,19,3,3,10113,10371,6239,334,230,15,11100,17911,14572,905,1282,56,7077,23893,21632,1484,3554,234,6365,33275,24412,1570,5017,696,4011,35706,19796,1121,3595,1190,1699,27407,7421,263,921,1240,557,10409,1455,41,117,760,126,2499,95785,5742,14729,4203,55193,175653,28,0,4,3,12825,12860,402,35,4,11,8353,8809,8104,386,308,23,8519,17334,16342,857,1447,153,5304,24097,23277,1321,3832,547,4174,33153,24328,1096,4283,1501,2174,33382,16688,514,2493,2518,736,22945,4816,94,477,2875,204,8465,663,9,96,1917,79,2766,94647,4308,12944,9548,42359,163808,52,3,8,6,26975,27043,635,50,10,17,18470,19177,14343,717,540,42,19614,35251,30918,1758,2722,209,12381,47992,44911,2802,7386,783,10536,66424,48738,2664,9299,2195,6188,69088,36487,1635,6085,3710,2430,50347,12243,364,1402,4115,760,18869,2122,52,214,2675,201,5266,190436,10048,27671,13749,97555,339459
