SOSR_CODE_2016,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
SOSR201,5018,111761,10052,126834,7412,140072,12131,159623,19318,295629,27578,342522,26147,249406,20996,296548,33177,214040,18139,265362,30613,165847,14663,211120,18329,118277,12989,149599,9441,62824,10458,82732,2858,23596,5208,31661,152312,1381456,132224,1665995,5798,107998,9317,123105,9325,136231,10946,156508,29250,298100,25832,353181,41918,243772,18899,304594,54487,208667,17072,280226,50790,162158,15109,228049,27626,125174,15126,167930,11261,77254,13931,102445,2177,41781,9633,53590,232638,1401141,135855,1769632,10814,219754,19369,249943,16738,276307,23079,316127,48570,593728,53404,695698,68060,493185,39898,601145,87659,422711,35217,545587,81398,328002,29771,439174,45956,243453,28112,317529,20708,140077,24386,185177,5033,65384,14839,85254,384943,2782599,268081,3435626
SOSR203,213,4310,471,4990,290,5271,431,6002,630,9226,782,10640,929,7895,642,9472,1299,7449,736,9480,1409,6643,643,8701,832,5135,699,6667,418,2739,590,3744,129,1149,317,1596,6153,49832,5305,61294,269,4293,401,4969,386,5129,419,5934,1127,9189,718,11039,1675,7771,638,10084,2206,7501,695,10403,2313,6748,712,9767,1298,5626,792,7721,501,3686,835,5024,110,2267,620,2996,9885,52206,5838,67932,482,8607,871,9959,682,10401,852,11931,1765,18417,1502,21680,2606,15666,1276,19552,3505,14952,1433,19884,3719,13391,1351,18465,2131,10760,1493,14388,916,6426,1428,8763,243,3415,940,4593,16040,102036,11146,129222
SOSR211,388,7691,917,8994,513,8672,792,9981,1305,15725,1434,18467,1777,13487,1279,16545,2097,12674,1278,16043,2186,11566,1267,15011,1404,8988,1254,11647,689,4272,958,5919,181,1452,422,2053,10538,84532,9594,104666,520,7294,853,8670,721,8624,773,10117,2386,16022,1453,19862,3027,13513,1207,17743,3620,12698,1267,17586,3969,11829,1304,17108,2072,9602,1440,13112,765,5363,1379,7502,160,2959,783,3895,17231,87900,10464,115597,903,14992,1770,17664,1236,17298,1569,20098,3698,31743,2891,38326,4804,26999,2487,34284,5718,25373,2545,33634,6155,23392,2571,32117,3474,18592,2692,24759,1450,9638,2339,13422,340,4407,1205,5952,27768,172431,20059,220263
SOSR212,250,4884,567,5699,268,4642,525,5431,758,9200,934,10891,1011,8158,809,9983,1305,8347,934,10588,1372,7467,923,9766,856,5693,929,7481,429,2891,714,4035,118,1071,323,1507,6369,52349,6664,65381,289,4594,559,5441,413,4601,453,5468,1235,9335,926,11499,1749,8254,820,10828,2366,8332,857,11557,2349,7473,922,10739,1283,5998,1099,8380,532,3733,1060,5321,85,2002,650,2739,10304,54320,7345,71969,539,9482,1127,11145,681,9239,979,10899,1997,18530,1862,22389,2765,16420,1631,20807,3672,16680,1797,22142,3716,14940,1849,20504,2136,11691,2035,15863,964,6620,1769,9362,203,3068,970,4248,16675,106672,14009,137351
SOSR213,306,6627,795,7722,355,6025,589,6968,991,11946,1131,14067,1449,11870,1143,14460,1861,12057,1219,15136,2113,11800,1234,15150,1463,9895,1435,12792,779,5250,1162,7194,207,1855,587,2649,9516,77325,9291,96130,373,6137,747,7258,482,5733,553,6773,1759,12457,1044,15262,2541,12152,1036,15728,3380,12231,1186,16799,3744,11817,1354,16904,2106,10542,1606,14263,864,6497,1688,9051,165,3656,1035,4849,15420,81216,10250,106887,680,12759,1544,14987,838,11763,1141,13737,2750,24406,2169,29330,3986,24018,2186,30191,5237,24288,2410,31934,5855,23614,2589,32056,3571,20439,3040,27053,1643,11750,2850,16238,368,5515,1621,7501,24930,158539,19546,203020
SOSR214,193,3512,547,4253,215,3024,359,3596,511,5348,807,6673,739,5702,766,7206,1056,6596,895,8544,1299,6864,884,9042,897,6683,1119,8690,509,3576,944,5023,147,1280,440,1869,5557,42587,6764,54907,169,3151,474,3795,269,2641,256,3164,841,5525,563,6928,1266,6012,615,7888,1857,6681,724,9259,2145,6861,882,9885,1395,7111,1275,9777,567,4181,1275,6026,105,2336,817,3261,8615,44506,6879,59991,362,6665,1023,8049,481,5664,618,6762,1351,10874,1370,13599,2002,11710,1384,15094,2912,13280,1618,17803,3440,13730,1765,18934,2290,13791,2386,18475,1077,7758,2221,11053,254,3619,1256,5132,14172,87089,13637,114902
SOSR215,253,5087,814,6155,286,4468,502,5253,736,8969,913,10613,1169,9673,938,11785,1607,10641,1198,13448,1961,11195,1394,14555,1484,10267,1514,13263,689,5246,1328,7255,222,1932,579,2740,8416,67476,9178,85067,300,4634,730,5665,386,4130,411,4929,1321,9371,884,11573,2072,9697,990,12757,2836,10599,1111,14549,3440,10853,1412,15700,2088,10232,1646,13961,786,6104,1613,8507,184,3618,1012,4820,13409,69241,9812,92460,553,9726,1546,11821,674,8600,917,10185,2061,18335,1791,22188,3237,19368,1927,24539,4437,21245,2310,27995,5402,22044,2809,30257,3576,20497,3154,27228,1471,11349,2942,15760,409,5553,1596,7560,21824,136716,18989,177528
SOSR221,93,1353,228,1673,66,1080,107,1249,183,2188,223,2596,336,2609,283,3227,532,3210,383,4133,635,3691,500,4821,465,3326,576,4362,206,1476,348,2023,36,432,164,633,2548,19368,2812,24722,111,1228,202,1546,95,985,79,1161,373,2168,223,2769,599,2617,286,3503,904,3089,341,4336,1035,3357,434,4824,632,2966,545,4146,208,1512,395,2111,34,694,248,972,3998,18616,2755,25366,203,2582,434,3218,158,2069,180,2410,554,4361,446,5364,939,5225,567,6731,1437,6302,727,8472,1670,7045,930,9647,1098,6294,1117,8504,408,2986,742,4133,66,1124,416,1603,6546,37982,5563,50085
SOSR222,47,928,171,1150,40,681,98,816,126,1425,176,1726,210,1662,178,2050,319,2112,298,2737,449,2481,292,3228,302,2010,331,2638,89,773,180,1043,24,249,68,344,1607,12323,1792,15723,52,812,153,1012,47,621,84,751,228,1389,167,1788,337,1690,215,2236,569,1994,265,2826,711,2174,283,3161,341,1701,301,2340,106,722,220,1052,27,388,88,502,2412,11499,1769,15679,97,1741,323,2156,82,1300,179,1563,356,2815,343,3521,538,3353,390,4284,890,4107,565,5565,1158,4660,578,6392,641,3712,634,4978,195,1495,405,2095,50,640,157,847,4016,23824,3563,31400
SOSR231,550,11595,2040,14188,495,8728,1147,10371,1211,14055,2645,17911,2279,18567,3048,23893,3970,25744,3559,33275,4958,27140,3610,35706,2872,21195,3334,27407,967,7694,1742,10409,218,1766,512,2499,17522,136485,21640,175653,584,10518,1757,12860,663,7359,792,8809,1940,13934,1462,17334,3810,18328,1962,24097,6558,23802,2795,33153,7659,22720,3001,33382,3641,16594,2708,22945,911,6067,1489,8465,157,2063,543,2766,25919,121389,16506,163808,1132,22113,3796,27043,1157,16079,1937,19177,3145,27990,4106,35251,6089,36897,5006,47992,10527,49543,6352,66424,12614,49863,6613,69088,6516,37792,6044,50347,1883,13756,3232,18869,373,3836,1057,5266,43437,257869,38145,339459
SOSR279,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,3,5,5,0,11,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,18,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,3,5,5,0,11,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,21,3,25
SOSR299,8,124,42,180,20,301,122,447,48,695,306,1052,47,419,352,813,43,335,251,628,43,279,141,460,30,192,62,283,3,49,23,72,0,9,0,9,243,2405,1296,3942,7,131,41,178,22,323,107,453,57,538,201,795,54,272,152,479,40,216,93,347,52,227,78,352,26,141,36,204,4,29,9,49,0,19,11,28,265,1887,725,2883,18,254,84,357,41,627,229,898,101,1239,505,1848,101,691,500,1295,87,547,337,975,92,503,215,816,58,332,95,482,7,81,36,121,0,22,11,38,505,4294,2019,6825
