SOSR_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SOSR201,478541,26591,13013,5470,493,234,1349,525687
SOSR203,14748,1081,593,97,18,10,74,16625
SOSR211,24656,2176,1485,239,45,18,141,28765
SOSR212,15705,1307,809,164,28,11,107,18130
SOSR213,22695,2004,1308,182,27,12,151,26375
SOSR214,11271,964,629,99,19,7,84,13063
SOSR215,18898,1571,1063,155,25,23,141,21878
SOSR221,5173,430,290,31,6,6,43,5988
SOSR222,3335,265,191,36,0,3,29,3862
SOSR231,43874,3055,1857,416,64,24,282,49588
SOSR279,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0
