SOSR_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
SOSR201,9104,3414,4764,1129,18419,3539,1227,1822,444,7040,2857,2209,4930,576,10569,1726,1508,5306,260,8800,15122,4991,8239,882,29233,8195,7175,13217,886,29472,39253,12160,14449,1607,67473,23882,19576,16374,2106,61931,30375,31246,17722,2554,81899,28846,35444,13650,2260,80206,19660,35353,10751,1508,67268,21864,36205,8308,1446,67819,46376,75082,11894,2384,135735,31666,56176,5017,1299,94154,19288,38123,2188,681,60283,13161,29396,2604,318,45475,27548,73968,2553,536,104597,23688,56952,15502,917,97057,7298,5488,3467,419,16673,373438,525687,162762,22218,1084106
SOSR203,182,55,106,13,349,98,39,68,3,205,103,47,222,15,388,53,37,276,13,374,742,148,517,33,1439,371,204,868,27,1472,2099,422,851,64,3435,1252,617,870,90,2827,1472,1064,879,88,3503,1370,1261,605,86,3322,833,1308,443,46,2631,926,1366,322,47,2664,1806,2712,385,59,4964,1114,1852,133,26,3119,543,1216,51,10,1821,315,713,66,3,1099,594,1521,57,9,2180,942,1852,669,33,3489,350,183,192,14,734,15148,16625,7579,677,40024
SOSR211,263,106,215,10,602,173,41,104,27,341,153,65,389,26,632,79,43,621,5,751,1058,239,1029,70,2399,654,332,1797,68,2845,3805,694,1829,130,6460,2197,1312,1753,117,5383,2717,2181,1587,169,6656,2626,2776,1152,123,6663,1668,2689,767,84,5198,1680,2576,521,68,4844,3128,4692,622,103,8539,1618,3123,203,42,4990,828,1807,70,16,2722,380,989,86,4,1457,683,1697,77,7,2468,1576,3096,1253,57,5985,602,316,336,30,1278,25880,28765,14418,1150,70220
SOSR212,211,83,95,14,407,112,28,57,13,208,86,76,227,11,399,60,43,338,5,444,716,185,585,33,1516,424,235,1006,36,1694,2392,440,1012,59,3901,1324,746,1007,74,3148,1694,1218,875,80,3872,1596,1487,637,65,3795,936,1566,427,37,2968,1087,1575,308,43,3015,1983,2961,384,54,5388,1174,2032,158,24,3393,526,1190,46,7,1772,281,700,57,5,1047,499,1288,44,8,1835,993,2069,714,48,3822,435,215,224,15,893,16539,18130,8213,627,43515
SOSR213,323,71,134,8,541,177,40,101,13,330,164,60,333,19,580,102,35,520,5,660,1262,186,859,35,2335,667,241,1431,31,2370,4040,551,1412,85,6095,2368,1066,1359,118,4907,2849,1921,1289,104,6167,2443,2330,869,120,5764,1479,2377,581,47,4482,1613,2391,431,44,4474,2911,4275,519,73,7776,1618,2940,180,30,4762,803,1673,50,12,2542,411,1013,79,0,1510,813,1776,70,11,2666,1651,3150,1035,40,5876,723,286,313,32,1361,26412,26375,11581,819,65189
SOSR214,188,34,53,5,282,135,23,63,5,217,104,36,177,3,330,58,19,297,0,379,872,102,496,24,1492,448,159,819,16,1448,2876,328,833,47,4087,1537,590,773,64,2956,1793,1085,662,40,3578,1525,1270,403,52,3251,829,1261,297,33,2424,869,1149,214,30,2266,1372,1972,231,32,3611,735,1313,78,10,2142,408,733,28,4,1161,158,443,45,0,652,334,725,26,3,1089,996,1671,633,25,3324,468,148,173,22,809,15703,13063,6309,430,35505
SOSR215,281,68,104,15,461,232,33,75,4,342,163,71,280,13,529,104,42,413,7,569,1231,165,684,31,2119,661,251,1139,27,2078,4059,506,1104,85,5760,2240,942,1069,105,4356,2718,1769,981,85,5554,2357,2032,690,78,5154,1301,1985,450,29,3760,1420,1969,327,34,3746,2451,3511,369,48,6380,1301,2299,115,31,3741,634,1207,46,7,1893,342,748,59,4,1149,592,1223,45,7,1866,1519,2827,951,33,5332,687,241,244,20,1189,24289,21878,9165,667,55993
SOSR221,83,13,27,4,128,66,17,15,0,91,44,19,61,3,129,42,6,123,0,176,412,65,195,7,681,256,55,280,9,605,1393,164,266,20,1843,664,321,287,30,1302,816,486,240,25,1566,705,597,171,12,1494,375,574,118,7,1074,380,533,63,6,986,645,883,71,15,1605,356,603,18,8,984,175,303,9,0,486,94,180,13,0,284,151,298,13,0,463,494,804,236,15,1547,230,80,75,8,384,7385,5988,2269,170,15822
SOSR222,59,18,27,0,106,44,6,8,0,61,39,8,49,3,103,30,3,54,0,86,246,30,113,6,399,142,57,202,3,408,750,101,191,13,1056,393,199,170,18,779,495,327,160,18,1001,420,378,91,6,896,255,365,74,5,697,270,331,47,5,649,422,589,43,4,1060,212,376,21,5,619,92,216,0,0,312,50,108,7,0,167,95,165,11,0,273,292,550,162,12,1015,126,34,42,4,211,4433,3862,1474,117,9884
SOSR231,890,282,184,19,1381,650,146,117,18,935,454,217,331,21,1025,224,109,412,8,747,2469,432,713,53,3663,1388,627,1080,48,3139,6318,1180,1186,84,8770,4253,2005,1180,135,7570,5236,3529,1134,118,10020,4788,4093,870,107,9861,2570,3692,562,47,6873,3186,3927,412,63,7587,5367,7040,565,73,13043,2959,4966,247,34,8210,1734,2997,96,12,4842,941,1922,94,8,2964,2333,4143,141,19,6645,3439,7575,1221,39,12273,1277,713,278,26,2294,50481,49588,10830,928,111828
