SOSR_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SOSR201,7603,2178,23530,10319,7639,7032,3315,5646,648,67923,171,164,207,221,198,191,190,414,77,1822,3855,5989,2137,2740,3785,1910,1438,1407,748,24005,2929,3466,4693,3147,3256,2840,2665,3521,5087,31613,200727,468146,184317,140724,171701,89068,48711,66631,21208,1391235
SOSR203,267,70,1037,437,260,271,113,278,37,2773,7,13,7,11,6,7,8,9,0,62,81,151,65,84,94,46,51,49,17,646,93,104,207,138,110,114,146,227,172,1311,5276,14077,7823,6412,5040,2962,1840,2930,654,46999
SOSR211,416,117,1721,757,525,554,249,544,46,4931,3,14,10,5,12,11,12,25,3,100,146,205,118,150,141,64,101,83,28,1045,178,149,352,275,201,233,237,332,293,2257,8202,20557,13628,10773,8663,4754,3643,5092,1082,76385
SOSR212,330,77,1167,456,367,416,145,364,27,3341,6,9,13,4,4,4,7,22,0,69,76,106,73,81,88,45,48,62,22,597,125,107,220,159,126,163,148,254,195,1506,5273,12343,8501,6355,5083,2831,2020,3238,636,46284
SOSR213,410,133,1673,707,458,538,202,526,47,4687,7,12,6,8,3,3,7,30,7,78,108,182,104,152,108,57,75,74,35,880,199,139,350,265,167,207,203,367,273,2173,7945,17857,13166,9849,7053,4084,3066,4838,1022,68882
SOSR214,232,64,926,376,206,272,102,303,28,2522,0,3,0,7,0,7,6,16,0,52,70,99,54,73,61,19,40,64,14,492,156,109,236,171,123,143,138,262,140,1480,4103,7937,6647,5016,3375,1993,1553,2811,513,33951
SOSR215,502,88,1452,525,356,428,185,496,40,4068,9,11,3,8,11,9,8,19,5,75,126,167,91,102,107,48,62,63,31,788,240,173,430,278,196,231,235,456,253,2495,7176,13023,11751,7767,5779,3348,2867,4531,913,57162
SOSR221,112,15,367,161,93,102,32,139,8,1032,4,0,0,0,4,0,0,10,0,16,31,42,33,35,23,8,17,21,7,218,69,62,120,80,61,84,72,120,69,731,1990,3507,3308,2127,1529,889,832,1314,242,15738
SOSR222,90,14,257,82,68,65,30,71,5,669,0,3,0,0,0,0,0,4,0,13,14,20,12,20,17,4,7,13,0,106,60,30,73,41,43,29,59,87,48,475,1360,2153,2064,1376,954,513,561,915,150,10047
SOSR231,1018,136,1829,758,756,580,273,767,67,6181,32,18,10,9,16,15,11,20,9,140,407,311,217,221,192,83,145,125,53,1762,1270,367,906,447,425,438,504,770,466,5601,27625,27359,22204,12778,12110,5499,6140,9206,1963,124885
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,4,0,22
SOSR299,9,3,34,8,3,3,4,6,0,75,0,0,0,0,0,0,0,0,0,0,3,4,5,7,3,3,0,6,0,34,4,5,15,4,0,0,9,14,15,66,132,367,223,181,112,65,72,142,34,1337
