SOSR_CODE_2016,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_15,F_AgriForestFish_16_24,F_AgriForestFish_25_34,F_AgriForestFish_35_39,F_AgriForestFish_40,F_AgriForestFish_41_48,F_AgriForestFish_49over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_15,F_Min_16_24,F_Min_25_34,F_Min_35_39,F_Min_40,F_Min_41_48,F_Min_49over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_15,F_Mnfg_16_24,F_Mnfg_25_34,F_Mnfg_35_39,F_Mnfg_40,F_Mnfg_41_48,F_Mnfg_49over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_15,F_EGW_WS_16_24,F_EGW_WS_25_34,F_EGW_WS_35_39,F_EGW_WS_40,F_EGW_WS_41_48,F_EGW_WS_49over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_15,F_Cnstn_16_24,F_Cnstn_25_34,F_Cnstn_35_39,F_Cnstn_40,F_Cnstn_41_48,F_Cnstn_49over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_15,F_WTrade_16_24,F_WTrade_25_34,F_WTrade_35_39,F_WTrade_40,F_WTrade_41_48,F_WTrade_49over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_15,F_RTrade_16_24,F_RTrade_25_34,F_RTrade_35_39,F_RTrade_40,F_RTrade_41_48,F_RTrade_49over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_15,F_AccomFoodS_16_24,F_AccomFoodS_25_34,F_AccomFoodS_35_39,F_AccomFoodS_40,F_AccomFoodS_41_48,F_AccomFoodS_49over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_15,F_TransPostWhse_16_24,F_TransPostWhse_25_34,F_TransPostWhse_35_39,F_TransPostWhse_40,F_TransPostWhse_41_48,F_TransPostWhse_49over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_15,F_InfoMedTelecom_16_24,F_InfoMedTelecom_25_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40,F_InfoMedTelecom_41_48,F_InfoMedTelecom_49over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_15,F_FinInsurS_16_24,F_FinInsurS_25_34,F_FinInsurS_35_39,F_FinInsurS_40,F_FinInsurS_41_48,F_FinInsurS_49over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_15,F_RentHirREserv_16_24,F_RentHirREserv_25_34,F_RentHirREserv_35_39,F_RentHirREserv_40,F_RentHirREserv_41_48,F_RentHirREserv_49over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_15,F_ProScieTechServ_16_24,F_ProScieTechServ_25_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40,F_ProScieTechServ_41_48,F_ProScieTechServ_49over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_15,F_AdminSupServ_16_24,F_AdminSupServ_25_34,F_AdminSupServ_35_39,F_AdminSupServ_40,F_AdminSupServ_41_48,F_AdminSupServ_49over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_15,F_PubAdmiSafety_16_24,F_PubAdmiSafety_25_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40,F_PubAdmiSafety_41_48,F_PubAdmiSafety_49over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_15,F_EducTrain_16_24,F_EducTrain_25_34,F_EducTrain_35_39,F_EducTrain_40,F_EducTrain_41_48,F_EducTrain_49over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_15,F_HealthCareSocA_16_24,F_HealthCareSocA_25_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40,F_HealthCareSocA_41_48,F_HealthCareSocA_49over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_15,F_ArtRecServ_16_24,F_ArtRecServ_25_34,F_ArtRecServ_35_39,F_ArtRecServ_40,F_ArtRecServ_41_48,F_ArtRecServ_49over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_15,F_OthServ_16_24,F_OthServ_25_34,F_OthServ_35_39,F_OthServ_40,F_OthServ_41_48,F_OthServ_49over,F_OthServ_hours_NS,F_OthServ_Tot
SOSR201,22323,82907,68489,72587,205537,259231,121511,190585,21512,1044686,129,538,516,559,732,558,230,240,41,3531,62,43,95,86,128,289,114,208,3,1035,1346,5064,4837,5192,12373,9212,3732,3147,356,45256,321,235,491,632,1919,1522,549,478,30,6173,539,2974,2786,2710,3365,4024,1350,1608,203,19566,889,2242,2865,3060,6850,5866,2213,2206,159,26348,3753,29764,18931,16755,17743,11146,5660,5814,1214,110789,1836,22780,12197,8737,6872,4923,3057,3986,989,65380,1014,1814,2496,3284,5760,4594,1896,1740,210,22807,670,1619,1653,1791,3569,3796,1653,1844,135,16736,2280,1953,4386,4932,9833,11926,3818,4192,287,43599,556,1824,1859,1791,3548,3704,1654,1793,141,16871,3034,9071,9545,9998,14662,17207,7162,8954,506,80130,1176,6711,6144,4985,6619,5118,2062,2259,384,35458,3128,3387,5787,6694,13018,8491,4444,3451,316,48716,4382,18868,17741,17150,20389,15204,9574,14623,842,118773,9031,22136,33035,40442,34948,25326,9160,10334,1784,186197,704,5328,2681,2544,2342,2303,1161,1514,184,18765,1009,6651,5081,5144,6406,3994,1983,1994,348,32605
SOSR203,1039,3318,2162,2578,6819,8544,4306,6386,714,35868,12,34,21,22,19,23,10,18,0,163,8,0,3,3,3,0,0,4,0,18,46,182,164,136,218,242,80,70,14,1151,9,22,28,22,100,48,17,14,0,268,22,130,80,87,93,103,30,33,12,595,16,75,65,64,107,71,39,26,0,462,223,1366,860,801,747,487,252,233,44,5010,121,1250,523,419,262,170,119,145,53,3070,22,62,68,78,85,74,39,40,4,475,17,65,56,46,73,46,27,17,3,342,81,64,157,148,286,227,108,66,0,1149,16,42,52,52,122,84,32,48,3,455,56,235,231,231,370,269,128,139,12,1663,36,324,232,175,192,86,41,60,17,1157,153,223,264,282,474,357,166,136,21,2076,214,707,765,716,867,553,362,559,32,4773,519,1065,1741,2098,1497,1007,423,370,70,8799,23,185,72,72,56,33,20,27,9,503,39,272,182,220,192,119,73,50,16,1167
SOSR211,1804,5030,3260,4551,12860,13828,8088,10904,1223,61541,18,82,52,55,65,44,17,22,3,360,6,10,8,17,20,28,16,24,0,124,105,385,277,289,695,429,201,173,22,2572,10,16,30,52,85,82,14,21,0,314,31,225,163,193,217,186,55,72,14,1165,32,106,71,91,175,107,49,44,3,683,371,2268,1421,1382,1284,578,320,270,76,7967,204,2051,840,724,473,290,180,271,89,5122,57,154,156,186,297,223,97,98,10,1277,47,84,67,67,178,102,78,47,4,677,133,108,244,269,541,313,134,86,16,1837,21,69,78,77,206,134,58,67,3,711,100,352,305,378,542,387,180,166,24,2439,80,476,329,320,347,174,75,79,27,1900,256,279,433,548,963,624,281,260,32,3677,345,1048,1144,1256,1452,861,585,876,69,7648,932,1597,2674,3705,2662,1827,664,699,119,14874,56,309,139,145,103,73,43,63,9,936,75,437,283,369,350,184,139,84,17,1943
SOSR212,1140,3039,1882,2602,7893,8870,4987,7076,760,38243,20,82,73,89,100,93,47,49,8,557,5,3,0,5,15,3,7,3,0,35,59,190,142,177,338,279,112,76,11,1377,25,15,37,36,97,96,32,21,0,353,16,123,91,92,108,129,42,43,0,658,17,59,70,75,131,98,46,31,3,530,229,1535,842,951,854,397,248,178,56,5289,91,1243,457,468,326,171,128,182,41,3111,43,95,124,143,219,154,56,64,8,904,13,64,38,47,97,63,26,19,3,370,53,59,109,146,228,185,52,78,3,923,10,44,69,75,137,60,44,51,3,493,59,203,182,234,403,230,102,101,13,1527,56,321,198,201,280,158,65,64,11,1357,177,205,345,428,645,412,165,120,24,2512,171,528,694,774,870,523,433,618,32,4639,533,874,1656,2190,1687,1130,370,443,90,8971,22,163,60,64,50,45,23,21,11,449,34,304,189,202,263,135,67,71,20,1283
SOSR213,1808,4447,2835,3924,10442,12559,6979,10814,1150,54954,41,135,90,109,127,91,42,55,9,706,8,3,7,8,3,11,6,12,0,57,93,357,287,290,418,333,126,117,20,2042,21,20,33,32,84,57,21,16,0,288,34,242,156,170,123,152,53,66,14,1010,31,102,89,95,172,122,56,38,5,719,343,1918,1250,1269,1021,634,332,307,79,7150,204,1837,763,692,447,276,169,298,77,4761,40,144,129,151,190,128,60,68,13,928,18,104,59,67,123,70,31,31,0,502,84,84,195,202,321,248,93,94,7,1340,24,89,84,69,214,126,78,55,4,747,85,409,355,371,429,335,139,159,12,2283,68,529,279,271,287,139,64,89,28,1748,255,334,486,482,845,617,245,231,17,3521,309,968,1175,1238,1176,783,589,767,54,7065,786,1514,2673,3197,2097,1441,470,586,109,12867,41,273,118,109,73,46,24,37,8,724,63,445,317,339,410,171,96,124,24,1984
SOSR214,1064,2335,1580,2228,5266,6323,3450,5092,645,27979,30,89,64,56,60,40,28,33,12,423,0,0,7,7,3,10,10,11,0,39,74,211,206,232,277,307,142,77,11,1541,9,6,10,19,26,19,5,3,0,104,25,109,78,77,66,86,29,31,3,508,20,43,52,40,86,59,29,19,0,334,180,899,671,651,481,253,167,161,37,3509,128,944,391,356,237,157,101,195,44,2557,31,60,83,76,96,76,31,41,8,501,13,39,39,42,48,23,12,12,0,232,47,24,84,106,164,94,31,30,3,595,23,47,50,50,68,46,20,34,3,335,34,210,153,192,217,135,64,75,8,1099,24,291,141,148,112,75,28,39,15,874,112,178,233,242,402,270,107,113,8,1668,136,469,540,580,508,353,275,426,23,3299,454,724,1296,1588,916,681,265,291,61,6282,19,124,73,75,47,45,26,37,9,450,38,218,154,146,134,107,60,54,16,930
SOSR215,1783,3654,2657,3455,8305,10666,5841,9068,1105,46524,57,179,128,154,164,123,53,85,23,964,4,4,0,5,10,12,8,16,0,61,90,339,263,268,436,342,150,132,17,2047,21,18,21,33,61,61,20,12,3,251,45,205,144,133,150,153,50,44,12,928,27,75,79,89,130,118,47,34,8,606,223,1565,982,1067,836,418,271,287,74,5716,191,1324,655,602,382,244,179,409,85,4074,45,143,130,134,189,136,66,83,15,942,15,73,57,46,70,48,23,16,3,354,70,100,163,184,202,141,62,60,10,991,23,82,80,66,123,110,61,43,8,612,84,315,284,327,332,250,118,160,10,1879,43,467,242,244,187,145,59,68,30,1472,204,299,394,370,558,403,179,142,22,2573,303,778,914,965,878,582,456,693,63,5644,700,1142,2053,2507,1480,1042,348,431,115,9820,27,194,100,130,99,71,32,40,11,705,76,365,237,237,269,151,88,73,7,1509
SOSR221,548,1057,732,983,2228,2875,1459,2610,292,12780,20,63,38,67,35,38,19,43,3,343,3,0,0,0,0,3,3,3,0,16,30,88,63,67,114,81,32,44,6,516,0,3,4,3,9,17,4,7,0,56,14,70,37,35,37,26,9,10,3,244,6,20,28,22,26,24,10,10,0,153,74,429,271,263,209,113,61,80,11,1510,35,382,161,141,79,70,44,121,20,1053,10,50,40,51,47,39,18,19,3,269,4,18,17,16,15,10,6,8,0,88,21,17,43,39,53,36,17,18,0,237,7,21,20,19,30,21,3,16,0,142,17,87,82,84,86,49,31,34,4,471,24,108,79,46,47,21,15,13,10,368,70,82,115,102,197,113,40,55,8,771,84,254,243,306,242,138,136,170,12,1584,196,324,630,702,364,267,93,130,28,2740,23,47,37,34,27,20,10,20,8,225,15,86,68,78,49,48,16,19,4,384
SOSR222,350,647,512,657,1417,1888,995,1833,218,8518,15,53,41,37,43,32,24,27,0,271,0,0,3,3,0,3,0,3,0,12,23,53,38,46,61,62,22,19,4,324,0,0,5,0,12,10,0,5,0,37,4,50,28,23,21,32,5,11,3,171,3,15,13,15,18,22,9,4,0,105,32,232,170,143,115,74,45,80,12,901,32,236,110,92,62,65,58,135,8,805,5,38,30,33,42,21,22,19,3,212,0,14,3,10,13,8,4,11,0,65,10,10,14,21,35,25,7,7,0,127,3,15,10,9,27,17,5,17,0,109,17,61,50,57,49,31,16,20,5,309,9,90,49,46,35,31,17,15,5,295,36,45,75,68,102,64,28,21,8,439,48,165,148,149,192,91,85,123,7,1013,131,203,354,410,220,177,64,90,22,1667,10,39,21,23,15,6,4,8,5,142,9,51,28,34,39,21,6,9,0,199
SOSR231,3922,8249,5827,7602,14623,22433,11286,31071,2749,107756,493,1931,1422,1592,849,1515,582,3010,253,11647,6,15,31,17,28,51,18,36,0,198,176,696,587,563,812,607,314,334,51,4138,37,40,68,75,126,135,27,50,3,554,100,550,425,366,273,431,103,189,43,2473,64,223,216,257,266,269,118,144,16,1566,412,2656,1628,1608,1243,741,377,548,134,9342,247,2483,970,813,466,339,184,521,124,6146,112,332,267,331,294,290,148,199,32,1997,33,129,97,97,122,82,69,38,4,673,126,151,264,302,364,331,103,112,20,1782,43,154,171,145,239,183,83,119,6,1136,206,808,751,847,715,631,303,420,38,4738,135,771,501,436,356,336,105,151,43,2839,377,472,711,801,1049,790,395,370,49,5012,490,1610,1880,1892,1551,1168,822,1369,117,10897,1240,2252,4167,4542,2491,1977,717,853,213,18450,78,418,237,225,189,140,85,184,22,1580,104,617,468,457,425,346,128,220,43,2804
SOSR279,0,0,0,0,0,0,0,17,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,64,96,107,108,210,272,113,215,53,1242,0,0,6,3,3,3,0,0,0,18,0,0,0,0,0,0,0,0,0,6,0,0,3,0,7,7,10,3,0,24,0,0,0,0,0,3,0,0,0,4,0,3,0,3,4,3,0,4,0,20,0,0,0,0,5,7,0,0,0,12,0,14,8,14,13,9,3,4,0,62,6,22,18,28,18,8,9,15,4,130,0,3,3,3,3,3,0,3,0,23,0,3,0,0,0,0,6,4,0,9,4,3,0,0,9,5,0,0,0,22,0,0,0,0,4,3,0,0,0,13,0,5,6,3,10,15,4,7,0,59,0,8,3,3,6,3,0,6,0,37,8,0,3,3,7,8,4,0,0,36,3,16,9,13,11,9,0,6,6,70,10,11,20,31,13,20,16,8,0,139,0,3,0,6,0,4,0,8,0,28,0,6,6,3,7,6,0,0,0,38
