SSC_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
SSC20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20002,399,847,1940,16,18,3220,54,71,128,3,0,253,11,22,51,0,0,78,462,933,2117,22,24,3556
SSC20003,771,211,150,8,3,1156,82,26,31,0,0,131,5,3,5,0,0,17,860,238,188,10,3,1306
SSC20004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20005,46,0,0,3,0,48,8,0,0,0,0,8,0,0,0,0,0,0,52,0,0,3,0,58
SSC20006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20007,14,0,0,0,0,14,3,0,0,0,0,3,0,0,0,0,0,0,19,0,0,0,0,19
SSC20008,22,0,0,0,0,22,6,0,0,0,0,6,0,0,0,0,0,0,27,0,0,0,0,27
SSC20009,20,0,0,0,0,19,9,0,0,0,0,9,0,0,0,0,0,0,30,0,0,0,0,30
SSC20010,17,0,0,0,0,17,6,0,0,0,0,6,0,0,0,0,0,0,25,0,0,0,0,25
SSC20011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20012,272,0,4,4,0,278,26,0,0,3,0,26,6,0,0,0,0,6,303,0,4,6,0,319
SSC20013,37,0,0,3,0,39,10,0,0,0,0,10,0,0,0,0,0,0,46,0,0,3,0,46
SSC20014,1525,756,43,9,11,2345,441,118,6,0,0,571,53,26,0,0,6,82,2022,903,53,10,20,3005
SSC20015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20016,1344,32,0,0,0,1379,288,6,0,0,3,294,64,0,0,0,0,65,1691,43,0,0,3,1736
SSC20017,354,1408,358,6,13,2139,37,132,108,0,3,280,4,33,27,0,0,60,400,1569,491,9,15,2485
SSC20018,71,0,0,0,0,71,27,0,0,0,0,24,4,0,0,0,0,4,97,0,0,0,0,104
SSC20019,26,0,0,0,0,26,6,0,0,0,0,6,0,0,0,0,0,0,32,0,0,0,0,32
SSC20020,686,252,336,3,4,1277,207,57,148,0,3,408,48,22,30,0,0,99,944,321,512,3,5,1791
SSC20021,705,47,7,22,0,786,185,35,12,12,0,242,39,19,3,9,0,67,935,98,17,45,3,1098
SSC20022,2424,142,149,0,17,2738,241,16,63,0,3,328,38,4,7,0,3,55,2706,167,222,3,15,3116
SSC20023,11,0,0,0,0,11,4,0,0,0,0,4,0,0,0,0,0,0,10,0,0,0,0,10
SSC20024,16,0,0,0,0,16,0,0,0,0,0,0,3,0,0,0,0,3,24,0,0,0,0,24
SSC20025,20,0,0,0,0,20,8,0,0,0,0,8,0,0,0,0,0,0,28,0,0,0,0,28
SSC20026,92,0,0,0,0,92,11,0,0,0,0,11,0,0,0,0,0,0,107,0,0,0,0,107
SSC20027,368,0,3,34,3,404,64,0,0,19,0,77,8,0,0,0,0,7,434,0,3,50,3,492
SSC20028,53,0,0,0,0,53,8,0,0,0,0,8,0,0,0,0,0,0,61,0,0,0,0,61
SSC20029,29,0,0,0,0,29,12,0,0,0,0,12,0,0,0,0,0,0,49,0,0,0,0,49
SSC20030,57,0,0,0,0,56,17,0,0,0,0,20,0,0,0,0,0,0,75,0,0,0,0,77
SSC20031,5,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,8
SSC20032,13,0,0,0,3,11,3,0,0,0,0,3,0,0,0,0,0,0,17,0,0,0,3,17
SSC20033,981,341,331,0,7,1664,85,32,46,0,0,168,20,6,10,0,0,41,1088,384,389,0,13,1876
SSC20034,2012,1190,275,11,11,3504,427,267,94,0,0,790,65,42,16,0,0,124,2515,1501,388,13,10,4415
SSC20035,4277,1122,255,3,11,5664,770,223,53,0,0,1049,121,29,11,0,0,164,5169,1375,323,4,12,6874
SSC20036,2107,799,125,7,16,3057,857,178,66,3,0,1099,104,26,18,0,0,154,3070,1008,207,12,18,4310
SSC20037,38,0,0,0,0,38,15,0,0,0,0,15,6,0,0,0,0,6,53,0,0,0,0,53
SSC20038,17,0,0,0,0,17,5,0,0,0,0,5,0,0,0,0,0,0,30,0,0,0,0,30
SSC20039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20040,69,0,0,0,0,69,30,0,0,0,0,30,0,0,0,0,0,0,100,0,0,0,0,100
SSC20041,182,0,0,0,0,182,43,0,0,0,0,41,8,0,0,0,0,7,233,0,0,0,0,239
SSC20042,17,0,0,0,0,23,6,0,0,0,0,11,0,0,0,0,0,0,25,0,0,0,0,32
SSC20043,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12
SSC20044,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
SSC20045,783,17,21,5,3,830,100,4,19,6,0,128,22,0,0,0,0,21,907,27,37,11,5,985
SSC20046,6,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,7
SSC20047,15,0,0,0,0,18,4,0,0,0,0,4,0,0,0,0,0,0,22,0,0,0,0,21
SSC20048,402,28,21,10,3,467,97,20,8,3,0,127,16,0,0,0,0,12,514,50,27,16,3,606
SSC20049,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC20050,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12
SSC20051,90,0,0,7,0,97,30,0,0,0,0,35,0,0,0,0,0,3,121,3,0,7,0,133
SSC20052,2050,49,60,19,10,2187,658,61,39,13,5,781,92,4,10,3,3,112,2802,118,110,38,15,3076
SSC20053,31,0,0,0,0,31,8,0,0,0,0,8,0,0,0,0,0,0,39,0,0,0,0,39
SSC20054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20055,61,0,0,0,0,61,13,0,0,0,0,13,3,0,0,0,0,3,80,0,0,0,0,80
SSC20056,27,0,0,0,0,27,3,0,0,0,0,3,0,0,0,0,0,0,25,0,0,0,0,25
SSC20057,6,0,0,0,0,6,4,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,8
SSC20058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC20059,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
