SUA_CODE_2016,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
2000,165,31,14532,207,296,14,0,312,7,521,9,17,10,0,32,0,42,4,0,0,0,0,0,7,217,320,23,3,340,7,560,52,0,0,0,0,25,74,14596,481,24,7,508,58,15169,3651,41,0,0,41,6,3695,60,90,0,0,90,0,152,0,8,4,0,12,0,19,0,0,0,0,0,0,0,69,97,9,0,103,0,174,19,0,0,0,0,4,20,3732,135,9,0,139,16,3886,981,14,0,0,12,0,995,18,23,0,0,23,0,41,0,0,3,0,4,0,5,0,0,0,0,0,0,0,21,21,3,0,26,0,41,0,0,0,0,0,0,3,999,37,3,0,35,3,1040,98414,1122,16,22,1160,314,99879,1905,2694,107,18,2823,20,4741,59,175,138,3,319,0,375,36,10,0,11,21,0,57,1992,2879,250,24,3161,19,5174,335,13,0,0,13,199,549,100742,4019,263,45,4329,533,105604
2001,20,4,485,13,24,0,0,24,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,24,0,0,24,0,39,3,0,0,0,0,0,3,475,43,0,0,43,5,527,182,8,0,0,8,0,189,3,13,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,13,0,13,0,0,0,0,0,0,0,181,21,0,0,21,0,203,69,0,0,0,0,0,69,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,75,0,0,0,0,0,78,3497,104,0,0,103,11,3611,104,193,3,0,200,0,299,0,6,4,0,12,0,13,0,3,0,0,3,0,3,105,202,8,0,214,0,312,10,0,0,0,0,4,12,3607,305,8,0,314,18,3936
2002,3,3,253,4,3,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,11,0,0,0,0,0,0,0,246,8,0,0,11,3,262,58,0,0,0,0,0,58,0,5,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,7,0,0,0,0,0,0,0,62,5,0,0,5,0,60,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,1789,21,0,0,21,14,1825,46,63,7,0,69,0,117,0,3,8,0,8,0,8,0,3,0,0,3,0,3,46,69,13,0,83,0,127,3,0,0,0,0,0,8,1841,88,13,0,104,11,1958
2003,25,0,1804,46,74,12,0,87,0,134,0,3,4,0,11,0,11,0,0,0,0,0,0,0,46,79,15,0,95,0,142,0,0,0,0,0,0,0,1829,107,16,0,118,0,1948,620,6,0,0,6,0,630,14,33,3,0,37,0,53,0,0,0,0,0,0,5,0,0,0,0,0,0,0,18,34,3,0,39,0,54,0,0,0,0,0,0,0,642,45,3,0,47,0,686,237,0,0,0,0,0,237,4,10,0,0,16,0,23,0,3,0,0,3,0,3,0,0,0,0,0,0,0,4,18,0,0,15,0,21,0,0,0,0,0,0,0,247,15,0,0,19,0,265,14316,186,4,0,192,14,14515,341,883,44,5,935,3,1281,16,81,21,0,102,0,115,0,0,0,0,0,0,0,356,962,70,5,1037,3,1395,10,3,0,0,3,24,39,14680,1151,71,7,1232,36,15944
2004,13,5,1746,30,48,9,0,54,0,86,3,6,37,0,47,0,44,0,0,0,0,0,0,0,29,56,46,0,105,0,131,0,0,0,0,0,0,4,1761,67,49,0,115,3,1885,569,3,0,0,3,0,577,4,13,0,0,14,0,19,0,8,20,0,29,0,28,0,0,0,0,0,0,0,10,23,22,0,44,0,52,0,0,0,0,0,0,0,579,23,22,0,47,0,626,181,3,0,0,3,0,182,0,6,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,0,12,0,0,0,0,0,0,0,181,14,0,0,11,0,193,13477,138,4,0,139,26,13639,223,665,35,6,713,0,931,9,73,264,0,335,0,340,0,4,0,6,10,0,10,230,744,302,15,1056,0,1283,26,0,4,0,4,17,43,13723,878,307,15,1200,45,14966
2005,6,0,247,0,3,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,5,0,0,0,0,0,0,0,243,6,0,0,7,0,257,49,3,0,0,3,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,3,0,0,3,0,54,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,1702,18,0,0,18,5,1719,25,79,8,0,87,0,106,0,17,9,0,26,0,26,0,0,0,0,0,0,0,27,89,18,0,107,0,131,5,0,0,0,0,5,12,1729,110,18,0,127,8,1866
2006,0,0,441,0,10,0,0,10,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,8,0,0,0,0,0,0,0,443,12,0,0,12,0,452,111,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,114,23,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,23,2969,23,0,0,23,4,2998,29,77,3,0,79,0,110,0,4,0,0,5,0,5,0,0,0,0,0,0,0,29,74,3,0,84,0,115,16,0,0,0,0,19,33,3018,100,3,0,104,24,3139
2007,98,8,4468,134,340,18,0,361,0,493,11,40,77,0,115,0,120,0,0,0,5,5,0,7,140,382,89,5,476,0,621,5,0,0,0,0,0,12,4515,474,89,11,576,6,5096,1878,41,0,0,41,3,1919,60,207,13,0,220,0,279,0,16,37,0,56,0,56,0,0,0,0,3,0,3,58,219,52,0,275,0,336,5,0,0,0,0,0,5,1941,261,52,0,313,3,2260,772,15,0,0,15,0,790,25,92,8,0,102,0,127,0,12,26,0,36,0,36,0,0,0,0,0,0,0,26,102,37,0,141,0,169,0,0,0,0,0,0,0,801,123,37,0,153,0,954,35449,781,3,11,794,28,36272,1076,3182,124,11,3309,10,4393,23,316,416,7,744,0,762,5,19,0,17,30,0,35,1104,3508,545,32,4083,14,5197,55,0,0,3,4,41,94,36603,4292,548,41,4879,80,41563
2008,12,0,553,13,9,0,0,11,0,24,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,13,3,0,13,0,26,0,0,0,0,0,0,3,552,21,3,0,27,0,576,261,4,0,0,4,0,264,5,7,0,0,7,0,13,0,0,0,0,3,0,3,0,0,0,0,0,0,0,5,4,0,0,6,0,15,0,0,0,0,0,0,0,270,8,0,0,10,0,276,113,3,0,0,3,0,113,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,113,4,0,0,4,0,114,4300,74,0,5,81,12,4393,96,108,3,0,112,0,206,4,6,5,0,10,0,20,0,0,0,0,0,0,0,99,115,8,0,125,0,223,4,0,0,0,0,4,9,4405,186,8,5,206,18,4625
2009,0,0,292,3,15,0,0,15,0,15,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,16,0,0,16,0,20,4,0,0,0,0,0,3,299,17,0,0,15,0,318,56,0,0,0,0,0,56,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,8,0,0,0,0,0,0,0,56,4,0,0,3,0,61,5,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,12,2224,24,0,0,24,0,2246,42,143,0,0,141,0,184,0,8,9,0,16,0,18,0,3,0,0,3,0,3,39,153,10,0,167,0,204,7,0,0,0,0,0,8,2271,177,10,0,188,0,2462
