SUA_CODE_2016,MSEO_SEO,MSEO_SOLSE_VWorW,MSEO_SOLSE_NWorNAA,MSEO_SOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_SOLSE_VWorW,MOL_Afrikaans_SOLSE_NWorNAA,MOL_Afrikaans_SOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_SOLSE_VWorW,MOL_Arabic_SOLSE_NWorNAA,MOL_Arabic_SOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_SOLSE_VWorW,MOL_AIndLng_SOLSE_NWorNAA,MOL_AIndLng_SOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_SOLSE_VWorW,MOL_CL_Canton_SOLSE_NWorNAA,MOL_CL_Canton_SOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_SOLSE_VWorW,MOL_CL_Mandarin_SOLSE_NWorNAA,MOL_CL_Mandarin_SOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_SOLSE_VWorW,MOL_CL_Oth_SOLSE_NWorNAA,MOL_CL_Oth_SOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_SOLSE_VWorW,MOL_CL_Tot_SOLSE_NWorNAA,MOL_CL_Tot_SOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_SOLSE_VWorW,MOL_Croatian_SOLSE_NWorNAA,MOL_Croatian_SOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_Dutch_SEO,MOL_Dutch_SOLSE_VWorW,MOL_Dutch_SOLSE_NWorNAA,MOL_Dutch_SOLSE_Tot,MOL_Dutch_NS,MOL_Dutch_Tot,MOL_French_SEO,MOL_French_SOLSE_VWorW,MOL_French_SOLSE_NWorNAA,MOL_French_SOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_SOLSE_VWorW,MOL_German_SOLSE_NWorNAA,MOL_German_SOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_SOLSE_VWorW,MOL_Greek_SOLSE_NWorNAA,MOL_Greek_SOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_SOLSE_VWorW,MOL_IAL_Bengali_SOLSE_NWorNAA,MOL_IAL_Bengali_SOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_SOLSE_VWorW,MOL_IAL_Hindi_SOLSE_NWorNAA,MOL_IAL_Hindi_SOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_SOLSE_VWorW,MOL_IAL_Punjabi_SOLSE_NWorNAA,MOL_IAL_Punjabi_SOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_SOLSE_VWorW,MOL_IAL_Sinhal_SOLSE_NWorNAA,MOL_IAL_Sinhal_SOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_SOLSE_VWorW,MOL_IAL_Urdu_SOLSE_NWorNAA,MOL_IAL_Urdu_SOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_SOLSE_VWorW,MOL_IAL_Oth_SOLSE_NWorNAA,MOL_IAL_Oth_SOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_SOLSE_VWorW,MOL_IAL_Tot_SOLSE_NWorNAA,MOL_IAL_Tot_SOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_SOLSE_VWorW,MOL_Italian_SOLSE_NWorNAA,MOL_Italian_SOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_SOLSE_VWorW,MOL_Japan_SOLSE_NWorNAA,MOL_Japan_SOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Korean_SEO,MOL_Korean_SOLSE_VWorW,MOL_Korean_SOLSE_NWorNAA,MOL_Korean_SOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_SOLSE_VWorW,MOL_Macedon_SOLSE_NWorNAA,MOL_Macedon_SOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Maltese_SEO,MOL_Maltese_SOLSE_VWorW,MOL_Maltese_SOLSE_NWorNAA,MOL_Maltese_SOLSE_Tot,MOL_Maltese_NS,MOL_Maltese_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_SOLSE_VWorW,MOL_Persian_ED_SOLSE_NWorNAA,MOL_Persian_ED_SOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_SOLSE_VWorW,MOL_Polish_SOLSE_NWorNAA,MOL_Polish_SOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Russian_SEO,MOL_Russian_SOLSE_VWorW,MOL_Russian_SOLSE_NWorNAA,MOL_Russian_SOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_SOLSE_VWorW,MOL_Samoan_SOLSE_NWorNAA,MOL_Samoan_SOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_SOLSE_VWorW,MOL_Serbian_SOLSE_NWorNAA,MOL_Serbian_SOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_SOLSE_VWorW,MOL_SAL_Filipin_SOLSE_NWorNAA,MOL_SAL_Filipin_SOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_SOLSE_VWorW,MOL_SAL_Indon_SOLSE_NWorNAA,MOL_SAL_Indon_SOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_SOLSE_VWorW,MOL_SAL_Tagalog_SOLSE_NWorNAA,MOL_SAL_Tagalog_SOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_SOLSE_VWorW
2000,302117,..,..,..,..,302117,..,154,0,157,4,161,..,263,64,332,6,332,..,40,3,47,0,46,..,178,77,246,3,254,..,524,339,858,16,880,..,86,35,121,0,121,..,785,441,1227,21,1252,..,245,23,270,3,271,..,487,13,500,6,507,..,336,16,356,8,362,..,790,23,814,7,826,..,628,78,708,8,718,..,46,0,49,0,49,..,183,5,184,0,191,..,344,27,375,4,382,..,82,4,85,3,92,..,62,3,69,0,71,..,126,10,134,0,134,..,854,54,904,10,919,..,2057,175,2236,62,2297,..,133,16,152,3,155,..,49,33,81,0,81,..,125,18,147,3,150,..,262,8,274,3,279,..,54,5,59,0,59,..,149,12,164,0,165,..,84,16,100,0,101,..,33,3,37,0,37,..,128,18,145,3,147,..,262,10,275,0,275,..,99,4,107,0,109,..,237,16,250,4,254,..,67
2001,8747,..,..,..,..,8747,..,11,0,11,0,11,..,18,0,23,3,23,..,0,0,0,0,0,..,3,0,3,0,3,..,11,3,12,0,16,..,0,0,0,0,0,..,19,3,19,0,17,..,26,0,24,0,24,..,27,0,27,0,27,..,10,0,10,0,10,..,21,0,21,0,21,..,42,0,39,0,39,..,0,0,0,0,0,..,25,0,25,0,25,..,50,4,58,0,58,..,7,3,5,0,5,..,6,0,6,0,6,..,10,0,11,0,11,..,98,7,106,0,110,..,51,3,54,0,54,..,3,0,3,0,3,..,0,0,0,0,0,..,14,0,9,0,9,..,38,4,42,0,42,..,0,0,0,0,0,..,9,0,12,0,17,..,3,0,3,0,3,..,5,0,5,0,5,..,26,0,26,0,24,..,6,0,6,0,6,..,0,0,0,0,0,..,5,0,7,0,7,..,4
2002,5982,..,..,..,..,5982,..,10,0,10,0,10,..,3,0,3,0,3,..,0,0,0,0,0,..,8,3,12,0,12,..,11,9,20,0,20,..,4,0,4,0,4,..,25,11,32,0,32,..,3,0,3,0,3,..,11,0,11,0,6,..,9,0,9,0,9,..,18,0,18,0,18,..,4,0,4,0,6,..,0,0,0,0,0,..,9,0,11,0,15,..,12,0,12,0,12,..,4,0,4,0,4,..,3,0,3,0,3,..,4,0,4,0,4,..,29,0,33,0,33,..,36,3,41,3,38,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,10,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,8,0,8,..,0,0,0,0,0,..,12,0,12,0,12,..,5
2003,42361,..,..,..,..,42361,..,29,3,29,0,29,..,85,9,94,0,94,..,12,0,10,0,10,..,66,13,81,0,81,..,323,97,419,3,423,..,26,10,39,0,39,..,414,121,535,3,540,..,49,6,53,0,53,..,62,3,66,0,70,..,48,3,53,0,53,..,65,3,72,0,72,..,62,11,77,0,73,..,47,0,46,0,46,..,109,5,110,0,110,..,123,9,129,0,130,..,43,8,43,3,51,..,43,4,50,0,50,..,57,7,58,0,58,..,410,28,440,4,446,..,105,4,103,0,105,..,45,8,53,0,53,..,14,0,19,0,19,..,5,0,6,0,6,..,18,0,16,0,16,..,31,8,40,0,40,..,15,3,18,0,18,..,28,0,30,0,30,..,3,0,3,0,3,..,15,0,15,5,21,..,50,3,55,0,55,..,10,0,12,0,12,..,63,0,66,0,71,..,10
2004,40103,..,..,..,..,40103,..,31,0,31,0,31,..,77,7,81,0,81,..,9,0,9,0,9,..,43,10,45,0,45,..,141,58,206,3,202,..,18,0,18,0,18,..,199,68,264,3,269,..,12,0,11,0,11,..,14,0,21,0,21,..,30,0,30,0,30,..,42,0,42,0,44,..,58,10,63,0,67,..,28,0,27,0,27,..,88,3,95,0,95,..,100,10,110,0,114,..,51,0,51,0,51,..,36,0,32,0,34,..,60,5,62,0,62,..,362,21,380,3,379,..,79,9,82,0,82,..,17,0,17,0,12,..,23,10,30,0,30,..,3,0,3,0,3,..,11,0,11,0,11,..,13,3,18,0,18,..,6,0,6,0,6,..,16,0,14,0,14,..,4,0,4,0,4,..,3,4,3,0,3,..,42,0,48,0,44,..,19,0,19,0,19,..,28,0,31,0,31,..,7
2005,5286,..,..,..,..,5286,..,3,0,3,0,3,..,31,7,36,0,36,..,0,0,0,0,0,..,3,4,10,0,10,..,16,12,27,0,30,..,0,0,0,0,0,..,21,18,41,0,37,..,0,0,0,0,0,..,4,0,4,0,4,..,4,0,4,0,4,..,4,0,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,4,0,4,..,5,0,5,0,5,..,3,0,3,0,3,..,0,0,3,0,3,..,7,0,7,0,7,..,15,0,15,0,15,..,23,0,23,0,25,..,3,0,3,0,3,..,4,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,7,3,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,11,0,11,..,7,0,6,0,6,..,0,0,0,0,0,..,6
2006,8863,..,..,..,..,8863,..,9,0,9,0,9,..,6,0,6,0,6,..,7,0,7,0,7,..,4,0,4,0,4,..,10,3,16,0,16,..,0,0,0,0,0,..,15,3,21,0,21,..,3,0,3,0,3,..,3,0,3,0,3,..,6,0,10,0,10,..,14,0,14,0,14,..,6,0,6,0,6,..,0,0,0,0,0,..,5,0,5,0,5,..,5,0,7,0,7,..,12,0,16,0,16,..,0,0,3,0,3,..,7,0,13,0,13,..,33,7,44,0,44,..,15,3,18,0,18,..,3,3,9,0,9,..,3,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,7,0,7,..,0,0,0,0,0,..,12,0,14,0,14,..,0
2007,100045,..,..,..,..,100045,..,96,0,92,0,96,..,309,64,372,8,376,..,13,0,13,0,13,..,176,43,221,3,223,..,687,187,873,3,876,..,61,28,85,0,85,..,920,257,1174,7,1178,..,850,142,991,13,1005,..,234,6,235,3,241,..,180,12,189,0,188,..,404,8,408,5,419,..,387,40,427,3,431,..,64,3,67,0,67,..,316,9,326,3,331,..,385,31,417,3,416,..,129,6,140,0,140,..,141,10,147,0,147,..,189,5,200,7,201,..,1233,64,1290,9,1305,..,991,111,1101,27,1128,..,111,12,116,0,123,..,52,18,67,0,67,..,427,73,502,8,510,..,79,5,87,3,83,..,181,32,214,0,216,..,158,22,185,0,189,..,109,15,123,0,127,..,17,0,16,0,16,..,320,54,375,5,382,..,161,3,167,0,167,..,104,0,105,0,109,..,191,0,198,0,198,..,65
2008,9055,..,..,..,..,9055,..,15,0,15,0,15,..,5,0,5,0,5,..,3,0,3,0,3,..,4,0,3,0,3,..,19,8,24,0,24,..,0,0,0,0,0,..,24,7,29,0,33,..,14,0,14,0,14,..,8,0,8,0,8,..,12,0,13,0,13,..,33,0,33,0,33,..,24,0,25,0,25,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,14,0,18,0,18,..,81,4,91,3,96,..,4,3,9,0,9,..,0,0,0,0,0,..,6,3,12,0,12,..,36,0,36,0,39,..,0,0,0,0,0,..,5,4,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,3,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
2009,7048,..,..,..,..,7048,..,3,0,3,0,3,..,9,0,9,0,9,..,3,0,3,0,3,..,3,0,7,0,7,..,18,0,18,0,25,..,0,0,0,0,0,..,27,0,29,0,33,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,12,0,12,0,12,..,14,0,14,0,14,..,3,0,3,0,3,..,9,0,9,0,9,..,8,0,8,0,8,..,6,0,6,0,5,..,5,0,5,0,5,..,9,0,10,0,10,..,41,3,50,0,46,..,30,0,33,0,32,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,5,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,18,0,16,0,16,..,0,0,0,0,0,..,14,0,15,0,15,..,5
2010,1304412,..,..,..,..,1304412,..,2185,35,2217,18,2234,..,32706,5078,37789,403,38188,..,111,3,116,3,117,..,27492,7979,35469,216,35685,..,62282,20450,82738,458,83196,..,6471,2284,8748,43,8800,..,96246,30715,126957,716,127677,..,6983,964,7949,95,8044,..,2615,71,2681,34,2714,..,7841,304,8142,74,8217,..,7039,188,7226,85,7312,..,42974,7827,50802,445,51241,..,5139,249,5389,44,5434,..,24559,891,25450,186,25636,..,26522,2368,28888,311,29202,..,17441,759,18207,132,18335,..,12104,781,12885,127,13012,..,15249,979,16228,118,16347,..,101016,6035,107046,913,107962,..,40516,5519,46035,636,46669,..,3664,596,4260,35,4290,..,5025,1861,6882,60,6942,..,11494,1900,13393,157,13549,..,6330,517,6840,77,6918,..,6627,1616,8243,86,8328,..,5257,600,5855,55,5908,..,6190,1207,7390,51,7441,..,4543,475,5020,85,5102,..,6174,1227,7401,73,7473,..,6234,168,6396,48,6448,..,6785,480,7265,48,7315,..,8275,216,8499,62,8562,..,2816
2011,21654,..,..,..,..,21654,..,24,0,24,0,24,..,202,25,224,7,232,..,4,0,4,0,4,..,38,16,50,0,50,..,81,34,112,0,114,..,22,3,28,0,28,..,144,51,195,0,199,..,104,21,123,0,123,..,22,0,22,0,22,..,39,0,43,0,43,..,50,0,52,0,52,..,146,16,163,0,159,..,70,4,75,0,75,..,236,15,246,0,244,..,333,50,379,3,384,..,126,3,128,0,128,..,88,4,98,5,99,..,65,26,87,0,91,..,916,95,1007,15,1021,..,210,14,219,5,224,..,10,0,9,0,9,..,26,5,24,0,24,..,98,18,120,0,120,..,361,24,393,7,399,..,13,7,15,0,15,..,65,14,83,0,80,..,26,4,33,0,33,..,278,27,306,4,310,..,147,33,179,0,177,..,133,0,137,0,142,..,30,4,32,3,34,..,165,3,170,0,174,..,33
