SUA_CODE_2016,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
2000,3212,8318,14202,16479,12992,15547,11971,4303,1192,88220,1608,2708,4511,6197,11556,10964,5495,1664,390,45091,1641,2554,5723,7247,12807,13615,10777,4045,853,59260,571,699,1695,2284,4285,5730,6521,2987,769,25543,242,280,712,760,1411,2766,6065,5082,2233,19546,18,35,119,117,188,164,211,165,60,1087,1440,1605,3776,4221,5319,5798,5684,3647,1517,33012,8737,16203,30735,37316,48556,54582,46723,21890,7017,271764,3490,9556,21091,24811,20441,19059,11194,3992,1541,115164,920,1449,3060,4763,11975,11518,6698,2334,658,43395,929,1431,3304,4360,9360,11502,10669,4565,1507,47630,395,355,780,1186,2766,4778,5338,2826,1193,19616,147,167,321,450,818,2035,4815,4565,3397,16715,27,29,83,94,145,144,145,167,84,919,1343,1215,2652,3316,4368,5249,5395,4128,2488,30157,7243,14206,31297,38979,49878,54293,44253,22582,10869,273600,6700,17875,35296,41286,33430,34607,23164,8292,2738,203384,2524,4161,7575,10963,23536,22484,12193,3996,1051,88484,2573,3984,9027,11606,22170,25119,21445,8604,2367,106892,967,1053,2469,3468,7055,10512,11858,5813,1962,45157
2001,125,359,672,651,428,351,261,79,24,2945,36,93,153,239,372,211,110,20,3,1250,60,89,262,252,347,284,210,65,24,1589,22,29,58,63,106,141,137,41,12,610,7,11,17,19,27,64,98,82,29,352,0,0,5,6,5,6,0,3,0,28,30,33,64,96,84,90,88,54,27,574,285,617,1235,1332,1373,1139,914,348,116,7355,133,417,947,982,592,405,220,80,20,3801,49,64,118,179,364,257,151,41,11,1239,30,62,125,145,273,296,257,111,29,1329,11,15,30,42,81,127,117,41,27,494,6,0,5,7,33,65,138,85,57,393,0,0,0,3,3,0,5,4,0,20,28,27,68,86,89,78,102,86,65,639,253,582,1293,1450,1424,1236,986,447,216,7908,259,774,1616,1635,1019,756,480,163,45,6752,86,162,274,415,738,471,259,67,14,2485,87,155,381,403,615,583,473,173,48,2921,30,44,91,102,186,268,256,81,41,1105
2002,57,195,395,326,201,239,211,111,25,1756,37,68,111,112,157,155,108,40,11,783,23,52,140,144,213,233,207,93,21,1134,9,22,49,57,92,92,115,78,22,525,3,6,18,24,28,41,92,116,52,377,0,0,0,4,9,5,7,3,0,31,37,48,99,79,81,110,136,99,50,731,168,390,812,726,773,877,878,532,183,5335,48,223,516,451,392,330,223,101,51,2329,38,65,78,94,232,213,114,68,35,936,36,57,88,121,164,224,246,142,35,1119,15,19,35,33,63,96,114,86,39,496,4,5,17,9,31,59,129,127,90,477,0,0,0,0,4,0,5,3,0,23,40,56,84,74,95,118,130,155,135,889,182,427,821,787,987,1036,971,679,383,6261,105,419,910,775,589,566,431,209,73,4083,75,133,183,203,387,370,220,106,43,1717,57,113,236,260,381,453,456,236,57,2257,22,37,79,88,154,182,228,162,63,1020
2003,704,2447,4019,3337,2207,1863,1254,491,129,16452,203,388,685,767,1332,1111,551,219,48,5303,243,436,841,885,1333,1214,1004,441,106,6491,92,106,251,279,472,574,581,319,93,2775,41,49,106,92,143,288,511,482,228,1949,3,15,16,28,33,15,9,14,4,139,168,260,436,406,425,436,491,351,179,3159,1458,3700,6365,5785,5953,5509,4406,2310,786,36268,802,2811,4838,4339,2999,2260,1209,567,219,20044,141,291,501,683,1502,1364,719,311,106,5624,171,292,644,681,1138,1273,1349,594,231,6371,69,89,140,179,399,595,610,396,186,2659,23,27,64,76,136,252,619,646,497,2343,0,3,10,22,26,18,13,16,6,111,186,258,423,390,473,506,558,529,336,3664,1388,3778,6614,6366,6668,6276,5077,3056,1587,40812,1506,5259,8854,7670,5204,4124,2463,1051,351,36496,343,682,1190,1445,2834,2478,1271,529,155,10922,408,725,1485,1566,2469,2490,2357,1032,338,12867,163,198,389,458,875,1173,1186,713,276,5431
2004,569,2130,3500,2823,1749,1684,1075,426,156,14111,210,418,616,714,1266,1070,481,190,48,5011,211,435,980,991,1370,1331,986,432,111,6852,82,118,290,258,445,527,639,389,75,2814,33,53,132,133,178,267,503,508,273,2071,3,7,42,41,50,44,28,10,7,236,189,219,436,391,453,461,481,397,220,3246,1287,3387,5998,5352,5509,5386,4190,2350,886,34335,801,2562,4444,3790,2539,1986,1044,407,203,17761,154,319,526,640,1263,1299,691,268,78,5248,162,345,709,753,1237,1361,1189,568,221,6562,45,70,151,189,369,609,665,423,179,2701,20,37,90,87,137,248,568,622,481,2292,3,17,38,38,46,28,25,15,3,211,196,221,447,392,450,475,507,590,454,3725,1384,3567,6411,5885,6031,6016,4685,2889,1632,38501,1367,4689,7943,6611,4282,3668,2115,831,357,31874,369,739,1138,1354,2527,2366,1172,460,123,10252,374,784,1690,1748,2609,2697,2177,1004,332,13411,129,188,448,447,811,1142,1304,810,255,5518
2005,49,167,342,267,189,176,96,45,25,1357,41,75,130,129,180,172,73,35,8,852,31,78,126,160,182,195,146,57,14,989,11,19,45,47,67,82,84,58,11,425,4,5,24,29,30,36,117,123,61,431,0,5,7,7,22,19,12,0,0,77,22,27,69,46,65,58,83,62,28,473,165,386,753,684,724,744,612,376,154,4602,68,242,450,358,290,241,121,66,25,1857,24,29,81,93,217,194,108,55,12,814,17,42,85,89,148,194,166,101,43,885,5,15,15,26,60,83,86,77,26,397,3,3,3,21,7,40,105,135,125,439,0,0,0,10,9,22,8,3,3,57,19,29,42,38,61,85,113,101,74,551,130,363,678,628,794,860,706,536,303,5003,115,413,796,627,475,418,217,113,45,3219,62,107,218,219,403,371,180,86,21,1659,52,126,210,253,329,391,309,157,60,1880,17,37,62,70,124,163,173,138,42,822
2006,90,188,494,484,322,344,255,131,22,2330,59,93,153,188,325,248,160,58,11,1285,62,103,187,216,315,349,364,126,30,1753,21,29,68,56,122,147,237,136,33,851,3,7,17,20,34,82,172,163,55,559,0,3,9,7,3,10,3,4,0,34,19,38,72,92,101,120,140,123,72,791,257,460,1003,1064,1217,1295,1332,741,226,7601,107,313,812,745,497,381,221,116,38,3244,40,52,102,156,344,350,212,113,28,1395,32,45,109,128,290,344,365,182,41,1537,16,16,25,38,82,155,234,104,38,715,4,9,16,10,29,61,182,144,128,579,0,0,4,0,5,4,3,3,0,20,41,39,100,75,107,130,158,180,118,950,248,474,1166,1153,1350,1428,1384,858,393,8448,198,496,1309,1233,812,726,480,251,66,5576,98,146,257,343,664,591,372,173,36,2682,96,145,294,340,605,693,724,313,72,3290,42,44,93,96,206,300,468,247,73,1567
2007,1670,5580,9936,9371,5865,5446,3816,1506,514,43707,430,896,1656,2025,4031,3034,1469,504,154,14212,439,795,1689,1909,2831,3022,2499,1057,298,14541,166,220,467,574,889,1096,1268,779,241,5703,81,110,212,261,345,586,1151,1260,626,4632,8,34,79,86,79,68,85,75,28,540,384,604,1319,1219,1246,1126,1186,885,489,8457,3181,8242,15352,15444,15285,14384,11470,6061,2361,91781,1989,6068,12299,11696,8029,6209,3443,1535,583,51856,291,557,1088,1596,3848,3246,1949,770,259,13604,321,563,1183,1394,2613,3195,3120,1370,570,14321,124,128,279,387,791,1299,1453,1002,464,5922,55,63,168,217,303,683,1498,1569,1290,5841,14,19,67,82,92,82,97,131,64,637,361,479,940,888,1046,1132,1288,1267,966,8371,3138,7878,16023,16255,16716,15844,12859,7639,4202,100560,3653,11648,22234,21066,13895,11660,7260,3046,1096,95559,722,1457,2747,3622,7881,6285,3415,1267,413,27816,763,1357,2870,3303,5441,6222,5623,2425,868,28855,290,352,741,965,1682,2391,2723,1775,708,11624
2008,121,351,521,885,700,609,426,131,28,3778,43,49,124,159,343,288,146,49,5,1202,26,52,103,158,292,209,215,72,12,1151,10,9,23,40,58,70,95,38,13,358,4,3,10,3,18,22,70,56,32,221,0,0,4,0,0,3,0,0,3,12,30,22,45,85,90,85,76,50,22,503,233,491,827,1335,1502,1288,1026,393,112,7213,150,406,789,1214,940,650,358,104,32,4638,15,25,58,110,359,270,185,38,6,1059,23,20,48,65,196,257,226,77,30,936,3,4,10,18,37,52,101,50,26,294,3,0,3,0,13,25,80,49,46,225,0,0,0,0,3,0,0,0,0,11,23,17,49,79,90,66,81,52,50,515,222,469,953,1485,1632,1323,1034,371,189,7676,272,759,1305,2098,1644,1258,790,233,60,8414,61,74,181,266,703,554,329,86,13,2264,50,74,150,229,486,464,438,145,37,2087,19,9,35,57,95,118,197,85,44,651
2009,73,234,544,415,315,286,158,62,21,2112,52,113,163,148,291,258,121,36,9,1188,39,73,140,148,182,232,173,96,25,1098,3,18,36,31,71,105,134,74,16,490,3,7,16,28,32,37,96,154,84,452,0,3,0,0,7,4,0,3,0,16,25,24,78,61,73,75,81,78,40,532,197,470,977,836,961,989,776,500,183,5891,82,332,700,600,390,329,140,80,36,2686,44,69,119,149,321,281,159,78,31,1253,15,55,101,99,161,250,240,151,53,1125,5,16,25,32,64,107,136,96,46,536,6,5,15,20,12,43,109,163,123,487,0,0,0,0,7,3,3,0,0,20,32,30,60,56,74,100,101,80,66,600,183,506,1028,954,1019,1118,896,644,353,6705,161,563,1249,1015,705,609,299,143,59,4798,93,183,288,299,614,538,281,113,34,2443,53,124,239,252,340,486,414,244,74,2227,11,32,68,63,137,214,271,169,62,1026
